EPICA Dome C Ice Core nss-Ca and Na Data
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Core nss-Ca and Na Data
LAST UPDATE: 6/2005 (Original Receipt by WDC Paleo)

CONTRIBUTORS: Regine Röthlisberger et al., Climate and Environmental Physics, 
University of Bern, Bern, Switzerland

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-046

SUGGESTED DATA CITATION: Röthlisberger, R. et al., 2005.
EPICA Dome C Ice Core nss-Ca and Na Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-046. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 

ORIGINAL REFERENCES:  
Röthlisberger, R., M. Bigler, E.W. Wolff, F. Joos, E. Monnin, 
and M.A. Hutterli. 2004. Ice core evidence for the extent of past 
atmospheric CO2 change due to iron fertilisation.
Geophys. Res. Lett., 31, L16207, doi: 10.1029/2004GL020338. 

Röthlisberger, R., R. Mulvaney, E.W. Wolff, M.A. Hutterli, M. Bigler, 
S. Sommer, and J. Jouzel. 2002. 
Dust and sea-salt variability in central East Antarctica (Dome C) over 
the last 45 kyrs and its implications for southern high-latitude climate. 
Geophys. Res. Lett., 29 (20), 1963, doi:10.1029/2002GL015186.

ADDITIONAL REFERENCES (for methods, isotopes, and dating):
Röthlisberger, R., M. Bigler, M. Hutterli, S. Sommer, B. Stauffer, 
H.G. Junghans, and D. Wagenbach  2000.  
Technique for continuous high-resolution analysis of trace substances 
in firn and ice cores.  Environ. Sci. Technol., 34 (2), 338-342. 

Jouzel, J., V. Masson, O. Cattani, S. Falourd, M. Stievenard, B. Stenni, 
A. Longinelli, S.J. Johnsen, J.P. Steffensen, J.R. Petit, J. Schwander, 
R. Souchez, and N.I. Barkov. 2001. 
A new 27 ky high resolution East Antarctic climate record. 
Geophys. Res. Lett., 28 (16), 3199-3202.
 
Stenni, B., J. Jouzel, V. Masson-Delmotte, R. Röthlisberger, E. Castellano, 
O. Cattani, S. Falourd, S.J. Johnsen, A. Longinelli, J.P. Sachs, E. Selmo, 
R. Souchez, J.P. Steffensen, and R. Udisti. 2003. 
A late-glacial high resolution site and source temperature record derived from 
the EPICA Dome C isotope records (East Antarctica). 
Earth Planet. Sci. Lett., 217 (1-2), 183-195, doi:10.1016/S0012-821X(03)00574-0.
 
Schwander, J., J. Jouzel, C.U. Hammer, J.R. Petit, R. Udisti, and E. Wolff. 2001. 
A tentative chronology for the EPICA Dome Concordia ice core.  
Geophys. Res. Lett., 28 (22), 4243-4246.  
 
EPICA community members. 2004. Eight glacial cycles from an Antarctic ice core. 
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004. doi:10.1038/nature02599. 


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  62KYrBP - present

DESCRIPTION: 
Chemical records of Calcium and Sodium obtained by continuous flow analysis. 
High-resoution data have been averaged to 50-yr. Non-Sea Salt Ca (nss-Ca) 
is calculated as total Ca minus 0.038*Na. 
 
Data from 0 to 44850 yr BP are from EDC96 ice core, those from 43350 to 62000 
yr BP from EDC99 ice core.
 
Dating according to EPICA Dome C ice core timescales EDC1 and EDC2: 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 

Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl


Data: 
1. Core EDC96

Column 1: Age (years before 1950, EDC1 timescale)
Column 2: nss-Ca flux (ng/cm2/yr)
Column 3: Na flux (ng/cm2/yr)
Column 4: delta deuterium (per mil)
 
  Age      nss-Ca         Na         deltaD
   25         NaN       94.6179     -386.24823
   75         NaN       62.1667    -392.579071
  125         NaN         71.77    -397.371674
  175         NaN       73.0979    -397.058441
  225         NaN       62.4468    -396.463104
  275         NaN       53.7053    -398.523285
  325         NaN       57.0246    -399.182068
  375     1.391107      59.4952    -401.044312
  425     1.716251      51.5474    -399.008118
  475     2.204105      50.4831    -397.681122
  525      1.64742      50.7618    -400.794922
  575     1.316144       58.923      -392.9758
  625     1.307537      69.9707    -394.727905
  675     2.457026      65.7711    -398.570496
  725     1.744644      71.1532    -401.669556
  775     2.965843      64.0609    -397.161285
  825     3.449248      67.5191     -391.98288
  875     2.451256      72.0762    -395.500519
  925     1.745636      69.0138    -398.542755
  975     1.659302      70.6415    -397.964905
 1025     2.899992      59.3105    -397.471283
 1075     2.277049      65.6943    -396.869171
 1125     2.303165      66.6849    -394.354523
 1175     2.180219      58.8048    -393.700287
 1225      3.13858      71.1232    -394.237915
 1275     1.916965      69.5394    -395.562012
 1325     2.360658      65.8897     -392.71637
 1375     3.406469      60.9057    -392.131683
 1425     2.409707      64.2486    -398.587952
 1475       2.5399      52.8099    -396.664642
 1525     2.067243      52.5952    -396.329285
 1575         NaN          NaN      -397.18927
 1625         NaN          NaN       -398.5914
 1675         NaN          NaN     -396.711792
 1725      1.13124      61.4087    -398.155762
 1775     2.062742      52.8612    -397.246796
 1825     1.956492      31.2072     -399.35495
 1875     4.182089      64.2685    -394.088318
 1925     2.597276      59.6731    -396.415161
 1975     2.305109       61.298    -399.009918
 2025     2.903292      53.8406    -397.237732
 2075      3.10992      55.9616    -396.726074
 2125     3.133543      63.4639     -397.97757
 2175     1.960687       61.695    -399.673645
 2225     1.721236      52.6952    -393.018463
 2275     3.042606      65.9476    -399.044189
 2325      2.20639      64.8003    -402.587952
 2375     1.922734      61.6673    -403.355133
 2425     1.565915      61.2915    -398.784088
 2475     1.205875      66.3027    -397.637604
 2525     2.039128      59.8288    -394.004913
 2575     0.721267      70.9183    -395.517487
 2625     0.769664       88.587    -394.730804
 2675     1.137156      59.3933    -398.441528
 2725     1.579677      59.0673    -390.269745
 2775     0.717065      48.0304    -391.430847
 2825     1.305547      51.6579    -390.269104
 2875     1.300559      57.3453     -398.50589
 2925      1.33528      57.3911    -395.707092
 2975      1.27711      58.0561    -398.012848
 3025     0.988429      50.3245    -395.198303
 3075     1.524118      41.9036    -393.303009
 3125     4.328056       38.994    -400.173279
 3175     2.196369      44.4128    -398.136292
 3225     2.759903      50.6919    -399.527771
 3275     3.407349      49.1547    -397.775238
 3325     3.245102      49.5678    -400.103241
 3375     3.207035      45.9016     -397.27063
 3425     1.688622      44.7515    -395.202576
 3475     2.055045      48.9988     -394.20871
 3525     2.706295      57.8179    -396.201233
 3575     1.902834      48.8138    -392.681213
 3625     0.838926       52.718    -391.982513
 3675     1.484645      49.0191    -392.408813
 3725      3.03281      36.7983    -395.354614
 3775     1.600241      41.2238    -396.148468
 3825     2.325271      33.8888    -396.026611
 3875      1.58763      47.4885    -397.303192
 3925      1.87085      46.7812    -396.145325
 3975     1.796523      46.1903    -394.551758
 4025     1.926317      51.0037    -394.768188
 4075     2.349109      47.1447    -395.180725
 4125     1.940841      45.4488    -395.284119
 4175     2.540903      44.2847    -394.098816
 4225     2.496997      42.4998    -392.235016
 4275     1.860968      43.5799    -398.152557
 4325     2.396933      39.0795     -394.90799
 4375     1.860966       41.684    -396.109772
 4425     0.915016      44.3182    -392.302795
 4475     1.533711       53.254    -397.661011
 4525     1.210665      52.1727    -396.041168
 4575      1.39725      43.7967    -395.668518
 4625     1.023565      61.0256     -396.00647
 4675     0.619229      55.0333    -396.069733
 4725      0.99854      46.4913    -398.372375
 4775     1.287433      56.9126    -397.746674
 4825     0.416421      53.6411    -393.768433
