EPICA Dome C CO2 Data 650 to 390 KYrBP
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C CO2 Data 650 to 390 KYrBP
LAST UPDATE: 11/2005 (Original receipt by WDC Paleo)

CONTRIBUTORS: 
Urs Siegenthaler, Thomas F. Stocker, Eric Monnin, Dieter Lüthi, Jakob Schwander, Bernhard Stauffer 
Climate and Environmental Physics, Physics Institute, University of Bern, Switzerland  
                                
Jean-Marc Barnola, Dominique Raynaud 
Laboratoire de Glaciologie et Géophysique de l'Environnement (LGGE, CNRS-UJF), Grenoble, France 


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-077

SUGGESTED DATA CITATION: Siegenthaler, U., et al.  2005.
EPICA Dome C CO2 Data 650 to 390 KYrBP.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2005-077.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
U. Siegenthaler, T. F. Stocker, E. Monnin, D. Lüthi, J. Schwander, B. Stauffer, 
D. Raynaud, J.-M. Barnola, H. Fischer, V. Masson-Delmotte, J. Jouzel.  2005. 
Stable Carbon Cycle-Climate Relationship During the Late Pleistocene.
Science, v. 310 , pp. 1313-1317, 25 November 2005.


ABSTRACT:
A record of atmospheric carbon dioxide (CO2) concentrations measured on the
EPICA (European Project for Ice Coring in Antarctica) Dome Concordia ice core
extends the Vostok CO2 record back to 650,000 years before the present (yr
B.P.). Before 430,000 yr B.P., partial pressure of atmospheric CO2 lies within the
range of 260 and 180 parts per million by volume. This range is almost 30%
smaller than that of the last four glacial cycles; however, the apparent
sensitivity between deuterium and CO2 remains stable throughout the six
glacial cycles, suggesting that the relationship between CO2 and Antarctic
climate remained rather constant over this interval.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD: 650 - 390 KYrBP


DESCRIPTION:
CO2 record from the EPICA Dome C 1999 (EDC99) ice core (Antarctica) covering 390 to 650 kyr BP.
EPICA Dome C core location:  75°06'S, 123°21'E, 3233 m above sea level

New data has been measured in Bern on 1372 samples at 322 depth intervals, including data from 
193 samples at 31 depth intervals over termination V.  Sample ages range from 413 to 650 kyr BP
(EDC2 timescale, EPICA community members 2004).  In Grenoble, CO2 concentation has been measured 
(accuracy 2s = ±3 ppmv) at 31 depth intervals with an age between 391 and 424 kyr BP. 
The mean CO2 time resolution is 731 years. 


FUNDING SOURCES: 
This work is a contribution to the "European Project for Ice Coring in Antarctica" (EPICA),
a joint ESF (European Science Foundation)/EC scientific programme, funded by the European Commission 
and by national contributions from Belgium, Denmark, France, Germany, Italy, the Netherlands, 
Norway, Sweden, Switzerland and the United Kingdom. We acknowledge long-term financial support 
by the Swiss NSF, the University of Bern and the Swiss Federal Agency of Energy, and 
EC Project EPICA-MIS.  


DATA:

1. EDC CO2 Measurements (Bern):

Column 1: EDC99 depth (m)
Column 2: EDC2 gas age (years before AD 1950)
Column 3: CO2 concentration (parts per million by volume) is a mean value of 4-6 neighboring samples	
Column 4: sigma mean (parts per million by volume) is sigma mean is one sigma of the mean value
          (of 4-6 neighboring samples)

Depth     Gas Age    CO2(ppmv)  sigma mean 


2761.85    413498     276.4       1.6
2762.89    413903     271.7       1.2
2765.08    414769     273.4       1.5
2766.18    415195     271.8       1.7
2767.33    415647     274.6       1.8
2769.48    416500     273.7       0.8
2770.58    416946     271.2       1.5
2771.68    417398     273.8       1.6
2773.88    418331     268.6       1.4
2774.96    418833     266.4       1.8
2776.13    419381     270.6       1.1
2778.28    420402     267.7       2.9
2779.39    420907     268.3       1.9
2780.48    421358     270.8       1.1
2781.32    421687     270.0       2.5
2781.96    421940     265.4       2.0
2782.73    422260     255.3       1.3
2783.81    422736     252.1       0.7
2784.88    423234     248.2       0.9
2785.27    423429     242.5       1.5
2787.08    424425     219.7       1.7
2788.03    424999     227.2       2.2
2789.29    425828     211.5       1.7
2789.67    426097     207.6       1.3
2790.78    426955     209.8       1.6
2791.87    427927     207.5       1.3
2792.97    428953     200.3       1.6
2794.08    429953     201.7       1.6
2795.17    430931     201.3       1.1
2796.28    431940     202.0       1.5
2797.38    432971     199.1       1.1
2798.92    434414     201.1       0.9
2800.02    435440     203.5       0.6
2801.13    436435     208.1       1.8
2802.21    437292     201.7       1.7
2803.33    438142     201.2       2.1
2804.42    439014     204.9       1.4
2805.52    439915     201.9       1.8
2806.62    440783     198.4       1.3
2807.72    441656     193.3       1.6
2808.82    442558     192.5       1.0
2809.46    443078     199.1       0.6
2809.93    443451     204.3       1.0
2810.56    443964     203.3       1.0
2811.01    444327     208.3       1.4
2812.12    445197     202.4       1.3
2813.21    446001     195.5       0.8
2814.32    446854     190.7       1.9
2815.43    447768     194.4       0.7
2816.52    448736     199.9       2.6
2817.25    449387     205.2       0.9
2817.62    449726     210.0       0.7
2818.72    450682     208.1       2.2
2819.83    451578     204.4       1.9
2820.92    452463     203.4       1.2
2822.01    453421     205.5       0.9
2822.66    454007     206.5       0.9
2823.11    454408     215.5       2.3
2823.76    454973     218.7       0.9
2824.22    455369     229.2       1.4
2824.86    455911     232.7       0.7
2825.31    456277     243.7       1.8
2826.05    456857     243.9       1.1
2826.42    457122     245.6       0.9
2827.53    457862     241.2       1.7
2828.63    458560     233.1       0.6
2829.72    459335     232.8       1.1
2830.82    460194     236.6       1.0
2831.93    460977     239.1       0.9
2832.56    461374     236.5       1.2
2833.02    461657     231.3       1.0
2833.66    462065     220.8       0.7
2834.12    462368     218.8       2.3
2835.22    463168     223.8       1.4
2836.32    463971     223.4       1.7
2837.43    464726     227.3       1.3
2838.53    465451     231.4       1.1
2839.62    466162     231.4       1.3
2840.71    466862     231.2       1.2
2841.81    467567     233.0       1.4
2842.92    468278     232.9       1.2
2844.02    468966     231.3       1.2
2845.11    469625     237.1       1.8
2846.22    470277     242.0       0.2
2846.86    470643     240.9       0.4
2847.33    470907     252.8       2.5
2848.05    471315     249.3       2.7
2848.42    471526     242.6       0.6
2849.53    472149     243.3       1.3
2850.63    472777     246.7       1.6
2851.72    473427     243.7       1.4
2852.82    474101     239.7       1.9
2853.91    474769     239.1       1.2
2855.03    475459     238.3       2.0
2856.12    476148     238.5       1.4
2857.22    476846     237.6       1.6
2858.32    477534     236.4       2.1
2859.43    478234     236.5       1.7
2860.51    478930     232.8       0.8
2861.62    479646     230.6       0.5
2862.72    480360     230.8       1.0
2863.83    481102     228.2       1.7
2864.93    481851     230.8       1.4
2866.02    482610     231.2       0.8
2867.13    483380     232.0       1.6
