EPICA Dome C Ice Core Cl, Na and NO3 Data
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Core Cl, Na and NO3 Data
LAST UPDATE: 6/2005 (Original Receipt by WDC Paleo)

CONTRIBUTORS: Regine Röthlisberger et al., Climate and Environmental Physics, 
University of Bern, Bern, Switzerland

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-048

SUGGESTED DATA CITATION: Röthlisberger, R. et al., 2005.
EPICA Dome C Ice Core Cl, Na and NO3 Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-048. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCES:  
Röthlisberger, R., M.A. Hutterli, S. Sommer, E.W. Wolff, and R. Mulvaney. 2000. 
Factors controlling nitrate in ice cores: Evidence from the Dome C deep ice core.
J. Geophys. Res., 105 (D16), 20565-20572.

Röthlisberger, R., R. Mulvaney, E.W. Wolff, M.A. Hutterli, M. Bigler, M. De Angelis, 
M.E. Hansson, J.P. Steffensen, and R. Udisti.  2003.
Limited dechlorination of sea-salt aerosols during the last glacial period: 
Evidence from the European Project for Ice Coring in Antarctica (EPICA) Dome C ice core. 
J. Geophys. Res., 108 (D16), 4526, doi:10.1029/2003JD003604.

ADDITIONAL REFERENCES (for methods, isotopes, and dating):
Röthlisberger, R., M. Bigler, M. Hutterli, S. Sommer, B. Stauffer, 
H.G. Junghans, and D. Wagenbach  2000.  
Technique for continuous high-resolution analysis of trace substances 
in firn and ice cores.  Environ. Sci. Technol., 34 (2), 338-342. 

Littot, G.C., R. Mulvaney, R. Röthlisberger, R. Udisti, E.W. Wolff, 
E. Castellano, M. De Angelis, M. Hansson, S. Sommer, and J.P. Steffensen. 2002. 
Comparison of analytical methods used for measuring major ions in the 
EPICA Dome C (Antarctica) ice core.  Ann. Glaciol., 35, 299-305.

Jouzel, J., V. Masson, O. Cattani, S. Falourd, M. Stievenard, B. Stenni, 
A. Longinelli, S.J. Johnsen, J.P. Steffensen, J.R. Petit, J. Schwander, 
R. Souchez, and N.I. Barkov. 2001. 
A new 27 ky high resolution East Antarctic climate record. 
Geophys. Res. Lett., 28 (16), 3199-3202.
 
Stenni, B., J. Jouzel, V. Masson-Delmotte, R. Röthlisberger, E. Castellano, 
O. Cattani, S. Falourd, S.J. Johnsen, A. Longinelli, J.P. Sachs, E. Selmo, 
R. Souchez, J.P. Steffensen, and R. Udisti. 2003. 
A late-glacial high resolution site and source temperature record derived from 
the EPICA Dome C isotope records (East Antarctica). 
Earth Planet. Sci. Lett., 217 (1-2), 183-195, doi:10.1016/S0012-821X(03)00574-0.
 
Schwander, J., J. Jouzel, C.U. Hammer, J.R. Petit, R. Udisti, and E. Wolff. 2001. 
A tentative chronology for the EPICA Dome Concordia ice core.  
Geophys. Res. Lett., 28 (22), 4243-4246.  
 


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  44KYrBP - present

DESCRIPTION: 
Chemical records obtained by continuous flow analysis (CFA) and ion chromatography (IC).  
Data from 0 to 44850 yr BP are from EDC96 ice core 
 
Dating according to EPICA Dome C ice core timescale EDC1. 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 

Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl


Data: 

Column 1: Depth of the middle of the 55cm-interval (m)
Column 2: Age (years before 1950, EDC1 timescale)
Column 3: Na concentration, measured by CFA (ppb)
Column 4: Na concentration, measured by IC (ppb)
Column 5: Cl concentration, measured by IC  (ppb)
Column 6: NO3 concentration, measured by CFA (ppb)
Column 7: delta deuterium (per mil)
 
 
 Depth        Age      Na_CFA     Na_IC       Cl_IC    NO3_CFA    deuterium
  6.875       38.1     28.402       NaN        NaN      13.884       NaN
  7.425       46.8     39.796    66.2538    61.8488     14.713     -390.9
  7.975       55.5     20.618     33.059      30.76     13.426     -385.1
  8.525       64.7     21.603    60.3936    69.4191     14.173     -377.8
  9.075         74     25.086       NaN        NaN      13.593     -394.1
  9.625       83.1     22.484    27.7191    11.4782     13.579     -398.7
 10.175       92.4     27.962      37.67      25.82      9.666     -395.9
 10.725      101.7     22.592       NaN        NaN      10.453     -395.9
 11.275      111.3     24.066       NaN        NaN      11.708     -399.3
 11.825        121     34.116    28.3918    14.6073      12.82     -391.4
 12.375      130.7     30.063     30.154     17.123     12.578     -399.5
 12.925      140.3     29.324    31.1355      24.63     15.635     -402.9
 13.475      150.5     28.398       NaN        NaN      13.883     -393.9
 14.025      160.8     23.644    15.9189    21.5344     15.783     -398.6
 14.575      171.1     28.081     24.396     16.029     11.636     -389.8
 15.125      181.5     33.084       NaN        NaN      14.059     -394.5
 15.675      191.9     30.457       NaN        NaN      11.426     -400.5
 16.225      202.3     31.766    24.0991    12.4245     13.328     -403.6
 16.775      212.7     29.249     29.011     13.651     13.849     -393.1
 17.325      223.5     24.002    36.0227    24.5618     13.601     -410.9
 17.875      234.4     23.134       NaN        NaN      13.492     -393.6
 18.425      245.6      23.52    23.6355    9.71273     15.054     -391.1
 18.975      256.9     21.513     25.603     14.218     13.637     -391.9
 19.525      268.3     18.985       NaN        NaN      13.311     -396.3
 20.075      279.8     26.856       NaN        NaN      15.745       -397
 20.625      291.4     23.168     25.295     12.042     12.778     -404.7
 21.175      303.1      19.13    36.4109    23.5027     13.168     -398.2
 21.725        315     24.005    34.8873    22.0455     13.492     -395.2
 22.275        327     23.448       NaN        NaN      11.531     -403.5
 22.825      339.1     24.803    29.1882    12.7836     12.871     -398.6
 23.375      351.2     27.239    30.7156    13.9544     13.513     -399.7
 23.925      363.3     25.025       NaN        NaN      16.482       -396
 24.475      375.6     24.901       NaN        NaN      11.395     -400.2
 25.025        388     23.719      22.85    9.74818     11.077     -401.6
 25.575      400.5     21.196      30.38    21.2245     12.085     -405.4
 26.125        413     24.532    32.7336    18.4718     11.225       -399
 26.675      425.5     18.874       NaN        NaN      11.391     -396.9
 27.225      438.1     21.096    25.4436    9.54545     12.282     -394.9
 27.775      450.7     22.126    29.3209    15.1145     10.854     -406.6
 28.325      463.4     19.067    27.1818    13.0909     10.123     -395.2
 28.875      476.2     19.363       NaN        NaN       13.14     -395.3
 29.425        489      24.05    25.7464    12.2118     13.863     -399.5
 29.975      501.9     19.278    23.5991    17.7527     15.235       -401
 30.525      514.7     19.504    28.4445    21.6818     18.777     -393.6
 31.075      527.6     23.356       NaN        NaN      13.391     -410.4
 31.625      540.5     20.601    22.6091    10.4409     14.372     -401.3
 32.175      553.4     22.045    21.2018    13.0264      13.67     -398.3
 32.725      566.2     23.701       NaN        NaN       15.04     -388.5
 33.275        579     25.156       NaN        NaN      15.216     -391.9
 33.825      591.9     22.934      22.09    9.48364     15.135     -400.8
 34.375      604.8     27.077    27.2636    11.0127     16.499     -387.7
 34.925      617.7     30.556    32.6236    21.3009     16.239     -401.4
 35.475      630.9     26.508       NaN        NaN      17.898       -401
 36.025        644     27.903    22.4964      15.85      15.98     -387.3
 36.575      657.3     25.667    25.2509    15.2336     14.218     -390.2
 37.125      670.6     23.861       NaN        NaN      12.076     -394.5
 37.675      684.1     27.912       NaN        NaN      20.015     -401.9
 38.225      697.7     26.082    22.0473    12.1064     13.609     -399.8
 38.775      711.2     28.341    25.3864    13.1382     12.381     -399.9
 39.325      724.8     28.077    36.6209    25.6109      9.888     -399.1
 39.875      738.2     33.144       NaN        NaN      10.668     -401.9
 40.425      751.9     24.926    23.8445      11.23     10.367     -404.8
 40.975      765.7     26.017      24.26    11.5827     10.373     -401.6
 41.525      778.7     25.454       NaN        NaN      10.073     -396.7
 42.075      791.8      24.81       NaN        NaN      13.551     -397.1
