EPICA Dome C Core EDC96 Dielectric Profiling Data 
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!

NAME OF DATA SET: EPICA Dome C Core EDC96 Dielectric Profiling Data 
LAST UPDATE: 3/2003 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Eric W. Wolff, British Antarctic Survey

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2003-011

SUGGESTED DATA CITATION: Wolff, E.W., et al., 2003,
EPICA Dome C Core EDC96 Dielectric Profiling Data, 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2003-011. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCES: 
Wolff, E.W., Basile, I., Petit, J.-R. and Schwander, J., 1999, 
Comparison of Holocene electrical records from Dome C and Vostok, 
Antarctica. Ann. Glaciol., 29:89-93. 

Schwander, J., Jouzel, J., Hammer, C.U., Petit, J.-R., Udisti, R. 
and Wolff, E.W., 2001, A tentative chronology for the EPICA Dome 
Concordia ice core. Geophys. Res. Lett., 28:4243-4246.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  45 - 0 KYrBP 



DESCRIPTION: 
Dielectric profiling data from the EDC96 EPICA Dome C core. 
Data are presented in 1m. resolution.
Timescale information is included.
Please see file edc96_dep.txt for 2 cm. resolution data.


DATA:
1.
Dielectric profiling data from the EDC96 EPICA Dome C core. 
The data are at 1 m average. 
Depths are according to the core processing log (m), 
ages according to timescale EDC1 (0 BP= 1.1.1950)
and conductivity at 100 kHz, corrected to -15 deg C (S/m). 


Depth   Depth      Age    Age         DEP condy
Top(m.) Bottom     Top   Bottom(yrBP)   S/m

   6       7       24      40         3.77E-06
   7       8       40      56         4.41E-06
   8       9       56      73         4.67E-06
   9       10      73      89         5.10E-06
   10      11      89     106         5.05E-06
   11      12     106     124         5.69E-06
   12      13     124     142         6.80E-06
   13      14     142     160         5.74E-06
   14      15     160     179         5.77E-06
   15      16     179     198         5.67E-06
   16      17     198     217         5.77E-06
   17      18     217     237         5.97E-06
   18      19     237     257         6.07E-06
   19      20     257     278         6.32E-06
   20      21     278     299         6.55E-06
   21      22     299     321         6.39E-06
   22      23     321     343         6.79E-06
   23      24     343     365         7.41E-06
   24      25     365     387         7.08E-06
   25      26     387     410         7.30E-06
   26      27     410     433         6.89E-06
   27      28     433     456         6.84E-06
   28      29     456     479         7.73E-06
   29      30     479     502         9.67E-06
   30      31     502     526         7.89E-06
   31      32     526     549         7.50E-06
   32      33     549     573         7.86E-06
   33      34     573     596         7.81E-06
   34      35     596     620         8.32E-06
   35      36     620     643         8.02E-06
   36      37     643     668         9.26E-06
   37      38     668     692         1.08E-05
   38      39     692     717         1.11E-05
   39      40     717     741         8.85E-06
   40      41     741     766         9.14E-06
   41      42     766     790         8.90E-06
   42      43     790     814         8.36E-06
   43      44     814     838         8.66E-06
   44      45     838     862         8.69E-06
   45      46     862     886         8.08E-06
   46      47     886     910         8.66E-06
   47      48     910     935         9.03E-06
   48      49     935     960         8.85E-06
   49      50     960     985         9.56E-06
   50      51     985     1011        8.52E-06
   51      52     1011    1036        9.29E-06
   52      53     1036    1062        9.04E-06
   53      54     1062    1087        9.69E-06
   54      55     1087    1112        9.00E-06
   55      56     1112    1138        9.14E-06
   56      57     1138    1164        9.25E-06
   57      58     1164    1189        9.33E-06
   58      59     1189    1214        1.03E-05
   59      60     1214    1240        1.02E-05
   60      61     1240    1266        1.17E-05
   61      62     1266    1291        9.37E-06
   62      63     1291    1317        1.06E-05
   63      64     1317    1344        1.04E-05
   64      65     1344    1370        1.11E-05
   65      66     1370    1397        1.06E-05
   66      67     1397    1424        1.03E-05
   67      68     1424    1451        1.10E-05
   68      69     1451    1479        1.05E-05
   69      70     1479    1507        1.07E-05
   70      71     1507    1535        1.05E-05
   71      72     1535    1564        1.12E-05
   72      73     1564    1593        1.09E-05
   73      74     1593    1622        1.14E-05
   74      75     1622    1651        1.19E-05
   75      76     1651    1680        1.17E-05
   76      77     1680    1709        1.18E-05
   77      78     1709    1739        1.08E-05
   78      79     1739    1769        1.34E-05
   79      80     1769    1799        1.08E-05
   80      81     1799    1829        1.16E-05
   81      82     1829    1859        1.09E-05
   82      83     1859    1889        1.24E-05
   83      84     1889    1919        1.15E-05
   84      85     1919    1948        1.14E-05
   85      86     1948    1979        1.11E-05
   86      87     1979    2010        1.14E-05
   87      88     2010    2041        1.09E-05
   88      89     2041    2072        1.11E-05
   89      90     2072    2103        1.04E-05
   90      91     2103    2135        1.12E-05
   91      92     2135    2166        1.16E-05
   92      93     2166    2199        1.08E-05
   93      94     2199    2231        1.02E-05
   94      95     2231    2263        1.18E-05
   95      96     2263    2297        1.09E-05
   96      97     2297    2330        1.09E-05
