EPICA Dome C-96 Ice Core Electrical Conductance Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C-96 Ice Core Electrical Conductance Data
LAST UPDATE: 6/2004 (Original receipt by WDC Paleo)

CONTRIBUTORS: Jacqueline Flückiger, Bernhard Stauffer, Jakob Schwander, 
Climate and Environmental Physics, Physics Institute, University of Bern, 
Switzerland

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-030

SUGGESTED DATA CITATION: Flückiger, J., et al. 2004.
EPICA Dome C-99 Ice Core Electrical Conductance Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-030.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCES: 
Stauffer, B., J. Flückiger, E.W. Wolff, and P. Barnes. 2004.
The EPICA deep ice cores: First results and perspectives. 
Annals of Glaciology, 39, 93-100.

EPICA community members. 2004. 
Eight glacial cycles from an Antarctic ice core.
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
doi:10.1038/nature02599.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  2 - 45 kyr BP


DESCRIPTION: 
Electrical conductance measured along the EPICA Dome C - 96 ice core. 
The data were corrected to -15°C.



DATA:
Column 1: depth [m]
Column 2: age [yr BP] (EDC1: Schwander et al., GRL, 2001)
Column 3: electrical conductance [nS]

REMARKS: yr BP is years before 1950. 
For further information see original references.


Depth   Age      Cond
100     2431     25.8
101     2464     27.94
102     2497     28.66
103     2529     26.8
104     2562     28.87
105     2594     32.18
106     2626     27.36
107     2657     33.68
108     2689     33.18
109     2720     27.54
110     2751     26.61
111     2782     24.17
112     2814     27.83
113     2846     28.84
114     2878     29.95
115     2910     27.09
116     2942     27.09
117     2975     24.64
118     3008     25.89
119     3041     27.45
120     3074     34.58
121     3108     25.34
122     3142     24.72
123     3177     27.28
124     3211     27.76
125     3246     32.44
126     3281     30.58
127     3316     35.83
128     3351     29.29
129     3385     30.63
130     3419     32.71
131     3453     31.29
132     3487     38.72
133     3520     45.41
134     3554     44.09
135     3587     34.71
136     3620     36.04
137     3653     36.2
138     3686     38.56
139     3720     37.49
140     3754     40.33
141     3788     38.28
142     3823     47.01
143     3858     40.89
144     3893     34.44
145     3928     33.45
146     3963     32.94
147     3998     33.72
148     4032     37.16
149     4067     36.79
150     4102     29.38
151     4137     28.73
152     4171     28.1
153     4206     29.27
154     4241     37.99
155     4276     36.58
156     4311     35.72
157     4347     30.49
158     4382     30.85
159     4417     29.49
160     4452     30.76
161     4488     29.71
162     4524     30.81
163     4559     36.17
164     4595     28.49
165     4631     29.53
166     4667     32.04
167     4704     32.47
168     4740     30.71
169     4776     30.38
170     4812     31.97
171     4848     28.85
172     4883     34.42
173     4919     32.31
174     4954     30.04
175     4990     31.71
176     5026     32.13
177     5061     30.73
178     5097     31.85
179     5132     33.52
180     5168     39.84
181     5203     32.13
182     5239     33.92
183     5275     34.9
184     5311     34.84
185     5348     33.04
186     5385     33.17
187     5423     29.58
188     5460     29.38
189     5497     35.21
190     5533     32.3
191     5569     31.25
192     5605     29.43
193     5640     30.82
194     5675     35.27
195     5710     28.32
196     5745     28.25
197     5780     28.62
198     5815     32.02
199     5851     33.13
200     5887     31.35
201     5923     29.81
202     5959     33.12
203     5995     38.43
204     6032     42.09
205     6068     41.49
206     6104     40.35
207     6140     39.44
208     6177     36.82
209     6214     42.93
210     6251     39.81
211     6288     37.92
212     6326     36.08
213     6363     40.1
214     6400     38.68
215     6437     36.19
216     6475     50.92
217     6513     37.2
218     6551     37.33
219     6589     40.22
220     6627     41.37
221     6664     40.3
222     6702     35.69
223     6740     39.47
224     6777     39.65
225     6814     36.6
226     6851     35.89
227     6888     35.98
228     6926     34.74
229     6964     37.48
230     7002     34.11
231     7041     34.96
232     7081     35.14
233     7121     37.8
234     7161     38.13
235     7199     46.93
236     7234     39.47
237     7269     38.79
238     7304     33.31
239     7339     34.93
240     7374     39.04
241     7409     39.59
242     7443     38
243     7477     44.68
244     7510     39.43
245     7544     33.83
246     7577     41.5
247     7611     40.11
248     7644     37.48
249     7678     43.64
250     7711     42.31
251     7745     40.84
252     7780     38.15
253     7814     37.1
254     7848     39.73
255     7884     34.63
256     7919     35.63
257     7955     36.53
258     7991     35.77
259     8028     38.49
260     8064     39.45
261     8101     37.75
262     8137     36.7
263     8173     38.74
264     8209     40.84
265     8245     38.11
266     8280     38.5
267     8315     40.27
268     8350     40.59
269     8385     38.83
270     8419     38.38
271     8454     44.75
272     8488     39.6
273     8522     40.16
274     8557     38.53
275     8591     42.42
276     8626     41.43
277     8660     43.78
278     8695     36.29
279     8729     42.18
280     8762     39.87
281     8796     42.23
282     8830     46.93
283     8864     42.43
284     8897     50.1
285     8931     45.8
286     8965     40.35
287     8999     38.73
288     9033     40.7
289     9066     40.01
290     9099     50.75
291     9131     42.29
292     9164     43.99
293     9196     47.87
294     9229     53.6
295     9261     47.17
296     9293     46.66
297     9326     46.89
298     9358     37.92
299     9390     41.27
300     9422     33.38
301     9453     40.91
302     9484     44.38
303     9515     51.27
304     9546     46.4
305     9578     47.7
306     9609     51.75
307     9641     50.07
308     9673     47.48
309     9705     51.78
310     9737     43.02
311     9769     42.96
312     9801     42.24
313     9832     46.39
314     9864     45.25
315     9895     47.19
316     9926     52.5
317     9958     43.92
318     9989     42.2
319     10021    46.5
320     10054    40.78
321     10086    43.51
322     10119    46.46
323     10152    43.61
324     10184    38.08
325     10217    50.67
326     10249    52.3
327     10281    45.61
328     10312    41.61
329     10344    43.19
330     10377    49.5
331     10409    41.2
332     10442    46.7
333     10476    38.4
334     10510    42.09
335     10544    42.71
336     10577    48.75
337     10612    50.17
338     10646    52.62
339     10680    47.32
340     10714    47.75
341     10748    46.76
342     10783    46.19
343     10817    48.29
344     10852    45.91
345     10886    53.28
346     10921    43.98
347     10956    45.3
348     10990    40.19
349     11025    44.24
350     11059    47.05
351     11093    46.33
352     11127    45.18
353     11162    51.21
354     11196    44.6
355     11230    41.64
356     11265    51.84
357     11299    37.73
358     11334    37.47
359     11369    36.6
360     11404    30.69
361     11439    31.27
362     11475    31.42
363     11511    34.9
364     11547    38.85
365     11584    37.23
366     11622    35.98
367     11661    31.16
368     11701    31.66
369     11741    28.36
370     11782    30.86
371     11824    27.06
372     11867    33.34
373     11910    29.92
374     11954    28.39
375     11999    31.47
376     12044    34.72
377     12089    33.34
378     12136    27.6
379     12183    32.68
380     12230    28.57
381     12279    29.78
382     12328    21.58
383     12378    27.73
384     12429    23.54
385     12481    26.54
386     12533    27.91
387     12584    34.28
388     12636    26.2
389     12687    33.17
390     12738    30.71
391     12789    26.32
392     12840    30.34
393     12890    28.94
394     12941    30.01
395     12990    29.63
396     13040    29.49
397     13089    27.92
398     13139    34.33
399     13189    32.81
400     13239    36.45
401     13289    26.73
402     13339    28.86
403     13390    32.37
404     13441    32.05
405     13492    25.09
406     13544    31.08
407     13595    28.68
408     13646    28.04
409     13697    31.34
410     13747    32.49
411     13796    30.29
412     13845    31.61
413     13894    34.09
414     13942    32.66
415     13989    31.67
416     14037    34.18
417     14083    31.63
418     14129    32.54
419     14175    30.9
420     14222    34.36
421     14269    32.59
422     14318    31.57
423     14368    31.81
424     14419    25.53
425     14472    29.14
426     14526    28.88
427     14580    30.82
428     14634    32.69
429     14687    28.76
430     14741    31.35
431     14794    29.34
432     14848    30.05
433     14901    29
434     14956    27.58
435     15011    28.37
436     15066    24.92
437     15123    25
438     15181    32.44
439     15240    24.62
440     15300    27.03
441     15360    24.22
442     15420    27.04
443     15481    28.07
444     15541    33
445     15602    33.72
446     15664    37.8
447     15726    33.28
448     15789    26.27
449     15853    43.12
450     15917    44.76
451     15983    44.71
452     16050    37.66
453     16117    37.73
454     16184    45.62
455     16253    39.15
456     16322    43.86
457     16392    37.38
458     16463    31.68
459     16536    27.88
460     16609    26.11
461     16685    36.19
462     16762    38.23
463     16840    38.56
464     16919    37.65
465     16999    34.39
466     17079    35.56
467     17161    39.99
468     17243    41.3
469     17327    35.5
470     17412    33.38
471     17498    43.48
472     17586    36.58
473     17674    31.83
474     17763    32.45
475     17853    30.64
476     17942    26.63
477     18032    25.83
478     18122    29.21
479     18212    30.55
480     18303    30.04
481     18393    32.6
482     18484    41.61
483     18575    33.93
484     18666    29.58
485     18756    31.26
486     18847    34.97
487     18937    29.89
488     19028    26.64
489     19119    32.95
490     19209    28.89
491     19300    36.2
492     19390    33.13
493     19480    38.25
494     19570    29.57
495     19660    38.27
496     19751    31.97
497     19843    37.56
498     19934    28.88
499     20026    36.98
500     20116    33.72
501     20207    32.78
502     20296    35.37
503     20386    28.96
504     20475    30.88
505     20564    29.13
506     20653    35.41
507     20742    30.42
508     20831    27.7
509     20920    31.84
510     21009    35.65
511     21099    35.12
512     21189    38.97
513     21279    42.65
514     21369    35.42
515     21460    39.11
516     21550    31.14
517     21640    32.15
518     21730    38.76
519     21820    37.4
520     21910    39.12
521     21999    36.92
522     22089    37.09
523     22178    29.61
524     22268    35.28
525     22357    30.91
526     22448    34.97
527     22538    35.88
528     22629    37.22
529     22720    41.6
530     22811    36.05
531     22901    37.44
532     22991    37.21
533     23081    38.48
534     23171    32.63
535     23261    30.62
536     23350    40.13
537     23438    40.39
538     23526    35.62
539     23613    38.49
540     23699    42.37
541     23785    36.33
542     23871    37.4
543     23957    32.36
544     24044    35.9
545     24131    38.52
546     24219    39.93
547     24308    34.69
548     24398    38.37
549     24489    38.38
550     24580    34.26
551     24671    37.63
552     24762    33.75
553     24852    40.93
554     24943    36.64
555     25033    29.9
556     25124    31.63
557     25216    32.68
558     25308    32.52
559     25400    32.92
560     25492    33.76
561     25584    32.44
562     25676    38.87
563     25768    35.52
564     25859    34.37
565     25950    40.29
566     26040    34.31
567     26130    32.82
568     26220    41.82
569     26311    32.45
570     26401    35.57
571     26492    30.58
572     26582    35.34
573     26672    34.17
574     26762    38.63
575     26852    36.78
576     26942    33.48
577     27032    26.92
578     27122    31.64
579     27211    44.14
580     27299    38.17
581     27388    37.28
582     27475    36.65
583     27561    34.05
584     27646    37.13
585     27730    35.61
586     27815    27.99
587     27899    34.05
588     27983    32.32
589     28067    29.01
590     28152    29.47
591     28237    28.41
592     28322    29.96
593     28407    28.17
594     28493    32.16
595     28579    29.14
596     28665    27.71
597     28751    28.88
598     28836    29.74
599     28920    33.73
600     29004    31.2
601     29087    27.45
602     29169    30.8
603     29251    30.44
604     29332    29.35
605     29414    31.69
606     29495    30.39
607     29577    33.57
608     29659    28.07
609     29741    28.92
610     29823    27.96
611     29906    29.42
612     29990    25.98
613     30074    32.74
614     30160    29.7
615     30246    29.19
616     30333    27.83
617     30421    26.51
618     30509    25.87
619     30598    23.34
620     30687    21.95
621     30776    21.58
622     30864    18.81
623     30954    NaN
624     31043    24.24
625     31133    26.16
626     31224    31.09
627     31315    33.24
628     31406    29.25
629     31497    28.62
630     31587    31.68
631     31678    23.64
632     31767    26.51
633     31855    34.36
634     31942    27.19
635     32029    28.38
636     32114    28.61
637     32198    27.7
638     32283    23.36
639     32368    31.02
640     32454    23.14
641     32539    28.85
642     32625    26.54
643     32712    29.76
644     32798    28.23
645     32885    27.73
646     32972    34.98
647     33059    27.23
648     33145    25.56
649     33230    24.99
650     33314    22.88
651     33397    30.98
652     33481    26.14
653     33564    26.15
654     33647    27.89
655     33732    24.3
656     33817    23.62
657     33903    26.13
658     33990    NaN
659     34077    45.66
660     34165    34.59
661     34252    32.14
662     34340    26.99
663     34428    26.8
664     34515    26.4
665     34602    39.17
666     34687    29.86
667     34772    31.22
668     34855    26.38
669     34938    26.05
670     35019    24.88
671     35100    22.64
672     35181    31.23
673     35261    29.28
674     35342    34.63
675     35423    29.8
676     35505    32.84
677     35588    27.73
678     35672    39.79
679     35755    28.97
680     35840    33.69
681     35924    29.87
682     36009    25.21
683     36095    25.67
684     36180    29.78
685     36266    26.02
686     36352    30.18
687     36438    24.11
688     36524    28.53
689     36610    26.96
690     36695    32.68
691     36779    25.53
692     36863    28.09
693     36946    27.19
694     37029    27.08
695     37110    25.57
696     37190    23.31
697     37268    25.18
698     37346    24.63
699     37423    28.36
700     37498    34.35
701     37573    29.54
702     37648    27.89
703     37722    25.85
704     37796    25.58
705     37871    22.05
706     37945    25.7
707     38020    21.86
708     38094    21.8
709     38169    22.87
710     38244    27.32
711     38319    24.94
712     38395    32.4
713     38471    26.97
714     38546    22.46
715     38622    20.92
716     38698    21.55
717     38774    19.65
718     38850    29.14
719     38928    31.43
720     39007    31.97
721     39088    31.9
722     39171    30.35
723     39256    28.03
724     39342    39.82
725     39430    28.85
726     39519    23.18
727     39609    30.1
728     39698    27.96
729     39787    26.85
730     39875    27.72
731     39963    24.97
732     40050    21.8
733     40137    23.55
734     40224    28.58
735     40310    26.16
736     40397    24.34
737     40483    27.38
738     40569    29.85
739     40654    24.98
740     40740    23.3
741     40825    21.08
742     40910    28.1
743     40995    26.78
744     41079    20.37
745     41164    23.89
746     41248    24.51
747     41333    27.7
748     41418    32.61
749     41504    37.82
750     41590    33.48
751     41678    32.12
752     41766    34.8
753     41855    29.16
754     41944    30.66
755     42033    28.22
756     42122    30.36
757     42211    31.82
758     42299    23.65
759     42386    20.67
760     42472    30.53
761     42557    35.79
762     42641    35.19
763     42724    29.52
764     42806    31.88
765     42887    32.78
766     42968    32.39
767     43050    30.66
768     43132    31.34
769     43216    41.87
770     43300    37.47
771     43386    37.58
772     43472    34.48
773     43560    31.51
774     43648    26.48
775     43737    25.21
776     43825    27.92
777     43914    22.89
778     44002    35.52
779     44090    22.95
780     44177    25.12
781     44264    33.45
782     44350    26.91
783     44436    32.85
784     44521    26.8
785     44605    26.5
786     44689    22.05
787     44772    24.09

