EPICA Dome C Ice Cores Insoluble Dust Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Cores Insoluble Dust Data
LAST UPDATE: 7/2004 (Original receipt by WDC Paleo)


CONTRIBUTORS: Barbara Delmonte, 
Laboratoire de Glaciologie et de Geophysique de l'Environnement, 
BP 96, 38402 St Martin d'Heres Cedex, France.


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-040


SUGGESTED DATA CITATION: Delmonte, B., et al. 2004.
EPICA Dome C Ice Cores Insoluble Dust Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-040.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: EPICA community members. 2004. 
Eight glacial cycles from an Antarctic ice core.
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
doi:10.1038/nature02599.


ABSTRACT:
The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
the amplitude of climate variability was smaller before that time, but such records 
are often poorly resolved. Moreover, it is not possible to infer the abundance of 
greenhouse gases in the atmosphere from marine records. Here we report the recovery 
of a deepice core from Dome C, Antarctica, that provides a climate record for the 
past 740,000 years. For the four most recent glacial cycles, the data agree well 
with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
but a higher proportion of each cycle was spent in the warm mode. The transition 
from glacial to interglacial conditions about 430,000 years ago (Termination V) 
resembles the transition into the present interglacial period in terms of the 
magnitude of change in temperatures and greenhouse gases, but there are significant 
differences in the patterns of change. The interglacial stage following Termination 
V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
recorded so far in the present interglacial period. Given the similarities between 
this earlier warm period and today, our results may imply that without human 
intervention, a climate similar to the present one would extend well into the future.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  2 - 740 kyr BP


DESCRIPTION: 
Concentration of insoluble dust in the EPICA Dome C cores, 100-3138 m depth.

Dust concentration and size distribution were measured by a 256 channel 
CoulterCounter, set to register particles in the size range from 0.7-20 µm. 
In calculating mass concentrations, density was taken as 2500 kg m-3.  
Ages are given on timescale EDC2 (EPICA Community Members, Eight glacial 
cycles from an Antarctic ice core, Nature, 429 (6992), 623-628, 2004).




DATA:  
Col 1: Depth / m
Col 2: Age in years before 1950, EDC2 timescale
Col 3: Mass of dust in parts per billion (micrograms of dust per litre of meltwater)


     Depth/m        Age       Dust mass
     101.725        2504        7.76
     102.325        2523       14.61
     102.725        2536       10.81
     103.425        2559       23.61
     105.625        2633        7.91
     106.725        2669        8.36
     108.315        2721           6
     108.925        2741       18.24
     110.575        2791        9.91
     112.225        2841        7.02
     113.175        2868         6.3
      113.82        2888        8.05
     114.425        2908       18.14
     115.525        2944       13.49
     117.725        3016        9.08
     118.825        3052         8.4
     119.925        3088         8.1
     121.575        3138       11.55
     123.225        3195       12.91
     124.325        3233        8.38
     124.725        3247       11.94
     125.425        3270        9.74
     127.075        3325        8.24
     128.725        3381        9.75
     129.825        3417        9.38
     130.925        3453       10.72
     132.825        3513        8.38
     133.375        3531       10.67
     133.675        3541        6.78
     134.225        3559        4.94
     134.625        3572       13.64
     135.325        3594       14.17
     136.425        3628         4.7
     138.075        3680        9.03
     139.725        3732       27.86
     140.825        3766         7.5
     141.925        3804       17.14
     144.125        3879       14.79
     145.225        3917        11.3
     146.175        3950       11.03
     146.325        3955       14.02
     147.425        3994       18.24
     150.175        4088        21.5
     150.725        4107       10.63
      151.83        4148       20.97
     152.925        4186        3.79
     155.125        4260        9.26
     156.225        4299       32.41
     157.325        4336        8.13
     157.725        4350        7.46
     158.425        4373       17.38
     160.625        4448       14.85
     161.725        4488       12.65
     162.825        4528       16.55
     163.925        4565       12.83
     165.575        4624       10.76
     167.225        4683        3.98
     168.175        4718       15.66
      168.33        4724        7.57
     168.875        4744       10.12
      169.92        4781        8.11
     171.625        4839         7.3
     172.725        4877        7.86
     173.825        4915       15.33
     174.925        4955        5.41
     176.575        5016       12.42
     178.225        5073        8.66
     178.625        5087        6.96
     179.335        5110       10.53
     180.425        5149       13.31
     183.175        5249       12.43
     183.725        5269       12.04
     184.825        5308       17.92
     185.925        5347       15.11
     188.125        5432       15.26
      189.23        5473       14.04
     189.625        5487        7.62
      190.82        5528       11.35
     191.425        5549       34.39
     193.625        5630       10.91
     194.725        5667       16.06
     195.825        5704       12.05
     196.925        5743       26.17
     198.575        5802       16.56
     200.225        5863       11.76
     201.175        5899       17.26
      201.38        5907       10.05
     202.425        5945       16.95
     204.625        6026       13.75
     205.725        6064       18.24
     206.825        6103        9.11
     207.925        6143        7.39
     209.575        6203        8.16
     211.225        6265        5.44
     212.175        6301        8.07
     212.325        6306        8.79
     213.425        6348         7.3
     216.725        6470       18.65
     217.825        6511       14.24
     218.925        6553       38.81
     221.125        6641       26.13
     222.225        6681        5.03
     222.625        6696       21.15
      223.82        6744       18.78
     224.425        6767         5.8
     226.075        6826        11.9
     227.725        6887       12.38
      228.85        6930       16.01
     229.925        6970       10.77
     232.125        7056        21.5
      232.73        7081        6.13
     233.225        7101          26
     233.625        7118        6.28
     234.325        7147        5.03
     235.425        7191       18.19
     237.075        7256        6.65
      238.72        7319       23.22
     239.825        7365        3.94
     240.925        7409       10.02
     242.575        7474       19.49
     244.225        7534        5.22
     244.625        7547       12.79
     245.325        7572       18.66
     246.425        7615       20.25
     248.625        7699       24.15
     249.725        7739       18.37
     250.825        7780       16.63
     251.925        7824       19.18
     253.575        7887       18.33
     255.225        7951       14.12
     256.175        7988       14.03
     256.325        7994        9.86
     257.425        8037       22.25
     259.075        8103       11.76
     260.725        8171       10.94
     261.825        8218       13.95
     262.925        8262       12.76
     265.125        8348       26.72
     266.225        8392       17.42
      267.33        8436       15.74
     268.275        8473       18.37
     268.425        8479       26.57
     270.075        8545        7.04
     271.725        8606       10.92
     272.825        8647       10.28
     273.925        8690         9.9
     276.175        8778        19.7
