# NOAA Paleoclimatology Program - Paleocean Site Data
# dsdp502_isot-tab.txt
# Isotope data only
# File Created: 19-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Peter B. deMenocal
# Core/Site:      DSDP502
# Latitude:       11.00.00N	( 11)
# Longitude:      80.00.00W	( -80)
# Water Depth(m): 3051
#
# Publications:
#   deMenocal, P.B., D.W. Oppo, R.G. Fairbanks, and W.L. Prell. 1992. Pleistocene
#     d13C variability of North Atlantic intermediate water. Paleoceanography
#     7(2):229-250.
#------------------
#
# Description & Notes:
#   North Atlantic Intermediate water carbon isotopes during the Pleistocene.
#   Age correlated to the "TP607" time scale presented by Ruddiman et al. [1989].
#   Notes are core-hole-section followed by depth in section.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: DSDP502
depth	yrBP 	d13Cforams-b	d18Oforams-b	notes
10.5	600	0.87	2.325	1B1 10.5
20	4000	0.928	2.18	1B1 20
30.5	7800	0.852	2.235	1B1 30.5
43	12300	0.531	2.965	1B1 43
51.5	15300	1.155	3.693	1B1 51.5
59	18000	1.287	3.847	1B1 61
79	25100	1.309	3.605	1B1 81
99	32300	1.242	3.58	1B1 101
109.5	36000	1.361	3.592	1B1 111.5
112	37200	1.194	3.348	1B1 114
129.5	45900	1.114	3.159	1B1 131.5
137	49600	1.207	3.197	1B1 139
148.5	55300	1.135	3.017	1B2 2.5
157	59500	1.004	3.126	1B2 11
166.5	64700	0.745	3.142	1B2 20.5
181.5	87000	0.933	2.732	2B1 12.5
191	101100	0.775	2.622	2B1 22
201.5	116200	0.851	2.151	2B1 32.5
220.5	125000	0.628	2.163	2B1 51.5
230	136000	0.943	3.644	2B1 61
252	146900	0.835	3.48	2B1 83
270	155800	0.55	3.33	2B1 101
280.5	161000	0.885	3.807	2B1 111.5
290	165300	0.914	3.29	2B1 121
310	174300	0.719	3.229	2B1 141
320.5	179000	0.708	3.441	2B2 1.5
330	187100	0.72	2.71	2B2 11
340.5	196000	0.674	2.779	2B2 21.5
