/* DATA DESCRIPTION:
Citation:	Raymo, ME et al. (1992): (Table A1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from DSDP Hole 81-552A in the North Atlantic, doi:10.1594/PANGAEA.55484,
	In Supplement to: Raymo, Maureen E; Hodell, David A; Jansen, Eystein (1992): Response of deep ocean circulation to initiation of Northern Hemisphere glaciation (3-2 MA), Paleoceanography, 7(5), 645-672, doi:10.1029/92PA01609
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	WEST: -23.2313 * EAST: -23.2313 * SOUTH: 56.0427 * NORTH: 56.0427
	DATE/TIME START: 1981-07-31T00:00:00 * DATE/TIME END: 1981-07-31T00:00:00
	MINIMUM DEPTH, sediment: 37.8 m * MAXIMUM DEPTH, sediment: 58.9 m
Event(s):	81-552A * LATITUDE: 56.0427 * LONGITUDE: -23.2313 * ELEVATION: -2301.0 m * DATE/TIME: 1981-07-31T00:00:00 * RECOVERY: 182.30 m * PENETRATION: 183.50 m * LOCATION: North Atlantic/PLATEAU * CAMPAIGN: Leg81 (URI: doi:10.2973/dsdp.proc.81.1984) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 38 cores; 183.5 m cored; 0 m drilled; 99.4 % recovery
Comment:	Raw isotope record down to 46.96 from Curry and Miller (1989) data set: doi:10.1594/PANGAEA.696145. Above 46.96 m VG Micromass 602E, below 46.96 m VG Isogas 903 mass spectrometer
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Age model [ka] (Age model) * PI: Raymo, Maureen E * METHOD: Age model, paleomag, Berggren et al (1985) (URI: doi:10.1130/0016-7606(1985)96<1407:CG>2.0.CO;2) * COMMENT: calculated ages
	Cibicidoides spp., d18O [per mil PDB] (Cibicidoides spp. d18O) * PI: Raymo, Maureen E * METHOD: Mass spectrometer * COMMENT: adjusted by 0.64 ‰ (Shackleton & Hall, 1984, doi:10.2973/dsdp.proc.81.116.1984)
	Cibicidoides spp., d13C [per mil PDB] (Cibicidoides spp. d13C) * PI: Raymo, Maureen E * METHOD: Mass spectrometer
Size:	408 data points
*/
Depth [m]	Age model [ka]	Cibicidoides spp. d18O [per mil PDB]	Cibicidoides spp. d13C [per mil PDB]
37.82	2004	3.71	0.89
37.91	2008	3.28	0.70
38.04	2021	4.23	0.58
38.16	2031	4.28	0.56
38.24	2035	3.63	0.25
38.37	2042	3.61	0.87
38.48	2048	3.61	0.95
38.51	2049	3.59	0.83
38.61	2055	3.70	0.78
38.71	2065	3.41	0.83
38.79	2081	3.64	0.92
39.06	2166	3.44	1.04
39.14	2170	3.62	1.28
39.24	2175	3.62	0.94
39.35	2180	3.57	1.17
39.46	2185	3.88	0.96
39.56	2190	3.95	1.03
39.67	2196	3.66	0.75
39.74	2203	3.38	0.98
39.87	2220	3.45	0.96
39.95	2233	3.04	0.33
40.06	2246	3.75	0.59
40.17	2254	3.07	0.54
40.26	2261	3.35	0.48
40.35	2269	3.39	0.81
40.46	2281	3.28	1.02
40.57	2294	3.38	0.94
40.65	2302	3.53	0.73
40.75	2311	4.01	0.47
40.85	2319	4.09	0.54
40.95	2328	4.18	0.61
41.08	2338	3.46	0.81
41.14	2343	3.12	0.76
41.25	2351	3.40	0.64
41.34	2357	3.92	0.24
41.46	2373	3.37	0.77
41.55	2384	3.22	0.57
41.64	2389	3.41	0.61
41.94	2405	4.26	0.26
42.06	2410	4.07	0.33
42.16	2414	3.53	0.55
42.26	2417	3.15	0.75
42.36	2420	3.33	1.02
42.44	2424	3.34	0.91
42.56	2431	3.60	1.14
42.65	2437	3.35	1.14
42.76	2442	3.51	1.09
42.85	2447	3.40	0.88
42.95	2451	3.54	0.69
43.05	2456	3.38	0.72
43.14	2459	3.36	0.92
43.27	2466	3.47	0.98
43.35	2470	3.06	0.62
43.44	2476	3.58	0.87
43.56	2492	3.56	0.84
43.66	2503	3.42	0.87
43.76	2509	3.37	1.13
44.06	2656	3.31	0.99
44.15	2663	3.10	1.25
44.26	2670	3.31	1.15
44.35	2677	3.27	0.88
44.45	2684	3.01	1.17
44.57	2693	3.29	1.10
44.64	2698	3.43	0.97
44.75	2706	3.06	0.62
44.85	2713	3.28	1.05
44.94	2720	3.53	1.06
45.06	2729	3.34	1.30
45.14	2734	3.46	1.03
45.25	2742	3.51	1.21
45.35	2750	3.54	0.89
45.45	2757	3.41	1.24
45.55	2764	2.98	0.64
45.65	2771	3.22	0.98
45.75	2779	3.11	1.28
45.85	2786	3.42	0.92
45.93	2792	3.39	0.79
46.05	2800	2.74	0.86
46.15	2808	2.97	0.97
46.25	2815	2.91	0.96
46.35	2822	3.27	1.04
46.45	2829	3.28	1.09
46.55	2837	3.30	1.13
46.65	2844	3.30	1.15
46.87	2860	3.35	1.04
46.96	2866	3.26	1.01
47.10	2876	3.55	1.04
47.60	2913	3.22	0.97
47.70	2920	3.28	1.15
48.20	2956	3.27	0.97
48.50	2978	3.40	0.88
48.80	2997	3.20	1.02
49.10	3013	3.24	0.84
49.20	3018	3.72	1.08
49.40	3028	3.19	0.99
49.50	3033	3.13	0.89
50.60	3090	3.23	1.02
50.70	3095	3.26	0.63
51.00	3111	3.18	0.67
51.60	3142	3.64	0.78
52.10	3168	2.89	-0.30
52.20	3173	3.02	0.76
52.30	3178	3.49	0.87
52.40	3183	3.34	0.74
52.60	3193	2.82	0.70
52.70	3199	3.02	0.90
52.80	3204	3.26	0.86
53.00	3214	3.08	0.62
53.10	3219	2.96	0.45
53.30	3230	3.34	0.35
53.60	3245	3.13	0.61
53.70	3250	3.05	0.62
53.80	3255	2.99	0.73
53.90	3261	3.29	0.95
54.00	3266	3.13	0.79
54.10	3271	3.21	1.13
54.30	3281	3.20	1.19
54.50	3292	3.26	1.08
55.10	3323	3.20	0.79
55.30	3333	3.22	0.96
55.40	3338	3.11	0.98
55.50	3343	3.27	1.10
55.70	3354	3.12	1.03
55.80	3359	3.19	1.11
55.90	3364	2.96	1.02
56.00	3369	3.06	0.99
56.10	3374	3.16	1.20
56.40	3390	3.18	1.18
56.50	3395	2.93	1.05
56.60	3400	3.17	0.90
57.30	3437	3.08	1.16
57.40	3442	3.08	1.19
58.50	3499	3.01	1.16
58.70	3509	3.17	1.19
58.80	3514	3.07	1.14
58.90	3519	3.16	0.94
