/* DATA DESCRIPTION:
Citation:	Ruddiman, WF et al. (1989): (Table A1) Stable carbon and oxygen isotope ratios of benthic foraminifera from DSDP Site 94-607 in the North Atlantic, doi:10.1594/PANGAEA.418231,
	In Supplement to: Ruddiman, William F; Raymo, Maureen E; Martinson, Douglas G; Clement, Bradford M; Backman, Jan (1989): Pleistocene evolution: northern hemisphere ice sheets and North Atlantic Ocean, Paleoceanography, 4(4), 353-412, doi:10.1029/PA004i004p00353
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	WEST: -32.9573 * EAST: -32.9573 * SOUTH: 41.0012 * NORTH: 41.0012
	MINIMUM AGE: 245.400 ka BP * MAXIMUM AGE: 7583.800 ka BP
	MINIMUM DEPTH, sediment: 9.3 m * MAXIMUM DEPTH, sediment: 73.2 m
Event(s):	94-607_Site * LATITUDE: 41.0012 * LONGITUDE: -32.9573 * ELEVATION: -3427.0 m * DATE/TIME: 1983-07-06T00:00:00 * RECOVERY: 4.54 m * PENETRATION: 5.96 m * LOCATION: North Atlantic/FLANK * CAMPAIGN: Leg94 (URI: doi:10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Composite Core * COMMENT: 56 cores; 511 m cored; 0 m drilled; 88.8% recovery
Comment:	Age based on TP607 time scale. Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Sample code/label (Label) * PI: Ruddiman, William F * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides spp., d18O [per mil PDB] (Cibicidoides spp. d18O) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides spp., d13C [per mil PDB] (Cibicidoides spp. d13C) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Uvigerina spp., d18O [per mil PDB] (Uvigerina spp. d18O) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Uvigerina spp., d13C [per mil PDB] (Uvigerina spp. d13C) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
Size:	1383 data points
*/
Depth [m]	Age [ka BP]	Label	Cibicidoides spp. d18O [per mil PDB]	Cibicidoides spp. d13C [per mil PDB]	Uvigerina spp. d18O [per mil PDB]	Uvigerina spp. d13C [per mil PDB]
9.32	245.4	94-607A-2-3,45.5	3.76	0.62		
9.48	249.0	94-607A-2-3,61	4.08	0.63	4.69	-0.75
9.62	250.8	94-607A-2-3,75			4.70	-0.93
9.78	252.0	94-607A-2-3,91	4.10	0.81	4.53	-0.70
9.92	253.0	94-607A-2-3,105			4.44	-0.62
10.08	254.1	94-607A-2-3,121	3.69	0.64	4.43	-0.53
10.22	255.1	94-607A-2-3,135.5	3.94	0.65	4.37	-0.61
10.38	256.4	94-607A-2-4,1	3.39	-0.75	4.21	-0.92
10.52	258.5	94-607-2-1,55	3.48	0.08		
10.52	258.5	94-607-2-1,55	3.83	0.19		
10.52	258.5	94-607-2-1,55	3.94	0.71		
10.59	259.5	94-607-2-1,61	2.91	0.74		
10.76	263.7	94-607-2-1,78	3.50	-0.30		
10.89	268.4	94-607-2-1,91	3.79	-0.15		
11.03	274.5	94-607-2-1,106	3.65	0.44		
11.18	280.5	94-607-2-1,121	3.39	0.91		
11.34	286.1	94-607-2-1,136	3.22	0.77		
11.48	289.8	94-607-2-2,1	3.28	0.62		
11.48	289.8	94-607-2-2,1	3.13	0.73		
11.63	292.5	94-607-2-2,16	3.34	-0.33		
11.63	292.5	94-607-2-2,16	3.36	-0.32		
11.78	295.1	94-607-2-2,31			4.14	-0.79
11.78	295.1	94-607-2-2,31			4.29	-0.75
12.01	299.8	94-607-2-2,53	3.46	0.53		
12.01	299.8	94-607-2-2,53	3.76	0.55		
12.09	301.9	94-607-2-2,61	3.55	0.69		
12.26	306.4	94-607-2-2,78	3.26	0.36		
12.38	309.6	94-607-2-2,91	3.24	0.49		
12.53	313.9	94-607-2-2,106	2.93	0.39		
12.68	318.7	94-607-2-2,121	2.87	0.72		
12.84	323.5	94-607-2-2,136	2.45	0.56		
12.98	327.6	94-607-2-3,1	2.13	0.35		
12.98	327.6	94-607-2-3,1	2.46	0.68		
13.13	330.1	94-607-2-3,16	2.60	0.71		
13.28	332.4	94-607-2-3,31	2.89	-0.12		
13.51	336.0	94-607-2-3,53	3.17	-0.43		
13.59	337.4	94-607-2-3,61	4.13	-0.27		
13.76	339.7	94-607-2-3,78	3.88	-0.43		
14.03	344.0	94-607-2-3,106	4.00	-0.07		
14.03	344.0	94-607-2-3,106	4.08	0.08		
14.03	344.0	94-607-2-3,106	4.12	0.09	4.71	-0.44
14.18	347.2	94-607-2-3,121	3.73	0.83		
14.34	350.6	94-607-2-3,136	3.48	-0.49		
14.48	354.1	94-607-2-4,11	3.80	-0.28		
14.70	359.3	94-607-2-4,23			4.39	-0.42
14.78	361.3	94-607-2-4,31	3.88	0.09	4.26	-0.59
14.86	363.3	94-607-2-4,39	3.63	0.06		
15.01	366.8	94-607-2-4,53	3.80	0.20	4.24	-0.28
15.09	368.8	94-607-2-4,61	3.58	0.54		
15.26	373.4	94-607-2-4,78	3.59	0.24	4.27	-0.77
15.38	378.7	94-607-2-4,91	3.68	0.82	4.07	-0.21
15.53	385.5	94-607-2-4,106			3.96	-0.07
15.68	389.2	94-607-2-4,121			3.88	0.02
15.84	392.7	94-607-2-4,136	3.14	0.84		
15.98	396.0	94-607-2-5,1	3.08	0.85	3.77	-0.06
16.14	399.3	94-607-2-5,16	3.04	0.85		
16.14	399.3	94-607-2-5,16	2.81	1.08		
16.20	400.7	94-607-2-5,23	2.82	1.22		
16.20	400.7	94-607-2-5,23	2.72	1.24		
16.28	402.2	94-607-2-5,31	2.65	1.30		
16.50	406.1	94-607-2-5,53	2.40	1.29		
16.58	407.6	94-607-2-5,61	2.17	1.06		
16.75	411.1	94-607-2-5,78	2.54	1.05		
16.89	413.8	94-607-2-5,91	2.69	1.01		
17.03	416.7	94-607-2-5,106	3.03	0.93		
17.18	420.4	94-607-2-5,121	3.00	0.73		
17.33	423.7	94-607-2-5,136	2.99	0.56		
17.40	425.2	94-607-2-5,143	3.17	-0.61		
17.48	427.0	94-607-2-6,1	4.13	-0.56		
17.64	430.3	94-607-2-6,16	4.10	-0.76		
17.70	431.9	94-607-2-6,23	4.18	-0.92		
17.78	434.2	94-607-2-6,31			4.96	-1.49
18.08	439.4	94-607-2-6,61	4.06	-0.77		
18.25	442.2	94-607-2-6,78	3.81	-0.58		
18.39	444.7	94-607-2-6,91	4.12	-0.42		
18.53	447.6	94-607-2-6,106	4.04	-0.28		
18.68	450.5	94-607-2-6,121	4.05	-0.38		
18.83	452.6	94-607-2-6,136	3.99	-0.36		
19.14	456.6	94-607-2-7,16	3.63	-0.28		
19.22	457.6	94-607-3-2,78	3.56	-0.29	3.63	0.00
19.34	461.2	94-607-3-2,91	3.39	-0.45		
19.49	467.6	94-607-3-2,106			4.37	-0.98
19.63	472.3	94-607-3-2,119			4.43	-0.31
19.65	472.6	94-607-3-2,121			4.20	-0.15
19.80	474.7	94-607-3-2,136	3.30	0.72	4.01	-0.05
19.80	474.7	94-607-3-2,136			4.01	-0.09
19.94	476.8	94-607-3-3,1			3.76	-0.04
20.09	480.7	94-607-3-3,16			3.52	0.24
20.24	488.0	94-607-3-3,31	3.20	0.92	3.81	0.07
20.47	501.7	94-607-3-3,53			3.79	-0.10
20.55	507.5	94-607-3-3,61	3.41	0.70	3.88	-0.69
20.61	512.1	94-607-3-3,68			4.24	-0.91
20.72	518.0	94-607-3-3,78			4.58	-0.66
20.84	527.7	94-607-3-3,91			4.53	-0.44
20.99	541.1	94-607-3-3,106	3.78	0.74	4.63	-0.43
21.15	552.1	94-607-3-3,121	3.43	-0.07	4.50	-0.79
21.30	564.4	94-607-3-3,136	3.61	0.17		
21.44	573.5	94-607-3-4,1	2.76	0.83		
21.59	577.5	94-607-3-4,16	3.09	0.53		
21.74	580.3	94-607-3-4,31	3.20	0.53		
22.05	586.2	94-607-3-4,61	3.10	0.54	4.38	-0.48
22.13	588.7	94-607-3-4,69	3.17	0.68		
22.13	588.7	94-607-3-4,69	3.02	0.87		
22.22	591.4	94-607-3-4,78	3.02	0.94		
22.34	593.9	94-607-4-1,31	3.21	0.77		
22.34	593.9	94-607-3-4,91	2.89	0.85		
22.55	603.4	94-607-4-1,53	2.96	0.84		
22.63	607.4	94-607-4-1,61	3.22	0.94		
22.72	609.3	94-607-4-1,70	3.04	0.97		
22.80	610.3	94-607-4-1,78	2.95	1.04		
22.93	611.9	94-607-4-1,91	2.84	1.02		
23.00	612.8	94-607-4-1,98	2.88	1.14		
23.23	615.5	94-607-4-1,121	2.49	0.66		
23.68	618.0	94-607-4-2,16	3.02	0.85		
23.83	618.8	94-607-4-2,31	2.67	0.95		
24.05	620.1	94-607-4-2,53	2.81	1.13		
24.13	620.7	94-607-4-2,61	2.99	0.83		
24.30	621.9	94-607-4-2,78	3.35	0.19		
24.43	622.9	94-607-4-2,91	3.44	0.08		
24.88	626.7	94-607-4-2,136	4.17	0.03	5.20	-1.18
25.33	634.6	94-607-4-3,31	4.34	0.80		
25.55	644.5	94-607-4-3,53	4.03	-0.04		
25.63	647.6	94-607-4-3,61	4.07	-0.10	4.81	-0.66
25.80	651.7	94-607-4-3,78	4.01	-0.39		
26.53	666.3	94-607-4-4,1	3.96	0.13		
26.68	669.1	94-607-4-4,16	3.91	-0.09		
26.83	671.9	94-607-4-4,31	3.95	-0.17		
27.05	675.0	94-607-4-4,53			4.51	-0.77
27.13	675.8	94-607-4-4,61			4.44	-0.98
27.43	678.8	94-607-4-4,91	3.29	0.43		
27.58	680.5	94-607-4-4,106	3.20	0.68		
27.73	682.4	94-607-4-4,121	3.14	0.69		
27.88	684.4	94-607-4-4,136	3.08	1.05		
28.03	686.4	94-607-4-5,1	2.92	0.98		
28.18	688.4	94-607-4-5,16	2.83	1.19		
28.33	690.0	94-607-4-5,31	2.78	0.92		
28.55	692.1	94-607-4-5,53	2.95	0.80		
28.63	692.8	94-607-4-5,61	3.00	1.17		
28.80	694.6	94-607-4-5,78			3.93	-1.11
28.93	696.3	94-607-4-5,91			4.38	-1.31
29.08	698.2	94-607-4-5,106			4.53	-1.45
29.23	700.2	94-607-4-5,121	3.93	-0.29	4.57	-1.11
29.38	702.1	94-607-4-5,136			4.44	-1.07
29.53	703.9	94-607-4-6,1			4.42	-1.16
29.68	705.8	94-607-4-6,16			4.05	-0.63
29.83	707.8	94-607-4-6,31	2.98	0.93		
30.05	710.8	94-607-4-6,53	3.38	0.82		
30.13	711.8	94-607-4-6,61	3.26	0.86	4.16	-1.00
