/* DATA DESCRIPTION:
Citation:	Raymo, ME et al. (1992): (Table A3) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from DSDP Hole 94-610A in the North Atlantic, doi:10.1594/PANGAEA.358432,
	In Supplement to: Raymo, Maureen E; Hodell, David A; Jansen, Eystein (1992): Response of deep ocean circulation to initiation of Northern Hemisphere glaciation (3-2 MA), Paleoceanography, 7(5), 645-672, doi:10.1029/92PA01609
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	WEST: -18.8868 * EAST: -18.8868 * SOUTH: 53.2215 * NORTH: 53.2215
	DATE/TIME START: 1983-07-28T00:00:00 * DATE/TIME END: 1983-07-28T00:00:00
	MINIMUM DEPTH, sediment: 116.2 m * MAXIMUM DEPTH, sediment: 180.1 m
Event(s):	94-610A * LATITUDE: 53.2215 * LONGITUDE: -18.8868 * ELEVATION: -2417.0 m * DATE/TIME: 1983-07-28T00:00:00 * RECOVERY: 191.40 m * PENETRATION: 201.00 m * LOCATION: North Atlantic/RIDGE * CAMPAIGN: Leg94 (URI: doi:10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 21 cores; 201 m cored; 0 m drilled; 95.2 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Age model [ka] (Age model) * PI: Raymo, Maureen E * METHOD: Age model, paleomag, Berggren et al (1985) (URI: doi:10.1130/0016-7606(1985)96<1407:CG>2.0.CO;2) * COMMENT: calculated ages
	Cibicidoides spp., d18O [per mil PDB] (Cibicidoides spp. d18O) * PI: Raymo, Maureen E * METHOD: Mass spectrometer Finnigan MAT 251 * COMMENT: adjusted by 0.64 ‰ (Shackleton & Hall, 1984, doi:10.2973/dsdp.proc.81.116.1984)
	Cibicidoides spp., d13C [per mil PDB] (Cibicidoides spp. d13C) * PI: Raymo, Maureen E * METHOD: Mass spectrometer Finnigan MAT 251
Size:	1011 data points
*/
Depth [m]	Age model [ka]	Cibicidoides spp. d18O [per mil PDB]	Cibicidoides spp. d13C [per mil PDB]
116.25	2227	3.67	0.08
120.76	2321	3.59	0.58
120.91	2324	3.21	0.65
121.03	2327	3.31	0.70
121.21	2331	3.19	0.67
121.37	2334	3.18	0.44
121.50	2337	2.74	0.41
121.66	2340	3.28	0.65
121.83	2344	3.43	0.38
121.92	2345	2.91	0.56
122.23	2352	3.34	0.19
122.40	2355	3.71	-0.13
122.51	2358	3.37	-0.20
122.71	2362	4.01	0.01
122.87	2368	3.56	-0.08
123.02	2373	3.67	0.33
123.14	2377	3.16	0.57
123.29	2382	2.99	0.74
123.46	2386	3.07	0.46
123.59	2388	3.23	0.60
123.76	2392	3.59	0.23
124.36	2404	4.53	0.11
124.54	2408	4.13	-0.24
124.66	2411	3.60	0.37
124.81	2414	3.53	0.88
124.96	2417	3.36	1.06
125.11	2421	3.23	1.11
125.26	2424	3.02	0.85
125.42	2427	3.30	0.94
125.56	2430	3.14	0.90
125.69	2433	3.37	0.99
125.85	2436	3.42	0.79
126.00	2439	3.55	1.01
126.15	2442	3.57	0.92
126.31	2446	3.37	0.73
126.47	2449	3.18	0.42
126.61	2452	3.49	0.78
126.76	2456	3.22	0.64
126.91	2459	3.43	1.10
127.10	2463	3.27	0.98
127.19	2465	3.30	1.06
127.35	2469	3.18	0.76
127.51	2472	3.45	0.83
127.83	2479	3.29	0.28
127.96	2482	4.25	-0.03
128.11	2486	3.57	0.27
128.26	2489	3.62	0.70
128.41	2493	3.39	0.61
128.56	2497	3.27	0.96
128.69	2500	3.27	0.96
128.86	2504	3.33	1.08
129.01	2508	3.48	1.14
129.16	2512	3.16	0.78
129.31	2516	3.68	0.75
129.46	2519	4.03	0.53
129.61	2523	3.66	-0.31
129.76	2526	3.93	0.58
129.91	2528	3.91	0.39
130.08	2532	3.60	0.99
130.19	2534	3.04	0.47
130.36	2537	3.52	0.56
130.51	2540	3.37	1.15
130.66	2542	3.20	1.16
130.81	2545	3.08	1.09
130.96	2547	3.29	1.14
131.11	2549	3.40	1.14
131.26	2550	3.21	0.93
131.42	2552	3.21	1.00
131.56	2554	3.41	0.92
131.69	2556	3.45	0.98
131.87	2558	3.52	0.78
