/* DATA DESCRIPTION:
Citation:	Bickert, Torsten; Wefer, Gerold; Müller, Peter J (2009): Stable isotopes and sedimentology of sediment core GeoB1034, doi:10.1594/PANGAEA.58772
Reference(s):	Bickert, Torsten; Wefer, Gerold (1996): Late Quaternary deep water circulation in the South Atlantic: Reconstruction from carbonate dissolution and benthic stable isotopes, In: Wefer, G; Berger, W H; Siedler, G & Webb, D (eds.), The South Atlantic: Present and Past Circulation. Springer-Verlag, Berlin, 103, 599-620
	Bickert, Torsten (1992): Rekonstruktion der spätquartären Bodenwasserzirkulation im östlichen Südatlantik über stabile Isotope benthischer Foraminiferen, Berichte, Fachbereich Geowissenschaften, Universität Bremen, 27, 205 pp
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261) (URI: http://www.allgeo.uni-bremen.de/sfb261/html/body/english.html)
Coverage:	WEST: 5.4217 * EAST: 5.4300 * SOUTH: -21.7350 * NORTH: -21.7217
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 7.2 m
Event(s):	GeoB1034-1 * LATITUDE: -21.7217 * LONGITUDE: 5.4300 * ELEVATION: -3731.0 m * DATE/TIME: 1988-03-04T00:00:00 * PENETRATION: 0.25 m * LOCATION: Walvis Ridge * CAMPAIGN: M6/6 (URI: urn:nbn:de:gbv:46-ep000101421) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Giant box corer (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: Foram.-schlamm, weiß
	GeoB1034-3 * LATITUDE: -21.7350 * LONGITUDE: 5.4217 * ELEVATION: -3772.0 m * DATE/TIME: 1988-03-04T00:00:00 * PENETRATION: 12.00 m * LOCATION: Angola Basin * CAMPAIGN: M6/6 (URI: urn:nbn:de:gbv:46-ep000101421) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Gravity corer (Kiel type) * COMMENT: cc: Foram.-schlamm, weiß
Parameter(s):	Event label (Event) * Metadata
	DEPTH, sediment [m] (Depth) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Intercore correlation
	Age model [ka] (Age model) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Age model, SPECMAP chronology, Imbrie et al (1984, in Berger et al, Reidel Pub)
	Calcium carbonate [%] (CaCO3) * PI: Müller, Peter J * METHOD: Element analyser CHN
	Sand [%] (Sand) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Grain size, sieving/settling tube
	Carbon, organic, total [%] (TOC) * PI: Müller, Peter J * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Sedimentation rate [cm/ka] (Sed rate) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: calculated
	Water content of wet mass [%] (Water wm) * PI: Müller, Peter J * METHOD: calculated from weight/volume
	Density, dry bulk [g/ccm] (DBD) * PI: Müller, Peter J * METHOD: calculated from weight/volume
Size:	1058 data points
*/
Event	Depth [m]	Depth c [mcd]	Age model [ka]	CaCO3 [%]	Sand [%]	TOC [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]	Water wm [%]	DBD [g/ccm]
GeoB1034-1	0.01	0.01	0.00	97.6	48.99	0.14	0.60	2.45	2.00	43.0	0.90
GeoB1034-1	0.04	0.04	1.50	95.4	49.74	0.12	0.84	2.63	2.00	39.9	0.97
GeoB1034-1	0.07	0.07	3.00	96.0	44.59	0.11	0.27	2.52	2.00	39.0	0.99
GeoB1034-1	0.10	0.10	4.50	96.5	47.94	0.09	0.75	2.53	2.00	39.6	0.96
GeoB1034-1	0.13	0.13	6.00	95.7	49.66	0.10	0.39	2.49	3.00	40.7	0.94
GeoB1034-3	0.03		7.00	95.5	47.74	0.17	0.51	2.56	3.00		
GeoB1034-3	0.08		8.67	95.4	43.24	0.11	0.87	2.64	3.00		
GeoB1034-3	0.13		10.33	94.8	39.61	0.09	0.68	2.84	3.00		
GeoB1034-3	0.18		12.00	93.9	48.45	0.08	-0.11	3.63	0.86		
GeoB1034-3	0.23		17.80	91.3	48.22	0.10	0.07	4.27	0.98		
GeoB1034-3	0.28		22.90	92.2	45.74	0.10	0.03	3.97	0.98		
GeoB1034-3	0.33		28.00	93.1	44.83	0.07	0.31	3.62	0.40		
GeoB1034-3	0.38		40.50	93.2	47.27	0.08	0.56	3.77	0.40		
GeoB1034-3	0.43		53.00	93.2	44.30	0.07	0.38	3.44	0.42		
GeoB1034-3	0.48		65.00	92.2	45.21	0.08	-0.32	3.61	1.00		
GeoB1034-3	0.53		70.00	92.9	45.40	0.05	-0.17	3.48	1.00		
GeoB1034-3	0.58		75.00	92.9	44.16	0.06	0.07	3.63	1.00		
GeoB1034-3	0.63		80.00	94.8	46.33	0.05	0.12	3.12	3.57		
GeoB1034-3	0.68		81.40	94.7	49.85	0.04	0.05	3.29	3.57		
GeoB1034-3	0.73		82.80	94.9	48.88	0.04	0.04	3.71	3.57		
GeoB1034-3	0.78		84.20	94.4	44.87	0.06	-0.32	3.13	3.57		
GeoB1034-3	0.83		85.60	93.9	48.20	0.04	-0.01	3.37	3.57		
GeoB1034-3	0.88		87.00	94.0	57.93	0.05	-0.07	3.46	1.25		
GeoB1034-3	0.93		91.00	93.7	55.08	0.05	0.52	2.93	1.25		
GeoB1034-3	0.98		95.00	95.8	55.31	0.04	0.65	2.97	1.25		
GeoB1034-3	1.03		99.00	95.2	52.85	0.06	0.47	3.05	2.50		
GeoB1034-3	1.08		101.00	94.6	53.25	0.05	-0.07	2.98	2.50		
GeoB1034-3	1.13		103.00	95.5	49.45	0.05	-0.06	3.20	2.50		
GeoB1034-3	1.18		105.00	95.5	41.89	0.06	-0.02	3.05	2.50		
GeoB1034-3	1.23		107.00	95.7	44.02	0.06	-0.30	3.35	1.33		
GeoB1034-3	1.28		110.75	95.3	48.17	0.06	0.16	3.02	1.33		
GeoB1034-3	1.33		114.50	96.3	45.43	0.06	0.49	2.72	1.33		
GeoB1034-3	1.38		118.25	95.1	46.03	0.06	0.51	2.37	1.33		
GeoB1034-3	1.43		122.00	94.5	49.79	0.06	-0.14	2.15	0.77		
GeoB1034-3	1.48		128.50	91.7	47.31	0.07	-0.07	4.05	0.77		
GeoB1034-3	1.53		135.00	93.1	48.10	0.06	-0.20	4.23	0.42		
GeoB1034-3	1.58		147.00	91.8	50.02	0.06	-0.75	4.02	0.42		
GeoB1034-3	1.63		159.00	92.0	50.05	0.06	-0.27	3.97	0.42		
GeoB1034-3	1.68		171.00	92.1	52.19	0.06	-0.11	3.84	0.42		
GeoB1034-3	1.73		183.00	92.8	51.33	0.05	-0.23	3.98	1.36		
GeoB1034-3	1.78		186.67	92.8	46.33	0.07	-0.25	3.87	1.36		
GeoB1034-3	1.83		190.33	93.4	40.43	0.06	0.52	2.58	1.36		
GeoB1034-3	1.88		194.00	94.5	38.35	0.06	0.43	2.80	1.82		
GeoB1034-3	1.93		196.75	94.9	38.08	0.06	0.57	2.67	1.82		
