/* DATA DESCRIPTION:
Citation:	Bickert, Torsten; Wefer, Gerold; Müller, Peter J (2001): Stable isotopes and sedimentology of sediment core GeoB1035, doi:10.1594/PANGAEA.58766
Reference(s):	Bickert, Torsten; Wefer, Gerold (1996): Late Quaternary deep water circulation in the South Atlantic: Reconstruction from carbonate dissolution and benthic stable isotopes, In: Wefer, G; Berger, W H; Siedler, G & Webb, D (eds.), The South Atlantic: Present and Past Circulation. Springer-Verlag, Berlin, 103, 599-620
	Bickert, Torsten (1992): Rekonstruktion der spätquartären Bodenwasserzirkulation im östlichen Südatlantik über stabile Isotope benthischer Foraminiferen, Berichte, Fachbereich Geowissenschaften, Universität Bremen, 27, 205 pp
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261) (URI: http://www.allgeo.uni-bremen.de/sfb261/html/body/english.html)
Coverage:	WEST: 5.0283 * EAST: 5.0317 * SOUTH: -21.6017 * NORTH: -21.5867
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 5.6 m
Event(s):	GeoB1035-3 * LATITUDE: -21.6017 * LONGITUDE: 5.0317 * ELEVATION: -4450.0 m * DATE/TIME: 1988-03-04T00:00:00 * PENETRATION: 0.38 m * LOCATION: Walvis Ridge * CAMPAIGN: M6/6 (URI: urn:nbn:de:gbv:46-ep000101421) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Giant box corer (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: Foram.-sand, weiß, tonig
	GeoB1035-4 * LATITUDE: -21.5867 * LONGITUDE: 5.0283 * ELEVATION: -4453.0 m * DATE/TIME: 1988-03-04T00:00:00 * PENETRATION: 12.00 m * LOCATION: Angola Basin * CAMPAIGN: M6/6 (URI: urn:nbn:de:gbv:46-ep000101421) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Gravity corer (Kiel type) * COMMENT: cc: Foram.-sand, bindig
Parameter(s):	Event label (Event) * Metadata
	DEPTH, sediment [m] (Depth) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Intercore correlation
	Age model [ka] (Age model) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Age model, SPECMAP chronology, Imbrie et al (1984, in Berger et al, Reidel Pub)
	Calcium carbonate [%] (CaCO3) * PI: Müller, Peter J * METHOD: Element analyser CHN
	Sand [%] (Sand) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Grain size, sieving
	Carbon, organic, total [%] (TOC) * PI: Müller, Peter J * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Sedimentation rate [cm/ka] (Sed rate) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: calculated
	Water content of wet mass [%] (Water wm) * PI: Müller, Peter J * METHOD: calculated from weight/volume
	Density, dry bulk [g/ccm] (DBD) * PI: Müller, Peter J * METHOD: calculated from weight/volume
Size:	978 data points
*/
Event	Depth [m]	Depth c [mcd]	Age model [ka]	CaCO3 [%]	Sand [%]	TOC [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]	Water wm [%]	DBD [g/ccm]
GeoB1035-3	0.01	0.05	3.75	96.2	27.63	0.140	0.60	2.31	1.33	45.2	0.83
GeoB1035-3	0.04	0.08	6.00	96.6	34.64	0.150	0.89	2.44	1.33	45.9	0.82
GeoB1035-3	0.07	0.11	7.20	96.8	33.74	0.130	0.18	3.14	2.50	41.5	0.90
GeoB1035-3	0.10	0.14	8.40	95.6	30.45	0.100	0.30	2.98	2.50	41.0	0.91
GeoB1035-3	0.13	0.17	9.60	94.0	28.78	0.100	0.35	2.60	2.50	41.0	0.90
GeoB1035-3	0.16	0.20	10.80	93.2	22.95	0.090	0.14	2.67	2.50	42.3	0.88
GeoB1035-3	0.19	0.23	12.00	87.4	17.41	0.120	-0.03	3.78	2.50	44.4	0.84
GeoB1035-3	0.22	0.26	17.80	86.5	10.82	0.110	-0.18	4.31	0.52	45.9	0.80
GeoB1035-3	0.25	0.29	19.19	82.3	9.45	0.120	-0.10	4.33	2.16	48.7	0.76
GeoB1035-4	0.08	0.08	6.00	95.0	36.00	0.131	0.66	2.40	1.33		
GeoB1035-4	0.13	0.13	8.00	94.4	36.95	0.096	0.20	2.41	2.50		
GeoB1035-4	0.18	0.18	10.00	93.0	32.77	0.081	0.61	2.64	2.50		
GeoB1035-4	0.23	0.23	12.00	89.3	20.83	0.098	-0.51	3.95	2.50		
GeoB1035-4	0.28	0.28	18.73	84.2	21.28	0.109	-0.51	4.13	0.74		
GeoB1035-4	0.33	0.33	21.05	83.7	12.16	0.106	-0.16	4.13	2.16		
GeoB1035-4	0.38	0.38	23.36	84.2	13.36	0.115	-0.31	4.10	2.16		
GeoB1035-4	0.43	0.43	25.68	89.9	17.66	0.080	0.28	3.66	2.16		
GeoB1035-4	0.48	0.48	28.00	91.1	21.19	0.082	0.22	3.59	0.95		
GeoB1035-4	0.53	0.53	33.29	90.6	21.93	0.090	0.05	3.64	0.95		
GeoB1035-4	0.58	0.58	38.57	90.9	24.00	0.084	0.02	3.71	0.95		
GeoB1035-4	0.63	0.63	43.86	88.6	19.65	0.087	0.29	3.41	0.95		
GeoB1035-4	0.68	0.68	49.14	87.5	23.79	0.087	0.05	3.53	0.95		
GeoB1035-4	0.73	0.73	54.43	85.4	18.04	0.102	0.09	3.44	0.95		
GeoB1035-4	0.78	0.78	59.71	81.2	15.55	0.110	0.05	3.37	0.95		
GeoB1035-4	0.83	0.83	65.00	77.7	10.42	0.130	-0.71	3.76	1.00		
GeoB1035-4	0.88	0.88	70.00	87.1	15.77	0.102	0.23	3.21	1.00		
GeoB1035-4	0.93	0.93	75.00	92.5	34.43	0.068	0.27	3.14	1.00		
GeoB1035-4	0.98	0.98	80.00	93.0	35.44	0.066	0.38	2.80	2.14		
GeoB1035-4	1.08	1.08	84.67	93.3	57.46	0.061	0.54	3.01	2.14		
GeoB1035-4	1.13	1.13	87.00	93.9	39.40	0.064	0.12	3.25	1.25		
GeoB1035-4	1.18	1.18	91.00	94.0	41.14	0.064	0.55	2.76	1.25		
GeoB1035-4	1.23	1.23	95.00	94.3	43.43	0.067	0.69	3.04	1.25		
GeoB1035-4	1.28	1.28	99.00	93.6	43.63	0.067	0.26	3.03	1.87		
GeoB1035-4	1.33	1.33	101.67	94.2	36.13	0.061	0.42	2.95	1.88		
GeoB1035-4	1.38	1.38	104.33	93.0	24.08	0.066	0.37	2.98	1.87		
GeoB1035-4	1.43	1.43	107.00	93.7	24.33	0.061	0.12	3.13	1.67		
GeoB1035-4	1.48	1.48	110.00	93.7	22.96	0.086	0.00	3.04	1.67		
GeoB1035-4	1.53	1.53	113.00	94.1	33.13	0.063	0.17	2.66	1.67		
GeoB1035-4	1.58	1.58	116.00	93.9	39.75	0.066	0.15	2.40	1.67		
GeoB1035-4	1.63	1.63	119.00	93.6	35.82	0.058	-0.03	2.29	1.67		
