/* DATA DESCRIPTION:
Citation:	Bickert, Torsten; Wefer, Gerold; Müller, Peter J (2009): Stable isotopes and sedimentology of sediment core GeoB1041, doi:10.1594/PANGAEA.58771
Reference(s):	Bickert, Torsten; Wefer, Gerold (1996): Late Quaternary deep water circulation in the South Atlantic: Reconstruction from carbonate dissolution and benthic stable isotopes, In: Wefer, G; Berger, W H; Siedler, G & Webb, D (eds.), The South Atlantic: Present and Past Circulation. Springer-Verlag, Berlin, 103, 599-620
	Mackensen, Andreas; Bickert, Torsten (1999): Stable Carbon Isotopes in Benthic Foraminifera: Proxies for Deep and Bottom water Circulation and New Production, In: Fischer, G & Wefer, G (eds.), Use of Proxies in Paleoceanography - Examples from the South Atlantic, Springer, Berlin, Heidelberg, 229-254, http://store.pangaea.de/Publications/SFB261_Use_of_Proxies/Mackensen_Bickert.pdf
	Bickert, Torsten (1992): Rekonstruktion der spätquartären Bodenwasserzirkulation im östlichen Südatlantik über stabile Isotope benthischer Foraminiferen, Berichte, Fachbereich Geowissenschaften, Universität Bremen, 27, 205 pp
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261) (URI: http://www.allgeo.uni-bremen.de/sfb261/html/body/english.html)
Coverage:	WEST: -7.6000 * EAST: -7.5917 * SOUTH: -3.4800 * NORTH: -3.4750
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 11.5 m
Event(s):	GeoB1041-1 * LATITUDE: -3.4800 * LONGITUDE: -7.5917 * ELEVATION: -4035.0 m * DATE/TIME: 1988-03-12T00:00:00 * PENETRATION: 0.42 m * LOCATION: Walvis Ridge * CAMPAIGN: M6/6 (URI: urn:nbn:de:gbv:46-ep000101421) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Giant box corer (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: Karb.-schl., Forams
	GeoB1041-3 * LATITUDE: -3.4750 * LONGITUDE: -7.6000 * ELEVATION: -4033.0 m * DATE/TIME: 1988-03-12T00:00:00 * PENETRATION: 12.00 m * LOCATION: Angola Basin * CAMPAIGN: M6/6 (URI: urn:nbn:de:gbv:46-ep000101421) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Gravity corer (Kiel type) * COMMENT: cc: Karb.-schl., blaugrau
Parameter(s):	Event label (Event) * Metadata
	DEPTH, sediment [m] (Depth) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Intercore correlation
	Age model [ka] (Age model) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Age model, SPECMAP chronology, Imbrie et al (1984, in Berger et al, Reidel Pub)
	Sand [%] (Sand) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Grain size, sieving/settling tube
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Sedimentation rate [cm/ka] (Sed rate) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: calculated
	Water content of wet mass [%] (Water wm) * PI: Müller, Peter J * METHOD: calculated from weight/volume
Size:	1439 data points
*/
Event	Depth [m]	Depth c [mcd]	Age model [ka]	Sand [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]	Water wm [%]
GeoB1041-1	0.01	0.01	0.21	47.59	0.58	2.46	4.67	59.5
GeoB1041-1	0.04	0.04	0.86	49.46	0.89	2.38	4.67	58.8
GeoB1041-1	0.07	0.07	1.50	49.27	0.85	2.56	4.67	57.2
GeoB1041-1	0.10	0.10	2.14	52.85	0.87	2.53	4.67	56.0
GeoB1041-1	0.13	0.13	2.79	46.91	0.82	2.61	4.67	54.9
GeoB1041-1	0.16	0.16	3.43	49.31	0.64	2.54	4.67	55.3
GeoB1041-1	0.19	0.19	3.86	48.99	0.80	2.46	4.67	55.4
GeoB1041-1	0.22	0.22	4.71	51.73	0.95	2.62	4.67	56.5
GeoB1041-1	0.25	0.25	5.36	51.14	0.52	2.73	4.67	57.2
GeoB1041-1	0.28	0.28	6.00	49.05	0.77	2.78	3.17	57.4
GeoB1041-1	0.31	0.31	6.95	52.46	0.86	2.66	3.16	56.6
GeoB1041-3	0.23	0.32	7.26	54.22	0.81	2.67	3.17	
GeoB1041-3	0.28	0.37	8.84	48.30	0.49	3.07	3.17	
GeoB1041-3	0.33	0.42	10.42	41.33	0.51	2.93	3.17	
GeoB1041-3	0.38	0.47	12.00	41.58	0.61	3.34	2.59	
GeoB1041-3	0.43	0.52	13.93	19.71	-0.03	3.94	2.59	
GeoB1041-3	0.48	0.57	15.87	25.98	-0.14	3.83	2.59	
GeoB1041-3	0.53	0.62	17.80	11.16	-0.41	4.30	2.94	
GeoB1041-3	0.58	0.67	19.50	9.64	-0.20	4.26	2.94	
GeoB1041-3	0.63	0.72	21.20	13.51	-0.20	4.05	2.94	
GeoB1041-3	0.68	0.77	22.90	10.76	-0.63	4.18	2.94	
GeoB1041-3	0.73	0.82	24.60	17.30	-0.44	3.95	2.94	
GeoB1041-3	0.78	0.87	26.30	13.75	-0.45	3.85	2.94	
GeoB1041-3	0.83	0.92	28.00	17.99	-0.07	3.84	1.60	
GeoB1041-3	0.88	0.97	31.13	15.40	-0.12	3.79	1.60	
GeoB1041-3	0.93	1.02	34.25	14.46	-0.08	3.74	1.60	
GeoB1041-3	0.98	1.07	37.38	12.96	-0.15	3.72	1.60	
GeoB1041-3	1.03	1.12	40.50	13.97	0.00	3.74	1.60	
GeoB1041-3	1.08	1.17	43.63	11.90	0.09	3.66	1.60	
GeoB1041-3	1.13	1.22	46.75	10.53	0.04	3.71	1.60	
GeoB1041-3	1.18	1.27	49.88	11.88	0.51	3.65	1.60	
GeoB1041-3	1.23	1.32	53.00	13.94	-0.11	3.47	1.67	
GeoB1041-3	1.28	1.37	56.00	17.73	0.02	3.60	1.67	
GeoB1041-3	1.33	1.42	59.00	19.10	-0.54	3.71	1.67	
GeoB1041-3	1.38	1.47	62.00	19.39	-0.38	3.72	1.67	
GeoB1041-3	1.43	1.52	65.00	12.98	-0.63	3.92	1.67	
GeoB1041-3	1.48	1.57	68.00	9.00	-0.57	3.79	1.67	
GeoB1041-3	1.53	1.62	71.00	8.80	-0.45	3.63	2.22	
GeoB1041-3	1.58	1.67	73.25	14.92	-0.44	3.45	2.22	
GeoB1041-3	1.63	1.72	75.50	15.48	-0.14	2.97	2.22	
GeoB1041-3	1.68	1.77	77.75	29.12	0.49	3.08	2.22	
GeoB1041-3	1.73	1.82	80.00	27.00	0.54	3.22	2.14	
GeoB1041-3	1.78	1.87	82.33	32.45	0.74	3.04	2.14	
GeoB1041-3	1.83	1.92	84.67	22.35	0.58	2.97	2.14	
GeoB1041-3	1.88	1.97	87.00	20.99	0.15	3.38	1.67	
GeoB1041-3	1.93	2.02	90.00	18.22	0.38	3.26	1.67	
GeoB1041-3	1.98	2.07	93.00	28.34	0.39	3.14	1.67	
GeoB1041-3	2.03	2.12	96.00	37.88	0.63	3.11	1.67	
GeoB1041-3	2.08	2.17	99.00	36.62	0.70	3.14	1.87	
GeoB1041-3	2.13	2.22	101.67	39.07	0.50	3.11	1.88	
GeoB1041-3	2.18	2.27	104.33	33.42	0.70	3.06	1.87	
GeoB1041-3	2.23	2.32	107.00	24.22	0.02	3.39	2.33	
GeoB1041-3	2.28	2.37	109.14	24.26	0.51	3.18	2.33	
GeoB1041-3	2.33	2.42	111.29	31.89	0.36	2.85	2.33	
GeoB1041-3	2.38	2.47	113.43	36.59	0.58	2.68	2.33	
GeoB1041-3	2.43	2.52	115.57	44.73	0.73	2.45	2.33	
GeoB1041-3	2.48	2.57	117.71	48.01	0.60	2.53	2.33	
GeoB1041-3	2.53	2.62	119.86	37.78	0.71	2.49	2.33	
GeoB1041-3	2.58	2.67	122.00	29.51	0.67	2.44	2.50	
GeoB1041-3	2.63	2.72	124.00	18.49	0.17	3.11	2.50	
GeoB1041-3	2.68	2.77	126.00	9.40	0.39	2.66	2.50	
GeoB1041-3	2.73	2.82	128.00	6.13	0.07	3.65	0.71	
GeoB1041-3	2.78	2.87	135.00	6.53	-0.73	4.12	0.91	
GeoB1041-3	2.83	2.92	140.50	8.25	-0.71	4.00	0.91	
GeoB1041-3	2.88	2.97	146.00	10.54	-0.53	3.74	5.00	
