/* DATA DESCRIPTION:
Citation:	Bickert. Torsten; Wefer. Gerold; Müller. Peter J (2003): Stable isotopes and sedimentology of sediment core GeoB1101-5. doi:10.1594/PANGAEA.103622
Reference(s):	Bickert. Torsten; Wefer. Gerold (1996): Late Quaternary deep water circulation in the South Atlantic: Reconstruction from carbonate dissolution and benthic stable isotopes. In: Wefer. G; Berger. W H; Siedler. G & Webb. D (eds.). The South Atlantic: Present and Past Circulation. Springer-Verlag. Berlin. 103. 599-620
Project(s):	Geosciences. University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261) (URI: http://www.allgeo.uni-bremen.de/sfb261/html/body/english.html)
Coverage:	WEST: -10.9800 * EAST: -10.9800 * SOUTH: 1.6583 * NORTH: 1.6583
	MINIMUM AGE: 8.670 ka BP * MAXIMUM AGE: 540.800 ka BP
	DATE/TIME START: 1989-01-23T00:00:00 * DATE/TIME END: 1989-01-23T00:00:00
	MINIMUM DEPTH. sediment: 0.1 m * MAXIMUM DEPTH. sediment: 13.6 m
Event(s):	GeoB1101-5 * LATITUDE: 1.6583 * LONGITUDE: -10.9800 * ELEVATION: -4588.0 m * DATE/TIME: 1989-01-23T00:00:00 * RECOVERY: 13.61 m * PENETRATION: 16.00 m * LOCATION: Guinea Basin * CAMPAIGN: M9/4 (URI: urn:nbn:de:gbv:46-ep000101461) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Gravity corer (Kiel type) * COMMENT: cc: Ton. Foram.. sandig
Parameter(s):	DEPTH. sediment [m] (Depth) * Geocode
	Depth. composite [mcd] (Depth c) * PI: Bickert. Torsten (eMail: g05e@uni-bremen.de) * METHOD: Intercore correlation
	AGE [ka BP] (Age) * Geocode
	Calcium carbonate [%] (CaCO3) * PI: Müller. Peter J * METHOD: Element analyser CHN-O Rapid. Heraeus
	Sand [%] (Sand) * PI: Bickert. Torsten (eMail: g05e@uni-bremen.de) * METHOD: Grain size. sieving/settling tube
	Carbon. organic. total [%] (TOC) * PI: Müller. Peter J * METHOD: Element analyser CHN-O Rapid. Heraeus
	Cibicidoides wuellerstorfi. d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Bickert. Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi. d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Bickert. Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Sedimentation rate [cm/ka] (Sed rate) * PI: Bickert. Torsten (eMail: g05e@uni-bremen.de) * METHOD: calculated
	Water content of wet mass [%] (Water wm) * PI: Müller. Peter J * METHOD: calculated from weight/volume
	Density. dry bulk [g/ccm] (DBD) * PI: Müller. Peter J * METHOD: calculated from weight/volume
Size:	1808 data points
*/
Depth [m]	Depth c [mcd]	Age [ka BP]	CaCO3 [%]	Sand [%]	TOC [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]	Water wm [%]	DBD [g/ccm]
0.13			78.7		0.21			3.00	57.60	0.59
0.18	0.24	8.67	73.8	42.78	0.20	0.68	2.87	3.00	57.80	0.58
0.23	0.29	10.33	66.1	30.74	0.20	0.73	2.99	3.00	59.30	0.56
0.28	0.34	12.00	51.6	18.55	0.25	0.19	3.62	0.86	65.70	0.44
0.33	0.39	17.80	42.2	13.96	0.40	-0.42	4.18	1.47	70.10	0.37
0.38	0.44	21.20	32.7	12.57	0.54	-0.64	4.11	1.47	74.00	0.32
0.43	0.49	24.60	49.6	20.67	1.37	-0.03	3.94	1.47	69.40	0.39
0.48	0.54	28.00	52.6	23.98	1.35	-0.23	3.65	0.80	68.00	0.41
0.53	0.59	34.25	62.8	28.19	0.79	0.04	3.27	0.80	62.90	0.49
0.58	0.64	40.50	64.0	27.46	0.81	0.24	3.66	0.80	62.60	0.49
0.63	0.69	46.75	51.5	18.28	1.19	0.19	3.66	0.80	66.40	0.43
0.68	0.74	53.00	59.6	18.68	0.76	0.06	3.48	0.63	62.80	0.49
0.73	0.79	61.00	49.4	19.02	0.96	-0.31	3.52	0.56	65.70	0.44
0.78	0.84	70.00	55.6	15.99	1.03	-0.42	3.65	0.50	66.10	0.43
0.83	0.89	80.00	48.9	43.44	0.27	0.71	2.99	0.71	62.00	0.50
0.88	0.94	87.00	51.5	50.11	0.32	0.20	3.54	2.08	62.10	0.50
0.93	0.99	89.40	65.0	34.56	0.25	0.41	3.22	2.08	61.40	0.52
0.98	1.04	91.80	65.8	36.20	0.26	-0.08	3.14	2.08	61.20	0.52
1.03	1.09	94.20	65.7	30.71	0.34	0.51	3.02	2.08	59.50	0.55
1.08	1.14	96.60	70.4	36.79	0.43	0.62	3.01	2.08	58.60	0.57
1.13	1.19	99.00	64.9	43.27	0.29	0.57	2.97	1.25	57.30	0.59
1.18	1.24	103.00	78.6	54.51	0.40	0.48	3.07	1.25	57.00	0.59
1.23	1.29	107.00	62.2	53.82	0.20	0.14	3.29	2.00	57.40	0.59
1.28	1.34	109.50	63.3	42.92	0.25	0.20	3.26	2.00	60.00	0.54
1.33	1.39	112.00	66.8	36.95	0.28	0.44	3.18	2.00	59.60	0.55
1.38	1.44	114.50	69.1	29.76	0.23	0.60	2.77	2.00	59.30	0.55
1.43	1.49	117.00	69.8	44.47	0.37	0.69	2.59	2.00	58.80	0.57
1.48	1.54	119.50	72.0	55.43	0.34	0.78	2.56	2.00	59.20	0.55
1.53	1.59	122.00	72.2	52.63	0.30	0.68	2.45	2.50	56.60	0.61
1.58	1.64	124.00	55.9	50.80	0.20	0.26	2.98	2.50	60.50	0.54
1.63	1.69	126.00	43.9	38.66	0.23	-0.07	3.30	2.50	64.80	0.45
1.68	1.74	128.00	46.5	20.25	0.28	-0.11	3.47	1.43	67.50	0.41
1.73	1.79	131.50	48.0	7.57	0.34	-0.64	4.02	1.43	69.10	0.38
1.78	1.84	135.00	38.6	5.56	1.01	-0.90	4.24	1.82	75.30	0.30
1.83	1.89	137.75	42.1	6.24	1.98	-0.69	3.96	1.82	75.60	0.29
1.88	1.94	140.50	40.8	10.78	2.01	-0.39	3.99	1.82	74.70	0.31
