/* DATA DESCRIPTION:
Citation:	Bickert, Torsten; Wefer, Gerold; Müller, Peter J (2009): Stable isotopes and sedimentology of sediment core GeoB1105, doi:10.1594/PANGAEA.58768
Reference(s):	Bickert, Torsten; Wefer, Gerold (1996): Late Quaternary deep water circulation in the South Atlantic: Reconstruction from carbonate dissolution and benthic stable isotopes, In: Wefer, G; Berger, W H; Siedler, G & Webb, D (eds.), The South Atlantic: Present and Past Circulation. Springer-Verlag, Berlin, 103, 599-620
	Mackensen, Andreas; Bickert, Torsten (1999): Stable Carbon Isotopes in Benthic Foraminifera: Proxies for Deep and Bottom water Circulation and New Production, In: Fischer, G & Wefer, G (eds.), Use of Proxies in Paleoceanography - Examples from the South Atlantic, Springer, Berlin, Heidelberg, 229-254, http://store.pangaea.de/Publications/SFB261_Use_of_Proxies/Mackensen_Bickert.pdf
	Bickert, Torsten (1992): Rekonstruktion der spätquartären Bodenwasserzirkulation im östlichen Südatlantik über stabile Isotope benthischer Foraminiferen, Berichte, Fachbereich Geowissenschaften, Universität Bremen, 27, 205 pp
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261) (URI: http://www.allgeo.uni-bremen.de/sfb261/html/body/english.html)
Coverage:	WEST: -12.4283 * EAST: -12.4283 * SOUTH: -1.6650 * NORTH: -1.6650
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 15.0 m
Event(s):	GeoB1105-3 * LATITUDE: -1.6650 * LONGITUDE: -12.4283 * ELEVATION: -3231.0 m * DATE/TIME: 1989-01-26T00:00:00 * RECOVERY: 0.32 m * PENETRATION: 0.36 m * LOCATION: Equatorial Atlantic * CAMPAIGN: M9/4 (URI: urn:nbn:de:gbv:46-ep000101461) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Giant box corer (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: Karbonatschlamm
	GeoB1105-4 * LATITUDE: -1.6650 * LONGITUDE: -12.4283 * ELEVATION: -3225.0 m * DATE/TIME: 1989-01-26T00:00:00 * RECOVERY: 15.22 m * PENETRATION: 17.00 m * LOCATION: Equatorial Atlantic * CAMPAIGN: M9/4 (URI: urn:nbn:de:gbv:46-ep000101461) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Gravity corer (Kiel type) * COMMENT: cc: Karbonatschlamm, tonig
Parameter(s):	Event label (Event) * Metadata
	DEPTH, sediment [m] (Depth) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Intercore correlation
	Age model [ka] (Age model) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Age model, SPECMAP chronology, Imbrie et al (1984, in Berger et al, Reidel Pub)
	Sand [%] (Sand) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Grain size, sieving/settling tube
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Sedimentation rate [cm/ka] (Sed rate) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: calculated
	Water content of wet mass [%] (Water wm) * PI: Müller, Peter J * METHOD: calculated from weight/volume
Size:	1825 data points
*/
Event	Depth [m]	Depth c [mcd]	Age model [ka]	Sand [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]	Water wm [%]
GeoB1105-3	0.01	0.01	0.24	54.93	1.05	2.46	4.17	59.2
GeoB1105-3	0.04	0.04	0.96	61.53	0.78	2.29	4.17	57.1
GeoB1105-3	0.07	0.07	1.68	54.31	0.95	2.41	4.17	53.3
GeoB1105-3	0.10	0.10	2.40	54.17	0.90	2.51	4.17	51.7
GeoB1105-3	0.13	0.13	3.12	47.89	1.07	2.47	4.17	51.9
GeoB1105-3	0.16	0.16	3.84	52.50	1.11	2.51	4.17	50.3
GeoB1105-3	0.19	0.19	4.56	45.60	1.08	2.51	4.50	49.8
GeoB1105-4	0.23	0.38	8.79	42.85	0.83	2.80	4.67	
GeoB1105-4	0.28	0.43	9.86	42.39	0.76	2.91	4.66	
GeoB1105-4	0.33	0.48	10.93	38.63	0.66	3.14	4.67	
GeoB1105-4	0.38	0.53	12.00	38.53	0.57	3.69	6.03	
GeoB1105-4	0.43	0.58	12.83	47.43	0.21	4.03	6.04	
GeoB1105-4	0.48	0.63	13.66	47.58	0.67	3.47	6.03	
GeoB1105-4	0.53	0.68	14.49	34.02	0.05	4.18	6.04	
GeoB1105-4	0.58	0.73	15.31	23.13	-0.11	4.40	6.03	
GeoB1105-4	0.63	0.78	16.14	25.48	0.06	4.49	6.04	
GeoB1105-4	0.68	0.83	16.97	25.55	-0.14	4.52	6.03	
GeoB1105-4	0.73	0.88	17.80	21.78	-0.06	4.54	8.82	
GeoB1105-4	0.78	0.93	18.37	22.69	-0.08	4.47	8.83	
GeoB1105-4	0.83	0.98	18.93	22.44	-0.09	4.52	8.82	
GeoB1105-4	0.88	1.03	19.50	24.60	-0.21	4.53	8.82	
GeoB1105-4	0.93	1.08	20.07	22.85	-0.19	4.48	8.83	
GeoB1105-4	0.98	1.13	20.63	22.84	-0.14	4.43	8.82	
GeoB1105-4	1.03	1.18	21.20	21.04	-0.37	4.48	8.82	
GeoB1105-4	1.08	1.23	21.77	21.67	-0.28	4.54	8.83	
GeoB1105-4	1.13	1.28	22.33	17.91	-0.03	4.22	8.82	
GeoB1105-4	1.18	1.33	22.90	25.68	-0.25	4.26	8.82	
GeoB1105-4	1.23	1.38	23.47	21.72	-0.07	4.35	8.83	
GeoB1105-4	1.28	1.43	24.03	16.71	-0.15	4.28	8.82	
GeoB1105-4	1.33	1.48	24.60	14.34	-0.18	4.36	8.82	
GeoB1105-4	1.38	1.53	25.17	27.76	0.08	4.08	8.83	
GeoB1105-4	1.43	1.58	25.73	26.00	0.22	4.24	8.82	
GeoB1105-4	1.48	1.63	26.30	31.43	0.24	4.06	8.82	
GeoB1105-4	1.53	1.68	26.87	32.80	0.14	4.18	8.83	
GeoB1105-4	1.58	1.73	27.43	32.67	0.27	4.09	8.82	
GeoB1105-4	1.63	1.78	28.00	27.82	0.30	4.02	4.20	
GeoB1105-4	1.68	1.83	29.19	33.85	0.37	3.93	4.20	
GeoB1105-4	1.73	1.88	30.38	33.71	0.31	3.96	4.20	
GeoB1105-4	1.78	1.93	31.57	31.21	0.24	3.98	4.20	
GeoB1105-4	1.83	1.98	32.76	31.71	0.30	3.87	4.20	
GeoB1105-4	1.88	2.03	33.95	23.83	0.33	3.96	4.20	
GeoB1105-4	1.93	2.08	35.14	28.37	0.42	3.92	4.20	
GeoB1105-4	1.98	2.13	36.33	26.21	0.19	3.97	4.20	
GeoB1105-4	2.03	2.18	37.52	29.77	0.30	3.90	4.20	
GeoB1105-4	2.08	2.23	38.71	24.52	0.31	4.04	4.20	
GeoB1105-4	2.13	2.28	39.91	25.57	0.24	4.06	4.20	
GeoB1105-4	2.18	2.33	41.10	26.35	0.12	4.06	4.20	
GeoB1105-4	2.23	2.38	42.29	27.56	0.46	4.02	4.20	
GeoB1105-4	2.28	2.43	43.48	25.46	0.34	4.06	4.20	
GeoB1105-4	2.33	2.48	44.67	25.24	0.42	3.86	4.20	
GeoB1105-4	2.38	2.53	45.86	26.46	0.34	3.86	4.20	
