/* DATA DESCRIPTION:
Citation:	Bickert, Torsten; Wefer, Gerold; Müller, Peter J (2003): Stable isotopes and sedimentology of sediment core GeoB1211-3, doi:10.1594/PANGAEA.103634
Reference(s):	Bickert, Torsten (1992): Rekonstruktion der spätquartären Bodenwasserzirkulation im östlichen Südatlantik über stabile Isotope benthischer Foraminiferen, Berichte, Fachbereich Geowissenschaften, Universität Bremen, 27, 205 pp
	Bickert, Torsten; Wefer, Gerold (1996): Late Quaternary deep water circulation in the South Atlantic: Reconstruction from carbonate dissolution and benthic stable isotopes, In: Wefer, G; Berger, W H; Siedler, G & Webb, D (eds.), The South Atlantic: Present and Past Circulation. Springer-Verlag, Berlin, 103, 599-620
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261) (URI: http://www.allgeo.uni-bremen.de/sfb261/html/body/english.html)
Coverage:	WEST: 7.5333 * EAST: 7.5333 * SOUTH: -24.4750 * NORTH: -24.4750
	MINIMUM AGE: 6.000 ka BP * MAXIMUM AGE: 1125.000 ka BP
	DATE/TIME START: 1990-03-20T00:00:00 * DATE/TIME END: 1990-03-20T00:00:00
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 8.4 m
Event(s):	GeoB1211-3 * LATITUDE: -24.4750 * LONGITUDE: 7.5333 * ELEVATION: -4084.0 m * DATE/TIME: 1990-03-20T00:00:00 * RECOVERY: 8.61 m * PENETRATION: 0.00 m * LOCATION: Cape Basin * CAMPAIGN: M12/1 (URI: urn:nbn:de:gbv:46-ep000101534) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Gravity corer (Kiel type) * COMMENT: CC,
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Intercore correlation
	AGE [ka BP] (Age) * Geocode
	Calcium carbonate [%] (CaCO3) * PI: Müller, Peter J * METHOD: Element analyser CHN
	Sand [%] (Sand) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Grain size, sieving/settling tube
	Carbon, organic, total [%] (TOC) * PI: Müller, Peter J * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Sedimentation rate [cm/ka] (Sed rate) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: calculated
	Water content of wet mass [%] (Water wm) * PI: Müller, Peter J * METHOD: calculated from weight/volume
	Density, dry bulk [g/ccm] (DBD) * PI: Müller, Peter J * METHOD: calculated from weight/volume
Size:	1512 data points
*/
Depth [m]	Depth c [mcd]	Age [ka BP]	CaCO3 [%]	Sand [%]	TOC [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]	Water wm [%]	DBD [g/ccm]
0.03	0.07	6.00	89.4	24.21	0.24	0.45	2.55	1.67	45.70	0.83
0.08	0.12	9.00	88.9	30.03	0.10	0.30	2.71	1.67	44.70	0.86
0.13	0.17	12.00	88.0	26.25	0.10	0.35	2.88	1.67	45.50	0.84
0.18	0.22	13.93	81.7	22.67	0.13	0.02	3.86	2.59	48.20	0.78
0.23	0.27	15.87	79.1	20.32	0.15	0.20	3.11	2.59	49.60	0.75
0.28	0.32	17.80	76.4	16.03	0.13	-0.35	4.32	0.98	48.60	0.77
0.33	0.37	22.90	83.3	19.43	0.11	0.25	3.83	0.98	48.50	0.77
0.38	0.42	28.00	83.5	19.16	0.10	0.07	3.80	0.80	47.90	0.78
0.43	0.47	34.25	84.5	19.31	0.11	0.26	3.77	0.80	47.60	0.78
0.48	0.52	40.50	85.8	16.14	0.10	0.32	3.73	0.80	46.60	0.82
0.53	0.57	46.75	85.5	18.76	0.10	0.22	3.78	0.80	46.60	0.82
0.58	0.62	53.00	82.9	18.59	0.09	0.07	3.59	1.67	46.90	0.81
0.63	0.67	56.00	82.2	17.29	0.10	-0.07	3.72	1.67	48.20	0.78
0.68	0.72	59.00	71.3	13.17	0.11	-0.29	3.72	1.67	50.00	0.73
0.73	0.77	62.00	74.2	10.17	0.15	0.14	3.63	1.67	49.90	0.75
0.78	0.82	65.00	69.0	10.09	0.15	-0.63	3.85	0.67	50.70	0.73
0.83	0.87	72.50	80.5	16.27	0.10	0.05	3.42	0.67	48.90	0.76
0.88	0.92	80.00	84.6	22.13	0.08	0.36	3.07	2.14	49.10	0.76
0.93	0.97	82.33	82.3	22.77	0.09	0.50	3.16	2.14	49.60	0.74
0.98	1.02	84.67	80.0	15.90	0.11	0.13	3.24	2.14	49.10	0.75
1.03	1.07	87.00	80.5	15.75	0.15	-0.25	3.42	0.83	50.40	0.73
1.08	1.12	93.00	84.5	23.60	0.08	0.33	3.28	0.83	48.60	0.77
1.13	1.17	99.00	86.3	24.84	0.08	0.07	2.90	2.50	48.60	0.76
1.18	1.22	101.00	85.4	17.78	0.11	0.08	3.12	2.50	47.60	0.80
1.23	1.27	103.00	83.2	15.00	0.09	0.38	3.18	2.50	46.40	0.82
1.28	1.32	105.00	83.7	14.12	0.10	-0.13	3.28	2.50	47.10	0.81
1.33	1.37	107.00	82.6	11.86	0.09	-0.07	3.42	1.00	48.40	0.78
1.38	1.42	112.00	83.6	15.84	0.08	0.14	3.40	1.00	47.90	0.78
1.43	1.47	117.00	86.1	18.37	0.07	0.03	2.91	1.00	48.00	0.79
1.48	1.52	122.00	88.6	25.48	0.07	0.39	2.45	1.67	47.90	0.79
1.53	1.57	125.00	89.9	23.86	0.08	0.40	2.52	1.67	48.10	0.78
1.58	1.62	128.00	87.2	24.98	0.07	-0.05	3.89	1.43	48.20	0.79
1.63	1.67	131.50	86.6	21.64	0.08	0.17	3.70	1.43	47.80	0.80
1.68	1.72	135.00	83.7	24.41	0.08	-0.47	4.18	0.45	48.40	0.78
1.73	1.77	146.00	81.3	22.97	0.09	-0.47	4.07	3.00	48.30	0.78
1.78	1.82	147.67	80.2	20.39	0.08	-0.45	4.12	3.00	49.10	0.77
1.83	1.87	149.33	81.1	15.58	0.08	-0.60	3.93	3.00	49.90	0.75
1.88	1.92	151.00	78.0	14.24	0.09	-0.15	3.97	0.75	50.80	0.72
