Core label	depth	compdepth	age	cw13	cw18
GeoB1312-2	0.03	0.06	10.00	0.60	3.40
GeoB1312-2	0.08	0.11	12.64	0.25	3.69
GeoB1312-2	0.13	0.16	16.50	-0.09	4.23
GeoB1312-2	0.18	0.21	22.47	0.11	4.12
GeoB1312-2	0.23	0.26	30.19	0.30	3.91
GeoB1312-2	0.28	0.31	38.94	0.68	3.96
GeoB1312-2	0.33	0.36	48.04	0.54	3.90
GeoB1312-2	0.38	0.41	56.79	0.28	3.85
GeoB1312-2	0.43	0.46	64.50	0.32	3.94
GeoB1312-2	0.48	0.51	70.66	0.25	3.77
GeoB1312-2	0.53	0.56	75.53	0.05	3.77
GeoB1312-2	0.58	0.61	79.57	0.73	3.39
GeoB1312-2	0.63	0.66	83.24	0.26	3.27
GeoB1312-2	0.68	0.71	87.00	0.65	3.39
GeoB1312-2	0.73	0.76	91.24	0.64	3.22
GeoB1312-2	0.78	0.81	96.16	0.35	3.33
GeoB1312-2	0.83	0.86	101.87	0.44	3.44
GeoB1312-2	0.88	0.91	108.50	0.33	3.96
GeoB1312-2	0.93	0.96	116.12	0.74	3.03
GeoB1312-2	0.98	1.01	124.54	0.40	3.40
GeoB1312-2	1.03	1.06	133.50	0.07	4.39
GeoB1312-2	1.08	1.11	142.74	0.22	3.69
GeoB1312-2	1.13	1.16	152.00	-0.08	4.30
GeoB1312-2	1.18	1.21	161.01	-0.03	4.14
GeoB1312-2	1.23	1.26	169.50	0.17	3.34
GeoB1312-2	1.28	1.31	177.42	0.28	3.54
GeoB1312-2	1.33	1.36	185.58	0.11	3.62
GeoB1312-2	1.38	1.41	195.00	0.43	2.86
GeoB1312-2	1.43	1.46	206.23	0.43	2.95
GeoB1312-2	1.48	1.51	217.86	0.11	3.44
GeoB1312-2	1.53	1.56	228.00	0.18	3.60
GeoB1312-2	1.58	1.61	235.20	0.39	3.55
GeoB1312-2	1.63	1.66	239.83	0.55	3.13
GeoB1312-2	1.68	1.71	242.73	0.33	2.93
GeoB1312-2	1.73	1.76	244.72	0.27	3.63
GeoB1312-2	1.78	1.81	246.63	0.11	3.50
GeoB1312-2	1.83	1.86	249.29	0.14	3.89
GeoB1312-2	1.88	1.91	253.51	0.13	3.99
GeoB1312-2	1.93	1.96	260.14	0.34	4.13
GeoB1312-2	1.98	2.01	270.00	0.14	4.14
GeoB1312-2	2.03	2.06	284.98	0.12	3.81
GeoB1312-2	2.08	2.11	304.19	0.14	3.68
GeoB1312-2	2.13	2.16	324.31	0.75	3.18
GeoB1312-2	2.18	2.21	342.00	0.40	3.75
GeoB1312-2	2.23	2.26	354.71	0.45	3.86
GeoB1312-2	2.28	2.31	363.00	0.30	3.50
GeoB1312-2	2.33	2.36	368.24	0.24	3.45
GeoB1312-2	2.38	2.41	371.79	0.68	3.34
GeoB1312-2	2.43	2.46	375.00	0.63	3.46
GeoB1312-2	2.48	2.51	379.00	0.58	3.41
GeoB1312-2	2.53	2.56	384.01	0.62	3.07
GeoB1312-2	2.58	2.61	390.03	0.37	3.23
GeoB1312-2	2.63	2.66	397.04	0.58	3.19
GeoB1312-2	2.68	2.71	405.06	0.77	2.77
GeoB1312-2	2.73	2.76	414.06	0.20	3.50
GeoB1312-2	2.78	2.81	424.04	0.26	3.51
GeoB1312-2	2.83	2.86	435.00	0.08	4.30
GeoB1312-2	2.88	2.91	446.78	0.11	4.23
GeoB1312-2	2.93	2.96	458.59	0.09	4.09
GeoB1312-2	2.98	3.01	469.50	-0.35	4.21
GeoB1312-2	3.03	3.06	478.86	-0.43	4.07
GeoB1312-2	3.08	3.11	487.13	0.25	3.97
GeoB1312-2	3.13	3.16	495.08	0.41	3.54
GeoB1312-2	3.18	3.21	503.45	0.39	3.67
GeoB1312-2	3.23	3.26	513.00	0.38	3.85
GeoB1312-2	3.28	3.31	524.23	0.44	3.64
GeoB1312-2	3.33	3.36	536.59	0.57	3.70
GeoB1312-2	3.38	3.41	549.28	0.64	3.52
GeoB1312-2	3.43	3.46	561.50	0.36	3.70
GeoB1312-2	3.48	3.51	572.60	1.18	2.89
GeoB1312-2	3.53	3.56	582.59	1.30	2.81
GeoB1312-2	3.58	3.61	591.62	0.99	2.91
GeoB1312-2	3.63	3.66	599.85	1.13	2.78
GeoB1312-2	3.68	3.71	607.45	0.83	2.60
GeoB1312-2	3.73	3.76	614.56	0.79	3.28
GeoB1312-2	3.78	3.81	621.36	0.38	3.09
GeoB1312-2	3.83	3.86	628.00	0.00	4.63
GeoB1312-2	3.88	3.91	634.64	0.07	4.50
GeoB1312-2	3.93	3.96	641.44	-0.06	4.69
GeoB1312-2	3.98	4.01	648.55	-0.30	4.45
GeoB1312-2	4.03	4.06	656.15	0.06	4.37
GeoB1312-2	4.08	4.11	664.38	-0.04	4.50
