/* DATA DESCRIPTION:
Citation:	Zabel, Matthias; Bickert, Torsten; Müller, Peter J (1999): Geochemistry of sediment core GeoB1505-2, doi:10.1594/PANGAEA.55378
Reference(s):	Zabel, Matthias; Bickert, Torsten; Dittert, Lars; Haese, Ralf R (1999): The significance of the sedimentary Al/Ti ratio as indicator for reconstructions of the terrestrial input to the equatorial Atlantic, Paleoceanography, 14(6), 789-799, doi:10.1029/1999PA900027
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
Coverage:	WEST: -33.0150 * EAST: -33.0150 * SOUTH: 2.2667 * NORTH: 2.2667
	DATE/TIME START: 1991-05-03T00:00:00 * DATE/TIME END: 1991-05-03T00:00:00
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 8.6 m
Event(s):	GeoB1505-2 * LATITUDE: 2.2667 * LONGITUDE: -33.0150 * ELEVATION: -3706.0 m * DATE/TIME: 1991-05-03T00:00:00 * RECOVERY: 8.50 m * PENETRATION: 0.00 m * LOCATION: Brazil Basin * CAMPAIGN: M16/2 (URI: urn:nbn:de:gbv:46-ep000101586) * BASIS: Meteor (1986) (URI: http://www.ifm.uni-hamburg.de/ves/ves_meteor.html) * DEVICE: Gravity corer (Kiel type)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Age model [ka] (Age model) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: Age model, SPECMAP chronology, Imbrie et al (1984, in Berger et al, Reidel Pub)
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251
	Carbon, organic, total [%] (TOC) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Density, dry bulk [g/ccm] (DBD) * PI: Müller, Peter J * METHOD: calculated from weight/volume
	Calcium carbonate [%] (CaCO3) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: Element analyser CHN
	Aluminium [%] (Al) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: HF/HNO3/H2O2 pressure digestion
	Titanium [%] (Ti) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: HF/HNO3/H2O2 pressure digestion
	Barium [mg/kg] (Ba) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: HF/HNO3/H2O2 pressure digestion
	Magnesium [%] (Mg) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: HF/HNO3/H2O2 pressure digestion
	Potassium [%] (K) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: HF/HNO3/H2O2 pressure digestion
	Iron [%] (Fe) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: HF/HNO3/H2O2 pressure digestion
	Manganese [%] (Mn) * PI: Zabel, Matthias (eMail: mzabel@geochemie.uni-bremen.de) * METHOD: HF/HNO3/H2O2 pressure digestion
Size:	1935 data points
*/
Depth [m]	Age model [ka]	C. wuellerstorfi d18O [per mil PDB]	TOC [%]	DBD [g/ccm]	CaCO3 [%]	Al [%]	Ti [%]	Ba [mg/kg]	Mg [%]	K [%]	Fe [%]	Mn [%]
0.025	1.13	2.39	0.279	0.81	76.1	1.706	0.095	150	0.36	0.37	0.94	0.04
0.075	3.40	2.35	0.241	0.79	77.9	1.613	0.088	153	0.37	0.36	0.90	0.04
0.125	5.67	2.48	0.305	0.77	76.1	1.828	0.094	216	0.40	0.38	1.00	0.06
0.175	7.93	3.06	0.157	0.74	65.8	2.929	0.148	325	0.52	0.60	1.59	0.13
0.225	10.20	2.69	0.169	0.70	56.2	3.992	0.209	453	0.63	0.84	2.11	0.37
0.275	12.47	3.38	0.210	0.68	53.0	4.228	0.229	533	0.65	0.87	2.42	0.31
0.325	14.73	3.86	0.195	0.66	48.8	4.569	0.253	612	0.67	0.95	2.64	0.31
0.375	17.00	3.77	0.252	0.66	47.1	4.581	0.258	629	0.69	0.97	2.79	0.26
0.425	18.44		0.229	0.70	53.4	4.315	0.235	530	0.64	0.94	2.49	0.34
0.475	19.89	3.75	0.166	0.72	54.8	4.202	0.231	480	0.64	0.92	2.47	0.35
0.525	21.33		0.174	0.72	53.0	4.214	0.235	494	0.63	0.96	2.54	0.30
0.575	22.78	3.88	0.179	0.72	52.7	4.419	0.256	455	0.66	0.94	2.55	0.33
0.625	24.22	3.83	0.267	0.73	50.0	4.494	0.254	451	0.68	0.99	2.55	0.81
0.675	25.67	3.90	0.336	0.74	55.7	4.071	0.220	420	0.65	0.93	2.32	0.16
0.725	27.11	4.30	0.356	0.72	55.5	4.047	0.226	427	0.65	0.94	2.39	0.05
0.775	28.56	3.62	0.294	0.70	58.3	3.854	0.210	378	0.64	0.85	2.18	0.11
1.075	33.27	3.20	0.293	0.72	64.2	3.229	0.168	296	0.55	0.76	1.63	0.07
1.125	35.53		0.237	0.68	58.9	3.865	0.203	350	0.58	0.88	2.01	0.07
1.175	37.80	3.56	0.248	0.71	52.8	4.173	0.227	393	0.64	0.99	2.47	0.08
1.225	40.07	3.31	0.234	0.73	58.5	3.549	0.191	347	0.56	0.86	2.10	0.08
1.275	42.33	3.17	0.253	0.74	58.9	3.562	0.190	333	0.55	0.85	1.99	0.08
1.325	44.60	3.30	0.259	0.77	60.5	3.412	0.190	315	0.54	0.81	1.91	0.08
1.375	46.87	3.34	0.198	0.75	62.8	3.322	0.185	284	0.52	0.78	1.86	0.08
1.425	49.13		0.248	0.75	55.2	4.064	0.231	326	0.61	0.92	2.27	0.08
1.475	51.40	3.32	0.204	0.79	61.7	3.385	0.182	293	0.54	0.82	1.87	0.08
1.525	53.67	3.12	0.220	0.79	67.5	2.903	0.149	274	0.47	0.68	1.47	0.08
1.575	55.93		0.196	0.78	64.9	3.037	0.151	276	0.49	0.71	1.56	0.08
1.625	58.20	3.22	0.299	0.75	64.5	3.508	0.178	318	0.56	0.79	1.92	0.08
1.675	60.47		0.235	0.74	59.1	3.934	0.203	367	0.62	0.87	2.28	0.09
1.725	62.73	3.24	0.290	0.71	53.9	4.201	0.221	411	0.62	0.93	2.38	0.08
1.775	65.00	3.54	0.259	0.69	43.9	5.177	0.274	511	0.72	1.19	2.99	0.08
1.825	66.58	3.74	0.288	0.70	44.0	5.019	0.273	474	0.71	1.13	3.02	0.08
1.875	68.17	3.72	0.206	0.70	48.3	5.079	0.279	466	0.70	1.14	3.07	0.08
1.925	69.75	3.78	0.309	0.70	43.1	5.303	0.296	444	0.74	1.13	3.26	0.09
1.975	71.33	3.27	0.250	0.70	43.7	4.970	0.281	361	0.64	1.01	2.91	0.08
