POP Project: MD952042 Benthonics on SFCP 2004 Timescale | Department of Earth Sciences - Main Site» 
Skip to main content» Skip to main navigation menuUniversity of Cambridge 800 
years: 1209 - 2009 Department of Earth Sciences, Cambridge 
   
  HomeAdmissionsTeachingResearchResourcesContactPeopleNewsLibraryMuseumNewsClimate 
  ChangeGeophysicsMineral SciencesPalaeobiologyPetrologyGroups, Institutes, and 
  ProjectsResearch » Groups, Institutes, and Projects » Pole-Ocean-Pole (POP) 
Project » POP Project: MD952042 Benthonics on SFCP 2004 TimescalePOP Project: 
MD952042 Benthonics on SFCP 2004 Timescale
Core name: MD952042 benthonics on SFCP 2004 timescale.  Please cite the 
following reference(s) in connection with this data: Absolute calibration of the 
Greenland time scale: implications for Antarctic time scales and for ?14C (N.J 
Shackleton, R.G Fairbanks, Tzu-chien Chiu, F. Parrenin, 2004, Quaternary Science 
Reviews 23 (2004) 1513-1522)   DATA BEGINS age SFCP	benthic		3-PT RUNNING MEAN	
(ka)		mean O-18	benthic O-18   	
0.006		3.37		3.37	
0.153		3.28		3.33	
0.758		3.39		3.31	
1.515		3.27		3.32	
2.272		3.31		3.29	
3.785		3.30		3.26	
4.542		3.16		3.32	
5.298		3.49		3.35	
6.055		3.40		3.37	
6.812		3.22		3.35	
7.568		3.43		3.34	
8.325		3.36		3.33	
9.082		3.19		3.33	
9.460		3.43		3.48	
9.838		3.83		3.63	
10.595		3.63		3.64	
11.352		3.45		3.58	
11.664		3.65		3.62	
11.909		3.77		3.79	
12.155		3.94		3.83	
12.400		3.78		3.81	
12.645		3.72		3.79	
12.891		3.86		3.86	
13.136		4.00		4.01	
13.382		4.17		4.17	
13.627		4.35		4.14	
13.873		3.91		4.17	
13.971		4.24		4.10	
14.069		4.16		4.19	
14.118		4.17		4.16	
14.167		4.14		4.17	
14.266		4.21		4.20	
14.364		4.25		4.19	
14.462		4.12		4.17	
14.560		4.13		4.12	
14.609		4.11		4.17	
14.658		4.27		4.26	
14.764		4.39		4.25	
14.864		4.08		4.28	
14.964		4.37		4.25	
15.065		4.30		4.34	
15.115		4.34		4.36	
15.165		4.44		4.41	
15.265		4.45		4.41	
15.366		4.35		4.37	
15.466		4.32		4.39	
15.567		4.52		4.43	
15.617		4.45		4.50	
15.667		4.53		4.56	
15.767		4.69		4.71	
15.868		4.92		4.79	
15.968		4.77		4.75	
16.068		4.57		4.66	
16.119		4.64		4.64	
16.169		4.70		4.68	
16.269		4.71		4.73	
16.370		4.78		4.78	
16.470		4.87		4.85	
16.570		4.90		4.84	
16.621		4.75		4.83	
16.671		4.84		4.82	
16.771		4.86		4.82	
16.871		4.76		4.78	
16.972		4.73		4.80	
17.072		4.90		4.80	
17.122		4.78		4.87	
17.173		4.91		4.88	
17.273		4.94		4.87	
17.373		4.77		4.88	
17.474		4.93		4.89	
17.574		4.98		5.03	
17.624		5.17		5.06	
17.674		5.03		5.08	
17.775		5.02		5.01	
17.875		4.98		5.02	
17.976		5.06		5.05	
18.076		5.11		5.05	
18.126		4.98		5.07	
18.176		5.13		5.08	
18.277		5.13		5.11	
18.377		5.08		5.09	
18.477		5.05		4.99	
18.578		4.83		4.97	
18.628		5.03		5.01	
18.678		5.15		5.06	
18.779		5.00		5.07	
18.879		5.06		5.06	
18.979		5.14		5.10	
19.080		5.10		5.06	
19.180		4.96		5.02	
19.280		5.01		5.06	
19.381		5.20		5.12	
19.481		5.14		5.13	
19.582		5.04		5.08	
19.682		5.07		5.05	
19.782		5.06		5.05	
19.883		5.02		5.07	
19.983		5.12		5.09	
20.083		5.12		5.09	
20.184		5.02		5.06	
20.284		5.04		4.97	
20.385		4.85		5.00	
20.485		5.12		5.04	
20.585		5.14		5.08	
20.686		4.97		5.05	
20.786		5.05		4.97	
20.912		4.89		5.02	
20.987		5.13		5.01	
21.087		5.02		5.07	
21.188		5.05		5.02	
21.288		5.00		5.01	
21.388		4.98		5.00	
21.489		5.03		5.01	
21.589		5.01		5.00	
21.690		4.96		4.99	
21.790		5.01		4.99	
21.890		5.00		5.04	
21.991		5.11		5.02	
22.091		4.95		5.01	
22.191		4.96		4.97	
22.292		4.99		4.94	
22.392		4.86		4.94	
22.493		4.96		4.94	
22.593		4.99		4.97	
22.693		4.97		4.98	
22.794		5.00		4.88	
22.894		4.68		4.89	
22.994		4.98		4.75	
23.095		4.59		4.84	
23.195		4.95		4.81	
23.296		4.89		4.93	
23.496		4.96		4.93	
23.597		4.95		4.87	
23.647		4.70		4.84	
23.697		4.86		4.82	
23.797		4.91		4.79	
23.998		4.60		4.78	
24.099		4.84		4.85	
24.149		5.10		4.90	
24.195		4.77		4.89	
24.288		4.79		4.77	
24.381		4.73		4.76	
24.474		4.77		4.80	
24.566		4.89		4.78	
24.659		4.68		4.76	
24.752		4.71		4.72	
24.938		4.77		4.80	
25.030		4.93		4.88	
25.123		4.95		4.89	
25.216		4.79		4.94	
25.309		5.08		4.93	
25.402		4.92		4.98	
25.494		4.93		4.93	
25.587		4.93		4.89	
25.680		4.83		4.92	
25.866		5.00		4.87	
25.958		4.77		4.86	
26.051		4.82		4.80	
26.144		4.82		4.85	
26.237		4.91		4.90	
26.330		4.98		4.91	
26.422		4.85		4.90	
26.515		4.87		4.90	
26.608		4.98		4.86	
26.794		4.73		4.86	
26.886		4.87		4.84	
26.979		4.91		4.88	
27.072		4.87		4.84	
27.165		4.75		4.78	
27.258		4.73		4.80	
27.350		4.93		4.85	
27.443		4.91		4.93	
27.536		4.96		4.90	
27.629		4.83		4.93	
27.722		5.01		4.92	
27.814		4.93		4.85	
27.907		4.61		4.80	
28.000		4.87		4.74	
28.093		4.74		4.82	
28.186		4.85		4.81	
28.464		4.84		4.78	
28.557		4.65		4.68	
28.650		4.57		4.66	
28.765		4.76		4.72	
28.903		4.82		4.73	
29.033		4.62		4.71	
29.145		4.70		4.69	
29.257		4.75		4.68	
29.369		4.60		4.59	
29.593		4.43		4.58	
29.705		4.71		4.58	
29.817		4.61		4.67	
29.929		4.71		4.63	
30.041		4.59		4.61	
30.138		4.52		4.55	
30.222		4.55		4.54	
30.305		4.54		4.58	
30.388		4.65		4.61	
30.472		4.63		4.64	
30.555		4.65		4.71	
30.639		4.85		4.70	
30.722		4.61		4.74	
30.805		4.76		4.72	
30.889		4.78		4.71	
30.972		4.59		4.66	
31.055		4.62		4.67	
31.139		4.80		4.70	
31.222		4.67		4.70	
31.306		4.64		4.63	
31.389		4.59		4.69	
31.472		4.85		4.65	
31.556		4.50		4.62	
31.639		4.51		4.56	
31.723		4.68		4.65	
31.872		4.75		4.74	
32.021		4.80		4.76	
32.171		4.74		4.74	
32.320		4.69		4.70	
32.469		4.68		4.73	
32.619		4.83		4.76	
32.768		4.76		4.80	
32.917		4.80		4.72	
33.067		4.61		4.67	
33.216		4.59		4.58	
33.365		4.55		4.54	
33.500		4.47		4.55	
33.621		4.63		4.58	
33.741		4.64		4.66	
33.861		4.70		4.68	
33.982		4.69		4.70	
34.102		4.71		4.68	
34.222		4.65		4.62	
34.343		4.52		4.59	
34.463		4.60		4.60	
34.583		4.69		4.62	
34.696		4.57		4.61	
34.803		4.58		4.53	
34.909		4.44		4.55	
35.015		4.65		4.55	
35.122		4.55		4.60	
35.228		4.61		4.58	
35.334		4.59		4.55	
35.440		4.47		4.54	
35.493		4.56		4.53	
35.558		4.55		4.62	
35.712		4.74		4.59	
35.865		4.49		4.53	
36.019		4.36		4.41	
36.172		4.39		4.37	
36.249		4.38		4.34	
36.319		4.24		4.34	
36.449		4.42		4.34	
36.579		4.38		4.40	
36.708		4.39		4.41	
36.838		4.46		4.44	
36.967		4.46		4.50	
37.097		4.59		4.53	
37.227		4.54		4.55	
37.384		4.51		4.48	
37.569		4.39		4.41	
37.753		4.34		4.43	
37.938		4.55		4.42	
38.122		4.36		4.45	
38.307		4.44		4.39	
38.492		4.38		4.36	
38.676		4.25		4.30	
38.861		4.26		4.27	
39.008		4.31		4.28	
39.118		4.27		4.29	
39.228		4.28		4.29	
39.337		4.32		4.28	
39.447		4.23		4.32	
39.556		4.41		4.36	
39.666		4.45		4.44	
39.776		4.45		4.48	
39.885		4.53		4.50	
39.995		4.52		4.54	
40.105		4.58		4.55	
40.214		4.57		4.60	
40.324		4.64		4.63	
40.433		4.67		4.63	
40.543		4.58		4.64	
40.668		4.65		4.65	
40.807		4.73		4.60	
40.947		4.41		4.65	
41.086		4.82		4.61	
41.226		4.61		4.71	
41.365		4.69		4.66	
41.505		4.69		4.66	
41.644		4.61		4.62	
41.784		4.57		4.55	
41.923		4.49		4.52	
42.063		4.52		4.53	
42.182		4.58		4.44	
42.281		4.20		4.48	
42.380		4.64		4.55	
42.480		4.82		4.74	
42.579		4.75		4.74	
42.678		4.65		4.65	
42.777		4.56		4.58	
42.959		4.53		4.61	
43.224		4.73		4.60	
43.489		4.54		4.55	
43.754		4.38		4.47	
43.947		4.49		4.47	
44.068		4.55		4.56	
44.189		4.65		4.56	
44.310		4.49		4.62	
44.431		4.72		4.54	
44.552		4.43		4.64	
44.673		4.77		4.61	
44.794		4.62		4.62	
44.977		4.48		4.51	
45.222		4.41		4.46	
45.467		4.49		4.47	
45.712		4.50		4.48	
45.957		4.45		4.44	
46.201		4.36		4.40	
46.446		4.39		4.37	
46.691		4.36		4.27	
46.936		4.07		4.22	
47.181		4.23		4.18	
47.377		4.23		4.18	
47.525		4.08		4.24	
47.672		4.41		4.26	
47.820		4.28		4.40	
47.967		4.52		4.45	
48.115		4.54		4.50	
48.262		4.45		4.47	
48.410		4.41		4.51	
48.558		4.67		4.51	
48.705		4.45		4.56	
48.853		4.55		4.57	
49.000		4.71		4.62	
49.148		4.60		4.64	
49.296		4.61		4.56	
49.443		4.48		4.56	
49.720		4.57		4.61	
49.997		4.78		4.70	
50.274		4.74		4.71	
50.551		4.60		4.66	
50.828		4.64		4.59	
51.105		4.53		4.54	
51.382		4.46		4.48	
51.659		4.44		4.43	
51.936		4.38		4.44	
52.213		4.50		4.36	
52.490		4.19		4.37	
52.767		4.42		4.31	
53.321		4.34		4.34	
53.598		4.26		4.27	
53.875		4.21		4.31	
54.152		4.45		4.38	
54.377		4.48		4.45	
54.550		4.42		4.46	
54.723		4.47		4.39	
54.897		4.27		4.43	
55.070		4.55		4.42	
55.243		4.43		4.50	
55.417		4.51		4.47	
55.590		4.48		4.43	
55.763		4.30		4.46	
55.937		4.59		4.50	
56.067		4.60		4.62	
56.197		4.65		4.57	
56.364		4.45		4.56	
56.569		4.58		4.53	
56.843		4.56		4.54	
57.116		4.47		4.44	
57.321		4.28		4.38	
57.526		4.40		4.38	
57.731		4.48		4.40	
57.952		4.32		4.33	
58.077		4.19		4.31	
58.245		4.42		4.32	
58.412		4.36		4.31	
58.579		4.16		4.16	
