# NOAA Paleoclimatology Program - Paleocean Site Data
# md952042_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             O. Cayre
# Core/Site:      MD952042
# Latitude:       37.48.00N	( 37.8)
# Longitude:      10.10.00W	( -10.16667)
# Water Depth(m): 3146
#
# Publications:
#   Cayre, O., Y. Lancelot, E. Vincent, and M.A. Hall. 1999. Paleoceanographic reconstructions
#     from planktonic foraminifera off the Iberian Margin: Temperature, salinity and
#     Heinrich Events. Paleoceanongraphy 14(3):384-396.
#------------------
#
# Description & Notes:
#   Oxygen and Carbon Isotopic Data of Core MD952042.
#   Data precision : O.1 per mil
#
# Variables:
#             depth         Depth (cm)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#
# CORE: MD952042
depth         d13C          d18O          
 0            -1.06          0.27         
 20           -1.38          0.33         
 40           -1.16          0.27         
 60           -1.23          0.15         
 80           -1.07          0.21         
 100          -1.23          0.3          
 120          -1.3           0.18         
 140          -1.33          0.3          
 160          -1.4           0.08         
 180          -1.41          0.27         
 200          -1.57          0.15         
 220          -1.42          0.24         
 240          -1.35          0.29         
 250          -1.44          0.12         
 260          -1.15          0.46         
 270          -1.35          0.48         
 280          -1.54          0.24         
 290          -1.22          0.4          
 300          -1.55          0.55         
 310          -0.62          1.01         
 320          -0.92          1.3          
 330          -0.43          1.58         
 340          -0.75          1.81         
 350          -0.46          1.73         
 360          -0.86          1.48         
 370          -0.72          1.46         
 380          -1.16          1.24         
 390          -0.79          1.34         
 400          -1.15          1.18         
 410          -1.22          1.07         
 420          -1.49          1.05         
 430          -1.48          1.22         
 440          -1.48          1.64         
 450          -0.73          2.22         
 460          -1.07          2.19         
 470          -0.67          2.3          
 480          -1.02          2            
 490          -0.83          2.05         
 500          -1.05          2.31         
 510          -0.84          2.12         
 520          -1.03          2.34         
 530          -0.86          2.56         
 540          -0.92          2.67         
 550          -1.84          2.48         
 560          -0.77          2.57         
 570          -0.68          2.95         
 580          -0.82          2.91         
 590          -1.04          2.59         
 600          -1.08          2.6          
 620          -1.28          2.29         
 640          -1.72          2.08         
 660          -1.47          2.05         
 680          -1.38          2.11         
 700          -1.65          1.99         
 720          -1.56          2.2          
 740          -1.63          2.05         
 760          -1.4           2.08         
 780          -1.52          2.14         
 790          -1.57          1.81         
 800          -1.64          1.93         
 810          -1.62          1.79         
 820          -0.97          2.54         
 840          -0.73          2.37         
 860          -1.01          1.96         
 880          -1.1           2.31         
 900          -0.76          2.66         
 920          -0.84          2.57         
 940          -1.12          2.47         
 960          -1.38          2.14         
 980          -1.16          2.29         
 1000         -1.23          1.97         
 1020         -1.01          1.8          
 1040         -1.11          2.01         
 1060         -0.96          2.38         
 1080         -0.78          2.08         
 1100         -0.81          2.17         
 1120         -0.98          2.32         
 1140         -0.73          2.06         
 1160         -0.8           1.93         
 1180         -0.82          1.83         
 1200         -0.7           2.18         
 1220         -1.06          1.98         
 1240         -1.1           1.9801       
 1250         -0.81          1.73         
 1260         -1.11          1.33         
 1270         -1.08          1.14         
 1280         -0.85          2.09         
 1300         -0.94          2.2          
 1310         -1.56          1.33         
 1320         -1.17          1.29         
 1340         -1.18          1.57         
 1360         -0.98          2.25         
 1380         -0.94          2.08         
 1400         -1.18          2.06         
 1420         -1.34          1.53         
 1440         -1.56          1.33         
