hole	core	sect	interv	MCD	age (kyrs)	cib 18O	cib 13C	bull 18O	 bull 13C 	%CaCO3	%IRD
982A	1	1	 2-4	0.02	0	2.24	1.01	1.32	0.02	79.67	0.2008
982A	1	1	 7-9	0.07	0.6	2.27	0.79	1.48	-0.33	79.50	0.0000
982A	1	1	 12-14	0.12	1.2	2.27	1.00	1.48	-0.15	77.92	0.0000
982A	1	1	17-19	0.17	1.8	2.27	1.00	1.42	-0.16	82.25	0.0000
982A	1	1	22-24	0.22	2.4	2.20	1.08	1.32	-0.27	79.17	0.0000
982A	1	1	27-29	0.27	3	2.22	1.07	1.16	-0.13	80.33	0.0000
982A	1	1	32-34	0.32	3.6	2.19	0.94	1.44	-0.21	78.75	0.1988
982A	1	1	37-39	0.37	4.5875	2.27	0.79	1.42	-0.17	72.00	0.2008
982A	1	1	42-44	0.42	5.5921	2.26	0.97	1.57	-0.74	74.67	1.2295
982A	1	1	47-49	0.47	6.5967	2.19	1.00	1.51	-0.78	67.50	1.4113
982A	1	1	52-54	0.52	7.6014	2.39	0.96	1.47	-0.77	68.42	1.2245
982A	1	1	57-59	0.57	8.606	2.11	0.52	1.59	-0.89	61.83	2.0121
982A	1	1	62-64	0.62	10.962	3.28	1.21	1.82	-1.18	45.83	3.3613
982A	1	1	67-69	0.67	13.442	2.78	0.62	2.42	-0.81	46.33	4.8218
982A	1	1	72-74	0.72	15.923	3.82	1.35	2.79	-0.76	31.75	5.3305
982A	1	1	77-79	0.77	18.404	3.83	1.43	1.28	-0.62	37.25	3.3096
982A	1	1	82-84	0.82	20.885	3.90	1.44	3.16	-0.91	30.75	4.2017
982A	1	1	87-89	0.87	23.365	3.76	1.33	3.28	-0.63	36.67	3.9749
982A	1	1	92-94	0.92	25.846	3.74	1.26	3.03	-0.73	31.17	4.2553
982A	1	1	97-99	0.97	28.327	2.35	1.07	2.20	-0.70	51.75	3.6093
982A	1	1	102-104	1.02	30.808	3.59	1.44	3.14	-0.55	74.97	4.4492
982A	1	1	107-109	1.07	33.288	3.58	1.22	3.47	-0.58	42.33	2.7311
982A	1	1	112-114	1.12	35.769	3.54	1.29	3.36	-0.24	44.75	0.6000
982A	1	1	117-119	1.17	38.25	3.49	1.08	2.99	-0.52	54.58	1.2295
982A	1	1	122-124	1.22	40.731	3.47	1.12	3.18	-0.58	59.42	1.6260
982A	1	1	127-129	1.27	43.212	3.32	1.12	2.92	-0.55	56.25	2.0325
982A	1	1	132-134	1.32	45.692	3.22	1.39	2.93	-0.30	42.58	0.8147
