/* DATA DESCRIPTION:
Citation:	Pierre, C et al. (2001): (Table T1) Sample identification, depth, age, and oxygen and carbon isotopic compositions of the planktic and benthic foraminifers, ODP Hole 175-1087A, doi:10.1594/PANGAEA.198760,
	In Supplement to: Pierre, Catherine; Saliege, J F; Urrutiaguer, M J; Giraudeau, Jaques (2001): Stable isotope record of the last 500 k.y. at Site 1087 (Southern Cape Basin), In: Wefer, G., Berger, W.H., and Richter, C. (eds.), Proceedings of the Ocean Drilling Program, Scientific Result, 175, 1-22 (online), doi:10.2973/odp.proc.sr.175.230.2001
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 15.3109 * EAST: 15.3109 * SOUTH: -31.4647 * NORTH: -31.4647
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 500.000 ka BP
	DATE/TIME START: 1997-10-03T02:10:00 * DATE/TIME END: 1997-10-03T22:25:00
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 13.0 m
Event(s):	175-1087A * LATITUDE: -31.4647 * LONGITUDE: 15.3109 * ELEVATION: -1371.6 m * DATE/TIME: 1997-10-03T02:10:00 * DATE/TIME 2: 1997-10-03T22:25:00 * RECOVERY: 252.40 m * PENETRATION: 255.20 m * LOCATION: Benguela Current * CAMPAIGN: Leg175 (URI: doi:10.2973/odp.proc.ir.175.1998) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Drilling * COMMENT: 27 cores; 255.2 m cored; 0 m drilled; 98.9 % recovery
Comment:	Timescale calibration after Imbrie et al., (1984), Martinson et al. (1987), and Bassinot et al. (1994). Linear interpolation was applied between adjacent age control-points, assuming a constant sedimentation rate within the time interval.
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Sample code/label (Label) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globorotalia inflata, d18O [per mil PDB] (G. inflata d18O) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: Mass spectrometer Optima-Isogas triple collector
	Globorotalia inflata, d13C [per mil PDB] (G. inflata d13C) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: Mass spectrometer Optima-Isogas triple collector
	Globigerina bulloides, d18O [per mil PDB] (G. bulloides d18O) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: Mass spectrometer Optima-Isogas triple collector
	Globigerina bulloides, d13C [per mil PDB] (G. bulloides d13C) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: Mass spectrometer Optima-Isogas triple collector
	Globigerinoides ruber, d18O [per mil PDB] (G. ruber d18O) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: Mass spectrometer Optima-Isogas triple collector
	Globigerinoides ruber, d13C [per mil PDB] (G. ruber d13C) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: Mass spectrometer Optima-Isogas triple collector
	Cibicides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: Mass spectrometer Optima-Isogas triple collector
	Cibicides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Pierre, Catherine (eMail: Catherine.Pierre@lodyc.jussieu.fr) * METHOD: Mass spectrometer Optima-Isogas triple collector
Size:	1911 data points
*/
Depth [m]	Age [ka BP]	Label	G. inflata d18O [per mil PDB]	G. inflata d13C [per mil PDB]	G. bulloides d18O [per mil PDB]	G. bulloides d13C [per mil PDB]	G. ruber d18O [per mil PDB]	G. ruber d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]	C. wuellerstorfi d13C [per mil PDB]
0.00	0	175-1087A-1H-1,0-3	1.11	0.91	1.42	-0.58	0.43	0.70	2.51	0.49
0.05	1	175-1087A-1H-1,5-8	1.07	1.03	1.18	-0.44	0.24	1.15	2.51	0.58
0.10	2	175-1087A-1H-1,10-13	0.91	0.98	1.16	-1.00	0.35	0.75	2.44	0.38
0.15	3	175-1087A-1H-1,15-18	0.99	1.00	1.12	-0.66	0.09	0.82	2.91	0.33
0.20	4	175-1087A-1H-1,20-23	0.63	0.63	1.29	-0.76	0.14	0.96		
0.25	5	175-1087A-1H-1,25-28	0.84	0.74	1.43	-0.64	0.58	0.82	2.55	0.29
0.30	6	175-1087A-1H-1,30-33	1.27	0.92	1.44	-0.35	0.58	0.89	2.77	0.49
0.35	7	175-1087A-1H-1,35-38	1.27	1.04	1.77	-0.45	0.51	0.76		
0.40	8	175-1087A-1H-1,40-43	1.23	0.79	1.37	-0.75	0.66	0.66	2.75	0.36
0.45	10	175-1087A-1H-1,45-48	1.23	0.43	1.53	-0.62	0.55	0.68	2.69	0.31
0.50	11	175-1087A-1H-1,50-53	1.87	0.60	1.68	-0.25	0.72	0.70	3.23	0.32
0.55	12	175-1087A-1H-1,55-58	1.63	0.58	2.19	-0.77	0.95	0.62	3.63	0.18
0.60	14	175-1087A-1H-1,60-63	2.34	0.40	2.41	-0.01	1.03	0.59	3.75	0.45
0.65	16	175-1087A-1H-1,65-68	2.38	0.81	1.88	-0.75	1.35	0.86	3.87	0.22
0.70	17	175-1087A-1H-1,70-73	1.83	1.04	2.55	-0.62	0.91	0.79	3.57	0.01
0.75	19	175-1087A-1H-1,75-78	2.07	0.75	2.05	-0.57	0.93	0.70	4.03	0.40
0.80	25	175-1087A-1H-1,80-83	1.77	0.61	2.07	-0.46	0.91	0.74	3.90	0.38
0.85	30	175-1087A-1H-1,85-88	1.59	0.58	1.43	-0.86	0.94	0.81	3.58	0.53
0.90	36	175-1087A-1H-1,90-93	1.86	0.70	1.72	-0.60	0.96	0.65	3.83	0.56
0.95	41	175-1087A-1H-1,95-98	2.28	0.74	1.58	-0.37	0.80	0.91	3.66	0.54
1.00	47	175-1087A-1H-1,100-103	1.35	0.46	0.94	-0.96	0.67	0.87	3.45	0.40
1.05	52	175-1087A-1H-1,105-108	1.88	0.75	1.60	-0.43	0.69	0.85	3.19	0.44
1.10	54	175-1087A-1H-1,110-113	2.26	0.82	2.15	-0.11	0.94	0.71	3.84	0.27
1.15	56	175-1087A-1H-1,115-118	2.08	0.62	1.54	-0.35	0.66	0.60	3.40	0.24
1.20	58	175-1087A-1H-1,120-123	1.74	0.70	1.12	-0.80	0.86	0.67	3.51	0.27
1.25	60	175-1087A-1H-1,125-128	2.11	0.53	1.38	-0.44	0.86	0.68	3.85	0.29
1.30	62	175-1087A-1H-1,130-133	1.95	0.40	0.90	-0.87	0.76	0.88	3.60	0.15
1.35	64	175-1087A-1H-1,135-138	1.97	0.53	1.35	-0.96	0.62	0.56	3.24	0.32
1.50	70	175-1087A-1H-2,0-3	2.07	0.84	1.69	-0.05	0.82	0.64	3.75	0.34
1.55	72	175-1087A-1H-2,5-8	1.73	0.47	0.98	-0.59	0.85	0.70	3.51	0.26
1.60	74	175-1087A-1H-2,10-13	1.53	1.13	1.03	-0.76	0.90	0.88	3.25	0.33
1.65	76	175-1087A-1H-2,15-18	1.71	0.70	0.74	-0.46	0.77	1.03	3.38	0.42
1.70	78	175-1087A-1H-2,20-23	2.21	1.29	1.19	-0.43	0.64	0.85	3.53	0.17
1.75	80	175-1087A-1H-2,25-28	1.49	0.79	0.62	-1.04	0.50	0.84	3.06	0.46
1.80	81	175-1087A-1H-2,30-33	1.36	0.87	0.59	-1.17	0.52	0.89	3.28	0.27
1.85	83	175-1087A-1H-2,35-38	1.10	0.76	0.71	-1.10	0.46	0.77	3.14	0.51
1.90	84	175-1087A-1H-2,40-43	1.15	0.71	1.06	-0.75	0.47	0.95	3.25	0.47
1.95	85	175-1087A-1H-2,45-48	1.13	0.87	0.55	-1.15	0.33	0.99	3.52	0.37
2.00	87	175-1087A-1H-2,50-53	1.42	1.12	0.82	-1.16	0.67	1.27	3.73	0.49
2.05	88	175-1087A-1H-2,55-58	1.32	0.96	0.98	-0.84	0.37	0.91	3.46	-0.16
2.10	90	175-1087A-1H-2,60-63	1.69	1.29	1.25	-0.80	0.52	1.13	3.22	0.14
2.15	91	175-1087A-1H-2,65-68	1.17	1.33	0.82	-0.92	0.24	0.95	3.56	0.44
2.20	92	175-1087A-1H-2,70-73	1.33	1.16	0.69	-0.95	0.46	0.88	3.28	0.35
2.25	94	175-1087A-1H-2,75-78	1.59	1.16	0.45	-0.98	0.23	1.32	3.06	0.21
2.30	95	175-1087A-1H-2,80-83	1.57	1.15	0.64	-0.70	0.30	1.08	2.94	0.58
2.35	96	175-1087A-1H-2,85-88	1.93	0.78	0.11	-1.09	0.28	0.88	3.23	0.55
2.40	98	175-1087A-1H-2,90-93	1.89	1.50	0.20	-1.37	0.71	1.38	3.11	0.20
2.45	99	175-1087A-1H-2,95-98	1.19	0.45	0.96	-0.88	0.20	0.76	2.89	0.51
2.50	101	175-1087A-1H-2,100-103	1.16	0.45	0.76	-1.01	0.38	0.55	3.40	0.27
2.65	107	175-1087A-1H-2,115-118	1.40	0.79	0.80	-1.14	0.31	0.83	3.16	0.15
2.75	111	175-1087A-1H-2,125-128	1.62	0.74	0.72	-1.02	0.67	0.95	2.88	-0.07
2.80	112	175-1087A-1H-2,130-133	0.91	0.79	0.82	-1.18	0.38	0.92	2.70	0.34
2.85	114	175-1087A-1H-2,135-138	0.87	0.69	0.39	-1.11	0.04	0.72	2.64	0.36
2.90	116	175-1087A-1H-2,140-143	1.41	0.71	0.96	-1.05	0.11	0.67	2.31	0.18
2.95	118	175-1087A-1H-2,145-148	1.21	0.49	0.82	-1.25			2.32	0.24
3.00	120	175-1087A-1H-3,0-3	1.06	0.39	1.08	-0.19	0.25	0.79	2.69	0.08
3.05	122	175-1087A-1H-3,5-8	1.39	0.42	1.39	-0.94	0.16	0.64	2.19	0.23
3.10	124	175-1087A-1H-3,10-13	1.61	0.31	1.45	-0.87	0.14	0.51	2.56	0.47
3.15	126	175-1087A-1H-3,15-18	1.54	0.33	1.36	-0.86	0.67	0.58	2.42	0.03
3.20	128	175-1087A-1H-3,20-23	2.38	0.41	1.67	-0.88	0.67	0.32	3.70	0.86
3.25	129	175-1087A-1H-3,25-28	2.07	0.45	1.89	-0.78	1.09	0.53	3.58	0.28
3.30	130	175-1087A-1H-3,30-33	2.10	0.54	1.54	-1.27	0.87	0.29	3.44	0.09
3.35	131	175-1087A-1H-3,35-38	2.16	0.51	1.81	-0.91	0.81	0.45	3.89	0.26
3.40	133	175-1087A-1H-3,40-43	1.71	0.28	1.53	-1.33	0.99	0.48	3.59	0.01
3.45	134	175-1087A-1H-3,45-48	2.20	0.35	1.03	-1.33	0.72	0.52	3.73	0.17
3.50	135	175-1087A-1H-3,50-53	2.12	0.56	1.11	-1.37	0.72	0.94	3.68	0.27
3.55	138	175-1087A-1H-3,55-58	2.13	0.69	1.13	-1.19	0.73	0.62	3.81	0.39
3.60	141	175-1087A-1H-3,60-63	2.22	0.25	1.07	-1.28	0.72	0.55	2.99	0.63
3.65	145	175-1087A-1H-3,65-68	1.72	0.25	1.10	-0.85	0.80	0.28	3.75	0.04
3.70	148	175-1087A-1H-3,70-73	1.34	0.84	1.35	-1.18	0.42	0.56	3.57	0.37
3.75	151	175-1087A-1H-3,75-78	1.84	0.53	1.26	-1.25	0.49	0.52	3.10	0.30
3.80	154	175-1087A-1H-3,80-83	1.82	0.48	1.58	-0.64	0.67	0.93	4.06	0.25
3.85	156	175-1087A-1H-3,85-88	1.79	0.62	0.89	-1.09	0.60	0.50		
3.90	159	175-1087A-1H-3,90-93	2.05	0.77	1.15	-0.99	0.82	0.45		
3.95	161	175-1087A-1H-3,95-98	1.86	0.70	1.30	-0.95	0.72	0.42		
4.00	164	175-1087A-1H-3,100-103	1.53	0.44	1.14	-1.23	0.49	0.60		
4.05	166	175-1087A-1H-3,105-108	1.36	0.67	0.77	-0.89	0.27	0.82	3.37	0.28
4.10	169	175-1087A-1H-3,110-113	1.89	0.77	1.26	-0.83	0.80	0.68	3.34	0.31
4.15	171	175-1087A-1H-3,115-118	1.86	0.41	1.22	-0.66	0.83	0.64	2.66	0.31
4.20	177	175-1087A-1H-3,120-123	1.40	0.99	1.26	-0.52	0.88	0.78	3.40	0.42
