
Scientific Results. Volume 177															
D. Hodell. Ms 177SR-120															
Chapter 9. Table T2.  d18O and d13C for the benthic and planktonic foraminifers. CaCO3. and percent fragmentation of planktonic foraminifers. Site 1089.															

Leg 177. Site 1089. Hole A   				 	 	 	 	 	 	 	 	 	 	 	
 Position: 40 deg 56.1865 min S. 9 deg 53.6447 min E								 	 	 	 	 	 	 	
 Water depth. mbrf ( APC Calc ): 4630.2m															



Site	Hole	Core	Section	IntervalTop(cm)	IntervalBottom(cm)	Depth(modified.mcd)	Age(ka)	d18O.F.bulloides(permil)	d13C.G.bulloides(permil)	d18O.Cibicidoides.(permil)	d13C.Cibicidoides.(permil)	Lab CaCO3.(wt%)	fragmentation.(%)	LabZ
1089	A	1	1	0	1.5	-0.24	0 NA	NA	NA	NA	SIO	NA	NA	UF
1089	A	1	1	5	6.5	-0.19	0.55	2.32	1.48	NA	NA	SIO	NA	88.2	UF
1089	A	1	1	10	11.5	-0.14	1.04	NA	NA	NA	NA	SIO	20	89.3	UF
1089	A	1	1	15	16.5	-0.09	1.49	NA	NA	NA	NA	SIO	19.6	91.2	UF
1089	A	1	1	20	21.5	-0.04	1.99	NA	NA	NA	NA	SIO	20.4	88.4	UF
1089	A	1	1	25	26.5	0.01	2.48	NA	NA	NA	NA	SIO	22.7	87.4	UF
1089	A	1	1	30	31.5	0.06	2.98	NA	NA	2.64	0.2	SIO	22.6	78.6	UF
1089	A	1	1	35	36.5	0.11	3.48	NA	NA	NA	NA	SIO	24	92.7	UF
1089	A	1	1	40	41.5	0.16	3.98	1.88	1.13	2.68	0.48	SIO	25.7	74	UF
1089	A	1	1	45	46.5	0.21	4.47	2.02	1.28	NA	NA	SIO	29.3	82.9	UF
1089	A	1	1	50	51.5	0.26	4.97	NA	NA	NA	NA	SIO	NA	NA	UF
1089	A	1	1	55	56.5	0.32	5.52	1.99	1.05	2.59	0.31	SIO	33.8	70.2	UF
1089	A	1	1	58.5	60	0.36	5.96	2.07	1.22	2.52	0.27	SIO	32.8	78.8	UF
1089	A	1	1	65	66.5	0.41	6.46	2.11	1.32	2.52	0.15	SIO	37.9	77.8	UF
1089	A	1	1	70	71.5	0.46	6.96	2.16	1.15	2.5	0.26	SIO	38.8	72.1	UF
1089	A	1	1	74	75.5	0.51	7.45	2.11	1.22	2.5	0.3	SIO	42.4	71.1	UF
1089	A	1	1	80	82	0.56	7.95	1.98	1.08	2.58	0.18	SIO	45.8	61	UF
1089	A	1	1	85	86.5	0.61	8.45	2.07	1.19	2.53	0.25	SIO	47.7	60.6	UF
1089	A	1	1	90	91.5	0.66	8.95	2.1	0.89	2.58	-0.04	SIO	46.3	56.2	UF
1089	A	1	1	95	96.5	0.73	9.41	1.89	1.01	2.57	0.37	SIO	46.4	67.8	UF
1089	A	1	1	100	101.5	0.76	9.63	1.99	0.91	2.6	0.42	SIO	NA	NA	UF
1089	A	1	1	105	106.5	0.82	9.98	2.07	1.04	NA	NA	SIO	53.6	58	UF
1089	A	1	1	110	111.5	0.86	10.27	2.11	0.93	2.59	0.11	SIO	54.1	50.9	UF
1089	A	1	1	115	116.5	0.91	10.59	1.93	0.63	2.66	-0.07	SIO	56.4	49.2	UF
1089	A	1	1	120	121.5	0.96	10.91	2.13	0.57	2.71	-0.36	SIO	55.3	48	UF
1089	A	1	1	125	126.5	1.01	11.22	2.05	0.61	2.93	-0.06	SIO	57	47.8	UF
1089	A	1	1	130	131.5	1.06	11.54	2.03	0.49	2.69	-0.13	SIO	57.8	40.3	UF
1089	A	1	1	135	136.5	1.11	11.86	2.09	0.56	2.77	0.15	SIO	57	40.6	UF
1089	A	1	1	140	141.5	1.16	12.18	2.15	0.43	2.97	-0.14	SIO	57.8	34	UF
1089	A	1	1	145	146.5	1.21	12.49	2.15	0.57	NA	NA	SIO	NA	21.3	UF
1089	A	1	2	0	1.5	1.26	12.81	2.3	0.33	NA	NA	SIO	NA	NA	UF
1089	A	1	2	5	6.5	1.32	13.16	2	0.04	3.1	0.02	SIO	57.2	23.9	UF
1089	A	1	2	10	11.5	1.37	13.48	2.29	-0.01	3.15	0.07	SIO	61.3	35	UF
1089	A	1	2	15	16.5	1.41	13.77	2.63	0.2	3.29	0.14	SIO	60.4	28.4	UF
1089	A	1	2	20	21.5	1.46	14.08	2.67	0.4	NA	NA	SIO	61.8	23.8	UF
1089	A	1	2	25	26.5	1.5	14.34	2.56	-0.07	3.43	0.01	SIO	61.1	25	UF
1089	A	1	2	30	31.5	1.57	14.75	2.6	0.06	3.6	-0.37	SIO	59.6	19.5	UF
1089	A	1	2	35	36.5	1.61	15	2.98	0.09	4.04	-0.59	SIO	58.8	47.1	UF
1089	A	1	2	40	41.5	1.66	15.21	2.7	0.21	3.47	-0.57	SIO	55.5	14.5	UF
1089	A	1	2	45	46.5	1.71	15.43	2.69	0	3.67	-0.21	SIO	52.3	17.7	UF
