Scientific Results, Volume 177
D. Hodell et al., Ms 177SR-120
Chapter 9, Table T4.  d18O and d13C of benthic and planktonic foraminifers and CaCO3 at Site 1090 and piston core TTN057-6.  																


Site/Hole	Core	Section	Interval top (cm)	Interval bottom (cm)	Depth (mcd)	Age (ka)	d18O C. wuellerstorfi (permil)	d13C C. wuellerstorfi (permil)	d18O C. kullenbergi (permil)	d13C C. kullenbergi (permil)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O N. pachyderma (permil)	d13C N. pachyderma (permil)	CaCO3	 (wt%)	Lab

	
TTNO57-6	PC4	IX	3	5	0.03	0.83			2.73	0.22	1.61	0.58	1.53	0.44	85.0	UF
TTNO57-6	PC4	IX	6	8	0.06	1.66			2.75	0.08	1.30	0.04	1.39	0.44	81.0	UF
TTNO57-6	PC4	IX	9	11	0.09	2.48	2.58	0.50	2.79	-0.01	1.78	0.61	1.35	0.75	86.4	UF
TTNO57-6	PC4	IX	12	14	0.12	3.31			2.63	0.20	1.53	0.42	1.24	0.66	83.0	UF
TTNO57-6	PC4	IX	15	17	0.15	4.14			2.76	0.30	1.47	0.03	1.38	0.58	85.0	UF
TTNO57-6	PC4	IX	18	20	0.18	4.97			2.67	0.13	1.79	0.35	1.35	0.59	85.9	UF
TTNO57-6	PC4	IX	21	23	0.21	5.79			2.71	0.19	1.83	0.40	1.30	0.55	87.6	UF
TTNO57-6	PC4	IX	24	26	0.24	6.62			2.84	-0.21	1.29	-0.11	1.49	0.49	87.8	UF
TTNO57-6	PC4	IX	27	29	0.27	7.45			2.75	-0.05	1.99	0.18	1.32	0.65	87.4	UF
TTNO57-6	PC4	IX	30	32	0.30	8.28			3.06	-0.33	1.80	-0.06	1.44	0.46	81.5	UF
TTNO57-6	PC4	IX	33	35	0.33	9.10			2.92	-0.34	2.03	-0.18	1.79	0.30	82.3	UF
TTNO57-6	PC4	IX	36	38	0.36	9.93			2.95	-0.38	2.12	-0.26	1.63	0.09	84.4	UF
TTNO57-6	PC4	IX	39	41	0.39	10.76	2.79	0.32	2.98	-0.20	2.05	0.15	1.71	0.42	85.7	UF
TTNO57-6	PC4	IX	42	44	0.42	11.59			3.56	-0.64	2.00	-0.73	1.87	0.30	83.2	UF
TTNO57-6	PC4	IX	45	47	0.45	12.41	3.59	0.22	3.74	-0.62	2.56	-0.17	2.15	0.10	85.2	UF
TTNO57-6	PC4	IX	48	50	0.48	13.24	3.95	-0.34	3.69	-0.68	2.68	-0.18	1.97	-0.14	81.8	UF
TTNO57-6	PC4	IX	51	53	0.51	14.07	4.09	-0.28	3.92	-0.91	2.34	-0.54	2.05	-0.04	82.3	UF
TTNO57-6	PC4	IX	54	56	0.54	14.90	4.03	-0.03	3.92	-0.66	2.69	-0.45	2.39	-0.17	73.7	UF
TTNO57-6	PC4	IX	57	59	0.57	15.74	3.59	0.16	3.92	-0.88	2.96	-0.19	2.41	-0.29	67.0	UF
TTNO57-6	PC4	IX	60	62	0.60	16.58			4.38	-0.61	2.91	-0.48	2.80	-0.69	63.3	UF
TTNO57-6	PC4	IX	63	65	0.63	17.42			4.23	-0.40	3.13	-0.36			59.9	UF
