Depth (mcd)	Species	13/12-C	18/16-O	13/12-C CW+0 glob+0.5	18/16-O CW+0.64 glob-0.1	Age.ka
50.2	 Cw	-0.01	3.21	-0.01	3.85	2632
50.3	 Cw	0.39	3.45	0.39	4.09	2648
50.35	 Cw	0.08	3.22	0.08	3.86	2656
50.4	 Cw	0.16	3.39	0.16	4.03	2664
50.45	 Globoc	-0.48	3.92	0.02	3.82	2672
50.5	 Cw	0.12	3.43	0.12	4.07	2680
50.55	 Globoc	-0.24	3.69	0.26	3.59	2688
50.6	 Globoc	-0.12	3.3	0.38	3.2	2696
50.65	 Globoc	-0.06	3.43	0.44	3.33	2704
50.7	Cib	0.29	2.78	0.29	3.42	2712
50.75	 Cw	-1.05	3.82	-1.05	4.46	2719
50.8	 Cw	-0.24	3.4	-0.24	4.04	2727
50.85	 Cw	-0.62	3.17	-0.62	3.81	2735
50.9	 Cw	-0.55	3.32	-0.55	3.96	2743
50.95	 Cw	-0.14	3.22	-0.14	3.86	2751
51	 Cw	0.82	3.11	0.82	3.75	2759
51.05	 glob	-0.14	3.63	0.36	3.53	2767
51.1	 Cw	0.43	2.92	0.43	3.56	2775
51.15	 Cw	0.8	3.13	0.8	3.77	2783
51.2	 Cw	0.44	3.19	0.44	3.83	2791
51.25	 Cw	0.41	3.13	0.41	3.77	2799
51.3	 Cw	0.62	3.1	0.62	3.74	2807
51.35	 Cw	0.84	3.16	0.84	3.8	2815
51.4	 glob	0.16	3.33	0.66	3.23	2823
51.45	Cw	0.54	3.11	0.54	3.11	2831
51.5	 Cw	0.6	3.33	0.6	3.97	2839
51.55	 Cw	0.8	3.31	0.8	3.95	2847
51.65	 Cw	0.69	3.27	0.69	3.91	2863
51.7	 Cw	0.93	3.08	0.93	3.72	2871
51.75	 Cw	0.4	2.91	0.4	3.55	2879
51.8	 Cw	0.71	3.1	0.71	3.74	2887
51.85	 Cw	0.74	3.19	0.74	3.83	2895
51.9	 Cw	0.47	2.84	0.47	3.48	2903
51.95	 Cw	0.72	3.14	0.72	3.78	2911
52	 Cw	0.37	2.95	0.37	3.59	2919
52.05	 Cw	0.64	3.05	0.64	3.69	2927
