/* DATA DESCRIPTION:
Citation:	Tian, J et al. (2002): Stable oxygen isotope ratios of Cibicidoides wuellerstorfi from the Plio-Pleistocene section of Site ODP 184-1143 in the South China Sea, doi:10.1594/PANGAEA.132801,
	In Supplement to: Tian, Jun; Wang, Pinxian; Cheng, Xinrong; Li, Qianyu (2002): Astronomically tuned Plio- Pleistocene benthic d18O record from South-China Sea and Atlantic-Pacific comparison, Earth and Planetary Science Letters, 203(3-4), 1015-1029, doi:10.1016/S0012-821X(02)00923-8
Reference(s):	Wang, Pinxian; Tian, Jun; Cheng, Xinrong; Liu, Cho-Teng; Xu, Jian (2003): Carbon reservoir changes preceded major ice-sheet expansion at the mid-Brunhes event, Geology, 31(3), 239-242, doi:10.1130/0091-7613(2003)031<0239:CRCPMI>2.0.CO;2
	Tian, Jun; Wang, Pinxian; Cheng, Xinrong (2004): Development of the East Asian monsoon and Northern Hemisphere glaciation: Oxygen isotope records from the South China Sea, Quaternary Science Reviews, 23(18-1), 2007-2016, doi:10.1016/j.quascirev.2004.02.013
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 113.2851 * EAST: 113.2851 * SOUTH: 9.3619 * NORTH: 9.3619
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 5020.610 ka BP
	DATE/TIME START: 1999-03-03T00:00:00 * DATE/TIME END: 1999-03-10T00:00:00
Event(s):	184-1143 * LATITUDE: 9.3619 * LONGITUDE: 113.2851 * ELEVATION: -2772.3 m * DATE/TIME: 1999-03-03T00:00:00 * DATE/TIME 2: 1999-03-10T00:00:00 * RECOVERY: 1101.80 m * PENETRATION: 1158.20 m * CAMPAIGN: Leg184 (URI: doi:10.2973/odp.proc.ir.184.2000) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 126 cores; 1158.2 m cored; 0 m drilled; 95.1% recovery
Comment:	All benthic foraminiferal data are based on Cibicidoides wuellerstorfi, or Uvigerina peregrina data corrected to C. wuellerstorfi values following the standard of Shackleton and Hall (1983, doi:10.2973/dsdp.proc.69.118.1983), 0.64‰ was subtracted from the delta18O values of U. peregrina
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: Intercore correlation
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: Mass spectrometer Finnigan MAT 252
	Sedimentation rate [cm/ka] (Sed rate) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: calculated, see reference(s)
Size:	5119 data points
*/
Age [ka BP]	Depth c [mcd]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]
0.000	0.00	2.34	0.00
3.600	0.10	2.67	2.78
17.439	0.80	4.23	5.06
18.767	0.90	4.16	7.53
24.078	1.30	4.05	7.53
28.061	1.60	4.04	7.53
29.389	1.70	4.04	7.53
30.717	1.80	3.92	7.53
33.372	2.00	4.02	7.53
35.400	2.20	3.36	9.86
36.100	2.30	3.76	14.29
37.342	2.40	3.72	8.05
38.583	2.50	3.81	8.05
41.067	2.70	3.80	8.05
42.308	2.80	3.87	8.05
43.550	2.90	3.76	8.05
44.792	3.00	3.79	8.05
46.033	3.10	3.84	8.05
47.275	3.20	3.91	8.05
48.517	3.30	3.74	8.05
49.758	3.40	3.47	8.05
51.000	3.50	3.46	8.05
52.217	3.60	3.64	8.22
53.433	3.70	3.52	8.22
54.650	3.80	3.64	8.22
55.867	3.90	3.64	8.22
57.083	4.00	3.53	8.22
58.300	4.10	3.56	8.22
59.517	4.20	3.60	8.22
60.733	4.30	3.53	8.22
61.950	4.40	3.42	8.22
63.167	4.50	3.63	8.22
64.383	4.60	3.61	8.22
65.600	4.70	3.57	8.22
66.817	4.80	3.28	8.22
68.033	4.90	3.71	8.22
71.683	5.20	3.69	8.22
72.900	5.30	3.22	8.22
73.889	5.40	3.52	10.11
74.878	5.50	3.26	10.11
75.867	5.60	3.42	10.11
76.856	5.70	3.12	10.11
77.844	5.80	3.35	10.11
78.833	5.90	3.20	10.11
79.822	6.00	3.14	10.11
81.800	6.20	3.12	10.11
87.367	6.30	3.16	1.80
92.933	6.40	3.37	1.80
98.500	6.50	2.75	1.80
100.033	6.60	3.17	6.52
101.567	6.70	3.40	6.52
103.100	6.80	3.06	6.52
104.633	6.90	2.98	6.52
106.167	7.00	3.18	6.52
107.700	7.10	2.72	6.52
109.233	7.20	3.25	6.52
110.767	7.30	3.29	6.52
112.300	7.40	3.33	6.52
113.833	7.50	3.28	6.52
115.367	7.60	2.93	6.52
116.900	7.70	3.01	6.52
124.189	8.10	2.41	5.49
126.023	8.20	3.39	5.45
129.718	8.40	3.52	5.41
131.565	8.50	3.39	5.41
137.106	8.80	4.07	5.41
138.953	8.90	4.15	5.41
140.800	9.00	3.88	5.41
141.833	9.10	4.11	9.68
142.867	9.20	3.90	9.68
143.900	9.30	3.91	9.68
144.933	9.40	3.93	9.68
145.967	9.50	3.95	9.68
147.000	9.60	3.87	9.68
151.912	9.90	4.04	6.11
156.825	10.20	3.98	6.11
158.463	10.30	4.05	6.11
160.100	10.40	3.80	6.11
161.338	10.50	4.01	8.08
162.575	10.60	4.06	8.08
163.812	10.70	3.94	8.08
165.050	10.80	3.77	8.08
166.287	10.90	3.93	8.08
167.525	11.00	3.76	8.08
168.762	11.10	3.86	8.08
170.000	11.20	3.62	8.08
172.866	11.30	3.73	3.49
175.731	11.40	3.94	3.49
178.597	11.50	3.67	3.49
184.328	11.70	3.63	3.49
187.194	11.80	3.81	3.49
187.767	11.82	3.30	3.49
194.300	11.92	2.95	1.53
