ODP 1143  (Leg 184)			 	Scientific Results. Volume 184						
 LATITUDE: 9.3619 				X. Cheng. J. Tian. and P. Wang. Ms 184-221						
LONGITUDE: 113.2851				Table T2. Oxygen and carbon isotope data for benthic foraminifers. Site 1143.						
ELEVATION: -2772.3 m 										
										
Notes: C.wuellerstorfi = Cibicidoides wuellerstorfi. U.peregrina = Uvigerina peregrina. d13C and d18O given in reference to Peedee belemnite standard. * = adjustment factor as per Shackleton et al. (1995).										
										
Core.section. interval(cm)	Depth(mbsf)	Depth(mcd)	Age(ka)	Species	d13C(raw)	d13C_adjustment.factor	d18O(raw)	d18O_adjustment.factor	d13C(final)	d18O(final)
1H-1. 0-2	0	0	0	C.wuellerstorfi	0.096	0	2.341	0.64	0.096	2.981
1H-1. 10-12	0.1	0.1	3.6	C.wuellerstorfi	0.243	0	2.668	0.64	0.243	3.308
1H-1. 80-82	0.8	0.8	17.44	U.peregrina	-0.777	0.9	4.87	0	0.123	4.87
1H-1. 90-92	0.9	0.9	18.77	C.wuellerstorfi	-0.121	0	4.159	0.64	-0.121	4.799
1H-1. 130-132	1.3	1.3	24.08	C.wuellerstorfi	-0.217	0	4.049	0.64	-0.217	4.689
1H-2. 10-12	1.6	1.6	28.06	C.wuellerstorfi	-0.129	0	4.037	0.64	-0.129	4.677
1H-2. 20-22	1.7	1.7	29.39	C.wuellerstorfi	-0.113	0	4.038	0.64	-0.113	4.678
1H-2. 30-32	1.8	1.8	30.72	C.wuellerstorfi	-0.189	0	3.92	0.64	-0.189	4.56
1H-2. 50-52	2	2	33.37	C.wuellerstorfi	-0.123	0	4.016	0.64	-0.123	4.656
1H-2. 70-72	2.2	2.2	35.4	C.wuellerstorfi	0.064	0	3.362	0.64	0.064	4.002
1H-2. 80-82	2.3	2.3	36.1	C.wuellerstorfi	-0.002	0	3.755	0.64	-0.002	4.395
1H-2. 90-92	2.4	2.4	37.34	C.wuellerstorfi	-0.073	0	3.716	0.64	-0.073	4.356
1H-2. 100-102	2.5	2.5	38.58	U.peregrina	-0.792	0.9	4.454	0	0.108	4.454
1H-2. 120-122	2.7	2.7	41.07	C.wuellerstorfi	-0.053	0	3.803	0.64	-0.053	4.443
1H-2. 130-132	2.8	2.8	42.31	C.wuellerstorfi	-0.262	0	3.87	0.64	-0.262	4.51
1H-2. 140-142	2.9	2.9	43.55	U.peregrina	-0.774	0.9	4.402	0	0.126	4.402
1H-3. 0-2	3	3	44.79	U.peregrina	-0.731	0.9	4.429	0	0.169	4.429
1H-3. 10-12	3.1	3.1	46.03	U.peregrina	-0.661	0.9	4.477	0	0.239	4.477
1H-3. 20-22	3.2	3.2	47.28	C.wuellerstorfi	0.033	0	3.912	0.64	0.033	4.552
1H-3. 30-32	3.3	3.3	48.52	C.wuellerstorfi	-0.219	0	3.736	0.64	-0.219	4.376
2H-3. 130-132	9.7	11.82	187.77	U.peregrina	-0.677	0.9	3.935	0	0.223	3.935
2H-3. 140-142	9.8	11.92	194.3	U.peregrina	-0.323	0.9	3.589	0	0.577	3.589
2H-4. 0-2	9.9	12.02	204.5	U.peregrina	-0.925	0.9	3.812	0	-0.025	3.812
2H-4. 10-12	10	12.12	206.33	C.wuellerstorfi	-0.044	0	3.064	0.64	-0.044	3.704
2H-4. 20-22	10.1	12.22	208.17	C.wuellerstorfi	-0.045	0	3.095	0.64	-0.045	3.735
2H-4. 30-32	10.2	12.32	210	C.wuellerstorfi	-0.076	0	2.881	0.64	-0.076	3.521
2H-4. 40-42	10.3	12.42	213.35	U.peregrina	-0.76	0.9	3.321	0	0.14	3.321
2H-4. 80-82	10.7	12.82	218.64	U.peregrina	-1.094	0.9	4.098	0	-0.194	4.098
2H-4. 90-92	10.8	12.92	219.28	C.wuellerstorfi	-0.389	0	3.695	0.64	-0.389	4.335
2H-4. 100-102	10.9	13.02	219.93	U.peregrina	-0.825	0.9	3.796	0	0.075	3.796
2H-4. 120-122	11.1	13.22	221.22	C.wuellerstorfi	-0.535	0	3.645	0.64	-0.535	4.285
2H-4. 140-142	11.3	13.42	222.51	U.peregrina	-0.97	0.9	4.066	0	-0.07	4.066
2H-5. 0-2	11.4	13.52	223.15	C.wuellerstorfi	-0.153	0	3.107	0.64	-0.153	3.747
2H-5. 10-12	11.5	13.62	223.8	U.peregrina	-0.951	0.9	4.361	0	-0.05	4.361
2H-5. 40-42	11.8	13.92	225.73	C.wuellerstorfi	-0.525	0	3.619	0.64	-0.525	4.259
2H-5. 60-62	12	14.12	227.02	U.peregrina	-1.041	0.9	4.539	0	-0.141	4.539
2H-5. 70-72	12.1	14.22	227.67	U.peregrina	-1.121	0.9	4.559	0	-0.221	4.559
2H-5. 80-82	12.2	14.32	228.32	C.wuellerstorfi	-0.445	0	3.647	0.64	-0.445	4.287
2H-5. 100-102	12.4	14.52	229.61	C.wuellerstorfi	-0.363	0	3.669	0.64	-0.363	4.309
2H-5. 120-122	12.6	14.72	230.9	C.wuellerstorfi	0.034	0	2.994	0.64	0.034	3.634
2H-5. 130-132	12.7	14.82	231.54	C.wuellerstorfi	-0.473	0	3.547	0.64	-0.473	4.187
2H-5. 140-142	12.8	14.92	232.19	C.wuellerstorfi	-0.573	0	3.734	0.64	-0.573	4.374
2H-6. 0-2	12.9	15.02	232.83	C.wuellerstorfi	-0.333	0	3.556	0.64	-0.333	4.196
2H-6. 10-12	13	15.12	233.48	U.peregrina	-0.893	0.9	4.114	0	0.007	4.114
2H-6. 20-22	13.1	15.22	234.61	C.wuellerstorfi	-0.126	0	2.99	0.64	-0.126	3.63
2H-6. 30-32	13.2	15.32	236.22	C.wuellerstorfi	-0.076	0	2.907	0.64	-0.076	3.547
2H-6. 60-62	13.5	15.62	241.07	C.wuellerstorfi	-0.312	0	3.004	0.64	-0.312	3.644
2H-6. 70-72	13.6	15.72	242.68	C.wuellerstorfi	-0.433	0	3.157	0.64	-0.433	3.797
2H-6. 80-82	13.7	15.82	244.3	C.wuellerstorfi	-0.259	0	3.609	0.64	-0.259	4.249
2H-6. 90-92	13.8	15.92	246.3	U.peregrina	-1.034	0.9	4.198	0	-0.134	4.198
2H-6. 100-102	13.9	16.02	248.3	C.wuellerstorfi	-0.434	0	3.669	0.64	-0.434	4.309
2H-6. 120-122	14.1	16.22	252.3	C.wuellerstorfi	-0.446	0	3.841	0.64	-0.446	4.481
3H-4. 20-22	19.6	22.32	345.93	U.peregrina	-1.116	0.9	4.543	0	-0.216	4.543
3H-4. 30-32	19.7	22.42	347	C.wuellerstorfi	-0.574	0	3.755	0.64	-0.574	4.395
3H-4. 40-42	19.8	22.52	349.5	C.wuellerstorfi	-0.606	0	3.956	0.64	-0.606	4.596
3H-4. 50-52	19.9	22.62	352	C.wuellerstorfi	-0.543	0	3.768	0.64	-0.543	4.408
3H-4. 60-62	20	22.72	354.5	C.wuellerstorfi	-0.493	0	3.764	0.64	-0.493	4.404
3H-4. 80-82	20.2	22.92	359.5	U.peregrina	-0.987	0.9	4.303	0	-0.087	4.303
3H-4. 90-92	20.3	23.02	362	C.wuellerstorfi	-0.391	0	3.536	0.64	-0.391	4.176
3H-4. 100-102	20.4	23.12	364.5	U.peregrina	-0.844	0.9	4.461	0	0.056	4.461
3H-4. 110-112	20.5	23.22	367.73	U.peregrina	-1.121	0.9	4.287	0	-0.221	4.287
3H-4. 120-122	20.6	23.32	370.97	C.wuellerstorfi	-0.3	0	3.466	0.64	-0.3	4.106
3H-4. 130-132	20.7	23.42	374.2	C.wuellerstorfi	-0.364	0	3.448	0.64	-0.364	4.088
3H-4. 140-142	20.8	23.52	380.13	U.peregrina	-1.148	0.9	4.257	0	-0.248	4.257
3H-5. 4-6	20.94	23.66	389.98	U.peregrina	-0.805	0.9	4.047	0	0.095	4.047
3H-5. 14-16	21.04	23.76	391.25	C.wuellerstorfi	-0.31	0	3.481	0.64	-0.31	4.121
3H-5. 24-26	21.14	23.86	392.51	C.wuellerstorfi	-0.241	0	3.519	0.64	-0.241	4.159
3H-5. 34-36	21.24	23.96	393.78	U.peregrina	-0.647	0.9	4.074	0	0.253	4.074
