age(ma)	PF-13C	PF-18O	age(Ma)	BF-13C	BF-18O
0.010 	0.659 	-2.029 	0.006 	-0.059 	2.358 
0.014 	0.767 	-0.805 	0.010 	-0.432 	2.841 
0.019 	0.887 	-0.962 	0.014 	-0.519 	4.028 
0.022 	0.833 	-0.988 	0.019 	-0.213 	4.086 
0.028 	0.899 	-1.311 	0.022 	-0.078 	4.170 
0.032 	1.234 	-1.707 	0.028 	-0.185 	3.762 
0.038 	1.103 	-1.632 	0.038 	-0.117 	3.655 
0.042 	1.228 	-1.553 	0.042 	-0.132 	3.544 
0.043 	1.101 	-1.457 	0.043 	-0.495 	3.795 
0.047 	1.296 	-1.495 	0.047 	-0.212 	3.559 
0.049 	0.952 	-1.059 	0.049 	-0.254 	3.520 
0.052 	1.137 	-1.665 	0.052 	-0.125 	3.646 
0.053 	0.976 	-1.703 	0.053 	-0.136 	3.520 
0.055 	0.937 	-1.707 	0.055 	-0.114 	3.514 
0.056 	0.947 	-1.773 	0.056 	0.087 	3.599 
0.058 	0.483 	-1.631 	0.058 	-0.187 	3.519 
0.061 	0.602 	-1.570 	0.061 	-0.518 	3.684 
0.080 	0.843 	-1.170 	0.065 	-0.306 	3.659 
0.087 	1.048 	-1.915 	0.080 	-0.348 	3.013 
0.092 	0.676 	-2.029 	0.087 	-0.041 	3.244 
0.099 	0.649 	-1.557 	0.092 	0.051 	3.185 
0.106 	1.159 	-1.780 	0.099 	-0.163 	3.102 
0.115 	0.527 	-2.317 	0.106 	-0.349 	3.235 
0.122 	0.239 	-1.785 	0.122 	-1.540 	2.768 
0.128 	0.223 	-1.434 	0.128 	-0.633 	3.241 
0.132 	0.168 	-1.040 	0.132 	-0.680 	3.779 
0.135 	0.581 	-0.682 	0.135 	-0.527 	3.932 
0.139 	0.801 	-0.894 	0.139 	-0.838 	3.790 
0.154 	0.767 	-1.612 	0.171 	-0.779 	3.707 
0.171 	0.276 	-1.180 	0.177 	-0.572 	3.760 
0.177 	0.610 	-0.587 	0.183 	-0.435 	3.876 
0.183 	0.611 	-1.303 	0.189 	-0.493 	3.515 
0.189 	0.917 	-1.595 	0.194 	-0.588 	3.340 
0.194 	0.594 	-2.307 	0.245 	-0.798 	3.506 
0.245 	0.804 	-2.104 	0.249 	-1.141 	3.617 
0.249 	0.803 	-2.013 	0.303 	-0.429 	3.285 
0.303 	0.565 	-1.177 	0.319 	0.002 	3.056 
0.319 	0.668 	-2.209 	0.331 	-0.126 	2.946 
0.331 	0.511 	-1.701 	0.341 	-0.582 	3.494 
0.334 	0.352 	-2.053 	0.362 	-0.027 	2.978 
0.338 	0.473 	-1.716 	0.405 	-0.296 	2.546 
0.341 	0.422 	-1.898 	0.414 	-0.545 	3.035 
0.362 	0.827 	-2.036 	0.434 	-1.015 	3.788 
0.405 	0.275 	-1.875 	0.444 	-0.469 	3.677 
0.414 	0.218 	-1.714 	0.456 	-0.576 	3.568 
0.434 	0.425 	-1.170 	0.467 	-1.129 	3.561 
0.444 	0.293 	-0.921 	0.480 	-0.577 	3.629 
0.456 	0.258 	-1.581 	0.502 	-0.546 	3.037 
0.467 	0.391 	-1.940 	0.524 	-0.392 	3.355 
0.480 	0.734 	-1.823 	0.538 	-1.405 	3.788 
0.502 	0.709 	-1.918 	0.541 	-0.234 	3.485 
0.524 	0.739 	-2.088 	0.563 	-1.423 	3.834 
0.538 	0.474 	-2.093 	0.565 	0.031 	3.488 
0.541 	0.709 	-1.418 	0.577 	0.207 	3.097 
0.560 	0.285 	-1.701 	0.587 	-1.326 	3.123 
0.563 	0.567 	-1.576 	0.598 	-0.194 	3.168 
0.587 	0.629 	-2.469 	0.617 	-0.169 	2.715 
0.598 	0.739 	-2.469 	0.618 	-0.468 	2.830 
0.608 	0.553 	-1.869 	0.620 	-0.464 	3.719 
0.618 	0.449 	-2.030 	0.638 	-1.452 	4.306 
0.620 	0.070 	-0.965 	0.649 	-0.873 	3.843 
0.638 	0.400 	-0.591 	0.659 	-1.662 	4.155 
0.649 	0.543 	-1.718 	0.673 	-0.471 	3.540 
0.659 	0.477 	-1.033 	0.690 	-0.260 	3.340 
0.673 	0.451 	-1.342 	0.704 	-0.248 	3.281 
0.678 	0.401 	-1.516 	0.709 	-1.293 	3.293 
0.689 	0.738 	-1.545 	0.709 	-0.420 	3.119 
0.690 	0.981 	-2.460 	0.715 	-0.519 	3.345 
0.704 	-0.145 	-2.560 	0.722 	-0.442 	3.585 
0.709 	0.748 	-1.990 	0.722 	0.055 	2.905 
0.715 	0.512 	-1.438 	0.731 	-0.128 	3.392 
0.722 	0.714 	-1.245 	0.741 	-0.931 	3.236 
0.731 	0.813 	-1.495 	0.748 	-1.843 	3.634 
0.741 	0.373 	-1.872 	0.750 	-0.773 	3.599 
0.748 	0.369 	-1.746 	0.758 	-0.836 	3.024 
0.750 	0.289 	-1.566 	0.760 	-1.019 	3.449 
0.758 	1.023 	-2.001 	0.767 	-0.453 	3.678 
0.760 	0.897 	-1.745 	0.798 	-1.633 	3.655 
0.767 	-0.075 	-1.788 	0.802 	-0.543 	3.480 
0.798 	0.280 	-1.219 	0.837 	-0.356 	2.996 
0.802 	0.456 	-1.116 	0.872 	-1.556 	3.805 
0.814 	0.415 	-1.664 	0.875 	-2.083 	3.601 
0.819 	0.273 	-2.354 	0.877 	-1.225 	3.966 
0.837 	-0.120 	-2.762 	0.884 	-1.052 	3.393 
0.865 	-0.271 	-1.502 	0.888 	-0.736 	3.543 
0.872 	0.528 	-1.302 	0.894 	-0.624 	3.564 
0.875 	0.459 	-1.404 	0.905 	-0.522 	3.190 
0.877 	-0.081 	-1.306 	0.910 	-0.911 	3.226 
0.884 	0.377 	-1.140 	0.918 	-0.836 	3.677 
0.888 	0.376 	-1.180 	0.936 	-0.600 	2.595 
0.894 	0.225 	-1.623 	0.948 	-0.434 	2.510 
0.905 	0.299 	-1.866 	0.965 	-0.605 	3.000 
0.910 	-0.039 	-1.787 	0.974 	-0.374 	2.754 
0.918 	0.154 	-1.760 	0.983 	-1.107 	2.967 
0.948 	0.534 	-2.231 	0.997 	-0.217 	2.917 
0.965 	0.069 	-1.116 	1.008 	-0.081 	3.405 
0.974 	0.498 	-2.158 	1.026 	-0.191 	3.008 
0.983 	0.662 	-2.280 	1.040 	-0.557 	3.598 
0.997 	0.763 	-2.281 	1.053 	-0.309 	3.205 
1.008 	0.778 	-1.882 	1.070 	-0.572 	2.622 
1.026 	0.459 	-2.479 	1.081 	-0.360 	3.260 
1.040 	0.789 	-2.392 	1.087 	-0.385 	3.289 
1.053 	1.104 	-2.187 	1.101 	-0.147 	3.307 
1.070 	-0.138 	-2.092 	1.115 	-1.631 	3.550 
1.081 	0.451 	-2.032 	1.119 	-0.583 	3.474 
1.087 	0.512 	-1.852 	1.126 	-0.433 	3.486 
1.101 	0.789 	-1.712 	1.127 	-0.043 	3.197 
1.115 	0.530 	-2.198 	1.177 	-0.062 	2.946 
1.126 	0.908 	-1.844 	1.199 	-0.355 	3.262 
1.129 	0.359 	-1.482 	1.207 	-0.417 	3.668 
1.177 	0.541 	-2.393 	1.215 	-0.584 	3.499 
1.199 	0.058 	-1.978 	1.242 	-1.148 	2.822 
1.207 	0.588 	-1.923 	1.249 	-0.977 	3.359 
1.215 	0.928 	-1.842 	1.268 	-0.173 	3.296 
1.242 	0.449 	-2.010 	1.276 	-0.238 	2.845 
