/* DATA DESCRIPTION:
Citation:	Tiedemann, R et al. (1994): Age model of ODP Hole 108-659A in the North Atlantic, doi:10.1594/PANGAEA.52516,
	In Supplement to: Tiedemann, Ralf; Sarnthein, Michael; Shackleton, Nicholas J (1994): Astronomic timescale for the Pliocene Atlantic d18O and dust flux records of Ocean Drilling Program site 659, Paleoceanography, 9(4), 619-638, doi:10.1029/94PA00208
Project(s):	Paleoceanology, Leibnitz Institute for Marine Research (GEOMARPal)
	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: -21.0262 * EAST: -21.0262 * SOUTH: 18.0772 * NORTH: 18.0772
	DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 149.2 m
Event(s):	108-659A * LATITUDE: 18.0772 * LONGITUDE: -21.0262 * ELEVATION: -3082.0 m * DATE/TIME: 1986-03-09T09:30:00 * DATE/TIME 2: 1986-03-11T05:30:00 * RECOVERY: 174.90 m * PENETRATION: 273.80 m * LOCATION: North Atlantic * CAMPAIGN: Leg108 (URI: doi:10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Drilling * COMMENT: 29 cores; 273.8 m cored; 0 m drilled; 63.9 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: Intercore correlation * COMMENT: Between-hole correlations are based on magnetic susceptibility data (Bloemendahl et al., 1988). Original depth values have been corrected for voids when occurring within sediment cores (length of sediment core equals total length of sediment core minus length of voids).
	Age model [ka] (Age model) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: Age model, Shackleton et al. (1990, Roy Soc Edinburg, Earth Science 81:251-261)
Size:	442 data points
*/
Depth [m]	Depth c [mcd]	Age model [ka]
0.00	0.00	0.00
0.55	0.55	9.80
1.05	1.05	18.30
1.59	1.59	29.50
2.22	2.22	54.84
2.46	2.46	65.22
2.80	2.80	79.00
2.94	2.94	88.00
3.28	3.28	103.80
4.03	4.03	122.19
4.41	4.41	135.34
5.18	5.18	153.00
5.69	5.69	171.00
5.86	5.86	183.37
6.26	6.26	194.00
6.62	6.62	214.00
7.03	7.03	224.60
7.57	7.57	241.19
7.86	7.86	253.43
8.28	8.28	267.48
8.53	8.53	273.42
9.03	9.03	287.00
9.36	9.36	298.00
10.00	10.00	312.00
10.18	10.18	320.00
10.46	10.46	331.00
10.99	10.99	342.50
12.49	12.49	368.00
13.24	13.24	405.00
14.13	14.13	431.90
15.43	15.43	471.00
17.28	17.28	513.00
17.66	17.66	526.00
18.99	18.99	574.00
19.36	19.36	585.00
19.51	19.51	596.00
19.81	19.81	605.70
20.19	20.19	617.00
20.94	20.94	632.00
21.53	21.53	674.00
22.52	22.52	694.00
23.03	23.03	715.00
23.46	23.46	736.00
23.86	23.86	755.20
24.83	24.83	784.00
25.33	25.33	800.00
25.67	25.67	822.00
26.46	26.46	843.00
26.79	26.79	860.00
28.39	28.39	916.00
29.26	29.26	953.00
29.96	29.96	976.00
30.69	30.69	996.00
31.00	31.00	1005.00
31.74	31.74	1026.00
33.22	33.22	1068.00
34.07	34.07	1111.00
34.36	34.36	1145.00
35.04	35.04	1163.00
36.53	36.53	1211.00
37.29	37.29	1231.00
37.61	37.61	1248.00
38.35	38.35	1275.00
38.78	38.78	1291.00
39.18	39.18	1336.00
39.85	39.85	1355.00
40.36	40.36	1371.70
41.23	41.23	1398.00
41.99	41.99	1430.00
42.97	42.97	1448.00
43.36	43.36	1459.00
43.69	43.69	1473.00
44.23	44.23	1485.00
44.86	44.86	1499.00
45.35	45.35	1513.00
45.64	45.64	1532.00
46.54	46.54	1588.00
46.92	46.92	1615.00
47.26	47.26	1627.00
47.53	47.53	1640.00
47.77	47.77	1652.00
48.19	48.19	1669.00
48.43	48.43	1687.00
49.29	49.29	1709.00
49.76	49.76	1728.00
