Comp. Depth	LR04 age (ka)	d18O	d13C
0.11	6.8	3.46	0.86
0.29	12.3	3.74	0.75
0.41	14.6	4	0.8
0.5	16.3	4.9	-0.02
0.59	17.8	4.83	-0.12
0.71	19.6	4.81	-0.14
0.89	22.0	4.95	-0.3
1.01	23.4	4.54	0.16
1.1	24.5	4.68	0.01
1.19	25.9	4.48	-0.07
1.29	27.3	4.81	0.38
1.41	29.1	4.34	0.61
1.49	30.2	4.17	0.62
1.59	31.5	4.74	0.45
1.71	32.8	4.6	0.54
1.89	34.6	4.45	0.68
1.96	35.5	4.43	0.37
2.09	37.6	4.28	0.7
2.31	42.2	4.52	0.15
2.39	44.5	4.35	0.15
2.49	48.2	4.34	-0.29
2.59	52.6	4.28	0.68
2.61	53.5	4.53	-0.04
2.79	61.0	4.34	-0.25
2.99	69.9	4.23	-0.12
3.09	74.1	4.08	-0.05
3.21	78.6	3.57	0.77
3.39	83.6	3.28	0.53
3.46	85.3	3.99	0.53
3.59	88.5	3.99	0.77
3.66	90.0	4.19	0.8
3.81	93.1	3.98	0.91
3.89	94.9	3.7	0.56
3.99	97.4	3.91	0.58
4.11	102.0	3.91	0.45
4.29	109.6	3.94	0.61
4.41	115.7	3.59	0.48
4.47	119.7	2.99	0.94
4.59	127.2	3.13	0.76
4.71	131.8	4.07	0.2
4.89	135.7	4.64	0.39
4.96	137.4	4.57	-0.58
5.09	141.6	4.63	0.14
5.16	143.9	4.7	-0.16
5.31	148.8	4.71	-0.25
5.39	151.5	4.47	-0.28
5.49	154.7	4.55	-0.43
5.61	158.8	4.56	-0.2
5.79	163.9	4.45	-0.08
5.91	166.9	4.12	0.18
5.99	168.7	4.37	-0.24
6.09	171.0	4.52	-0.38
6.21	173.5	4.33	0.13
6.39	177.4	4.5	-0.13
6.46	178.8	4.47	0
6.59	181.7	4.31	0
6.66	183.3	3.89	0.09
6.81	187.1	4.41	-0.17
6.89	189.2	4.19	-0.11
6.99	191.9	3.71	0.09
7.11	195.7	3.75	0.27
7.29	201.6	3.6	0.61
7.41	205.6	3.64	0.84
7.49	208.2	3.58	0.62
