Depth.mbsf	Age.Ma	d18O.PDB	d13C.PDB	
41.06	2.063	2.33	0.33	
41.38	2.079	2.44	0.15	
41.46	2.083	1.80	-0.18	
41.56	2.088	2.41	-0.73	
41.66	2.093	2.61	-0.72	
41.85	2.103	2.93	0.94	
41.94	2.108	2.94	-1.02	
42.04	2.113	2.88	-0.66	
42.14	2.118	2.85	-0.90	
42.24	2.123	1.71	-0.38	
42.34	2.128	2.85	-0.21	
42.43	2.132	1.73	0.46	
42.53	2.137	2.19	0.64	
42.63	2.142	1.59	0.16	
42.73	2.148	1.96	0.56	
42.83	2.153	2.14	0.20	
42.93	2.158	2.16	0.64	
43.07	2.165	2.22	0.27	
43.13	2.168	2.33	0.27	
43.23	2.173	2.93	0.37	
43.43	2.183	2.41	0.29	
43.53	2.188	2.85	-0.27	
43.64	2.194	2.68	0.06	
43.73	2.198	2.42	-0.10	
43.83	2.203	2.89	-0.11	
43.93	2.208	2.77	-0.06	
44.03	2.213	2.81	-0.17	
44.23	2.223	2.94	-0.48	
44.38	2.231	2.66	-0.80	
44.43	2.234	2.44	-0.50	
44.50	2.237	2.47	-0.50	
44.73	2.249	2.24	0.63	
44.83	2.254	2.27	-0.06	
44.93	2.259	2.44	0.80	
45.03	2.264	2.33	-0.12	
45.14	2.270	2.39	-0.36	
45.23	2.274	2.95	-0.18	
45.33	2.279	2.83	-0.21	
45.43	2.284	2.74	-0.77	
45.53	2.289	2.25	-0.37	
45.63	2.294	2.12	-0.46	
45.73	2.299	2.28	0.23	
45.83	2.304	2.77	-0.39	
45.93	2.310	2.55	-0.60	
46.00	2.313	2.68	-0.91	
46.10	2.318	2.21	-0.42	
46.23	2.325	1.90	0.00	
46.33	2.330	2.24	-0.41	
46.43	2.335	2.94	-0.23	
46.53	2.340	3.11	-0.71	
46.58	2.342	3.19	-0.53	
46.67	2.347	2.91	-0.87	
46.77	2.352	2.53	-0.66	
46.87	2.357	2.09	0.16	
46.95	2.361	2.72	0.10	
47.05	2.366	2.67	-0.76	
47.15	2.371	3.00	-0.45	
47.35	2.381	3.28	-0.57	
47.45	2.386	3.01	-0.69	
47.56	2.392	2.53	-0.98	
47.75	2.402	2.33	-0.26	
47.85	2.407	2.37	0.27	
47.95	2.412	1.61	0.33	
48.05	2.417	2.26	0.20	
48.15	2.422	2.22	0.27	
48.25	2.427	2.02	-0.36	
48.43	2.436	2.50	0.51	
48.63	2.446	1.53	0.34	
49.67	2.507	2.94	-0.56	
49.77	2.513	2.51	-0.30	
49.87	2.520	2.26	0.22	
49.93	2.524	2.32	0.36	
50.03	2.530	2.16	0.57	
50.13	2.537	2.29	0.06	
50.23	2.543	2.21	-0.03	
50.33	2.550	2.47	-0.08	
50.43	2.556	2.59	-0.10	
50.50	2.560	2.75	-0.23	
50.57	2.565	2.74	-0.20	
50.56	2.613	2.68	-0.48	
50.66	2.619	2.67	0.09	
50.74	2.624	2.67	-0.41	
50.86	2.631	2.70	-0.89	
50.96	2.636	3.00	-0.88	
51.07	2.643	2.86	-0.49	
51.16	2.648	2.53	-0.50	
51.26	2.654	2.19	-0.44	
51.36	2.659	2.00	-0.13	
51.56	2.671	1.90	-0.04	
51.93	2.692	2.22	-0.47	
52.03	2.698	2.31	0.03	
52.13	2.703	2.29	0.09	
52.23	2.709	2.02	0.25	
52.33	2.715	2.34	0.46	
52.43	2.721	1.90	0.18	
52.50	2.725	2.29	0.55	
52.63	2.732	2.11	0.09	
52.73	2.738	2.45	-0.27	
52.83	2.744	2.70	0.13	
52.93	2.749	1.81	0.06	
53.03	2.755	1.74	0.68	
53.13	2.761	2.00	0.62	
53.23	2.767	2.21	0.63	
53.33	2.772	2.71	0.36	
53.43	2.778	1.99	0.57	
53.53	2.784	2.08	-0.30	
53.63	2.789	2.31	0.47	
53.73	2.795	2.49	0.08	
53.83	2.801	2.64	0.05	
53.93	2.807	2.34	0.60	
54.00	2.811	2.42	0.32	
54.13	2.818	2.38	0.15	
54.23	2.824	2.43	0.41	
54.33	2.830	2.34	0.10	
54.43	2.835	2.67	-0.25	
54.63	2.847	2.21	0.07	
54.73	2.853	2.43	0.64	
54.93	2.864	2.04	-0.06	
55.03	2.870	2.32	0.49	
55.13	2.876	1.84	0.31	
55.23	2.881	2.14	0.35	
55.33	2.887	2.64	0.58	
55.43	2.893	2.55	0.48	
55.50	2.897	2.52	0.23	
55.63	2.904	2.55	0.23	
55.74	2.911	2.75	0.13	
55.83	2.916	2.44	0.06	
55.93	2.921	2.11	0.40	
56.03	2.927	2.37	0.36	
56.13	2.933	2.35	0.14	
56.23	2.939	2.12	0.61	
56.33	2.944	2.20	0.45	
56.53	2.956	2.08	0.58	
56.63	2.962	2.21	0.75	
56.73	2.967	1.66	0.55	
56.83	2.973	1.54	0.24	
56.93	2.979	1.87	0.53	
57.00	2.983	1.87	0.06	
57.13	2.990	1.75	-0.11	
57.21	2.995	2.60	-0.06	
57.33	3.002	1.87	0.51	
57.44	3.008	1.57	0.41	
57.53	3.013	1.93	-0.10	
57.64	3.020	1.97	0.56	
57.83	3.030	1.96	0.81	
57.93	3.036	1.73	0.44	
