NOAA Paleoclimatology Program -
odp-677-fwc.txt   
Complete Data  
File Created: 18-jan-05 
   
Missing Values indicated by
   
PI: Nicholas J. Shackleton
Core/Site: ODP-677  
Latitude: 1.12.00N ( 1.2)
Longitude: 83.44.00W ( -83.73333)
Water depth. m: 3450
   
Publications:   
Shackleton et al.. 1990.
   
Description & Notes: 
Astronomical timescale for the
Patching of ODP-677 A
sample id.  
   
   
CORE: ODP-677 CORE: ODP-677
depth kyrBP d18Oforams-b notes
690 150 4.76 CIB
4365 1113 3.82 CIB
6300 1531 4.29 CIB
7180 1765 3.46 CIB
7440 1823 3.74 CIB
7520 1839 3.9 CIB
10040 2392 3.69 CIB
10990 2557 3.7 CIB
4745 1190 4 CIBKULL
10930 2546 3.29 CIBMELAT
10080 2405 3.94 GLOBCASB
3723 947 3.74 GLOBOBUL
5428 1349 3.67 GLOBOBUL
5660 1394 4.02 GLOBOBUL
7640 1888 4.3 GLOBOBUL
7790 1948 4.08 GLOBOBUL
7820 1955 4.48 GLOBOBUL
8178 2018 3.64 GLOBOBUL
8630 2067 4.27 GLOBOBUL
8650 2069 4.06 GLOBOBUL
8660 2071 4.2 GLOBOBUL
8740 2079 4.49 GLOBOBUL
9370 2201 4.15 GLOBOBUL
9380 2203 4.14 GLOBOBUL
9389 2205 4.06 GLOBOBUL
9400 2207 4.22 GLOBOBUL
9420 2211 3.93 GLOBOBUL
9429 2213 3.99 GLOBOBUL
9510 2229 3.6 GLOBOBUL
9630 2263 3.51 GLOBOBUL
9640 2266 3.76 GLOBOBUL
9700 2284 3.9 GLOBOBUL
9750 2298 3.95 GLOBOBUL
9860 2342 3.59 GLOBOBUL
9980 2375 3.96 GLOBOBUL
9990 2378 3.83 GLOBOBUL
10000 2380 3.8 GLOBOBUL
10020 2386 3.71 GLOBOBUL
10030 2388 3.9 GLOBOBUL
10050 2395 3.96 GLOBOBUL
10060 2398 4 GLOBOBUL
10430 2469 3.57 GLOBOBUL
10870 2538 4.23 GLOBOBUL
10880 2540 4.21 GLOBOBUL
11140 2591 3.64 GLOBOBUL
5650 1392 3.69 GLOBOCAS
5712 1404 3.48 GLOBOCAS
6140 1495 3.5 GLOBOCAS
9590 2252 3.24 GLOBOCAS
10140 2425 3.58 GLOBOCAS
10150 2428 3.3 GLOBOCAS
10160 2430 3.59 GLOBOCAS
10170 2431 3.4 GLOBOCAS
10180 2433 3.53 GLOBOCAS
10190 2434 3.53 GLOBOCAS
10200 2435 3.59 GLOBOCAS
10210 2437 3.73 GLOBOCAS
10220 2438 3.94 GLOBOCAS
10960 2550 3.53 GLOBOGYR
5295 1316 3.79 GLOBORID
6530 1603 3.61 GLOBORID
9410 2209 4.04 GLOBORID
11150 2593 3.34 GLOBORID
11160 2595 3.83 GLOBORID
10470 2475 3.48 GLOBORIG
11010 2561 3.9 GYRGLOB
4465 1131 4.42 GYROID
4645 1163 3.92 GYROID
9960 2370 3.93 GYROID
700 153 5.06 HELEGANS
1084 255 4.77 HELEGANS
1334 324 3.73 HELEGANS
1354 329 3.69 HELEGANS
1364 331 3.49 HELEGANS
1664 412 3.77 HELEGANS
1684 416 4.61 HELEGANS
1693 418 4.72 HELEGANS
1895 470 4.11 HELEGANS
2015 507 4.22 HELEGANS
2264 579 4.25 HELEGANS
2405 620 4.41 HELEGANS
2415 621 4.52 HELEGANS
2485 638 5.06 HELEGANS
2515 646 5.06 HELEGANS
2584 664 4.71 HELEGANS
2680 690 3.67 HELEGANS
2750 709 4.07 HELEGANS
3470 884 4.58 HELEGANS
4455 1129 4.71 HELEGANS
7440 1823 3.93 HELEGANS
7530 1841 4.14 HELEGANS
7550 1844 3.97 HELEGANS
7610 1866 3.7 HELEGANS
7620 1873 4.13 HELEGANS
9040 2124 4.18 HELEGANS
6740 1658 4.35 LATIC
10740 2520 3.64 ORIBULGL
397 65 4.7 ORID
590 116 3.88 ORID
1324 321 3.78 ORID
1345 327 3.25 ORID
1485 362 4.71 ORID
1684 416 4.54 ORID
1693 418 4.55 ORID
1703 420 4.83 ORID
1775 437 4.65 ORID
1815 447 4.27 ORID
1841 453 4.51 ORID
1865 459 4.41 ORID
1895 470 4.03 ORID
1915 477 3.89 ORID
1995 503 3.95 ORID
2084 524 3.82 ORID
2103 528 4.1 ORID
2122 533 4.69 ORID
2435 625 5.18 ORID
2455 630 4.77 ORID
2573 661 4.56 ORID
2625 675 4.46 ORID
2660 684 4.33 ORID
2750 709 4.28 ORID
3365 857 3.49 ORID
3470 884 4.64 ORID
3503 892 4.54 ORID
4275 1086 4.06 ORID
4292 1090 4.13 ORID
4305 1094 4.18 ORID
4315 1098 4.26 ORID
5134 1279 3.59 ORID
5440 1351 3.41 ORID
5640 1390 3.71 ORID
5700 1402 3.52 ORID
5895 1439 3.53 ORID
6220 1514 3.88 ORID
6230 1516 3.67 ORID
6250 1520 3.71 ORID
6260 1522 3.7 ORID
6270 1525 3.79 ORID
6280 1527 3.92 ORID
6430 1569 3.75 ORID
6460 1576 4.24 ORID
6490 1588 3.76 ORID
6670 1644 3.7 ORID
6680 1646 3.81 ORID
6690 1647 3.95 ORID
6700 1649 4.26 ORID
6750 1660 4.21 ORID
7050 1731 4.09 ORID
7070 1736 3.83 ORID
7700 1921 3.86 ORID
7820 1955 4.15 ORID
7829 1957 4.32 ORID
8178 2018 3.42 ORID
8200 2021 3.45 ORID
8210 2022 3.58 ORID
8218 2023 3.76 ORID
8230 2024 3.76 ORID
9010 2118 3.71 ORID
9018 2119 3.66 ORID
9050 2127 4.01 ORID
9089 2134 3.38 ORID
9110 2138 3.48 ORID
9500 2227 3.62 ORID
9510 2229 3.67 ORID
9520 2231 3.47 ORID
9571 2246 4.11 ORID
9610 2258 4.13 ORID
9620 2260 4.17 ORID
9660 2272 3.48 ORID
9660 2272 3.93 ORID
9950 2367 3.74 ORID
10280 2447 4.27 ORID
10370 2460 3.56 ORID
10450 2472 3.32 ORID
10500 2479 3.88 ORID
11170 2598 3.73 ORID
6590 1622 3.78 ORIDBUL
7749 1937 3.77 ORIDBUL
8280 2030 3.8 ORIDBUL
6630 1635 3.74 ORIDBULL
9100 2136 3.47 ORIDGLOB
10440 2470 3.58 ORIDGLOB
10731 2519 3.56 ORIDGLOB
11110 2584 3.47 ORIDGLOB
7210 1772 3.44 ORIDGYR
9910 2357 4.05 ORIDGYR
9941 2365 3.58 ORIDGYR
3795 965 4.64 ORIDMIX
4470 1132 3.8 ORIDMIX
4775 1203 4.33 ORIDMIX
6500 1592 3.74 ORIDMIX
6557 1612 3.48 ORIDMIX
6570 1616 3.82 ORIDMIX
10118 2418 3.81 ORIDMIX
