Paleocean Site Data 
   
   
   
   
'-999'   
   
   
   
   
   
   
   
   
Trans. Of the Royal
   
   
lower Pleistocene.  
and B. Source of
   
   
   
CORE: ODP-677  
depth kyrBP d18Oforams-p notes
40 6 -2.22 GRUBER
50 8 -1.73 GRUBER
60 9 -1.16 GRUBER
68 11 -1.23 GRUBER
80 12 -0.89 GRUBER
80 12 -1.12 GRUBER
90 14 -0.87 GRUBER
98 15 -0.69 GRUBER
110 17 -0.45 GRUBER
120 19 -0.66 GRUBER
130 21 -0.46 GRUBER
140 22 -0.63 GRUBER
150 24 -0.73 GRUBER
160 25 -0.77 GRUBER
170 27 -0.84 GRUBER
180 29 -0.62 GRUBER
190 30 -0.97 GRUBER
200 32 -1.25 GRUBER
200 32 -1.21 GRUBER
210 34 -1.05 GRUBER
210 34 -0.98 GRUBER
220 35 -1.1 GRUBER
220 35 -1.05 GRUBER
230 37 -1.29 GRUBER
240 38 -1.26 GRUBER
247 39 -1.12 GRUBER
258 41 -1.24 GRUBER
270 43 -1.17 GRUBER
280 45 -1.35 GRUBER
290 46 -1.16 GRUBER
303 49 -1.55 GRUBER
310 50 -1.41 GRUBER
320 51 -1.52 GRUBER
330 53 -1.47 GRUBER
340 55 -1.48 GRUBER
350 56 -1.13 GRUBER
360 58 -1.22 GRUBER
370 59 -1.21 GRUBER
380 61 -1.2 GRUBER
390 63 -1.29 GRUBER
390 63 -1.12 GRUBER
397 65 -1.06 GRUBER
400 65 -1.2 GRUBER
408 67 -1.37 GRUBER
410 68 -1.21 GRUBER
420 70 -1.8 GRUBER
420 70 -1.43 GRUBER
430 72 -1.76 GRUBER
430 72 -1.59 GRUBER
440 74 -1.66 GRUBER
450 76 -1.83 GRUBER
460 78 -1.72 GRUBER
460 78 -1.91 GRUBER
470 81 -1.91 GRUBER
470 81 -1.91 GRUBER
470 81 -1.79 GRUBER
478 82 -1.58 GRUBER
480 83 -1.56 GRUBER
480 83 -1.47 GRUBER
490 85 -1.44 GRUBER
490 85 -1.4 GRUBER
490 85 -1.18 GRUBER
498 87 -1.66 GRUBER
498 87 -1.6 GRUBER
500 88 -1.66 GRUBER
510 91 -1.74 GRUBER
513 92 -1.53 GRUBER
513 92 -1.64 GRUBER
520 94 -1.89 GRUBER
520 94 -1.85 GRUBER
520 94 -1.71 GRUBER
530 97 -1.93 GRUBER
530 97 -1.91 GRUBER
540 100 -1.85 GRUBER
540 100 -2 GRUBER
540 100 -1.91 GRUBER
550 103 -1.85 GRUBER
560 107 -1.81 GRUBER
560 107 -1.76 GRUBER
560 107 -1.73 GRUBER
570 110 -1.86 GRUBER
570 110 -2 GRUBER
570 110 -2.01 GRUBER
570 110 -1.44 GRUBER
580 113 -1.81 GRUBER
580 113 -1.77 GRUBER
590 116 -1.89 GRUBER
590 116 -1.83 GRUBER
600 119 -2.11 GRUBER
600 119 -1.73 GRUBER
610 122 -2.18 GRUBER
610 122 -2.5 GRUBER
620 125 -1.7 GRUBER
628 128 -1.34 GRUBER
640 132 -0.51 GRUBER
650 136 -0.53 GRUBER
660 139 -0.57 GRUBER
670 143 -0.57 GRUBER
680 146 -0.56 GRUBER
690 150 -0.65 GRUBER
