   
   
   
   
   
   
   
   
   
   
   
   
   
   
Soc. of Edinburgh: Earth
   
   
   
each sample indicated by
   
   
   
   
depth kyrBP d18Oforams-b notes
40 6 3.93 UVIG
50 8 4.27 UVIG
60 9 4.58 UVIG
68 11 4.22 UVIG
80 12 4.8 UVIG
90 14 4.99 UVIG
98 15 5.07 UVIG
110 17 5.23 UVIG
110 17 5.07 UVIG
120 19 5.13 UVIG
130 21 4.94 UVIG
140 22 5.19 UVIG
150 24 4.94 UVIG
160 25 4.94 UVIG
170 27 4.77 UVIG
180 29 4.78 UVIG
190 30 4.77 UVIG
200 32 4.81 UVIG
210 34 4.69 UVIG
220 35 4.64 UVIG
230 37 4.56 UVIG
240 38 4.66 UVIG
247 39 4.71 UVIG
258 41 4.6 UVIG
270 43 4.59 UVIG
280 45 4.58 UVIG
290 46 4.55 UVIGORID
300 48 4.58 UVIG
310 50 4.62 UVIG
320 51 4.54 UVIG
330 53 4.55 UVIG
340 55 4.67 UVIG
350 56 4.71 UVIG
360 58 4.72 UVIG
370 59 4.74 UVIG
380 61 4.78 UVIG
390 63 4.46 UVIG
390 63 4.57 UVIG
397 65 4.71 UVIG
400 65 4.52 UVIG
410 68 4.53 UVIG
420 70 4.02 UVIG
430 72 3.87 UVIGORID
440 74 3.8 UVIG
450 76 4.27 UVIG
460 78 3.74 UVIG
470 81 3.72 UVIG
478 82 4.07 UVIG
490 85 4.08 UVIG
500 88 4.16 UVIG
510 91 3.99 UVIG
520 94 3.83 UVIG
540 100 3.85 UVIG
550 103 3.99 UVIG
560 107 4.14 UVIG
570 110 3.48 UVIG
580 113 3.72 UVIG
600 119 3.95 UVIG
610 122 3.65 UVIG
620 125 3.83 UVIG
628 128 4.28 UVIG
640 132 4.88 UVIG
650 136 4.76 UVIG
660 139 5.02 UVIG
670 143 5.1 UVIG
680 146 5.08 UVIG
700 153 4.84 UVIGORID
710 157 4.89 UVIGORID
720 160 4.89 UVIGORID
730 164 4.87 UVIG
740 167 4.95 UVIG
750 171 4.78 UVIG
760 174 4.66 UVIGORID
770 178 4.92 UVIG
778 180 4.82 UVIG
784 183 4.68 UVIG
790 185 4.72 UVIG
793 186 4.6 UVIG
800 188 4.69 UVIG
805 190 4.36 UVIG
810 192 4.6 UVIG
817 194 4.56 UVIG
854 202 3.97 UVIG
874 207 3.96 UVIGORID
884 209 3.7 UVIGORID
905 214 3.97 UVIG
915 216 4.01 UVIGORID
936 220 4.67 UVIG
950 223 4.55 UVIG
968 227 4.69 UVIG
1000 234 4.22 UVIG
1015 237 3.87 UVIGORID
1030 241 4.18 UVIG
1045 245 4.71 UVIG
1054 247 4.63 UVIG
1064 250 4.92 UVIG
1074 252 4.81 UVIG
1084 255 4.69 UVIG
1094 258 4.91 UVIG
1103 260 4.78 UVIG
1117 264 4.74 UVIG
1125 266 4.7 UVIG
1135 268 5.08 UVIG
1154 273 4.64 UVIG
1174 279 4.5 UVIG
1184 281 4.07 UVIGORID
1202 286 4.1 UVIGORID
1202 286 3.83 UVIGORID
1214 290 4.26 UVIG
1224 293 4.39 UVIG
1236 297 4.52 UVIGORID
1242 298 4.5 UVIG
1254 302 4.3 UVIG
