core         : ODP-677
latitude     : 1/12.138/N
longitude    : 83/44.22/W
water depth  : 3461.2
--------------------------------------------------
fullname     : age
class        : age
inserted     : 24-MAY-94
remarks      : 
depth info   : none
--------------------------------------------------
  depth(m)          age[121]
--------------------------------------------------
^
 0.4000     6.0000
 0.5000     8.0000
 0.6000     9.0000
 0.6800    11.0000
 0.8000    12.0000
 0.9000    14.0000
 0.9800    15.0000
 1.1000    17.0000
 1.2000    19.0000
 1.3000    21.0000
 1.4000    22.0000
 1.5000    24.0000
 1.6000    25.0000
 1.7000    27.0000
 1.8000    29.0000
 1.9000    30.0000
 2.0000    32.0000
 2.1000    34.0000
 2.2000    35.0000
 2.3000    37.0000
 2.4000    38.0000
 2.4700    39.0000
 2.5800    41.0000
 2.7000    43.0000
 2.8000    45.0000
 2.9000    46.0000
 3.0000    48.0000
 3.0300    49.0000
 3.1000    50.0000
 3.2000    51.0000
 3.3000    53.0000
 3.4000    55.0000
 3.5000    56.0000
 3.6000    58.0000
 3.7000    59.0000
 3.8000    61.0000
 3.9000    63.0000
 3.9700    65.0000
 4.0000    65.0000
 4.0800    67.0000
 4.1000    68.0000
 4.2000    70.0000
 4.3000    72.0000
 4.4000    74.0000
 4.5000    76.0000
 4.6000    78.0000
 4.7000    81.0000
 4.7800    82.0000
 4.8000    83.0000
 4.9000    85.0000
 4.9800    87.0000
 5.0000    88.0000
 5.1000    91.0000
 5.1300    92.0000
 5.2000    94.0000
 5.3000    97.0000
 5.4000    100.0000
 5.5000    103.0000
 5.6000    107.0000
 5.7000    110.0000
 5.8000    113.0000
 5.9000    116.0000
 6.0000    119.0000
 6.1000    122.0000
 6.2000    125.0000
 6.2800    128.0000
 6.4000    132.0000
 6.5000    136.0000
 6.6000    139.0000
 6.7000    143.0000
 6.8000    146.0000
 6.9000    150.0000
 7.0000    153.0000
 7.1000    157.0000
 7.2000    160.0000
 7.3000    164.0000
 7.4000    167.0000
 7.5000    171.0000
 7.6000    174.0000
 7.7000    178.0000
 7.7800    180.0000
 7.8400    183.0000
 7.9000    185.0000
 7.9300    186.0000
 8.0000    188.0000
 8.0500    190.0000
 8.1000    192.0000
 8.1700    194.0000
 8.4300    200.0000
 8.5400    202.0000
 8.7400    207.0000
 8.8400    209.0000
 8.9500    212.0000
 9.0500    214.0000
 9.1500    216.0000
 9.2600    218.0000
 9.3600    220.0000
 9.4500    222.0000
 9.5000    223.0000
 9.5500    224.0000
 9.6800    227.0000
10.0000    234.0000
10.1500    237.0000
10.2400    239.0000
10.3000    241.0000
10.3400    242.0000
10.4500    245.0000
10.5400    247.0000
10.6400    250.0000
10.7400    252.0000
10.8400    255.0000
10.9400    258.0000
11.0300    260.0000
11.1700    264.0000
11.2500    266.0000
11.3500    268.0000
11.4400    271.0000
11.5400    273.0000
11.6400    276.0000
11.7400    279.0000
11.8400    281.0000
11.9500    284.0000
12.0200    286.0000
12.1400    290.0000
12.2400    293.0000
12.3600    297.0000
12.4200    298.0000
12.5400    302.0000
12.6500    305.0000
12.7400    307.0000
12.8500    310.0000
