core         : ODP-677
latitude     : 1/12.138/N
longitude    : 83/44.22/W
water depth  : 3461.2
--------------------------------------------------
fullname     : oxygen isotopes based on G.ruber
class        : dO18
inserted     : 24-MAY-94
remarks      : 
depth info   : none
--------------------------------------------------
  depth(m)        dO18-G.ruber[133]
--------------------------------------------------
^
 0.4000    -2.2200
 0.5000    -1.7300
 0.6000    -1.1600
 0.6800    -1.2300
 0.8000    -1.1200
 0.9000    -0.8700
 0.9800    -0.6900
 1.1000    -0.4500
 1.2000    -0.6600
 1.3000    -0.4600
 1.4000    -0.6300
 1.5000    -0.7300
 1.6000    -0.7700
 1.7000    -0.8400
 1.8000    -0.6200
 1.9000    -0.9700
 2.0000    -1.2100
 2.1000    -1.0500
 2.2000    -1.1000
 2.3000    -1.2900
 2.4000    -1.2600
 2.4700    -1.1200
 2.5800    -1.2400
 2.7000    -1.1700
 2.8000    -1.3500
 2.9000    -1.1600
 3.0300    -1.5500
 3.1000    -1.4100
 3.2000    -1.5200
 3.3000    -1.4700
 3.4000    -1.4800
 3.5000    -1.1300
 3.6000    -1.2200
 3.7000    -1.2100
 3.8000    -1.2000
 3.9000    -1.1200
 3.9700    -1.0600
 4.0000    -1.2000
 4.0800    -1.3700
 4.1000    -1.2100
 4.2000    -1.4300
 4.3000    -1.5900
 4.4000    -1.6600
 4.5000    -1.8300
 4.6000    -1.9100
 4.7000    -1.7900
 4.7800    -1.5800
 4.8000    -1.4700
 4.9000    -1.1800
 4.9800    -1.6600
 5.0000    -1.6600
 5.1000    -1.7400
 5.1300    -1.5300
 5.2000    -1.7100
 5.3000    -1.9100
 5.4000    -1.9100
 5.5000    -1.8500
 5.6000    -1.7300
 5.7000    -1.4400
 5.8000    -1.8100
 5.9000    -1.8300
 6.0000    -1.7300
 6.1000    -2.5000
 6.2000    -1.7000
 6.2800    -1.3400
 6.4000    -0.5100
 6.5000    -0.5300
 6.6000    -0.5700
 6.7000    -0.5700
 6.8000    -0.5600
 6.9000    -0.6500
 7.0000    -0.7800
 7.1000    -0.9500
 7.2000    -0.9500
 7.3000    -0.5700
 7.4000    -0.8700
 7.5000    -0.6000
 7.6000    -0.7100
 7.7000    -0.6000
 7.7800    -0.6900
 7.9000    -0.7900
 7.9300    -0.8400
 8.0000    -0.7500
 8.0500    -0.8600
 8.1000    -1.1400
 8.1700    -1.8100
 8.4300    -1.6400
 8.5400    -1.7100
 8.7400    -1.4700
 8.8400    -1.5900
 8.9500    -1.6000
 9.0500    -2.0800
 9.1500    -1.3800
 9.2600    -1.1900
 9.3600    -1.1500
 9.4500    -1.1600
 9.5500    -1.0400
 9.6800    -0.9000
10.1500    -1.7100
10.2400    -1.6200
10.3400    -1.2300
10.4500    -0.6900
10.5400    -0.9400
10.6400    -0.8100
10.7400    -0.8100
10.8400    -0.8100
10.9400    -0.9100
11.0300    -0.9900
11.1700    -0.8300
11.2500    -0.9900
11.3500    -0.6700
11.4400    -1.0300
11.5400    -1.0700
11.6400    -1.0500
11.7400    -1.1000
11.9500    -1.5300
12.0200    -2.1800
