core         : ODP-677
latitude     : 1/12.138/N
longitude    : 83/44.22/W
water depth  : 3461.2
--------------------------------------------------
fullname     : oxygen isotopes based on benthic foraminifera
class        : dO18
inserted     : 24-MAY-94
remarks      : 
depth info   : none
--------------------------------------------------
  depth(m)        dO18-benth[134]
--------------------------------------------------
^
 0.4000     3.9300
 0.5000     4.2700
 0.6000     4.5800
 0.6800     4.2200
 0.8000     4.8000
 0.9000     4.9900
 0.9800     5.0700
 1.1000     5.0700
 1.2000     5.1300
 1.3000     4.9400
 1.4000     5.1900
 1.5000     4.9400
 1.6000     4.9400
 1.7000     4.7700
 1.8000     4.7800
 1.9000     4.7700
 2.0000     4.8100
 2.1000     4.6900
 2.2000     4.6400
 2.3000     4.5600
 2.4000     4.6600
 2.4700     4.7100
 2.5800     4.6000
 2.7000     4.5900
 2.8000     4.5800
 2.9000     4.3500
 3.0000     4.5800
 3.1000     4.6200
 3.2000     4.5400
 3.3000     4.5500
 3.4000     4.6700
 3.5000     4.7100
 3.6000     4.7200
 3.7000     4.7400
 3.8000     4.7800
 3.9000     4.4600
 3.9700     4.7100
 4.0000     4.5200
 4.1000     4.5300
 4.2000     4.0200
 4.3000     3.8700
 4.4000     3.8000
 4.5000     4.2700
 4.6000     3.7400
 4.7000     3.7200
 4.7800     4.0700
 4.9000     4.0800
 5.0000     4.1600
 5.1000     3.9900
 5.2000     3.8300
 5.4000     3.8500
 5.5000     3.9900
 5.6000     4.1400
 5.7000     3.4800
 5.8000     3.7200
 5.9000     3.8800
 6.0000     3.9500
 6.1000     3.6500
 6.2000     3.8300
 6.2800     4.2800
 6.4000     4.8800
 6.5000     4.7600
 6.6000     5.0200
 6.7000     5.1000
 6.8000     5.0800
 6.9000     4.7600
 7.0000     5.0600
 7.1000     4.8900
 7.2000     4.8900
 7.3000     4.8700
 7.4000     4.9500
 7.5000     4.7800
 7.6000     4.6600
 7.7000     4.9200
 7.7800     4.8200
 7.8400     4.6800
 7.9000     4.7200
 7.9300     4.6000
 8.0000     4.6900
 8.0500     4.3600
 8.1000     4.6000
 8.1700     4.5600
 8.4300     3.6200
 8.5400     3.9700
 8.7400     3.9600
 8.8400     3.7000
 9.0500     3.9700
 9.1500     4.0100
 9.3600     4.6700
 9.5000     4.5500
 9.6800     4.6900
10.0000     4.2200
10.1500     3.8700
10.3000     4.1800
10.4500     4.7100
10.5400     4.6300
10.6400     4.9200
10.7400     4.8100
10.8400     4.6900
10.9400     4.9100
11.0300     4.7800
11.1700     4.7400
11.2500     4.7000
11.3500     5.0800
11.5400     4.6400
11.7400     4.5000
11.8400     4.0700
12.0200     4.1000
12.1400     4.2600
12.2400     4.3900
12.3600     4.5200
12.4200     4.5000
12.5400     4.3000
12.6500     4.3200
12.7400     4.1200
12.8500     4.4100
12.9300     4.0800
13.0400     3.8100
13.1400     4.0700
13.2400     3.6000
13.3400     3.7300
13.4500     3.2500
13.5400     3.6900
13.6400     3.5100
13.7400     3.8100
13.8400     4.4200
13.9400     4.7800
14.0400     5.2700
14.1700     5.1200
