Comp. Depth	Age	age (kyrs)	b-o18	b-c13	Leg 138 age mod	
162.08	2.727	2727	3.39	0.13	2.6800	
162.21	2.731	2731	3.34	0.25	2.6865	
162.32	2.734	2734	3.67	0.04	2.6920	
162.35	2.734	2734	3.39	0.02	2.6935	
162.51	2.739	2739	3.12	0.63	2.7015	
162.76	2.745	2745	3.47	-0.43	2.7140	
162.89	2.749	2749	3.41	-0.31	2.7205	
163.26	2.758	2758	3.27	0.25	2.7390	
163.45	2.763	2763	3.22	0.73	2.7485	
163.53	2.765	2765	3.19	0.29	2.7525	
163.71	2.773	2773	3.29	0.44	2.7615	
163.82	2.773	2773	3.3	0.56	2.7670	
163.98	2.777	2777	3.11	0.88	2.7750	
164.01	2.778	2778	3.12	0.64	2.7765	
164.28	2.785	2785	3.14	0.52	2.7900	
164.45	2.79	2790	3.04	0.79	2.7985	
164.61	2.794	2794	2.79	0.4	2.8065	
164.77	2.798	2798	2.97	0.54	2.8145	
164.91	2.802	2802	2.95	0.64	2.8215	
165.08	2.806	2806	3.24	1.12	2.8300	
165.28	2.811	2811	3.235	0.685	2.8400	
165.32	2.813	2813	3.14	0.59	2.8420	
165.51	2.818	2818	2.86	0.57	2.8515	
165.64	2.821	2821	2.87	0.71	2.8580	
165.84	2.826	2826	2.82	0.72	2.8680	
165.96	2.829	2829	3.095	0.605	2.8740	
166.11	2.833	2833	3.33	0.75	2.8815	
166.14	2.834	2834	3.185	0.815	2.8830	
166.3	2.838	2838	3.145	0.815	2.8910	
166.41	2.841	2841	3.01	0.8	2.8965	
166.53	2.844	2844	3.025	0.675	2.9025	
166.82	2.852	2852	3	0.27	2.9170	
166.86	2.853	2853	2.98	0.49	2.9190	
167.18	2.862	2862	2.8	0.64	2.9350	
167.37	2.867	2867	2.87	0.89	2.9445	
167.76	2.877	2877	3.13	0.54	2.9640	
167.91	2.881	2881	2.755	0.5	2.9715	
168.03	2.884	2884	3.04	0.6	2.9775	
168.21	2.889	2889	3.2	0.6	2.9865	
168.32	2.892	2892	3.25	0.51	2.9920	
168.43	2.894	2894	3.33	0.45	2.9975	
168.51	2.897	2897	3.29	0.25	3.0015	
168.61	2.899	2899	3.39	0.28	3.0065	
168.78	2.904	2904	3.36	0.01	3.0150	
169	2.909	2909	3.23	-0.15	3.0260	
