# NOAA Paleoclimatology Program - Paleocean Site Data
# odp704a_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David A. Hodell
# Core/Site:      ODP704A
# Latitude:       46.53.00S	( -46.88334)
# Longitude:      7.25.00E	( 7.41667)
# Water Depth(m): 2532
#
# Publications:
#   Hodell, D.A., C. Charles, and U. Ninnemann. 2000. Comparison of interglacial
#     stages in the South Atlantic sector of the southern ocean for the past 450 kyr:
#     implications for Marine Isotope Stage(MIS) 11. Global and Planetary
#     Change 24:7-26.
#------------------
#
# Description & Notes:
#   South Atlantic Foraminifer Stable Isotope Data, Marine Isotope Stage 11.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cn.pachy   delta C13 PDB (Neogloboquadrina pachyderma)
#             d18On.pachy   delta O18 PDB (Neogloboquadrina pachyderma)
#
# CORE: ODP704A
depth         yrBP          d13Cn.pachy   d18On.pachy   
-999           210           0.83          2.25         
-999           1920          0.82          2.26         
-999           3630          0.58          2.36         
-999           5340          0.61          2.35         
-999           7050          0.53          2.53         
-999           8760          0.54          2.43         
-999           10470         0.17          2.89         
-999           12180         0.32          2.8          
-999           13890         0.22          3.13         
-999           15600         0.22          3.43         
-999           17310         0.23          3.55         
-999           21769         0.13          3.35         
-999           26228         0.36          3.47         
-999           30687         0.54          3.49         
-999           34032         0.22          3.49         
-999           39606         0.15          3.44         
-999           48524         0.18          3.4          
-999           52983         0.74          3.42         
-999           57443         0.1           3.44         
-999           61902         0.21          3.4          
-999           66361         0.15          3.34         
-999           70820         0.31          3.49         
-999           72098         0.2           3.18         
-999           73375         0.41          3.17         
-999           74653         0.44          3.3          
-999           75930         0.61          2.89         
-999           77208         0.71          3.04         
-999           78485         0.63          3.08         
-999           79763         0.63          3            
-999           81040         0.68          3.06         
-999           82318         0.62          2.98         
-999           83595         0.62          3.04         
-999           84873         0.7           3.03         
-999           86150         0.7           3.15         
-999           87428         0.64          3.11         
-999           88705         0.7           3.16         
-999           89664         0.63          3.12         
-999           90622         0.63          3            
-999           91899         0.7           3.05         
-999           93177         0.68          3.06         
-999           94454         0.72          3.15         
-999           95732         0.69          2.96         
-999           97009         0.61          3.01         
-999           98287         0.69          2.89         
-999           99564         0.63          2.99         
-999           100840        0.6           2.91         
-999           102120        0.54          3.01         
-999           103400        0.59          3.14         
-999           104670        0.49          3.04         
-999           105950        0.41          2.96         
-999           107230        0.53          3.06         
-999           108510        0.56          2.99         
-999           109780        0.55          2.86         
-999           111060        0.56          2.83         
-999           112340        0.65          2.69         
-999           113620        0.71          2.78         
-999           114890        0.78          2.67         
-999           116170        0.75          2.5          
-999           117450        0.7           2.78         
-999           118730        0.69          2.38         
-999           120000        0.65          2.13         
-999           121280        0.57          2            
-999           122560        0.34          1.92         
-999           124120        0.33          2.12         
-999           125680        0.25          2.2          
-999           127240        0.21          2.38         
-999           128800        0.17          3.06         
-999           130350        0.06          2.94         
-999           131910        0.08          3.15         
-999           133470        0.05          3.56         
-999           135030        0.09          3.46         
-999           136590        0.03          3.85         
-999           141600        0.3           3.4          
-999           146610       -0.01          3.78         
-999           151620        0.09          3.69         
-999           154120        0.01          3.03         
-999           159130        0.2           2.93         
-999           164140        0.3           3.04         
-999           169140        0.33          3.28         
-999           174150        0.52          3.15         
-999           179160        0.27          3.48         
-999           184170        0.42          3.54         
-999           186410        0.48          3.08         
-999           188650        0.48          3.16         
-999           190890        0.48          3.1          
-999           193130        0.49          3.2          
-999           195370        0.56          3.13         
-999           197610        0.7           2.91         
-999           199850        0.48          3.16         
-999           202100        0.46          2.92         
-999           204340        0.58          2.77         
-999           206580        0.63          2.85         
-999           208820        0.5           2.71         
-999           211060        0.58          2.55         
-999           213300        0.56          2.86         
-999           215540        0.55          2.49         
-999           216560        0.5           2.71         
-999           217580        0.44          2.7          
-999           218590        0.28          3.2          
-999           219610        0.33          3.1          
-999           220630        0.48          3.09         
-999           221650        0.3           2.87         
-999           222660        0.49          2.92         
-999           223680        0.55          2.8          
-999           224700        0.69          2.74         
-999           225720        0.65          2.76         
-999           226740        0.54          2.56         
-999           227750        0.54          2.64         
-999           228770        0.55          2.78         
-999           229790        0.57          2.79         
-999           230810        0.65          3.02         
-999           231820        0.68          2.83         
-999           232840        0.79          2.86         
-999           233610        0.73          2.89         
-999           234620        0.66          2.76         
-999           235390        0.55          2.72         
-999           236400        0.75          2.78         
-999           237170        0.63          2.7          
-999           237930        0.76          2.88         
-999           239200        0.99          2.71         
-999           239970        1.34          2.39         
-999           240480        1.31          2.33         
-999           241490        1.26          2.37         
-999           242510        1.36          2.33         
-999           243530        1.3           2.31         
-999           244550        1.33          2.42         
-999           245560        1.25          2.3          
-999           246580        1.11          2.52         
-999           247600        0.69          2.98         
-999           253900        0.74          3.03         
-999           260200        0.62          3.08         
-999           266500        0.6           3.02         
-999           272800        0.76          2.91         
-999           279100        0.67          2.98         
-999           285400        0.7           3.08         
-999           291700        0.7           3.03         
-999           298000        0.64          3.04         
