/* DATA DESCRIPTION:
Citation:	Chen, J et al. (1995): (Table 1) Stable oxygen and carbon isotope ratios of Cibicides wuellerstorfi from ODP Site 121-758 in the northeast Indian Ocean, doi:10.1594/PANGAEA.52683,
	In Supplement to: Chen, Jiajie; Farrell, John W; Murray, David; Prell, Warren L (1995): Timescale and paleoceanographic implications of a 3.6 m.y. oxygen isotope record from the northeast Indian Ocean (Ocean Drilling Program Site 758), Paleoceanography, 10(1), 21-48, doi:10.1029/94PA02290
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 90.3612 * EAST: 90.3612 * SOUTH: 5.3841 * NORTH: 5.3841
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 53.3 m
Event(s):	121-758 * LATITUDE: 5.3841 * LONGITUDE: 90.3612 * ELEVATION: -2935.0 m * DATE/TIME: 1988-06-15T00:00:00 * DATE/TIME 2: 1988-06-15T00:00:00 * RECOVERY: 561.90 m * PENETRATION: 782.20 m * LOCATION: North Indian * CAMPAIGN: Leg121 (URI: doi:10.2973/odp.proc.ir.121.1989) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 84 cores; 782.2 m cored; 0 m drilled; 71.8% recovery
Comment:	Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Sample code/label (Label) * PI: Chen, JH * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Chen, JH * METHOD: Mass spectrometer VG SIRA 24 * COMMENT: size fraction >150 µm
	Cibicides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Chen, JH * METHOD: Mass spectrometer VG SIRA 24 * COMMENT: size fraction >150 µm
Size:	2418 data points
*/
Depth [m]	Label	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]
0.01	121-758A-1-1,1	0.59	2.33
0.01	121-758A-1-1,1	0.58	2.66
0.11	121-758A-1-1,11	0.50	2.71
0.11	121-758A-1-1,11	0.33	3.12
0.21	121-758A-1-1,21	0.20	3.70
0.21	121-758A-1-1,21	0.10	3.25
0.31	121-758A-1-1,31	0.11	3.64
0.31	121-758A-1-1,31	-0.01	4.22
0.41	121-758A-1-1,41	-0.04	4.32
0.41	121-758A-1-1,41	0.02	4.50
0.41	121-758A-1-1,41	-0.23	4.24
0.51	121-758A-1-1,51	-0.02	4.22
0.51	121-758A-1-1,51	-0.06	4.30
0.61	121-758A-1-1,61	0.21	3.97
0.61	121-758A-1-1,61	0.12	4.25
0.71	121-758A-1-1,71	0.21	4.06
0.71	121-758A-1-1,71	0.21	4.03
0.81	121-758A-1-1,81	0.21	4.09
0.81	121-758A-1-1,81	0.20	3.84
0.91	121-758A-1-1,91	0.18	4.09
0.91	121-758A-1-1,91	0.18	3.83
1.01	121-758A-1-1,101	0.13	3.91
1.01	121-758A-1-1,101	0.14	3.89
1.11	121-758A-1-1,111	0.15	3.96
1.11	121-758A-1-1,111	0.19	3.73
1.21	121-758A-1-1,121	-0.14	3.89
1.21	121-758A-1-1,121	-0.04	3.59
1.31	121-758A-1-1,131	-0.10	3.89
1.31	121-758A-1-1,131	-0.24	3.81
1.41	121-758A-1-1,141	-0.02	3.97
1.41	121-758A-1-1,141	0.02	3.66
1.51	121-758A-1-2,1	0.09	4.02
1.51	121-758A-1-2,1	0.04	3.46
1.91	121-758A-1-2,41	0.29	3.87
1.91	121-758A-1-2,41	0.31	3.45
2.11	121-758A-1-2,61	0.34	3.56
2.11	121-758A-1-2,61	0.33	3.45
2.21	121-758A-1-2,71	0.41	3.54
2.21	121-758A-1-2,71	0.43	3.61
2.31	121-758A-1-2,81	0.32	3.28
2.31	121-758A-1-2,81	0.25	3.46
2.41	121-758A-1-2,91	0.30	3.30
2.41	121-758A-1-2,91	-0.08	3.83
