/* DATA DESCRIPTION:
Citation:	Chen, J et al. (1995): (Table 3) Age assignment for the astronomical age model of ODP Site 121-758 in the northeastern Indian Ocean, doi:10.1594/PANGAEA.413055,
	In Supplement to: Chen, Jiajie; Farrell, John W; Murray, David; Prell, Warren L (1995): Timescale and paleoceanographic implications of a 3.6 m.y. oxygen isotope record from the northeast Indian Ocean (Ocean Drilling Program Site 758), Paleoceanography, 10(1), 21-48, doi:10.1029/94PA02290
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 90.3612 * EAST: 90.3612 * SOUTH: 5.3841 * NORTH: 5.3841
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 53.3 m
Event(s):	121-758 * LATITUDE: 5.3841 * LONGITUDE: 90.3612 * ELEVATION: -2935.0 m * DATE/TIME: 1988-06-15T00:00:00 * DATE/TIME 2: 1988-06-15T00:00:00 * RECOVERY: 561.90 m * PENETRATION: 782.20 m * LOCATION: North Indian * CAMPAIGN: Leg121 (URI: doi:10.2973/odp.proc.ir.121.1989) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 84 cores; 782.2 m cored; 0 m drilled; 71.8% recovery
Comment:	Depth is composite depth. Age assignment is achieved by comparing the delta18O record with result of ice volume simulation using the model of Imbrie and Imbrie (1980 doi:10.1126/science.207.4434.943)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Age model [ka] (Age model) * PI: Chen, Jiajie * METHOD: Age model, stable isotope stratigraphy
Size:	223 data points
*/
Depth [m]	Age model [ka]
0.01	0.0
0.41	16.0
1.21	49.0
1.31	62.0
2.11	80.0
2.21	86.0
2.31	100.0
2.41	108.0
2.71	122.0
3.01	132.0
3.51	168.0
3.61	180.0
3.81	192.0
4.11	214.0
4.41	224.0
4.61	238.0
4.91	246.0
5.11	258.0
5.21	267.0
5.42	286.7
5.62	300.0
5.92	306.7
6.32	328.0
6.62	340.0
7.02	362.0
7.32	368.0
7.43	384.0
7.53	406.0
7.63	429.0
7.83	458.0
8.03	468.0
8.33	482.0
9.13	510.0
9.23	526.0
9.33	540.0
9.43	572.0
9.63	584.0
9.73	595.0
9.83	602.0
10.03	616.0
10.33	626.0
10.63	666.0
10.83	674.0
10.93	688.0
11.43	698.0
11.53	708.0
11.63	718.0
11.73	732.0
11.83	754.0
12.13	782.0
12.43	794.0
12.53	821.0
12.63	828.0
12.93	840.0
13.03	846.0
13.33	860.0
13.63	870.0
13.73	880.0
14.13	904.0
14.23	918.0
14.53	952.0
14.93	962.0
15.13	976.0
15.23	982.0
15.53	996.0
15.93	1006.0
16.03	1025.0
16.23	1034.0
16.33	1048.0
16.43	1054.0
16.73	1068.0
17.03	1078.0
17.21	1110.0
17.31	1127.0
17.82	1162.0
18.12	1202.0
18.32	1210.0
18.72	1238.0
19.12	1248.0
19.52	1280.0
19.82	1290.0
20.12	1322.0
20.32	1340.0
20.62	1354.0
20.82	1364.0
21.12	1376.0
21.32	1382.0
21.42	1398.0
21.72	1413.0
22.32	1448.0
22.42	1458.0
22.92	1489.0
23.02	1500.0
23.52	1524.0
23.92	1532.0
24.22	1563.0
24.42	1573.0
25.12	1602.0
25.32	1628.0
25.42	1642.0
26.02	1668.0
26.42	1693.0
26.72	1702.0
26.92	1715.0
27.02	1722.0
27.23	1734.0
27.43	1744.0
27.95	1758.0
28.03	1765.0
28.13	1778.0
28.33	1788.0
28.53	1808.0
28.63	1816.0
28.73	1828.0
28.83	1836.0
29.03	1850.0
29.23	1880.0
29.43	1899.0
29.54	1910.0
29.94	1924.0
30.04	1930.0
30.14	1942.0
30.34	1953.0
30.54	1982.0
30.64	1992.0
30.94	2020.0
31.24	2030.0
31.44	2072.0
31.54	2078.0
31.94	2094.0
32.04	2102.0
32.34	2138.0
32.74	2148.0
32.84	2158.0
32.94	2163.0
33.14	2186.0
33.24	2196.0
33.44	2228.0
33.54	2240.0
33.84	2254.0
33.94	2259.0
34.14	2273.0
34.44	2284.0
34.64	2302.0
34.94	2312.0
35.04	2322.0
35.14	2330.0
35.24	2344.0
35.44	2357.0
35.74	2387.0
35.84	2404.0
36.14	2433.0
36.54	2443.0
36.74	2470.0
37.14	2484.0
37.34	2516.0
37.54	2528.0
38.04	2544.0
38.14	2552.0
38.34	2558.0
38.64	2598.0
38.84	2632.0
39.25	2644.0
39.55	2678.0
39.85	2690.0
40.05	2704.0
40.26	2712.0
40.66	2750.0
40.86	2762.0
41.26	2794.0
41.36	2806.0
41.46	2831.0
41.56	2843.0
41.76	2872.0
41.96	2884.0
42.16	2922.0
42.36	2931.0
42.66	2946.0
42.86	2954.0
42.96	2966.0
43.06	2974.0
43.16	2991.0
43.66	3000.0
43.86	3015.0
44.16	3023.0
44.36	3038.0
44.56	3047.0
44.86	3060.0
44.96	3068.0
45.16	3081.0
45.36	3091.0
45.56	3109.0
45.86	3115.0
46.16	3131.0
46.36	3140.0
46.76	3154.0
46.96	3161.0
47.06	3173.0
48.06	3247.0
48.26	3257.0
48.36	3286.0
48.66	3292.0
48.76	3305.0
48.96	3311.0
49.47	3325.0
49.57	3333.0
49.77	3345.0
50.17	3353.0
50.47	3369.0
50.77	3383.0
51.07	3418.0
51.17	3427.0
51.37	3440.0
51.46	3447.0
51.57	3460.0
51.67	3470.0
51.97	3493.0
52.18	3519.0
52.48	3534.0
52.78	3543.0
52.88	3554.0
53.08	3561.0
53.28	3575.0
