/* DATA DESCRIPTION:
Citation:	Bickert, T et al. (1993): (Appendix A) Stable oxygen and carbon isotope ratios of Cibicidoides wuellerstorfi from ODP Hole 130-806B on the Ontong Java Plateau, doi:10.1594/PANGAEA.696408,
	In Supplement to: Bickert, Torsten; Berger, Wolfgang H; Burke, S; Schmidt, Heike; Wefer, Gerold (1993): Late Quaternary stable isotope record of benthic foraminifers: Site 805 and 806, Ontong Java Plateau, In: Berger, WH; Kroenke, LW; Mayer, LA, et al. (eds.), Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 130, 411-420, doi:10.2973/odp.proc.sr.130.025.1993
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 159.3610 * EAST: 159.3610 * SOUTH: 0.3185 * NORTH: 0.3185
	MINIMUM DEPTH, sediment: 0.1 m * MAXIMUM DEPTH, sediment: 14.0 m
Event(s):	130-806B * LATITUDE: 0.3185 * LONGITUDE: 159.3610 * ELEVATION: -2519.9 m * DATE/TIME: 1990-02-18T21:00:00 * DATE/TIME 2: 1990-02-23T01:30:00 * RECOVERY: 666.40 m * PENETRATION: 743.10 m * CAMPAIGN: Leg130 (URI: doi:10.2973/odp.proc.ir.130.1991) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Drilling * COMMENT: 78 cores; 743.1 m cored; 0 m drilled; 89.7 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251 * COMMENT: size fraction >250 µm
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Bickert, Torsten (eMail: g05e@uni-bremen.de) * METHOD: Mass spectrometer Finnigan MAT 251 * COMMENT: size fraction >250 µm
Size:	264 data points
*/
Depth [m]	C. wuellerstorfi d18O [per mil PDB]	C. wuellerstorfi d13C [per mil PDB]
0.09	2.33	0.27
0.19	2.47	0.27
0.29	3.01	-0.04
0.39	3.68	-0.13
0.49	4.06	-0.13
0.59	3.78	-0.18
0.69	3.82	-0.16
0.79	3.64	0.05
0.89	3.54	-0.12
0.99	3.56	-0.12
1.09	3.63	0.07
1.19	3.29	-0.19
1.29	3.21	-0.21
1.39	3.55	-0.23
1.48	3.55	-0.17
1.59	3.32	-0.02
1.69	2.87	0.08
1.79	3.05	-0.01
1.89	3.23	0.06
1.99	2.97	0.03
2.09	2.78	0.04
2.19	3.10	-0.02
2.29	2.83	-0.06
2.39	3.17	-0.16
2.49	2.81	0.00
2.58	2.08	-0.14
2.69	3.76	-0.30
2.79	3.86	-0.34
2.89	3.91	-0.33
2.98	3.65	-0.45
3.09	3.66	-0.47
3.19	3.42	-0.41
3.29	3.69	-0.48
3.39	3.55	-0.44
3.49	3.39	-0.39
3.59	3.47	-0.54
3.69	3.50	-0.32
3.79	3.30	-0.38
3.89	2.79	-0.15
3.99	2.79	-0.01
4.08	2.75	0.02
4.14	2.56	0.03
4.59	3.32	-0.51
4.69	3.51	-0.35
4.79	3.50	-0.14
4.89	2.71	-0.05
4.99	2.78	0.00
5.09	2.54	-0.12
5.19	3.38	-0.57
5.29	3.73	-0.32
5.39	3.67	-0.31
5.49	3.56	-0.32
5.58	3.61	-0.42
5.68	3.52	-0.62
5.79	3.65	-0.52
5.89	3.28	-0.19
5.98	2.97	-0.10
6.09	2.94	-0.25
6.19	2.83	-0.31
6.29	3.40	-0.25
6.59	2.96	-0.18
6.69	2.41	0.01
6.79	2.67	-0.18
6.99	3.00	-0.15
7.09	3.50	-0.46
7.19	3.69	-0.51
7.29	3.59	-0.49
7.39	3.47	-0.49
7.49	3.24	-0.30
7.59	3.43	-0.40
7.69	3.39	-0.26
7.79	3.39	-0.19
7.89	3.28	-0.03
7.98	2.84	-0.21
8.09	2.90	-0.01
8.19	2.60	0.30
8.29	2.50	0.33
8.39	2.46	0.26
8.49	2.39	0.25
8.69	2.98	-0.09
8.79	3.09	-0.17
8.89	4.01	-0.33
8.99	4.03	-0.33
9.09	3.93	-0.34
9.19	3.63	-0.24
9.29	3.79	-0.40
9.39	3.61	-0.46
9.48	3.47	-0.25
9.59	3.51	-0.23
9.69	3.56	-0.23
9.79	3.97	-0.14
9.89	3.50	-0.18
9.99	3.38	0.11
10.09	2.99	0.27
10.19	2.64	0.31
10.29	2.93	0.20
10.39	3.00	0.11
10.49	3.11	0.25
10.59	3.01	0.14
10.69	3.34	0.27
10.79	3.25	0.26
10.89	3.11	0.34
10.98	3.06	0.18
11.09	3.28	-0.08
11.19	3.13	-0.07
11.29	3.69	-0.36
11.39	3.55	-0.33
11.49	3.65	-0.35
11.59	3.42	-0.24
11.69	3.35	-0.25
11.79	3.19	-0.12
11.89	2.96	-0.09
11.99	2.94	0.10
12.08	2.95	0.12
12.19	2.47	-0.01
12.29	2.68	-0.18
12.39	3.16	-0.16
12.59	3.49	-0.25
12.69	3.34	-0.01
12.79	3.03	0.02
12.89	2.96	-0.02
12.99	3.21	-0.07
13.09	2.85	0.09
13.19	3.09	-0.09
13.29	2.98	0.07
13.39	2.61	-0.03
13.49	3.78	-0.29
13.58	4.19	-0.37
13.69	3.64	-0.29
13.79	4.14	-0.29
13.89	3.92	-0.58
13.98	3.72	-0.46
