# NOAA Paleoclimatology Program - Paleocean Site Data			
# odp846_isot-tab.txt			
# Isotope data only			
# File Created: 19-Jan-2005			
#			
#*********************************************************************************			
# Please cite the contributor and the original publications when using these data			
#*********************************************************************************			
#			
# Missing Values indicated by '-999'			
#			
# PI:             Alan C. Mix			
# Core/Site:      ODP846			
# Latitude:       3.05.42S	( -3.095)		
# Longitude:      90.49.06W	( -90.81834)		
# Water Depth(m): 3296			
#			
# Publications:			
#   Mix. A.C.. N.G. Pisias. W. Rugh. J. Wilson. A. Morey. and T. Hagelberg. 1995.			
#     Benthic foraminifera stable isotope record form Site 849. 0-5 Ma: Local and global			
#     climate changes. Pages 371~412 in N.G. Pisias. L. Mayer. T. Janecek. A. Palmer-Julson.			
#     T.H. vanAndel. editors. Proceedings of the Ocean Drilling Program. Scientific			
#     Results 138. College Station. Texas. USA.			
#   Mix. A.C.. J. Le. and N.J. Shackleton. 1995. Benthic foraminiferal stable isotope			
#     stratigraphy of Site 846: 0-1.8 Ma. Pages 839~854 in N.G. Pisias. L. Mayer. T.			
#     Janecek. A. Palmer-Julson. and T.H. vanAndel. editors. Proceedings of the Ocean			
#     Drilling Program. Scientific Results 138. College Station. Texas. USA.			
#------------------			
#			
# Description & Notes:			
#   Tropical Pacific benthic isotope record for 0-5 Ma.			
#   Depth used is Revised Meters Composite Depth			
#			
# Variables:			
#             depth         Depth (cm)			
"#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)"			
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)			
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)			
#			
# CORE: ODP846			
depth	kyrBP	d18Oforams-b	d13Cforams-b
12	3.09	3.38	0.14
23	5.6	3.46	0.01
33	8.1	3.765	-0.08
43	10.55	4.14	-0.17
53	12.97	4.47	-0.21
63	15.37	4.99	-0.41
73	17.74	4.99	-0.43
87	20.98	4.9	-0.41
100	23.92	4.56	-0.29
113	26.76	4.76	-0.32
123	28.87	4.74	-0.44
133	30.91	4.64	-0.38
145	33.25	4.49	-0.33
159	35.87	4.56	-0.2
169	37.65	4.48	-0.16
179	39.39	4.44	-0.2
187	40.74	4.51	-0.18
198	42.54	4.35	-0.19
207	44	4.37	-0.24
218	45.73	4.43	-0.23
228	47.27	4.33	-0.26
238	48.8	4.35	-0.21
247	50.16	4.34	-0.3
259	52.01	4.46	-0.25
267	53.25	4.35	-0.38
278	54.99	4.5	-0.4
287	56.45	4.33	-0.41
296	57.95	4.36	-0.53
309	60.19	4.35	-0.43
318	61.83	4.47	-0.47
328	63.74	4.42	-0.53
339	65.98	4.5	-0.47
348	67.97	4.48	-0.3
357	70.1	4.11	-0.12
367	72.65	4.33	-0.21
378	75.71	3.98	0.01
388	78.74	4.04	-0.08
399	82.32	3.9	-0.12
410	86.14	4.06	-0.09
420	89.77	4.09	-0.13
428	92.71	4.08	-0.18
437	96.02	4.01	-0.01
443	98.19	3.91	-0.385
446	99.27	3.93	-0.21
455	102.42	3.76	-0.23
467	106.43	4.03	-0.29
479	110.2	3.82	-0.08
490	113.46	3.4	0
502	116.81	3.515	-0.075
512	119.47	3.13	0.22
522	122.03	2.98	0.12
532	124.49	3.25	-0.02
542	126.89	4.05	-0.205
552	129.23	4.185	-0.27
562	131.54	4.71	-0.33
572	133.81	4.88	-0.4
582	136.06	4.37	-0.25
592	138.28	4.7	-0.33
602	140.49	4.76	-0.43
613	142.88	4.69	-0.45
623	145.04	4.61	-0.58
633	147.19	4.47	-0.445
643	149.31	4.595	-0.425
653	151.4	4.53	-0.565
663	153.48	4.665	-0.5
672	155.33	4.675	-0.595
682	157.38	4.66	-0.505
691	159.23	4.57	-0.33
700	161.08	4.47	-0.475
709	162.94	4.435	-0.395
718	164.82	4.39	-0.47
727	166.75	4.305	-0.455
736	168.72	4.26	-0.545
745	170.78	4.24	-0.515
753	172.68	4.325	-0.505
762	174.95	4.3	-0.565
771	177.39	4.3	-0.43
779	179.75	4.46	-0.39
788	182.67	4.065	-0.33
795	185.18	3.955	-0.27
803	188.28	4.03	-0.32
810	191.2	4	-0.51
818	194.98	3.625	-0.1
826	199.09	3.815	-0.175
834	203.45	3.71	-0.045
842	207.94	3.6	-0.02
850	212.44	3.53	-0.265
859	217.11	3.455	-0.26
868	221.28	3.795	-0.48
877	224.9	4.325	-0.455
887	228.35	4.41	-0.49
898	231.58	4.07	-0.485
908	234.1	4.195	-0.49
919	236.53	4.055	-0.47
929	238.49	3.845	-0.33
940	240.46	3.73	-0.315
949	241.94	3.74	-0.27
958	243.39	4.165	-0.49
968	245.01	4.15	-0.455
978	246.68	4.42	-0.69
987	248.24	4.525	-0.565
996	249.8	4.465	-0.645
1006	251.54	4.51	-0.62
1016	253.33	4.46	-0.83
1027	255.42	4.465	-0.885
1038	257.74	4.38	-0.82
1050	260.54	4.385	-0.92
1055	261.83	4.42	-0.82
1061	263.41	4.27	-0.64
1071	266.24	4.49	-0.55
1073	266.84	4.39	-0.76
1084	270.18	4.48	-0.54
1091	272.37	4.27	-0.5
1094	273.33	4.24	-0.65
1103	276.23	4.045	-0.355
1112	279.15	4.01	-0.44
1120	281.74	3.81	-0.28
1123	282.71	3.87	-0.1
1128	284.32	3.84	-0.48
1132	285.59	3.94	-0.39
1136	286.86	3.95	-0.46
1141	288.44	3.85	-0.37
1149	290.95	3.895	-0.53
1159	294.04	4.12	-0.54
1171	297.72	4.03	-0.38
1180	300.46	3.96	-0.47
1187	302.58	4.14	-0.48
1194	304.69	3.9	-0.36
1203	307.4	3.87	-0.41
1209	309.21	3.83	-0.61
1220	312.54	3.85	-0.48
1233	316.46	3.59	-0.46
1238	317.97	3.8	-0.34
1243	319.46	3.725	-0.385
1251	321.84	4.05	-0.5
1253	322.43	3.74	-0.43
1262	325.06	3.25	-0.22
1264	325.63	3.25	-0.28
1271	327.6	3.36	-0.27
1279	329.76	3.47	-0.3
1281	330.28	3.74	-0.45
1297	334.15	3.73	-0.28
1305	335.97	3.925	-0.475
1318	338.84	4.64	-0.67
1320	339.28	4.28	-0.51
1327	340.81	4.63	-0.63
1329	341.24	4.43	-0.51
1333	342.11	4.57	-0.65
1337	342.99	4.75	-0.53
1339	343.42	4.61	-0.52
1346	344.95	4.605	-0.53
1354	346.7	4.71	-0.58
1356	347.14	4.41	-0.36
1367	349.59	4.55	-0.58
1377	351.85	4.55	-0.67
1385	353.69	4.63	-0.69
1391	355.09	4.53	-0.72
1396	356.27	4.59	-0.6
1402	357.71	4.52	-0.46
1408	359.18	4.93	-0.56
1418	361.69	4.21	-0.44
1432	365.37	4.08	-0.25
1446	369.25	4.55	-0.54
1459	373.04	4.13	-0.34
1469	376.06	4.13	-0.19
1477	378.54	4.11	-0.13
1486	381.36	4.01	-0.26
1495	384.21	4.09	-0.22
1506	387.7	3.92	-0.27
1518	391.46	3.72	0.08
1533	396.04	3.8	0.04
1542	398.72	3.51	-0.165
1547	400.18	3.52	0.19
1552	401.63	3.2	0.115
1560	403.92	3.21	0.03
1563	404.77	3.26	0
1574	407.85	3.07	0.035
1585	410.9	3.31	-0.035
1595	413.66	3.34	-0.015
1606	416.71	3.48	0.01
1617	419.77	3.715	-0.245
1627	422.56	4.34	-0.34
1641	426.48	4.53	-0.46
1651	429.28	4.81	-0.475
1661	432.06	4.925	-0.495
1671	434.81	4.92	-0.36
1682	437.79	5.005	-0.365
1692	440.43	4.92	-0.405
1702	443	4.51	-0.24
1711	445.23	4.7	-0.395
1731	449.87	4.46	-0.395
1741	452.02	4.46	-0.45
1751	454.07	4.535	-0.585
1761	456.03	4.46	-0.457
1771	457.91	4.44	-0.35
1790	461.34	4.43	-0.35
1793	461.86	4.52	-0.44
1800	463.08	4.55	-0.46
1803	463.6	4.45	-0.44
1810	464.8	4.64	-0.39
1820	466.5	4.71	-0.42
1830	468.22	4.59	-0.45
1841	470.14	4.61	-0.39
1851	471.92	4.64	-0.37
1861	473.76	4.43	-0.22
1871	475.67	4.26	-0.08
1881	477.66	4.04	-0.12
1891	479.75	4.08	0.1
1905	482.94	3.93	0.16
1915	485.4	3.82	0.25
1925	488.03	3.82	0.23
1935	490.84	4.35	-0.24
1945	493.82	3.87	0.11
1955	496.95	3.94	0.13
1965	500.19	3.68	-0.01
1975	503.52	4.12	0.19
1985	506.86	4.21	0.16
1995	510.18	4.26	0.22
2005	513.45	4.39	0.29
2015	516.65	4.38	0.25
2025	519.73	4.26	0.2
2027	520.33	4.07	0.13
2035	522.55	4.12	0.07
2043	524.52	4.08	-0.07
2051	526.24	4.1	-0.13
2061	528.11	4.26	-0.33
2070	529.8	4.38	-0.34
2081	532.29	4.37	-0.28
2091	535.15	4.34	-0.31
2106	540.94	4.48	-0.34
2121	548.08	4.2	-0.3
2137	556.04	4.33	-0.5
2146	560.09	4.21	-0.36
2156	564.12	4.12	-0.39
2162	566.33	3.91	-0.34
2168	568.35	3.88	-0.22
2176	570.88	3.94	-0.23
2183	572.99	3.74	-0.15
2190	575.03	3.72	0.05
2201	578.12	3.58	-0.02
2215	582.04	3.87	-0.2
2228	585.79	4.35	-0.3
2241	589.8	4.4	-0.38
2250	592.8	4.21	-0.17
2260	596.42	4.04	-0.21
2270	600.38	4.01	-0.12
2278	603.84	4.08	-0.06
2287	607.95	4.01	-0.02
2295	611.78	3.79	0.02
2301	614.71	4.02	-0.21
2308	618.17	4.18	-0.24
2314	621.06	4.39	-0.27
2322	624.78	4.88	-0.45
2330	628.22	4.78	-0.39
2339	631.54	5.1	-0.58
2348	634.4	4.79	-0.54
2356	636.64	4.93	-0.62
2365	638.92	4.99	-0.59
2376	641.43	4.86	-0.6
2383	642.91	4.76	-0.64
2397	645.63	4.81	-0.59
2408	647.6	4.67	-0.62
2421	649.8	4.73	-0.6
2430	651.29	4.73	-0.6
2440	652.92	4.74	-0.68
2448	654.23	4.72	-0.56
2460	656.25	4.59	-0.74
2471	658.2	4.55	-0.65
2476	659.13	4.61	-0.61
2483	660.49	4.54	-0.64
2488	661.5	4.51	-0.72
2494	662.82	4.47	-0.65
2501	664.45	4.33	-0.56
2507	666.03	4.55	-0.65
2509	666.56	4.32	-0.51
2520	669.93	4.55	-0.58
2530	673.67	4.42	-0.58
2536	676.35	4.38	-0.57
2540	678.13	4.56	-0.7
2543	679.69	4.42	-0.63
2546	681.24	4.49	-0.78
2549	682.8	4.44	-0.6
2553	685.04	4.43	-0.46
2558	687.9	4.03	-0.28
2600	709.48	4.48	-0.51
2624	717.07	4.63	-0.62
2633	719.52	4.59	-0.53
2639	721.09	4.64	-0.48
2644	722.37	4.43	-0.39
2649	723.64	4.23	-0.41
2657	725.65	4.18	-0.13
2671	729.18	4.27	-0.24
2707	738.66	4.39	-0.42
2728	744.51	4.3	-0.58
2737	747.03	4.41	-0.6
2744	748.98	4.34	-0.37
2749	750.36	4.52	-0.64
2756	752.28	4.65	-0.7
2773	756.85	4.47	-0.54
2785	759.96	4.47	-0.55
2798	763.23	4.31	-0.4
2809	765.92	4.11	-0.42
2819	768.28	4.16	-0.55
2829	770.59	4.03	-0.29
2839	772.85	3.94	-0.35
2848	774.84	3.98	-0.47
