# NOAA Paleoclimatology Program - Paleocean Site Data
# odp849_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Alan C. Mix
# Core/Site:      ODP849
# Latitude:       0.11.00N	( 0.18333)
# Longitude:      110.31.06W	( -110.5183)
# Water Depth(m): 3839
#
# Publications:
#   Mix, A.C., N.G. Pisias, W. Rugh, J. Wilson, A. Morey, and T. Hagelberg. 1995.
#     Benthic foraminifera stable isotope record form Site 849, 0-5 Ma: Local and global
#     climate changes. Pages 371~412 in N.G. Pisias, L. Mayer, T. Janecek, A. Palmer-Julson,
#     T.H. vanAndel, editors, Proceedings of the Ocean Drilling Program, Scientific
#     Results 138, College Station, Texas, USA.
#   Mix, A.C., J. Le, and N.J. Shackleton. 1995. Benthic foraminiferal stable isotope
#     stratigraphy of Site 846: 0-1.8 Ma. Pages 839~854 in N.G. Pisias, L. Mayer, T.
#     Janecek, A. Palmer-Julson, and T.H. vanAndel, editors, Proceedings of the Ocean
#     Drilling Program, Scientific Results 138, College Station, Texas, USA.
#------------------
#
# Description & Notes:
#   Tropical Pacific benthic isotope record for 0-5 Ma.
#   Depth used is Revised Meters Composite Depth 
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: ODP849
depth         yrBP          d13Cforams-b  d18Oforams-b  
 7             3585          0.21          3.66         
 17            5135          0.08          3.49         
 28            7400          0.19          3.31         
 45            11125        -0.15          4.17         
 55            13175        -0.27          4.69         
 69            16045        -0.26          4.92         
 89            20370        -0.08          4.55         
 89            20370        -0.16          4.8          
 109           25240         0.02          4.59         
 118           27580         0.05          4.55         
 128           30380         0.02          4.72         
 139           33515         0.1           4.36         
 150           37050         0.05          4.46         
 161           40675        -0.02          4.63         
 185           49650         0.07          4.47         
 194           52980        -0.04          4.45         
 217           61405        -0.21          4.54         
 231           66075        -0.11          4.57         
 243           69900         0.3           4.27         
 249           71700         0.13          4.14         
 256           73800         0.25          4.1          
 271           78410        -0.03          4.32         
 275           79650         0.12          3.95         
 280           81200         0.22          3.83         
 289           84305         0.21          4            
 292           85340         0.21          3.9          
 292           85340         0.21          3.96         
 296           86720         0.2           3.71         
 306           90560         0.1           3.85         
 306           90560        -0.01          3.84         
 315           94250         0.17          4            
 324           98140         0.09          3.95         
 333           102280       -0.06          3.91         
 333           102280       -0.11          3.73         
 344           107280        0.06          3.7          
 344           107280        0.1           3.79         
 355           112175        0.05          3.78         
 366           116590        0.23          3.3          
 377           120605        0.12          3.23         
 388           123940       -0.02          3.15         
 398           126740       -0.02          3.27         
 408           129140       -0.23          4.13         
 418           131440       -0.3           4.42         
 428           133740       -0.3           4.85         
 437           135810       -0.39          4.75         
 437           135810       -0.25          4.84         
 447           138180       -0.38          4.98         
 456           140340       -0.45          4.7          
 467           143120       -0.33          4.74         
 477           145720       -0.25          4.76         
 488           148780       -0.19          4.67         
 498           151630       -0.46          4.38         
