ODP 925        
         
4¡12.25 N 43¡29.33 W 3042 m    
         
Ceara Rise        
         
data Torsten Bickert (Uni Bremen)     
Bickert et al. (1997) Ocean Drill. Program Sci. Results. 154.
Age model        
         
Site Hole Core Type Sect Top mcd d18O d13C species 
925 C 1 H 1 11 0.11 2.48 1.43 C.wuellerstorfi
925 C 1 H 1 21 0.21 2.61 1.23 C.wuellerstorfi
925 C 1 H 1 31 0.31 3.14 0.72 C.wuellerstorfi
925 C 1 H 1 41 0.41 3.62 0.31 C.wuellerstorfi
925 C 1 H 1 51 0.51 3.73 0.33 C.wuellerstorfi
925 C 1 H 1 61 0.61 4.37 0.12 C.bradyii
925 C 1 H 1 71 0.71 4.25 0.28 C.bradyii
925 C 1 H 1 81 0.81 4.13 0.41 C.wuellerstorfi
925 C 1 H 1 81 0.81 4.18 0.41 C.spp.
925 C 1 H 1 91 0.91 4.03 0.36 C.wuellerstorfi
925 C 1 H 1 101 1.01 4.12 0.35 C.spp.
925 C 1 H 1 111 1.11 3.78 0.79 C.wuellerstorfi
925 C 1 H 1 121 1.21 3.94 0.72 C.wuellerstorfi
925 C 1 H 1 131 1.31 3.74 0.38 C.wuellerstorfi
925 C 1 H 1 131 1.31 3.70 0.80 C.wuellerstorfi
925 C 1 H 1 141 1.41 3.74 0.88 C.wuellerstorfi
925 C 1 H 2 21 1.71 3.69 0.55 C.wuellerstorfi
925 C 1 H 2 31 1.81 3.64 0.96 C.wuellerstorfi
925 C 1 H 2 41 1.91 3.36 0.51 C.wuellerstorfi
925 C 1 H 2 51 2.01 3.70 1.02 C.wuellerstorfi
925 C 1 H 2 61 2.11 3.62 0.89 C.spp.
925 C 1 H 2 71 2.21 3.45 0.60 C.wuellerstorfi
925 C 1 H 2 81 2.31 3.58 0.84 C.wuellerstorfi
925 C 1 H 2 81 2.31 3.64 0.85 C.wuellerstorfi
925 C 1 H 2 91 2.41 3.65 0.35 C.wuellerstorfi
925 C 1 H 2 101 2.51 3.58 0.19 C.wuellerstorfi
925 C 1 H 2 111 2.61 3.89 0.05 C.wuellerstorfi
925 C 1 H 2 121 2.71 3.88 0.21 C.wuellerstorfi
925 C 1 H 2 131 2.81 3.83 -0.01 C.wuellerstorfi
925 C 1 H 2 141 2.91 3.68 0.48 C.wuellerstorfi
925 C 1 H 2 141 2.91 3.69 0.54 C.wuellerstorfi
925 C 1 H 2 150 3.00 3.61 0.32 C.spp.
925 C 1 H 3 11 3.11 3.43 0.40 C.wuellerstorfi
925 C 1 H 3 21 3.21 3.14 1.12 C.wuellerstorfi
925 C 1 H 3 31 3.31 3.20 1.16 C.wuellerstorfi
925 C 1 H 3 31 3.31 3.04 1.20 C.wuellerstorfi
925 C 1 H 3 41 3.41 3.12 1.28 C.wuellerstorfi
925 C 1 H 3 51 3.51 3.44 0.22 C.wuellerstorfi
925 C 1 H 3 51 3.51 3.42 -0.18 C.wuellerstorfi
925 C 1 H 3 71 3.71 3.23 1.21 C.wuellerstorfi
925 C 1 H 3 101 4.01 2.92 1.17 C.wuellerstorfi
925 C 1 H 3 111 4.11 3.33 0.87 C.spp.
925 C 1 H 3 111 4.11 3.03 1.00 C.spp.
925 C 1 H 3 121 4.21 2.98 0.42 C.wuellerstorfi
925 C 1 H 3 131 4.31 3.21 0.86 C.wuellerstorfi
925 C 1 H 3 131 4.31 3.39 -0.14 C.spp.
925 C 1 H 3 150 4.50 3.47 0.82 C.spp.
925 C 1 H 4 11 4.61 3.17 1.01 C.spp.
925 C 1 H 4 21 4.71 2.98 1.05 C.spp.
925 C 1 H 4 21 4.71 2.77 1.06 C.kullenbergi
925 C 1 H 4 31 4.81 2.48 0.45 C.spp.
925 C 1 H 4 41 4.91 2.76 0.07 C.kullenbergi
925 C 1 H 4 41 4.91 2.26 0.86 C.spp.
925 C 1 H 4 51 5.01 3.19 0.26 C.wuellerstorfi
925 C 1 H 4 51 5.01 2.28 0.71 C.kullenbergi
925 C 1 H 4 61 5.11 3.28 0.16 C.spp.
925 C 1 H 4 71 5.21 4.07 0.18 C.wuellerstorfi
925 C 1 H 4 81 5.31 4.15 0.60 C.wuellerstorfi
925 C 1 H 4 91 5.41 4.11 0.31 C.wuellerstorfi
925 C 1 H 4 101 5.51 4.21 0.28 C.wuellerstorfi
