mcd age 
0.98 0.021
1.93 0.043
3.03 0.068
3.63 0.091
4.43 0.112
5.43 0.138
6.53 0.161
8.15 0.205
9.15 0.229
9.84 0.252
10.95 0.277
11.85 0.299
12.55 0.321
13.47 0.344
15.75 0.396
16.75 0.416
17.85 0.433
19.35 0.473
20.75 0.515
21.86 0.545
22.26 0.565
22.96 0.588
24.26 0.631
25.26 0.659
25.86 0.679
26.51 0.701
26.90 0.720
27.68 0.756
29.15 0.795
30.32 0.832
30.65 0.853
31.30 0.873
31.82 0.891
32.72 0.923
33.82 0.965
34.52 0.985
35.32 1.010
36.42 1.059
37.24 1.081
37.70 1.101
38.90 1.136
39.99 1.175
41.14 1.213
42.18 1.252
42.74 1.269
43.60 1.298
44.78 1.328
46.36 1.386
47.21 1.419
48.37 1.461
49.22 1.502
50.50 1.536
50.97 1.555
52.28 1.593
53.33 1.632
54.43 1.671
55.63 1.706
56.25 1.727
56.78 1.746
58.36 1.796
59.04 1.820
59.66 1.841
60.22 1.863
60.88 1.882
61.90 1.913
63.21 1.955
64.27 1.993
65.71 2.050
66.90 2.084
68.24 2.127
69.54 2.174
70.94 2.199
71.63 2.219
72.47 2.242
73.98 2.289
74.84 2.314
75.32 2.334
76.34 2.373
77.36 2.408
78.29 2.446
79.89 2.486
81.18 2.531
83.49 2.601
84.14 2.626
84.91 2.650
86.23 2.693
86.88 2.719
88.29 2.767
90.28 2.831
92.30 2.887
94.17 2.946
95.14 2.980
97.36 3.052
98.02 3.073
98.98 3.111
101.20 3.112
102.20 3.143
103.11 3.165
103.83 3.185
105.26 3.221
105.76 3.241
106.46 3.260
107.62 3.296
108.02 3.314
109.43 3.356
110.31 3.389
111.48 3.430
112.69 3.472
114.14 3.523
115.42 3.564
117.08 3.622
118.49 3.675
119.81 3.716
120.99 3.757
122.55 3.809
124.02 3.852
126.15 3.924
127.66 3.966
129.79 4.040
131.55 4.095
133.48 4.161
136.15 4.231
138.02 4.302
138.95 4.324
139.46 4.344
140.17 4.366
141.22 4.437
141.43 4.454
144.08 4.567
145.50 4.611
146.05 4.634
146.69 4.658
147.25 4.681
148.30 4.727
149.58 4.774
150.79 4.814
152.09 4.851
153.50 4.898
154.15 4.923
154.78 4.943
155.41 4.966
156.80 5.015
157.35 5.037
158.01 5.058
158.46 5.081
159.01 5.104
159.46 5.131
159.76 5.151
160.15 5.173
160.71 5.193
161.40 5.224
162.46 5.265
163.26 5.303
163.76 5.323
164.15 5.344
165.21 5.394
165.76 5.416
166.21 5.437
166.76 5.459
167.16 5.485
167.71 5.509
168.11 5.531
168.61 5.551
169.11 5.571
169.61 5.588
170.51 5.626
170.91 5.644
171.31 5.663
171.81 5.681
172.21 5.702
172.71 5.722
173.31 5.753
173.81 5.774
174.31 5.795
174.81 5.816
175.36 5.838
176.01 5.867
176.41 5.888
176.86 5.910
177.21 5.930
177.76 5.952
178.21 5.984
179.26 6.025
179.76 6.043
180.76 6.080
182.66 6.100
183.26 6.121
184.16 6.155
184.66 6.174
185.41 6.195
185.96 6.215
186.16 6.238
188.16 6.288
188.86 6.310
189.46 6.330
190.36 6.353
191.96 6.403
192.36 6.423
192.86 6.443
193.61 6.481
193.96 6.499
194.36 6.518
194.86 6.534
195.26 6.553
195.66 6.574
196.16 6.596
196.46 6.617
197.11 6.647
197.51 6.667
204.81 6.689
205.26 6.709
205.91 6.740
206.31 6.762
206.76 6.781
207.51 6.819
207.81 6.837
209.61 6.859
210.01 6.878
210.56 6.908
212.96 6.951
213.51 6.975
213.96 6.995
214.66 7.045
214.91 7.066
215.16 7.089
215.51 7.111
215.91 7.139
216.31 7.181
218.11 7.257
219.61 7.332
221.36 7.400
222.13 7.445
222.56 7.468
223.11 7.493
225.31 7.585
227.36 7.666
228.31 7.707
228.86 7.734
229.41 7.757
230.61 7.800
231.06 7.824
231.46 7.849
231.86 7.872
232.36 7.894
232.86 7.915
233.46 7.937
234.96 7.987
235.36 8.007
235.86 8.028
238.71 8.158
239.21 8.178
239.71 8.200
241.36 8.272
243.96 8.293
244.31 8.315
245.21 8.365
245.66 8.386
246.06 8.407
248.11 8.426
249.16 8.482
250.16 8.559
251.26 8.631
252.16 8.673
252.91 8.722
254.66 8.745
255.11 8.767
