mcd	c13	o18 (o/oo PDB)	species
			
0,02	0,20	2,43	C. wuellerstorfi
0,11	0,93	2,47	C. wuellerstorfi
0,21	1,23	2,72	C. wuellerstorfi
0,41	0,28	3,73	C. wuellerstorfi
0,51	0,31	4,29	C. wuellerstorfi
0,61	0,48	4,30	C. wuellerstorfi
0,71	0,27	4,26	C. wuellerstorfi
0,81	0,37	4,21	C. wuellerstorfi
0,91	0,32	4,13	C. wuellerstorfi
1,01	0,34	4,29	C. spp.
1,11	0,31	4,11	C. spp.
1,21	0,48	3,94	C. wuellerstorfi
1,31	0,35	3,98	C. spp.
1,31	0,54	3,85	C. wuellerstorfi
1,41	0,52	3,88	C. wuellerstorfi
1,61	0,81	3,78	C. wuellerstorfi
1,71	1,00	3,76	C. wuellerstorfi
1,81	0,82	3,56	C. wuellerstorfi
1,91	0,43	3,75	C. spp.
2,01	0,68	3,69	C. wuellerstorfi
2,11	0,50	3,77	C. wuellerstorfi
2,21	0,72	3,65	C. wuellerstorfi
2,21	0,78	3,77	C. wuellerstorfi
2,31	0,46	3,52	C. wuellerstorfi
2,39	0,96	3,80	C. wuellerstorfi
2,49	0,90	3,76	C. wuellerstorfi
2,59	0,99	3,77	C. wuellerstorfi
2,69	1,15	3,64	C. wuellerstorfi
2,79	0,83	3,51	C. spp.
2,86	0,47	3,58	C. wuellerstorfi
2,99	0,45	3,66	C. wuellerstorfi
3,09	-0,25	3,71	C. wuellerstorfi
3,19	0,33	4,02	C. wuellerstorfi
3,19	0,00	3,85	C. wuellerstorfi
3,29	-0,06	3,88	C. wuellerstorfi
3,39	0,02	3,92	C. wuellerstorfi
3,49	0,02	3,93	C. wuellerstorfi
3,69	0,50	3,56	C. wuellerstorfi
3,79	0,88	3,57	C. wuellerstorfi
3,79	1,18	3,32	C. wuellerstorfi
3,89	1,23	3,35	C. wuellerstorfi
3,99	0,62	3,28	C. wuellerstorfi
4,09	1,12	3,27	C. wuellerstorfi
4,19	0,86	3,18	C. wuellerstorfi
4,19	1,13	2,84	C. wuellerstorfi
4,29	0,44	3,00	C. wuellerstorfi
4,39	0,41	3,59	C. wuellerstorfi
4,49	0,70	3,33	C. wuellerstorfi
4,49	0,82	3,18	C. wuellerstorfi
4,59	1,22	3,39	C. wuellerstorfi
4,69	1,17	3,10	C. wuellerstorfi
4,89	1,15	3,02	C. wuellerstorfi
5,19	0,83	3,27	C. wuellerstorfi
5,29	0,79	3,22	C. wuellerstorfi
5,39	0,27	3,52	C. wuellerstorfi
5,49	0,63	3,67	C. spp.
5,59	0,69	3,42	C. spp.
5,69	0,79	3,34	C. wuellerstorfi
5,79	0,92	2,86	C. spp.
5,79	1,09	3,12	C. wuellerstorfi
5,89	0,97	2,37	C. spp.
5,99	0,21	2,74	C. wuellerstorfi
6,05	0,88	2,32	C. wuellerstorfi
6,15	0,36	2,65	C. wuellerstorfi
