ODP 927        
         
5¡27.7N 44¡28.8W 3326m       
         
Ceara Rise        
         
data Torsten Bickert (Uni Bremen)     
Bickert et al. (1997) Ocean Drill. Program Sci. Results. 154.
Site Hole Core Sect Type  top mcd d18O d13C species
927 B 1 H 1 2 0.02 2.43 0.20 C.wuellerstorfi
927 B 1 H 1 11 0.11 2.47 0.93 C.wuellerstorfi
927 B 1 H 1 21 0.21 2.72 1.23 C.wuellerstorfi
927 B 1 H 1 41 0.41 3.73 0.28 C.wuellerstorfi
927 B 1 H 1 51 0.51 4.29 0.31 C.wuellerstorfi
927 B 1 H 1 61 0.61 4.30 0.48 C.wuellerstorfi
927 B 1 H 1 71 0.71 4.26 0.27 C.wuellerstorfi
927 B 1 H 1 81 0.81 4.21 0.37 C.wuellerstorfi
927 B 1 H 1 91 0.91 4.13 0.32 C.wuellerstorfi
927 B 1 H 1 101 1.01 4.29 0.34 C.spp.
927 B 1 H 1 111 1.11 4.11 0.31 C.spp.
927 B 1 H 1 121 1.21 3.94 0.48 C.wuellerstorfi
927 B 1 H 1 131 1.31 3.98 0.35 C.spp.
927 B 1 H 1 131 1.31 3.85 0.54 C.wuellerstorfi
927 B 1 H 1 141 1.41 3.88 0.52 C.wuellerstorfi
927 B 1 H 2 11 1.61 3.78 0.81 C.wuellerstorfi
927 B 1 H 2 21 1.71 3.76 1.00 C.wuellerstorfi
927 B 1 H 2 31 1.81 3.56 0.82 C.wuellerstorfi
927 B 1 H 2 41 1.91 3.75 0.43 C.spp.
927 B 1 H 2 51 2.01 3.69 0.68 C.wuellerstorfi
927 B 1 H 2 61 2.11 3.77 0.50 C.wuellerstorfi
927 B 1 H 2 71 2.21 3.65 0.72 C.wuellerstorfi
927 B 1 H 2 71 2.21 3.77 0.78 C.wuellerstorfi
927 B 1 H 2 81 2.31 3.52 0.46 C.wuellerstorfi
927 A 1 H 2 58 2.39 3.80 0.96 C.wuellerstorfi
927 A 1 H 2 68 2.49 3.76 0.90 C.wuellerstorfi
927 A 1 H 2 78 2.59 3.77 0.99 C.wuellerstorfi
927 A 1 H 2 88 2.69 3.64 1.15 C.wuellerstorfi
927 A 1 H 2 98 2.79 3.51 0.83 C.spp.
927 A 1 H 2 105 2.86 3.58 0.47 C.wuellerstorfi
927 A 1 H 2 118 2.99 3.66 0.45 C.wuellerstorfi
927 A 1 H 2 128 3.09 3.71 -0.25 C.wuellerstorfi
927 A 1 H 2 138 3.19 4.02 0.33 C.wuellerstorfi
927 A 1 H 2 138 3.19 3.85 0.00 C.wuellerstorfi
927 A 1 H 2 148 3.29 3.88 -0.06 C.wuellerstorfi
927 A 1 H 3 8 3.39 3.92 0.02 C.wuellerstorfi
927 A 1 H 3 18 3.49 3.93 0.02 C.wuellerstorfi
927 A 1 H 3 38 3.69 3.56 0.50 C.wuellerstorfi
927 A 1 H 3 48 3.79 3.57 0.88 C.wuellerstorfi
927 A 1 H 3 48 3.79 3.32 1.18 C.wuellerstorfi
927 A 1 H 3 58 3.89 3.35 1.23 C.wuellerstorfi
927 A 1 H 3 68 3.99 3.28 0.62 C.wuellerstorfi
927 A 1 H 3 78 4.09 3.27 1.12 C.wuellerstorfi
927 A 1 H 3 88 4.19 3.18 0.86 C.wuellerstorfi
927 A 1 H 3 88 4.19 2.84 1.13 C.wuellerstorfi
927 A 1 H 3 98 4.29 3.00 0.44 C.wuellerstorfi
927 A 1 H 3 108 4.39 3.59 0.41 C.wuellerstorfi
927 A 1 H 3 118 4.49 3.33 0.70 C.wuellerstorfi
927 A 1 H 3 118 4.49 3.18 0.82 C.wuellerstorfi
927 A 1 H 3 128 4.59 3.39 1.22 C.wuellerstorfi
927 A 1 H 3 138 4.69 3.10 1.17 C.wuellerstorfi
927 A 1 H 4 8 4.89 3.02 1.15 C.wuellerstorfi
927 A 1 H 4 38 5.19 3.27 0.83 C.wuellerstorfi
927 A 1 H 4 48 5.29 3.22 0.79 C.wuellerstorfi
927 A 1 H 4 58 5.39 3.52 0.27 C.wuellerstorfi
927 A 1 H 4 68 5.49 3.67 0.63 C.spp.
927 A 1 H 4 78 5.59 3.42 0.69 C.spp.
927 A 1 H 4 88 5.69 3.34 0.79 C.wuellerstorfi
927 A 1 H 4 98 5.79 2.86 0.92 C.spp.
927 A 1 H 4 98 5.79 3.12 1.09 C.wuellerstorfi
927 A 1 H 4 108 5.89 2.37 0.97 C.spp.
927 A 1 H 4 118 5.99 2.74 0.21 C.wuellerstorfi
927 B 2 H 1 64 6.05 2.32 0.88 C.wuellerstorfi
927 B 2 H 1 74 6.15 2.65 0.36 C.wuellerstorfi
927 B 2 H 1 74 6.15 2.91 -0.12 C.spp.
927 B 2 H 1 94 6.35 3.90 0.18 C.wuellerstorfi
927 B 2 H 1 104 6.45 4.23 0.57 C.wuellerstorfi
927 B 2 H 1 144 6.85 4.10 0.22 C.wuellerstorfi
927 B 2 H 2 4 6.95 3.93 -0.83 N.umbonifera
927 B 2 H 2 14 7.05 4.06 -0.77 N.umbonifera
927 B 2 H 2 24 7.15 4.02 0.11 C.wuellerstorfi
927 B 2 H 2 24 7.15 4.10 0.12 C.spp.
927 B 2 H 2 34 7.25 3.88 -0.37 C.wuellerstorfi
927 B 2 H 2 44 7.35 4.01 -0.23 C.wuellerstorfi
927 B 2 H 2 74 7.65 4.03 0.18 C.wuellerstorfi
927 B 2 H 2 84 7.75 4.17 0.40 C.spp.
927 B 2 H 2 84 7.75 3.70 0.54 C.wuellerstorfi
927 B 2 H 2 114 8.05 3.77 0.41 C.spp.
927 B 2 H 2 134 8.25 3.73 0.82 C.wuellerstorfi
927 B 2 H 2 144 8.35 3.55 0.48 C.wuellerstorfi
927 B 2 H 3 4 8.45 3.54 0.53 C.wuellerstorfi
927 B 2 H 3 14 8.55 3.89 -0.13 C.spp.
927 B 2 H 3 24 8.65 3.87 0.22 C.wuellerstorfi
927 B 2 H 3 34 8.75 3.76 0.56 C.wuellerstorfi
927 B 2 H 3 44 8.85 3.58 0.36 C.spp.
927 B 2 H 3 54 8.95 3.60 0.78 C.wuellerstorfi
927 B 2 H 3 74 9.15 3.92 0.13 C.spp.
927 B 2 H 3 84 9.25 3.81 0.26 C.wuellerstorfi
927 B 2 H 3 104 9.45 3.57 0.55 C.wuellerstorfi
927 B 2 H 3 114 9.55 3.01 0.94 C.wuellerstorfi
927 B 2 H 3 114 9.55 3.15 -0.22 C.wuellerstorfi
927 B 2 H 3 124 9.65 3.05 0.14 C.spp.
927 B 2 H 3 144 9.85 3.26 0.55 N.umbonifera
927 B 2 H 4 14 10.05 2.60 0.94 C.wuellerstorfi
927 B 2 H 4 34 10.25 2.89 1.01 C.wuellerstorfi
927 B 2 H 4 44 10.35 3.12 0.96 C.spp.
927 B 2 H 4 64 10.55 2.80 0.96 C.spp.
927 B 2 H 4 74 10.65 2.70 0.62 C.bradyii
927 B 2 H 4 84 10.75 2.60 0.94 C.wuellerstorfi
927 B 2 H 4 94 10.85 2.76 0.07 C.wuellerstorfi
927 B 2 H 4 134 11.25 3.65 0.50 C.spp.
927 B 2 H 4 134 11.25 3.45 0.91 C.wuellerstorfi
927 B 2 H 5 4 11.45 3.19 0.22 C.wuellerstorfi
927 B 2 H 5 14 11.55 3.53 0.12 C.wuellerstorfi
927 B 2 H 5 24 11.65 3.12 0.87 C.wuellerstorfi
927 B 2 H 5 44 11.85 2.60 0.25 C.wuellerstorfi
927 B 2 H 5 44 11.85 2.50 -0.30 C.wuellerstorfi
927 A 2 H 2 68 12.59 3.84 0.30 C.wuellerstorfi
927 A 2 H 2 78 12.69 3.62 0.74 C.wuellerstorfi
927 A 2 H 2 98 12.89 3.78 0.68 C.wuellerstorfi
927 A 2 H 2 108 12.99 3.72 -0.18 C.wuellerstorfi
927 A 2 H 2 128 13.19 3.55 -0.29 C.wuellerstorfi
927 A 2 H 2 138 13.29 3.87 -0.41 C.wuellerstorfi
927 A 2 H 3 8 13.49 3.76 -0.30 C.wuellerstorfi
927 A 2 H 3 58 13.99 3.39 0.97 C.wuellerstorfi
927 A 2 H 3 58 13.99 3.38 0.98 C.wuellerstorfi
927 A 2 H 3 78 14.19 3.14 0.35 C.wuellerstorfi
927 A 2 H 3 88 14.29 2.99 0.81 C.spp.
927 A 2 H 3 98 14.39 3.20 0.14 C.wuellerstorfi
927 A 2 H 3 108 14.49 3.77 0.12 C.wuellerstorfi
927 A 2 H 3 128 14.69 3.64 0.58 C.wuellerstorfi
927 A 2 H 4 8 14.99 3.27 1.15 C.wuellerstorfi
927 A 2 H 4 18 15.09 3.11 0.08 C.wuellerstorfi
927 A 2 H 4 38 15.29 3.21 0.13 C.wuellerstorfi
927 A 2 H 4 48 15.39 3.08 0.84 C.wuellerstorfi
927 A 2 H 4 58 15.49 2.87 0.58 C.wuellerstorfi
927 A 2 H 4 58 15.49 2.84 0.63 C.wuellerstorfi
927 A 2 H 4 88 15.79 2.49 1.07 C.wuellerstorfi
927 A 2 H 4 118 16.09 2.30 0.90 C.wuellerstorfi
927 A 2 H 4 128 16.19 4.26 0.40 C.spp.
927 A 2 H 5 18 16.59 2.74 -0.21 C.spp.
927 A 2 H 5 28 16.69 4.11 -0.06 C.wuellerstorfi
927 A 2 H 5 38 16.79 3.67 -0.33 C.wuellerstorfi
927 A 2 H 5 48 16.89 4.01 0.36 C.spp.
927 A 2 H 5 48 16.89 3.73 0.40 C.wuellerstorfi
927 A 2 H 5 58 16.99 3.67 -0.14 C.wuellerstorfi
927 A 2 H 5 58 16.99 3.71 -0.38 C.wuellerstorfi
927 A 2 H 5 78 17.19 3.79 -0.33 C.wuellerstorfi
927 A 2 H 5 98 17.39 3.92 -0.08 C.wuellerstorfi
927 A 2 H 5 138 17.79 3.78 0.58 C.wuellerstorfi
927 A 2 H 5 148 17.89 3.66 0.32 C.wuellerstorfi
927 A 2 H 6 8 17.99 3.41 0.75 C.wuellerstorfi
927 A 2 H 6 18 18.09 3.48 0.19 C.wuellerstorfi
927 A 2 H 6 18 18.09 3.40 0.58 C.wuellerstorfi
927 A 2 H 6 28 18.19 3.70 -0.07 N.umbonifera
927 A 2 H 6 48 18.39 3.64 0.52 N.umbonifera
927 A 2 H 6 58 18.49 3.41 0.47 N.umbonifera
927 A 2 H 6 68 18.59 3.11 1.10 C.wuellerstorfi
927 A 2 H 6 68 18.59 3.55 -0.28 N.umbonifera
927 A 2 H 6 78 18.69 3.24 1.06 C.wuellerstorfi
927 A 2 H 6 108 18.99 3.23 -0.07 C.spp.
927 A 2 H 6 108 18.99 3.23 -0.30 C.wuellerstorfi
927 B 3 H 3 13 19.04 3.01 0.83 C.wuellerstorfi
927 B 3 H 3 33 19.24 2.48 1.15 C.wuellerstorfi
927 B 3 H 3 33 19.24 2.23 1.34 C.wuellerstorfi
927 B 3 H 3 43 19.34 2.33 1.30 C.wuellerstorfi
927 B 3 H 3 53 19.44 2.37 1.15 C.wuellerstorfi
927 B 3 H 3 53 19.44 2.28 1.31 C.wuellerstorfi
927 B 3 H 3 63 19.54 2.34 1.21 C.wuellerstorfi
927 B 3 H 3 93 19.84 3.95 -0.37 C.wuellerstorfi
927 B 3 H 3 103 19.94 4.08 -0.34 C.wuellerstorfi
927 B 3 H 3 113 20.04 4.32 -0.25 C.wuellerstorfi
927 B 3 H 3 133 20.24 4.44 -0.65 N.umbonifera
927 B 3 H 3 143 20.34 4.17 -0.11 C.wuellerstorfi
927 B 3 H 4 13 20.54 4.23 -0.17 C.wuellerstorfi
927 B 3 H 4 43 20.84 3.89 -0.21 C.wuellerstorfi
927 B 3 H 4 53 20.94 3.93 0.17 C.wuellerstorfi
927 B 3 H 4 53 20.94 3.94 0.21 C.wuellerstorfi
927 B 3 H 4 63 21.04 3.65 0.30 C.wuellerstorfi
927 B 3 H 4 73 21.14 3.85 -0.15 C.wuellerstorfi
927 B 3 H 4 83 21.24 3.90 -0.34 C.wuellerstorfi
927 B 3 H 4 93 21.34 3.82 0.37 C.wuellerstorfi
927 B 3 H 4 93 21.34 3.88 -0.17 C.wuellerstorfi
927 B 3 H 4 103 21.44 4.01 0.02 C.wuellerstorfi
927 B 3 H 4 113 21.54 3.56 0.53 C.wuellerstorfi
927 B 3 H 4 143 21.84 3.77 -0.01 C.wuellerstorfi
927 B 3 H 5 3 21.94 3.87 0.42 C.wuellerstorfi
927 B 3 H 5 23 22.14 3.71 0.25 C.wuellerstorfi
927 B 3 H 5 33 22.24 3.55 0.26 C.wuellerstorfi
927 B 3 H 5 33 22.24 3.76 0.44 C.wuellerstorfi
