mcd  age.Ma
0.00 0.000 
1.22 0.021
2.30 0.043
3.74 0.068
4.49 0.091
5.44 0.112
6.70 0.138
7.97 0.161
10.20 0.205
11.60 0.229
12.40 0.252
13.76 0.277
14.75 0.299
15.48 0.321
16.47 0.344
18.96 0.396
20.12 0.416
21.28 0.433
22.51 0.473
24.16 0.515
25.51 0.545
26.02 0.565
26.92 0.588
28.32 0.631
29.77 0.659
30.46 0.679
31.31 0.701
31.86 0.720
33.06 0.756
34.90 0.795
36.45 0.832
36.85 0.853
37.54 0.873
38.20 0.891
39.50 0.923
40.54 0.965
41.30 0.985
42.15 1.010
43.83 1.059
44.64 1.081
45.15 1.101
46.39 1.136
47.66 1.175
49.01 1.213
50.26 1.252
50.94 1.269
52.10 1.298
53.60 1.298
54.59 1.328
56.35 1.386
57.50 1.419
58.94 1.461
60.04 1.502
61.60 1.536
62.09 1.555
63.44 1.593
64.49 1.632
65.85 1.671
67.32 1.706
68.04 1.727
68.76 1.746
70.53 1.796
71.35 1.820
72.06 1.841
72.93 1.863
73.58 1.882
74.77 1.913
76.24 1.955
77.43 1.993
78.93 2.050
80.34 2.084
82.01 2.127
83.53 2.174
85.28 2.199
86.14 2.219
87.16 2.242
88.97 2.289
90.05 2.314
90.59 2.334
91.28 2.373
91.28 2.408
93.58 2.446
95.47 2.486
96.89 2.531
98.03 2.558
99.55 2.603
100.24 2.626
101.01 2.650
102.15 2.682
103.15 2.718
104.88 2.765
108.60 2.887
110.58 2.946
111.54 2.980
113.68 3.052
115.11 3.093
116.48 3.143
117.51 3.165
118.05 3.185
119.12 3.221
120.58 3.260
121.95 3.296
122.74 3.319
123.99 3.355
125.14 3.389
126.45 3.428
127.85 3.472
130.71 3.564
132.46 3.622
134.14 3.675
135.99 3.736
137.49 3.787
138.14 3.811
139.55 3.852
141.66 3.924
143.15 3.966
143.71 3.985
144.79 4.019
145.50 4.040
147.29 4.095
149.42 4.161
150.30 4.188
151.28 4.209
151.97 4.231
155.70 4.366
157.15 4.417
158.35 4.454
159.06 4.497
161.02 4.566
162.56 4.611
163.10 4.634
163.83 4.658
164.50 4.680
166.94 4.774
168.22 4.814
169.48 4.851
170.89 4.898
171.40 4.922
172.09 4.943
172.69 4.966
173.92 5.015
174.01 5.019
174.30 5.034
174.47 5.037
174.88 5.049
175.11 5.061
175.39 5.073
175.62 5.079
175.68 5.088
175.97 5.100
176.14 5.103
176.31 5.112
176.49 5.118
176.66 5.130
176.83 5.142
176.95 5.145
177.12 5.151
177.41 5.160
177.75 5.172
177.81 5.178
178.04 5.184
178.27 5.193
178.83 5.223
179.40 5.241
179.79 5.253
180.07 5.265
180.97 5.301
181.36 5.322
181.70 5.331
181.92 5.343
182.93 5.391
183.10 5.403
183.45 5.415
183.80 5.427
183.97 5.436
184.44 5.457
184.91 5.475
185.02 5.487
185.37 5.508
185.78 5.532
186.31 5.553
186.49 5.559
187.03 5.568
187.87 5.574
188.14 5.577
188.70 5.583
189.25 5.589
189.53 5.601
190.09 5.613
191.22 5.673
191.35 5.679
191.60 5.688
191.83 5.703
192.11 5.724
192.26 5.733
192.44 5.751
192.67 5.763
192.85 5.769
192.92 5.775
193.28 5.784
193.58 5.793
193.71 5.802
193.78 5.817
194.01 5.838
194.52 5.868
194.62 5.877
194.66 5.889
194.90 5.895
195.16 5.910
195.55 5.931
195.75 5.940
196.06 5.946
196.13 5.955
196.25 5.970
196.33 5.982
196.45 5.991
196.83 6.003
196.99 6.012
197.30 6.027
197.50 6.033
197.57 6.039
197.73 6.045
198.04 6.060
198.47 6.081
199.11 6.105
199.52 6.123
199.78 6.138
199.86 6.147
199.93 6.150
200.08 6.165
200.30 6.174
200.71 6.192
201.19 6.216
201.42 6.225
201.75 6.237
201.97 6.246
202.05 6.258
202.16 6.267
202.31 6.270
202.57 6.273
202.60 6.279
202.79 6.288
203.01 6.297
203.27 6.309
203.49 6.318
203.94 6.330
204.20 6.339
204.53 6.351
204.61 6.360
204.79 6.381
205.35 6.402
205.50 6.423
205.68 6.432
205.94 6.444
206.13 6.453
206.31 6.459
206.46 6.468
206.65 6.477
207.17 6.498
207.28 6.507
207.43 6.519
207.54 6.525
208.36 6.561
208.65 6.576
208.84 6.585
208.95 6.594
209.14 6.609
209.25 6.618
209.39 6.630
209.51 6.636
209.77 6.648
209.91 6.654
209.99 6.666
210.29 6.675
210.58 6.690
210.69 6.702
210.77 6.711
210.92 6.723
211.44 6.762
211.51 6.774
211.58 6.783
211.70 6.801
211.84 6.807
211.92 6.819
211.99 6.828
212.10 6.837
212.40 6.858
212.77 6.885
213.11 6.909
213.33 6.918
213.89 6.939
214.00 6.951
214.26 6.960
214.48 6.975
214.78 6.993
214.96 7.002
215.41 7.023
215.52 7.029
215.74 7.047
216.15 7.065
216.26 7.077
216.45 7.089
216.52 7.101
216.71 7.110
216.93 7.122
217.19 7.137
217.30 7.152
217.41 7.161
217.56 7.167
217.82 7.182
218.23 7.212
218.49 7.233
218.75 7.254
218.86 7.260
219.01 7.266
220.02 7.323
220.27 7.329
220.04 7.332
220.57 7.338
220.75 7.350
220.86 7.362
220.90 7.368
221.12 7.380
221.57 7.401
221.90 7.413
222.20 7.425
222.61 7.434
222.68 7.437
222.76 7.443
222.90 7.446
223.20 7.467
223.54 7.488
223.61 7.493
223.94 7.515
224.13 7.545
224.57 7.587
224.91 7.605
225.39 7.638
225.54 7.644
225.76 7.662
226.43 7.686
226.91 7.707
227.10 7.722
227.51 7.734
228.10 7.749
228.14 7.758
228.29 7.770
228.55 7.779
228.81 7.791
228.92 7.800
229.07 7.809
229.18 7.812
229.25 7.824
229.36 7.836
229.51 7.851
230.29 7.872
230.88 7.896
231.48 7.914
231.63 7.920
231.81 7.926
232.37 7.944
232.81 7.953
232.96 7.959
233.00 7.968
233.41 8.028
233.56 8.037
233.59 8.046
233.63 8.055
233.71 8.064
233.82 8.082
234.04 8.109
234.19 8.121
234.45 8.157
234.52 8.166
234.60 8.172
234.71 8.178
234.86 8.187
234.93 8.199
235.04 8.208
235.30 8.241
235.49 8.253
235.78 8.271
236.19 8.292
236.27 8.301
236.38 8.307
236.53 8.316
236.67 8.328
236.90 8.340
237.12 8.352
237.23 8.364
238.05 8.409
239.27 8.520
239.90 8.562
240.20 8.583
240.53 8.610
241.02 8.628
241.35 8.652
241.46 8.661
241.65 8.673
241.72 8.679
241.87 8.688
241.91 8.697
242.17 8.724
242.39 8.757
242.50 8.766
242.84 8.787
243.10 8.805
244.28 8.862
244.91 8.886
245.06 8.895
245.36 8.913
245.80 8.943
246.29 8.979
247.03 9.009
247.25 9.027
247.59 9.048
247.88 9.072
248.11 9.084
250.26 9.126
250.52 9.144
250.67 9.153
250.89 9.168
251.22 9.186
251.37 9.195
251.59 9.210
251.93 9.231
252.15 9.261
252.19 9.264
252.37 9.279
252.67 9.291
252.82 9.303
253.15 9.336
253.26 9.345
253.45 9.357
253.78 9.372
253.90 9.381
254.04 9.393
254.27 9.405
254.53 9.429
254.68 9.435
254.97 9.453
255.23 9.477
255.71 9.501
255.83 9.510
256.49 9.528
256.75 9.543
256.94 9.555
257.05 9.573
257.27 9.591
257.57 9.603
257.94 9.669
258.68 9.741
259.02 9.762
259.39 9.783
259.75 9.837
260.01 9.852
260.26 9.861
260.50 9.867
261.25 9.879
262.24 9.882
263.48 9.897
263.72 9.909
264.71 9.918
265.46 9.927
266.20 9.945
267.69 9.969
268.93 9.990
269.83 9.999
270.03 10.011
270.19 10.029
270.37 10.041
270.58 10.068
270.73 10.080
270.89 10.107
271.33 10.137
271.53 10.155
272.05 10.185
272.52 10.203
273.08 10.236
273.84 10.260
273.99 10.275
274.09 10.284
274.27 10.296
274.53 10.314
275.10 10.347
275.31 10.356
275.70 10.371
276.19 10.389
276.37 10.398
276.60 10.404
276.86 10.425
277.07 10.437
277.20 10.446
278.03 10.482
279.14 10.521
279.84 10.560
280.17 10.575
280.43 10.611
280.46 10.613
280.59 10.620
280.79 10.635
280.95 10.647
281.05 10.653
281.21 10.662
281.34 10.677
281.36 10.680
281.74 10.701
282.00 10.728
282.21 10.752
282.29 10.761
282.46 10.773
282.57 10.785
282.85 10.803
283.27 10.842
283.84 10.884
