mcd	c13(o/oo PDB)	o18(o/oo PDB)	species
			
0.01	-0.22	2.42	C. wuellerstorfi
0.11	0.68	2.82	C. wuellerstorfi
0.21	0.48	2.74	C. wuellerstorfi
0.31	0.86	2.73	C. wuellerstorfi
0.41	0.08	4.05	C. wuellerstorfi
0.61	-0.25	4.42	N. umbonifera
0.71	0.14	4.16	C. cicatricosus
0.81	0.02	4.10	C. wuellerstorfi
0.91	0.20	4.00	C. wuellerstorfi
1.01	0.15	3.89	C. cicatricosus
1.11	-0.03	3.88	C. wuellerstorfi
1.21	0.29	3.85	C. wuellerstorfi
1.21	0.30	3.85	C. wuellerstorfi
1.31	0.25	3.80	C. wuellerstorfi
1.41	0.33	3.83	C. wuellerstorfi
1.51	0.31	3.75	C. wuellerstorfi
1.61	0.45	3.72	C. wuellerstorfi
1.71	0.17	3.77	C. wuellerstorfi
1.81	0.27	3.73	C. wuellerstorfi
1.91	0.12	3.63	C. wuellerstorfi
1.91	0.54	3.70	C. wuellerstorfi
2.01	0.68	3.63	C. cicatricosus
2.11	0.37	3.84	C. wuellerstorfi
2.21	0.76	3.63	C. wuellerstorfi
2.31	0.05	3.56	C. bradyii
2.41	0.26	3.51	C. wuellerstorfi
2.51	0.25	3.52	C. wuellerstorfi
2.61	0.69	3.67	C. cicatricosus
2.71	-0.07	3.81	C. wuellerstorfi
2.81	0.55	3.66	C. wuellerstorfi
2.91	0.14	3.56	C. wuellerstorfi
3.01	0.30	3.66	C. cicatricosus
3.11	0.30	3.71	C. wuellerstorfi
3.21	-0.04	3.76	C. wuellerstorfi
3.31	-0.18	3.63	C. wuellerstorfi
3.41	-0.08	3.86	C. spp.
3.74	0.56	3.73	C. wuellerstorfi
3.84	0.10	3.71	N. umbonifera
3.84	0.18	3.80	N. umbonifera
3.94	-0.21	3.70	N. umbonifera
3.94	-0.69	3.76	N. umbonifera
4.04	0.91	3.35	C. wuellerstorfi
4.14	0.52	3.14	C. wuellerstorfi
4.24	0.83	3.03	C. wuellerstorfi
4.34	0.86	3.13	C. wuellerstorfi
4.44	0.40	3.15	C. wuellerstorfi
4.74	0.55	3.50	C. wuellerstorfi
4.84	0.78	3.41	C. cicatricosus
4.94	0.51	3.25	C. wuellerstorfi
5.04	0.62	3.13	C. wuellerstorfi
5.04	0.80	3.12	C. cicatricosus
5.04	-0.65	3.27	C. wuellerstorfi
5.14	0.89	3.01	C. wuellerstorfi
5.24	0.10	3.04	C. wuellerstorfi
5.34	0.61	3.17	C. wuellerstorfi
5.34	0.77	3.04	C. wuellerstorfi
5.44	0.22	3.30	C. wuellerstorfi
5.54	0.29	3.19	C. wuellerstorfi
5.74	0.53	3.49	C. cicatricosus
5.84	0.56	3.12	C. wuellerstorfi
5.94	0.93	2.80	C. wuellerstorfi
6.04	0.56	2.49	C. wuellerstorfi
6.14	1.00	2.43	C. wuellerstorfi
6.24	0.12	2.46	C. wuellerstorfi
6.34	-0.40	3.72	C. wuellerstorfi
6.44	-0.17	4.12	C. wuellerstorfi
6.84	-0.53	4.09	C. wuellerstorfi
7.04	-0.29	3.91	C. wuellerstorfi
7.14	-0.43	3.87	C. wuellerstorfi
7.24	-0.25	3.94	C. spp.
7.43	-0.09	3.78	C. spp.
7.53	-0.19	3.94	C. wuellerstorfi
7.63	-0.15	3.73	C. wuellerstorfi
7.83	-0.03	3.76	C. spp.
7.93	-0.09	3.82	C. spp.
8.03	-0.85	3.85	C. spp.
8.13	0.24	3.67	C. spp.
8.23	-0.19	3.60	C. wuellerstorfi
8.33	-0.15	3.77	C. spp.
8.43	-0.33	3.59	C. spp.
8.53	-0.24	3.61	C. wuellerstorfi
8.63	-0.06	3.77	C. wuellerstorfi
8.73	0.04	3.82	C. wuellerstorfi
8.73	-0.12	3.64	C. wuellerstorfi
8.93	-0.23	3.68	C. wuellerstorfi
9.13	0.28	3.44	C. wuellerstorfi
9.13	0.57	3.17	C. spp.
9.23	0.32	3.12	C. wuellerstorfi
9.33	-0.46	3.09	C. spp.
9.43	0.61	2.90	C. spp.
9.43	0.74	2.74	C. wuellerstorfi
9.43	-0.13	3.29	N. umbonifera
9.53	0.02	2.80	C. wuellerstorfi
9.53	0.02	3.14	N. umbonifera
9.53	0.74	2.85	C. wuellerstorfi
9.63	0.53	2.88	C. wuellerstorfi
10.03	0.63	2.73	C. wuellerstorfi
10.03	0.85	3.01	C. wuellerstorfi
10.13	0.83	3.01	C. wuellerstorfi
10.23	0.57	2.72	C. wuellerstorfi
10.33	0.56	2.85	C. wuellerstorfi
10.43	0.38	2.88	C. wuellerstorfi
10.53	0.30	3.66	C. wuellerstorfi
10.53	-0.19	3.59	C. wuellerstorfi
10.93	-0.30	3.05	C. wuellerstorfi
11.03	0.50	3.09	C. wuellerstorfi
11.03	-0.47	3.35	C. wuellerstorfi
11.13	-0.10	2.75	C. wuellerstorfi
11.23	0.14	3.20	C. wuellerstorfi
11.33	-0.18	3.58	C. wuellerstorfi
11.63	0.41	3.84	C. wuellerstorfi
11.73	0.29	3.88	C. wuellerstorfi
11.83	0.25	3.92	C. spp.
11.93	0.21	3.72	C. wuellerstorfi
11.93	0.31	3.82	C. wuellerstorfi
12.03	0.11	3.77	C. spp.
12.13	-0.17	3.71	C. wuellerstorfi
12.23	-0.07	3.75	C. wuellerstorfi
12.33	-0.01	3.74	C. wuellerstorfi
12.43	-0.74	4.06	N. umbonifera
12.63	-0.39	3.59	C. wuellerstorfi
12.63	-0.68	4.00	N. umbonifera
12.83	-1.76	2.69	C. wuellerstorfi
16.43	-0.08	3.56	C. wuellerstorfi
16.53	0.38	3.49	C. wuellerstorfi
16.73	0.21	3.45	C. wuellerstorfi
16.73	0.29	3.49	C. wuellerstorfi
16.83	0.52	3.33	C. wuellerstorfi
16.93	0.94	3.26	C. wuellerstorfi
17.13	0.33	3.36	N. umbonifera
17.43	0.56	2.95	C. bradyii
17.63	0.30	2.78	C. wuellerstorfi
17.63	-0.15	2.72	C. wuellerstorfi
17.73	0.83	2.40	C. wuellerstorfi
17.83	0.16	2.65	C. wuellerstorfi
17.83	0.54	2.89	C. wuellerstorfi
17.93	-0.55	3.29	N. umbonifera
18.13	-0.36	3.34	C. wuellerstorfi
18.13	-0.84	4.29	N. umbonifera
18.23	-0.71	4.54	N. umbonifera
18.33	-0.77	4.53	N. umbonifera
18.43	-0.67	4.42	N. umbonifera
18.73	-0.25	4.08	C. wuellerstorfi
18.83	-0.01	3.96	C. wuellerstorfi
18.83	-0.45	4.29	N. umbonifera
18.93	-0.61	4.14	N. umbonifera
19.03	-0.09	4.23	N. umbonifera
20.6	0.84	2.85	C. wuellerstorfi
20.6	1.08	3.07	C. wuellerstorfi
20.7	1.05	3.16	C. wuellerstorfi
20.84	0.57	3.52	C. wuellerstorfi
20.9	0.86	3.45	C. wuellerstorfi
20.94	0.69	3.50	C. wuellerstorfi
20.94	0.90	3.46	C. wuellerstorfi
21	0.48	3.12	C. wuellerstorfi
21.04	0.67	3.53	C. wuellerstorfi
21.1	0.95	3.45	C. wuellerstorfi
21.14	0.83	3.37	C. wuellerstorfi
21.2	0.82	3.42	C. wuellerstorfi
21.2	0.91	3.42	C. wuellerstorfi
21.24	1.05	3.36	C. wuellerstorfi
21.3	0.71	3.33	C. wuellerstorfi
21.34	1.11	3.29	C. wuellerstorfi
21.4	1.21	3.18	C. wuellerstorfi
21.44	0.82	3.32	C. wuellerstorfi
21.5	0.79	3.15	C. wuellerstorfi
21.54	1.08	3.25	C. wuellerstorfi
21.6	1.17	3.10	C. wuellerstorfi
21.64	0.89	3.18	C. wuellerstorfi
21.74	0.74	3.23	C. wuellerstorfi
21.74	1.01	3.13	N. umbonifera
21.84	0.55	3.37	C. wuellerstorfi
21.84	1.11	3.15	C. wuellerstorfi
21.9	0.52	3.23	C. wuellerstorfi
21.94	0.92	3.23	C. wuellerstorfi
22	0.41	3.30	C. wuellerstorfi
22	0.73	3.25	C. wuellerstorfi
22.04	0.46	3.36	C. wuellerstorfi
22.1	0.59	3.33	C. wuellerstorfi
22.14	-0.04	3.73	C. wuellerstorfi
22.2	-0.51	3.98	N. umbonifera
22.24	-0.50	3.79	C. wuellerstorfi
22.3	0.06	3.42	C. wuellerstorfi
22.3	0.18	3.74	C. spp.
22.34	0.18	3.74	C. spp.
22.4	0.30	4.04	C. wuellerstorfi
22.4	-0.24	3.79	C. wuellerstorfi
22.44	0.20	3.96	C. wuellerstorfi
22.5	0.23	3.80	C. wuellerstorfi
22.54	0.94	2.89	C. wuellerstorfi
22.54	0.23	4.00	N. umbonifera
22.6	0.16	3.71	C. wuellerstorfi
22.64	0.02	4.02	N. umbonifera
22.64	0.31	3.83	C. spp.
22.74	-0.15	3.75	C. wuellerstorfi
22.74	-0.48	3.70	C. wuellerstorfi
22.84	0.36	3.63	C. wuellerstorfi
23.04	-0.16	3.50	C. wuellerstorfi
23.24	0.20	3.38	C. wuellerstorfi
23.34	0.52	3.50	C. wuellerstorfi
23.54	0.35	3.09	C. wuellerstorfi
23.64	0.40	2.80	C. wuellerstorfi
23.64	0.61	2.81	C. wuellerstorfi
23.74	0.90	2.90	C. wuellerstorfi
23.84	0.02	2.65	C. wuellerstorfi
23.88	0.97	2.60	C. wuellerstorfi
23.94	0.51	3.12	C. wuellerstorfi
23.98	0.83	2.63	C. wuellerstorfi
24.04	0.59	3.75	C. wuellerstorfi
24.09	0.21	3.44	C. spp.
24.14	-0.38	3.56	C. wuellerstorfi
24.19	0.03	3.70	N. umbonifera
24.24	0.87	3.83	C. wuellerstorfi
24.29	0.54	3.50	C. wuellerstorfi
24.33	0.73	3.60	C. wuellerstorfi
24.33	0.91	3.30	C. wuellerstorfi
24.34	0.79	3.36	C. wuellerstorfi
24.39	0.92	3.33	C. wuellerstorfi
24.43	0.44	3.21	C. wuellerstorfi
24.44	1.03	3.21	C. wuellerstorfi
24.49	1.18	3.25	C. wuellerstorfi
24.53	-0.04	3.15	C. wuellerstorfi
24.59	0.63	3.20	C. wuellerstorfi
24.63	0.46	3.14	C. wuellerstorfi
24.63	0.58	3.17	C. spp.
24.69	0.30	3.29	N. umbonifera
24.73	0.62	3.14	C. spp.
24.73	-0.01	3.19	C. wuellerstorfi
24.79	0.49	2.94	C. wuellerstorfi
24.83	0.51	3.06	C. wuellerstorfi
24.89	0.30	3.10	C. wuellerstorfi
24.93	0.69	3.02	C. wuellerstorfi
24.99	0.17	2.83	C. wuellerstorfi
25.03	0.61	2.86	C. wuellerstorfi
25.03	0.73	2.58	C. wuellerstorfi
25.09	0.76	2.89	C. wuellerstorfi
25.13	0.63	3.01	C. wuellerstorfi
25.19	0.30	3.12	C. wuellerstorfi
25.29	0.73	2.96	C. wuellerstorfi
25.33	-0.34	4.03	C. wuellerstorfi
25.39	-0.79	4.24	C. wuellerstorfi
25.43	-0.78	4.32	C. wuellerstorfi
25.49	0.06	4.31	C. wuellerstorfi
25.53	-0.07	4.39	C. wuellerstorfi
25.59	-0.14	4.12	C. wuellerstorfi
25.63	-0.23	4.28	C. wuellerstorfi
25.69	0.03	4.13	C. wuellerstorfi
25.73	-0.25	4.33	C. wuellerstorfi
25.79	-0.12	4.05	C. wuellerstorfi
25.83	-0.29	4.04	C. wuellerstorfi
25.89	-0.44	3.95	C. wuellerstorfi
25.93	0.01	4.17	C. wuellerstorfi
25.99	-0.36	4.04	C. wuellerstorfi
26.03	-0.10	4.03	C. wuellerstorfi
26.09	-0.38	3.93	C. wuellerstorfi
26.13	-0.09	4.00	C. wuellerstorfi
26.19	-0.52	3.89	C. wuellerstorfi
26.23	-0.10	3.89	C. wuellerstorfi
26.29	-0.25	3.96	C. wuellerstorfi
26.39	-0.55	3.91	C. wuellerstorfi
26.43	-0.29	3.86	C. wuellerstorfi
26.49	-0.40	3.78	C. wuellerstorfi
26.53	-0.95	3.85	C. wuellerstorfi
26.59	-0.16	3.93	C. wuellerstorfi
26.63	-1.05	3.92	C. wuellerstorfi
26.69	-0.44	3.60	C. wuellerstorfi
26.79	-0.20	3.65	C. wuellerstorfi
26.89	-0.49	3.69	C. wuellerstorfi
26.93	-0.53	4.05	N. umbonifera
27.19	-0.64	3.81	N. umbonifera
27.23	-0.38	3.75	C. wuellerstorfi
27.29	-0.08	3.52	C. wuellerstorfi
27.33	0.29	3.47	C. wuellerstorfi
27.33	-0.29	3.70	C. wuellerstorfi
27.38	-0.47	3.70	N. umbonifera
27.49	0.38	3.27	C. wuellerstorfi
27.59	0.49	3.41	C. wuellerstorfi
27.69	0.13	3.35	C. spp.
27.73	0.25	3.17	C. wuellerstorfi
27.79	-0.16	3.03	C. wuellerstorfi
