mcd	age
0.00	0.000
1.05	0.021
2.35	0.043
3.85	0.068
4.55	0.091
5.49	0.112
6.66	0.138
7.96	0.161
9.78	0.205
10.85	0.229
11.55	0.252
12.91	0.277
13.77	0.299
14.31	0.321
15.15	0.344
17.14	0.396
17.98	0.416
19.02	0.433
19.90	0.473
21.40	0.515
22.82	0.545
23.53	0.565
24.10	0.588
25.48	0.631
26.66	0.659
27.52	0.679
28.16	0.701
28.63	0.720
29.58	0.756
31.04	0.795
32.54	0.832
32.87	0.853
33.42	0.873
34.05	0.891
35.21	0.923
36.01	0.965
36.71	0.985
37.37	1.010
38.54	1.059
39.44	1.081
39.86	1.101
41.06	1.136
42.19	1.175
43.54	1.213
44.60	1.252
45.11	1.269
46.03	1.298
47.13	1.328
48.48	1.386
49.52	1.419
50.77	1.461
51.87	1.502
53.14	1.536
53.59	1.555
54.80	1.593
55.80	1.632
57.14	1.671
58.46	1.706
58.95	1.727
59.58	1.746
61.15	1.796
61.80	1.820
62.50	1.841
63.10	1.863
63.70	1.882
64.80	1.913
66.11	1.955
66.92	1.993
68.22	2.050
69.48	2.084
70.76	2.127
72.15	2.174
73.17	2.199
73.92	2.219
74.61	2.242
76.02	2.289
76.92	2.314
77.48	2.334
78.43	2.373
79.61	2.408
80.31	2.446
81.91	2.486
83.54	2.531
85.71	2.601
87.57	2.660
89.64	2.729
90.51	2.759
90.57	2.795
93.55	2.903
94.74	2.947
95.89	2.992
98.26	3.072
100.74	3.153
104.09	3.269
105.65	3.328
107.15	3.384
108.24	3.428
109.13	3.469
109.80	3.502
110.82	3.545
113.84	3.675
115.65	3.758
116.09	3.789
116.53	3.811
117.09	3.834
118.09	3.874
119.03	3.904
119.60	3.924
120.20	3.945
120.69	3.970
121.05	3.985
121.53	4.000
122.53	4.042
124.11	4.117
124.84	4.161
126.13	4.210
127.13	4.253
128.08	4.302
129.18	4.348
130.83	4.455
131.62	4.487
132.62	4.519
133.64	4.566
134.56	4.612
135.19	4.657
135.75	4.681
136.19	4.701
137.03	4.775
138.02	4.852
138.74	4.899
139.03	4.922
139.36	4.944
139.90	4.967
140.51	4.989
141.01	5.015
142.08	5.043
142.24	5.058
142.39	5.073
142.45	5.079
142.57	5.091
142.71	5.103
142.86	5.115
142.92	5.130
143.02	5.142
143.14	5.151
143.27	5.160
143.43	5.175
144.14	5.205
144.22	5.223
144.31	5.241
144.44	5.253
144.54	5.265
145.03	5.331
145.20	5.343
145.35	5.355
145.63	5.370
145.92	5.391
146.01	5.403
146.18	5.415
146.41	5.436
146.60	5.457
147.10	5.475
148.23	5.541
148.45	5.550
148.89	5.559
149.07	5.589
149.16	5.604
149.42	5.613
149.53	5.625
149.62	5.634
149.69	5.646
149.88	5.655
149.97	5.673
150.09	5.679
150.26	5.688
150.42	5.700
