# NOAA Paleoclimatology Program - Paleocean Site Data
# odp980_isot-fwc.txt
# Isotope data only
# File Created: 10-May-2006
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Benjamin P. Flower
# Core/Site:      ODP980
# Latitude:       55.29.06N	( 55.485)
# Longitude:      14.42.06W	( -14.70167)
# Water Depth(m): 2168
#
# Publications:
#   Flower, B.P., D.W. Oppo, J.F. McManus, K.A. Venz, D.A. Hodell, and J.L. Cullen.
#     2000. North Atlantic intermediate to deep water circulation and chemical stratification
#     during the past 1 Myr. Paleoceanography 15(4):388-403.
#   Oppo, D.W., J.F. McManus, and J.L. Cullen. 1998. Abrupt climate events 500,000-340,000
#     years ago: Evidence from subpolar North Atlantic sediments.
#     Science 279:1335-1338.
#   McManus, J.F., D.W. Oppo, and J.L. Cullen. 1999. A 0.5 million year record of
#     millennial-scale climate variability in the North Atlantic. Science 283:971-975.
#------------------
#
# Description & Notes:
#   North Atlantic intermediate-deep water circulation during the past 1 Ma.
#   
#
# ODP980 C14 Dates
# 
#   calyrBP   calendar years B.P. (B.P. = 1950)
# 
#  Depth      calyrBP       Error+        Error-            Material    Lab Num.    Notes
#  0.5         636           25            25           G. bulloides          OS-34407            1H-01, 0-1 cm
#  1           711           35            35           N. pachyderma (r.)          OS-27541      1H-01, 0-2cm
#  1.5         895           35            35           G. bulloides          OS-34422            1H-01, 2-3 cm
#  6           636           30            30           N. pachyderma (r.)          OS-26146      1H-01, 5-7cm
#  36          1266          55            55           N. pachyderma (r.)          OS-26148      1H-01, 35-37cm
#  57.5        2847          30            30           N. pachyderma (r.)          OS-34414      1H-01, 57-58 cm
#  66          2708          35            35           N. pachyderma (r.)          OS-26149      1H-01, 65-67cm
#  74.5        3135          35            35           G. bulloides          OS-34409            1H-01, 74-75 cm
#  86          3571          40            40           N. pachyderma (r.)          OS-27542      1H-01, 85-87cm
#  104.5       4685          25            25           G. bulloides          OS-34408            1H-01, 104-105 cm
#  116         5240          50            50           G. bulloides          OS-27543            1H-01, 115-117cm
#  136         6672          65            65           N. pachyderma (r.)          OS-26151      1H-01, 135-137cm
#  161.5       7672          70            70           G. bulloides          OS-34411            1H-02, 11-12 cm
#  171         8013          50            50           N. pachyderma (r.)          OS-26147      1H-02, 20-22cm
#  196         9189          45            45           G. bulloides          OS-34415            1H-02, 45-47 cm
#  216         10307         45            45           G. bulloides          OS-34416            1H-02, 65-67 cm
#  231         10303         50            50           N. pachyderma (r.)          OS-26150      1H-02, 80-82cm
#  249.5       10471         70            70           G. bulloides          OS-34410            1H-02, 99-100 cm
#  296         12541         55            55           G. bulloides          OS-34417            1H-02, 145-147 cm
# 
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP980
depth         yrBP          d13Cc.wuell   d18Oc.wuell   
 1             1040          1.1           2.63         
 6             1220          0.96          2.73         
 21            1770          0.77          2.25         
 24            1870          1.07          2.7          
 26            1960          0.9           2.72         
 29            2050          0.75          2.64         
 31            2120          1.02          2.6          
 36            2330          1.1           2.45         
 39            2420          1.22          2.78         
 41            2510          0.96          2.31         
 46            2690          0.87          2.47         
 49            2790          1.05          2.53         
 51            2860          1.23          2.63         
 61            3250          0.9           2.39         
 66            3430          0.88          2.5          
 74            3710          1.03          2.39         
 76            3800          0.98          2.4          
 81            3980          0.87          2.45         
 86            4170          1.28          2.59         
 96            4540          1.27          2.52         
 101           4720          0.86          2.5          
 106           4900          0.54          2.6          
 116           5270          0.85          2.56         
 119           5360          1.24          2.56         
 124           5550          1.09          2.48         
 126           5640          1.04          2.52         
 129           5730          1.16          2.73         
 136           6010          1.06          2.66         
 141           6190          1.33          2.45         
 146           6380          1.22          2.69         
 151           6560          1.02          2.7          
 156           6750          1.19          2.69         
 166           7110          0.77          2.56         
 169           7210          0.91          2.53         
 171           7300          0.96          2.53         
 176           7480          1.04          2.7          
 179           7570          0.9           2.63         
 186           7850          1.06          2.6          
 191           8040          0.76          2.69         
 194           8130          1.07          2.79         
 196           8220          0.88          2.69         
 206           8590          0.57          2.76         
 211           8770          0.86          2.7          
 216           8960          1             2.78         
 246           10060         1.01          2.77         
 286           11530         0.96          2.71         
 296           11900         0.61          2.9          
 301           12100         0.94          3.36         
 306           12350         0.77          3.53         
 316           12840         0.97          3.26         
 326           13340         0.77          3.37         
 336           13840         0.96          3.35         
 346           14330         0.88          3.53         
 356           14830         0.59          3.4          
 366           15320         0.4           3.66         
 376           15820         0.23          3.19         
 386           16310         0.35          3.81         
 392           16610         0.36          3.72         
 402           17110         0.8           4.63         
 421           18020         0.85          4.6          
 442           18740         0.82          4.61         
 462           19410         0.89          4.5          
 482           20080         0.82          4.43         
 502           20750         0.74          4.46         
 532           21760         0.63          4.5          
 592           23770         0.99          4.13         
 612           24990         0.76          4.29         
 632           26750         0.66          3.91         
 652           28520         0.93          4.03         
 662           29400         0.84          4.11         
 682           31160         1.04          4.03         
 702           32920         1.08          4.24         
 722           34690         0.84          4.08         
 742           36450         0.78          3.98         
 762           38210         0.59          3.65         
 782           39970         0.93          4.01         
 802           41740         1.08          4.1          
 812           42620         0.8           3.88         
 852           46140         0.89          3.87         
 892           49670         0.94          3.8          
 912           51430         1.1           4.01         
 932           53190         1.11          3.83         
 952           54960         0.91          3.88         
 962           55840         1.1           3.87         
 982           57600         0.91          3.76         
 1002          59360         0.9           3.75         
 1022          61130         0.51          4.01         
 1037          62450         0.87          3.93         
 1057          64210         0.73          3.73         
 1077          65970         0.3           3.67         
 1097          67740         0.83          4.19         
 1117          70720         1.01          3.74         
 1137          73910         0.88          3.77         
 1142          74290         1.09          3.65         
 1147          74670         0.99          3.44         
 1167          76200         1.16          3.34         
 1187          77720         1.26          3.31         
 1207          79250         1.11          3.26         
 1227          82460         1.17          3.23         
 1247          85660         0.93          3.18         
 1267          88870         1.18          3.9          
 1282          91270         1.15          3.51         
 1292          92860         1.29          3.76         
 1297          93650         1.24          3.66         
 1307          95240         1.21          3.49         
 1327          98410         1.2           3.36         
 1337          100000        1.14          3.28         
 1357          102680        0.98          3.36         
 1377          105360        0.88          3.59         
 1397          108040        0.92          3.54         
 1414          110320        0.95          3.54         
 1418          110790        1.01          3.7          
 1429          111820        0.9           3.58         
 1433          112130        0.76          3.3          
 1441          112850        0.92          3.4          
 1444          113160        1.02          3.39         
 1448          113470        0.91          3.37         
 1452          113830        0.99          3.28         
 1459          114500        1.03          3.4          
 1468          115260        1.03          3.26         
 1471          115530        1.1           3.21         
 1472          115620        0.92          3.18         
 1474          115840        0.74          2.57         
 1486          116870        0.89          2.93         
 1489          117060        0.86          2.96         
 1493          117170        0.66          2.89         
 1519          117970        0.2           2.79         
 1541          118630        1.04          2.65         
 1547          118810        0.86          2.7          
