Depth (mcd)     Age (ka)
0       1
3       12.05
4.2     18
6.02    24.11
11      68
11.37   73.91
12.07   79.25
12.8    90.95
13.37   100
14.175  110.79
14.87   117
16.7    122.56
17.29   125.19
17.72   129.84
18.79   135.1
21.71   152
23.61   182
25.27   195
25.72   205
27.22   215.54
28.27   228
30.22   240.19
34.92   275
37.48   286
38.48   297
40.48   318
43.2    327
44.61   339
47.27   352
49.61   368
50.09   376
53.6    405
58.375  421.88
64.07   481
65.57   501.88
66.25   514
71.13   574.29
74.78   623.24
82.69   693.02
84.34   703.22
86.78   758.46
89.03   791.62
92.32   845.59
94.01   864.48
96.91   912.99
98.96   959.17
100.16  983.14
100.81  1003.2
