Depth (mcd)	Age (ka)	Cw d13C	Cw d18O
0.01	1.04	1.10	2.63
0.06	1.22	0.96	2.73
0.21	1.77	0.77	2.25
0.24	1.87	1.07	2.70
0.26	1.96	0.90	2.72
0.29	2.05	0.75	2.64
0.31	2.12	1.02	2.60
0.36	2.33	1.10	2.45
0.39	2.42	1.22	2.78
0.41	2.51	0.96	2.31
0.46	2.69	0.87	2.47
0.49	2.79	1.05	2.53
0.51	2.86	1.23	2.63
0.61	3.25	0.90	2.39
0.66	3.43	0.88	2.50
0.74	3.71	1.03	2.39
0.76	3.80	0.98	2.40
0.81	3.98	0.87	2.45
0.86	4.17	1.28	2.59
0.96	4.54	1.27	2.52
1.01	4.72	0.86	2.50
1.06	4.90	0.54	2.60
1.16	5.27	0.85	2.56
1.19	5.36	1.24	2.56
1.24	5.55	1.09	2.48
1.26	5.64	1.04	2.52
1.29	5.73	1.16	2.73
1.36	6.01	1.06	2.66
1.41	6.19	1.33	2.45
1.46	6.38	1.22	2.69
1.51	6.56	1.02	2.70
1.56	6.75	1.19	2.69
1.66	7.11	0.77	2.56
1.69	7.21	0.91	2.53
1.71	7.30	0.96	2.53
1.76	7.48	1.04	2.70
1.79	7.57	0.90	2.63
1.86	7.85	1.06	2.60
1.91	8.04	0.76	2.69
1.94	8.13	1.07	2.79
1.96	8.22	0.88	2.69
2.06	8.59	0.57	2.76
2.11	8.77	0.86	2.70
2.16	8.96	1.00	2.78
2.46	10.06	1.01	2.77
2.86	11.53	0.96	2.71
2.96	11.90	0.61	2.90
3.01	12.10	0.94	3.36
3.06	12.35	0.77	3.53
3.16	12.84	0.97	3.26
3.26	13.34	0.77	3.37
3.36	13.84	0.96	3.35
3.46	14.33	0.88	3.53
3.56	14.83	0.59	3.40
3.66	15.32	0.40	3.66
3.76	15.82	0.23	3.19
3.86	16.31	0.35	3.81
3.92	16.61	0.36	3.72
4.02	17.11	0.80	4.63
4.21	18.02	0.85	4.60
4.42	18.74	0.82	4.61
4.62	19.41	0.89	4.50
4.82	20.08	0.82	4.43
5.02	20.75	0.74	4.46
5.32	21.76	0.63	4.50
5.92	23.77	0.99	4.13
6.12	24.99	0.76	4.29
6.32	26.75	0.66	3.91
6.52	28.52	0.93	4.03
6.62	29.40	0.84	4.11
6.82	31.16	1.04	4.03
7.02	32.92	1.08	4.24
7.22	34.69	0.84	4.08
7.42	36.45	0.78	3.98
7.62	38.21	0.59	3.65
7.82	39.97	0.93	4.01
8.02	41.74	1.08	4.10
8.12	42.62	0.80	3.88
8.52	46.14	0.89	3.87
8.92	49.67	0.94	3.80
9.12	51.43	1.10	4.01
9.32	53.19	1.11	3.83
9.52	54.96	0.91	3.88
9.62	55.84	1.10	3.87
9.82	57.60	0.91	3.76
10.02	59.36	0.90	3.75
10.22	61.13	0.51	4.01
10.37	62.45	0.87	3.93
10.57	64.21	0.73	3.73
10.77	65.97	0.30	3.67
10.97	67.74	0.83	4.19
11.17	70.72	1.01	3.74
11.37	73.91	0.88	3.77
11.42	74.29	1.09	3.65
11.47	74.67	0.99	3.44
11.67	76.20	1.16	3.34
11.87	77.72	1.26	3.31
12.07	79.25	1.11	3.26
12.27	82.46	1.17	3.23
12.47	85.66	0.93	3.18
12.67	88.87	1.18	3.90
12.82	91.27	1.15	3.51
12.92	92.86	1.29	3.76
12.97	93.65	1.24	3.66
13.07	95.24	1.21	3.49
13.27	98.41	1.20	3.36
13.37	100.00	1.14	3.28
13.57	102.68	0.98	3.36
13.77	105.36	0.88	3.59
13.97	108.04	0.92	3.54
14.14	110.32	0.95	3.54
14.18	110.79	1.01	3.70
14.29	111.82	0.90	3.58
14.33	112.13	0.76	3.30
14.41	112.85	0.92	3.40
14.44	113.16	1.02	3.39
14.48	113.47	0.91	3.37
14.52	113.83	0.99	3.28
14.59	114.50	1.03	3.40
14.68	115.26	1.03	3.26
14.71	115.53	1.10	3.21
14.72	115.62	0.92	3.18
14.74	115.84	0.74	2.57
14.86	116.87	0.89	2.93
14.89	117.06	0.86	2.96
14.93	117.17	0.66	2.89
15.19	117.97	0.20	2.79
15.41	118.63	1.04	2.65
