# NOAA Paleoclimatology Program - Paleocean Site Data
# odp981d_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Amy E. Draut
# Core/Site:      ODP981
# Latitude:       55.28.00N	( 55.46667)
# Longitude:      14.39.00W	( -14.65)
# Water Depth(m): 2173
#
# Publications:
#   Draut, A.E., M.E. Raymo, J.F. McManus, and D.W. Oppo. 2003. Climate stability
#     during the Pliocene warm period. Paleoceanography 18(4):1078.
#------------------
#
# Description & Notes:
#   Pliocene Warm Period Foraminifer Stable Isotope Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#             d13Ccibid     delta C13 PDB (Cibicidoides sp.)
#             d13Cn.pachy-r delta C13 PDB (Neogloboquadrina pachyderma (right coiling))
#             d18Ocibid     delta O18 PDB (Cibicidoides sp.)
#             d18On.pachy-r delta O18 PDB (Neogloboquadrina pachyderma (right coiling))
#
# CORE: ODP981
depth         yrBP          d18Oc.wuell   d13Ccibid     d13Cn.pachy-r d18Ocibid     d18On.pachy-r notes
 5901          888200        3.39         -999          -999          -999          -999                        
 5906          888820        3.48         -999          -999          -999          -999                        
 5911          890060        3.22         -999          -999          -999          -999                        
 5916          890670        3.9          -999          -999          -999          -999                        
 5921          892530        3.38         -999          -999          -999          -999                        
 5926          894380        3.61         -999          -999          -999          -999                        
 5931          895000        3.29         -999          -999          -999          -999                        
 5936          895620        3.44         -999          -999          -999          -999                        
 5941          896860        3.27         -999          -999          -999          -999                        
 5946          898080        3.26         -999          -999          -999          -999                        
 5951          899320        3.12         -999          -999          -999          -999                        
 5956          899940        3            -999          -999          -999          -999                        
 5961          903650        2.88         -999          -999          -999          -999                        
 5966          905180        2.66         -999          -999          -999          -999                        
 5971          907780        3.14         -999          -999          -999          -999                        
 5976          909110        3.41         -999          -999          -999          -999                        
 5981          910410        3.28         -999          -999          -999          -999                        
 5986          911740        3.18         -999          -999          -999          -999                        
 5991          915670        3.38         -999          -999          -999          -999                        
 5996          919630        2.91         -999          -999          -999          -999                        
 6001          920680        2.85         -999          -999          -999          -999                        
 6016          934780        2.64         -999          -999          -999          -999                        
 6021          935840        2.72         -999          -999          -999          -999                        
 6026          936910        3.17         -999          -999          -999          -999                        
 6031          937970        3.39         -999          -999          -999          -999                        
 6036          939030        3.16         -999          -999          -999          -999                        
 6041          940090        3.38         -999          -999          -999          -999                        
 6046          941150        3.54         -999          -999          -999          -999                        
 6056          943270        3.67         -999          -999          -999          -999                        
 6071          946460        4.26         -999          -999          -999          -999                        
 6076          947220        4.18         -999          -999          -999          -999                        
 6081          948140        4.07         -999          -999          -999          -999                        
 6086          949040        4.31         -999          -999          -999          -999                        
 6091          949950        4.3          -999          -999          -999          -999                        
 6096          950860        4.1          -999          -999          -999          -999                        
 6101          951770        4.05         -999          -999          -999          -999                        
 6106          952680        3.87         -999          -999          -999          -999                        
 6111          953590        3.84         -999          -999          -999          -999                        
 6116          954500        3.74         -999          -999          -999          -999                        
 6121          955410        3.72         -999          -999          -999          -999                        
 6126          956320        3.65         -999          -999          -999          -999                        
 6131          957230        3.65         -999          -999          -999          -999                        
 6136          958130        3.69         -999          -999          -999          -999                        
 6141          964640        3.72         -999          -999          -999          -999                        
 6146          971150        3.51         -999          -999          -999          -999                        
 6151          977590        3.89         -999          -999          -999          -999                        
 6166          985100        3.68         -999          -999          -999          -999                        
 6171          987600        3.41         -999          -999          -999          -999                        
 6176          990090        3.37         -999          -999          -999          -999                        
 6181          992600        3.53         -999          -999          -999          -999                        
 6186          995110        3.46         -999          -999          -999          -999                        
 6191          997590        3.36         -999          -999          -999          -999                        
 6196          1000100       3.35         -999          -999          -999          -999                        
 6201          1002600       3.47         -999          -999          -999          -999                        
 6206          1008150       3.28         -999          -999          -999          -999                        
 6211          1013750       3.49         -999          -999          -999          -999                        
 6216          1019290       3.25         -999          -999          -999          -999                        
 6221          1022670       3.18         -999          -999          -999          -999                        
 6226          1026070       3.39         -999          -999          -999          -999                        
 6231          1029480       3.41         -999          -999          -999          -999                        
 6236          1032880       3.5          -999          -999          -999          -999                        
 6241          1036270       4.12         -999          -999          -999          -999                        
 6246          1039300       4.06         -999          -999          -999          -999                        
 6251          1041010       3.69         -999          -999          -999          -999                        
 6256          1041960       3.94         -999          -999          -999          -999                        
 6261          1042900       3.84         -999          -999          -999          -999                        
 6266          1043840       3.94         -999          -999          -999          -999                        
 6271          1044780       3.84         -999          -999          -999          -999                        
 6276          1045720       3.78         -999          -999          -999          -999                        
 6281          1046660       3.35         -999          -999          -999          -999                        
 6286          1047600       3.23         -999          -999          -999          -999                        
 6291          1048540       3.4          -999          -999          -999          -999                        
 6296          1049490       3.76         -999          -999          -999          -999                        
 6301          1050430       3.19         -999          -999          -999          -999                        
 6316          1053240       3.18         -999          -999          -999          -999                        
 6321          1054190       3.09         -999          -999          -999          -999                        
 6326          1055120       3.12         -999          -999          -999          -999                        
 6331          1056060       3            -999          -999          -999          -999                        
 6336          1057010       2.98         -999          -999          -999          -999                        
 6341          1057950       2.9          -999          -999          -999          -999                        
 6346          1058900       2.86         -999          -999          -999          -999                        
 6351          1059830       2.72         -999          -999          -999          -999                        
 6356          1060770       2.6          -999          -999          -999          -999                        
 6366          1062650       2.71         -999          -999          -999          -999                        
 6376          1069580       2.63         -999          -999          -999          -999                        
 6381          1073070       2.69         -999          -999          -999          -999                        
 6386          1076520       2.58         -999          -999          -999          -999                        
 6391          1080010       2.77         -999          -999          -999          -999                        
 6396          1083490       2.56         -999          -999          -999          -999                        
 6401          1086930       2.63         -999          -999          -999          -999                        
 6406          1090860       2.7          -999          -999          -999          -999                        
 6411          1094770       2.41         -999          -999          -999          -999                        
 6416          1098670       2.57         -999          -999          -999          -999                        
 6421          1101910       2.45         -999          -999          -999          -999                        
 6426          1104430       2.59         -999          -999          -999          -999                        
 6431          1106930       3.31         -999          -999          -999          -999                        
 6436          1109450       3.33         -999          -999          -999          -999                        
 6441          1111990       3.58         -999          -999          -999          -999                        
 6446          1114480       3.96         -999          -999          -999          -999                        
 6451          1117000       4.1          -999          -999          -999          -999                        
 6466          1124810       3.88         -999          -999          -999          -999                        
 6471          1127420       3.54         -999          -999          -999          -999                        
 6476          1130010       3.4          -999          -999          -999          -999                        
 6481          1132620       3.3          -999          -999          -999          -999                        
 6486          1135230       3.3          -999          -999          -999          -999                        
 6491          1137830       3.42         -999          -999          -999          -999                        
 6496          1140430       3.46         -999          -999          -999          -999                        
 6501          1143020       3.1          -999          -999          -999          -999                        
 6506          1144270       3.11         -999          -999          -999          -999                        
 6511          1145490       3.07         -999          -999          -999          -999                        
 6521          1146820       3.04         -999          -999          -999          -999                        
 6526          1147470       3.16         -999          -999          -999          -999                        
 6531          1148140       3.49         -999          -999          -999          -999                        
 6536          1148800       3.57         -999          -999          -999          -999                        
 6541          1149450       3.58         -999          -999          -999          -999                        
 6546          1150110       3.58         -999          -999          -999          -999                        
 6551          1150770       3.49         -999          -999          -999          -999                        
 6556          1151440       3.34         -999          -999          -999          -999                        
 6561          1152090       3.24         -999          -999          -999          -999                        
 6571          1153420       3.28         -999          -999          -999          -999                        
 6576          1154070       3.16         -999          -999          -999          -999                        
 6586          1155390       3.15         -999          -999          -999          -999                        
 6591          1156030       3.14         -999          -999          -999          -999                        
 6596          1156550       3.29         -999          -999          -999          -999                        
 6601          1157050       3.3          -999          -999          -999          -999                        
 6616          1158570       3.75         -999          -999          -999          -999                        
 6621          1159060       3.61         -999          -999          -999          -999                        
 6626          1159570       3.51         -999          -999          -999          -999                        
 6631          1160080       3.65         -999          -999          -999          -999                        
 6636          1160580       3.46         -999          -999          -999          -999                        
 6641          1161080       3.54         -999          -999          -999          -999                        
 6646          1161590       3.31         -999          -999          -999          -999                        
 6656          1162600       3.6          -999          -999          -999          -999                        
 6661          1163100       3.33         -999          -999          -999          -999                        
 6666          1163610       3.39         -999          -999          -999          -999                        
 6676          1164620       3.31         -999          -999          -999          -999                        
 6681          1165120       3.26         -999          -999          -999          -999                        
 6686          1165620       3.28         -999          -999          -999          -999                        
 6691          1166120       3.13         -999          -999          -999          -999                        
 6696          1166630       3.12         -999          -999          -999          -999                        
