# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982an_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Carin Andersson
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Andersson, C., and E. Jansen. 2003. A Miocene (8–12 Ma) intermediate water benthic
#     stable isotope record from the northeastern Atlantic, ODP Site 982, Paleoceanography,
#     18(1):1013.
#------------------
#
# Description & Notes:
#   Miocene Benthic Stable Isotope Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP982
depth         yrBP          d13Cc.wuell   d18Oc.wuell   notes
 29884         8193000       0.94          1.8          982B-31X-1,  5-7            
 29894         8196000       1.03          2.05         982B-31X-1, 15-17           
 29914         8202000       0.87          2.02         982B-31X-1, 35-37           
 29924         8204000       0.83          1.89         982B-31X-1, 45-47           
 29934         8207000       0.84          2.08         982B-31X-1, 55-57           
 29954         8213000       0.87          2.1          982B-31X-1, 75-77           
 29974         8218000       1.15          2.13         982B-31X-1, 95-97           
 29984         8221000       1.28          2.23         982B-31X-1, 105-107         
 29994         8224000       1.09          2.14         982B-31X-1, 115-117         
 30004         8227000       1.07          1.93         982B-31X-1, 125-127         
 30014         8229000       1.06          2.02         982B-31X-1, 135-137         
 30034         8235000       1.04          1.86         982B-31X-2, 5- 7            
 30044         8238000       1.02          2.14         982B-31X-2, 15-17           
 30054         8241000       1.07          1.81         982B-31X-2, 25-27           
 30064         8243000       1.1           2.02         982B-31X-2, 35-37           
 30074         8246000       1.32          1.93         982B-31X-2, 45-47           
 30084         8249000       1.43          2.03         982B-31X-2, 55-57           
 30094         8252000       1.38          2.1          982B-31X-2, 65-67           
 30104         8254000       1.36          2.05         982B-31X-2, 75-77           
 30114         8257000       1.18          1.88         982B-31X-2, 85-87           
 30124         8260000       1.3           1.93         982B-31X-2, 95-97           
 30134         8263000       1.47          2.07         982B-31X-2, 105-107         
 30144         8266000       1.09          1.93         982B-31X-2, 115-117         
 30154         8268000       1.47          1.95         982B-31X-2, 125-127         
 30164         8271000       1.17          1.98         982B-31X-2, 135-137         
 30184         8277000       1.37          2.04         982B-31X-3, 5- 7            
 30194         8280000       1.27          2.35         982B-31X-3, 15-17           
 30204         8282000       1.26          2.18         982B-31X-3, 25-27           
 30224         8288000       1.27          2.18         982B-31X-3, 45-47           
 30234         8291000       1.25          2.33         982B-31X-3, 55-57           
 30244         8294000       1.25          2.03         982B-31X-3, 65-67           
 30254         8296000       1.07          1.97         982B-31X-3, 75-77           
 30264         8299000       1.4           2.13         982B-31X-3, 85-87           
 30274         8302000       1.31          2.37         982B-31X-3, 95-97           
 30284         8305000       1.23          2.01         982B-31X-3, 105-107         
 30294         8307000       1.45          2.32         982B-31X-3, 115-117         
 30304         8310000       1.29          2.06         982B-31X-3, 125-127         
 30314         8313000       1.43          1.95         982B-31X-3, 135-137         
 30324         8316000       1.5           1.86         982B-31X-3, 145-147         
 30334         8319000       1.49          2.05         982B-31X-4, 5- 7            
 30344         8321000       1.47          1.84         982B-31X-4, 15-17           
 30354         8324000       1.6           1.81         982B-31X-4, 25-27           
 30364         8327000       1.6           1.85         982B-31X-4, 35-37           
 30374         8330000       1.49          1.88         982B-31X-4, 45-47           
 30384         8333000       1.41          1.81         982B-31X-4, 55-57           
 30394         8335000       1.39          2.07         982B-31X-4, 65-67           
 30404         8338000       1.35          1.82         982B-31X-4, 75-77           
 30417         8342000       1.4           2.16         982B-31X-4, 88-90           
 30424         8344000       1.33          1.97         982B-31X-4, 95-97           
 30434         8346000       1.25          2.25         982B-31X-4, 105-107         
 30444         8349000       1.13          1.97         982B-31X-4, 115-117         
 30454         8352000       1.2           2.08         982B-31X-4, 125-127         
 30464         8355000       1.24          1.97         982B-31X-4, 135-137         
 30484         8360000       1.34          1.83         982B-31X-5, 5- 7            
 30494         8363000       1.52          1.85         982B-31X-5, 15-17           
 30504         8366000       1.29          1.92         982B-31X-5, 25-27           
 30514         8369000       1.38          1.86         982B-31X-5, 35-37           
 30524         8372000       1.38          1.79         982B-31X-5, 45-47           
 30534         8374000       1.37          1.84         982B-31X-5, 55-57           
 30544         8377000       1.38          1.85         982B-31X-5, 65-67           
 30554         8380000       1.36          1.92         982B-31X-5, 75-77           
 30564         8383000       1.14          1.82         982B-31X-5, 85-87           
 30574         8385000       1.39          1.98         982B-31X-5, 95-97           
 30584         8388000       1.24          1.92         982B-31X-5, 105-107         
 30594         8391000       1.26          2.06         982B-31X-5, 115-117         
 30604         8394000       1.41          2.09         982B-31X-5, 125-127         
 30614         8397000       1.17          1.95         982B-31X-5, 135-137         
 30624         8399000       1.45          2.07         982B-31X-5, 145-147         
 30634         8402000       1.05          2.02         982B-31X-6, 5- 7            
 30644         8405000       1.26          2.08         982B-31X-6, 15-17           
 30654         8408000       1.27          1.98         982B-31X-6, 25-27           
 30664         8411000       1.49          1.97         982B-31X-6, 35-37           
 30674         8413000       1.55          2.04         982B-31X-6, 45-47           
 30684         8416000       1.66          2.02         982B-31X-6, 55-57           
 30694         8419000       1.58          1.94         982B-31X-6, 65-67           
 30704         8422000       1.57          1.93         982B-31X-6, 75-77           
 30714         8424000       1.72          1.83         982B-31X-6, 85-87           
 30724         8427000       1.59          1.96         982B-31X-6, 95-97           
 30734         8430000       1.32          2.01         982B-31X-6, 105-107         
 30744         8433000       1.33          1.89         982B-31X-6, 115-117         
 30754         8436000       1.49          2.08         982B-31X-6, 125-127         
 30764         8438000       1.35          1.86         982B-31X-6, 135-137         
 30774         8441000       1.47          2.07         982B-31X-6, 145-147         
 30784         8444000       1.66          1.96         982B-31X-7, 5- 7            
 30794         8447000       1.78          2.04         982B-31X-7, 15-17           
