/* DATA DESCRIPTION:
Citation:	McIntyre, K et al. (1999): Pliocene-Pleistocene stable oxygen and carbon isotope ratios of Cibicidoides wuellerstorfi from ODP Site 162-983 in the North Atlantic, doi:10.1594/PANGAEA.698996,
	In Supplement to: McIntyre, K; Ravelo, A Christina; Delaney, Margaret Lois (1999): North Atlantic intermediate waters in the Late Pliocene to Early Pleistocene, Paleoceanography, 14(3), 324-335, doi:10.1029/1998PA900005
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: -23.6407 * EAST: -23.6407 * SOUTH: 60.4035 * NORTH: 60.4035
	MINIMUM AGE: 1390.000 ka BP * MAXIMUM AGE: 1967.290 ka BP
	MINIMUM DEPTH, sediment: 179.6 m * MAXIMUM DEPTH, sediment: 287.7 m
Event(s):	162-983 * LATITUDE: 60.4035 * LONGITUDE: -23.6407 * ELEVATION: -1983.7 m * DATE/TIME: 1995-07-21T00:00:00 * DATE/TIME 2: 1995-07-24T00:00:00 * RECOVERY: 798.00 m * PENETRATION: 766.50 m * CAMPAIGN: Leg162 (URI: doi:10.2973/odp.proc.ir.162.1996) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 82 cores; 766.5 m cored; 0 m drilled; 104.1% recovery
Comment:	Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Size fraction > 0.063 mm, sand [%] (>63 µm) * PI: McIntyre, K * METHOD: Grain size, sieving
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: McIntyre, K * METHOD: Mass spectrometer
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: McIntyre, K * METHOD: Mass spectrometer
Size:	873 data points
*/
Depth [m]	Age [ka BP]	>63 µm [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]
179.59	1390.00	0.43	0.62	3.05
179.89	1392.08	1.24	0.65	2.92
180.19	1394.17	2.68	1.00	3.12
180.49	1396.25	4.32	1.12	3.11
180.89	1399.03	5.81	0.51	3.71
181.09	1400.42	7.72	0.94	3.10
181.39	1402.50	12.85	0.81	3.14
181.69	1404.58	7.90	0.82	3.17
181.99	1406.67	0.32	0.80	3.27
182.29	1408.75	0.79	0.64	3.23
182.59	1410.83	2.19	0.32	3.54
182.89	1412.92	0.51		
183.19	1415.00	0.76	0.77	3.85
183.49	1417.08	1.68		
183.73	1418.75	0.40	0.81	4.07
183.79	1419.17	0.49	0.88	3.95
184.03	1420.83	0.18		
184.33	1422.92	0.37	0.62	4.31
184.63	1425.00	0.49	0.64	4.30
184.93	1425.56	0.61		
185.23	1426.11	2.90	0.49	3.58
185.53	1426.67	0.19		
185.83	1427.22	0.70	0.71	3.40
186.13	1427.78	0.17		
186.43	1428.33	0.72	0.59	3.56
186.73	1428.89	1.35	0.48	3.30
187.03	1429.44	2.38	0.87	3.11
187.33	1430.00	4.36	0.75	2.95
188.53	1436.67	3.67		
188.83	1438.33	4.69	0.79	2.85
189.13	1440.00	3.79	0.50	2.84
189.43	1441.67	4.86		
189.73	1443.33	3.74		
190.03	1445.00	3.20	0.21	2.78
190.33	1446.67	3.30	0.85	2.83
190.63	1448.33	3.24	0.68	2.82
190.93	1450.00	5.37	0.31	2.87
191.23	1451.67	3.59	0.36	2.91
191.53	1453.33	2.82	0.49	2.79
191.83	1455.00	2.55	0.64	2.74
192.13	1456.90	2.70	-0.05	2.38
192.16	1457.10	10.67		
192.46	1459.00	1.70	1.18	4.75
192.76	1461.81	3.31	-0.06	4.17
193.06	1464.61	1.31		
193.35	1467.32	0.47		
193.36	1467.42	0.60	0.65	4.17
193.65	1470.13	0.79		
193.66	1470.22	1.71		
193.95	1472.94	0.96		
194.25	1475.74	1.65		
194.55	1478.55	0.57		
194.85	1481.35	0.84	0.84	3.67
195.04	1483.13	2.35	0.84	3.41
195.15	1484.16	0.80	0.75	3.64
195.24	1485.00	3.54	0.36	2.33
195.54	1485.88	3.21		
195.84	1486.75	2.52		
196.14	1487.63	2.52	0.98	2.87
196.44	1488.50	5.24	0.96	2.80
196.74	1489.37	4.32	0.89	2.94
197.04	1490.25	2.13	0.99	2.97
197.34	1491.12	1.71	0.79	2.99
197.64	1492.00	2.51	0.77	3.24
197.94	1492.87	3.07	1.10	3.41
198.24	1493.75	6.24	0.67	2.96
