# NOAA Paleoclimatology Program - Paleocean Site Data
# odp983_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Katherine McIntyre
# Core/Site:      ODP983
# Latitude:       60.24.00N	( 60.4)
# Longitude:      23.38.00W	( -23.63333)
# Water Depth(m): 1983
#
# Publications:
#   McIntyre, K., A.C. Ravelo, and M.L. Delaney. 1999. North Atlantic Intermediate
#     Waters in the late Pliocene and early Pleistocene. Paleoceanography 14:324-335.
#------------------
#
# Description & Notes:
#   North Atlantic Intermediate Waters in the late Pliocene and early Pleistocene.
#   Data precision: d13C- 0.05 per mil; d18O- 0.08 per mil 
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: ODP983
depth         yrBP          d13Cforams-b  d18Oforams-b  
 17959         1390000       0.62          3.05         
 17989         1392080       0.65          2.92         
 18019         1394170       1             3.12         
 18049         1396250       1.12          3.11         
 18089         1399030       0.51          3.71         
 18109         1400420       0.94          3.1          
 18139         1402500       0.81          3.14         
 18169         1404580       0.82          3.17         
 18199         1406670       0.8           3.27         
 18229         1408750       0.64          3.23         
 18259         1410830       0.32          3.54         
 18319         1415000       0.77          3.85         
 18373         1418750       0.81          4.07         
 18379         1419170       0.88          3.95         
 18433         1422920       0.62          4.31         
 18463         1425000       0.64          4.3          
 18523         1426110       0.49          3.58         
 18583         1427220       0.71          3.4          
 18643         1428330       0.59          3.56         
 18673         1428890       0.48          3.3          
 18703         1429440       0.87          3.11         
 18733         1430000       0.75          2.95         
 18883         1438330       0.79          2.85         
 18913         1440000       0.5           2.84         
 19003         1445000       0.21          2.78         
 19033         1446670       0.85          2.83         
 19063         1448330       0.68          2.82         
 19093         1450000       0.31          2.87         
 19123         1451670       0.36          2.91         
 19153         1453330       0.49          2.79         
 19183         1455000       0.64          2.74         
 19213         1456900      -0.05          2.38         
 19246         1459000       1.18          4.75         
 19276         1461810      -0.06          4.17         
 19336         1467420       0.65          4.17         
 19485         1481350       0.84          3.67         
 19504         1483130       0.84          3.41         
 19515         1484160       0.75          3.64         
 19524         1485000       0.36          2.33         
 19614         1487630       0.98          2.87         
 19644         1488500       0.96          2.8          
 19674         1489370       0.89          2.94         
 19704         1490250       0.99          2.97         
 19734         1491120       0.79          2.99         
 19764         1492000       0.77          3.24         
 19794         1492870       1.1           3.41         
 19824         1493750       0.67          2.96         
 19854         1494620       0.95          2.91         
 20004         1499000       0.88          3.9          
 20184         1516330       0.9           3.58         
 20214         1519220       0.81          3.46         
 20244         1522110       0.96          3.42         
 20274         1525000       0.95         -999          
 20274         1525000       0.79          3.62         
 20274         1525000      -999           3.33         
 20304         1526170       0.7           3.42         
 20334         1527330       0.87          3.6          
 20364         1528500       0.48          3.66         
 20394         1529670       0.13          3.62         
 20424         1530830       0.03          3.94         
 20454         1532000       0.15          4.58         
 20476         1533440       0.8           4.42         
 20484         1533970       0.78          3.34         
 20506         1535420       0.1           4.2          
 20536         1537390       0.29          4.33         
 20566         1539360       0.77          4.19         
 20596         1541330       1.15          3.8          
 20656         1545270       0.8           3.87         
 20716         1549210       0.28          3.07         
 20746         1551180       0.44          3.64         
 20776         1553150       0.03          3.51         
 20806         1555120       0.51          3.91         
 20866         1559060       0.61          3.29         
 20926         1563000       0.79          3.19         
 20956         1564310       0.45          3.4          
 20986         1565610       0.55          3.89         
 21136         1572150       0.47          3.66         
 21166         1573450       1.19          3.95         
 21260         1577550       1.27          4.25         
 21470         1586690       0.19          4.57         
 21497         1587870       0.22          3.6          
 21500         1588000       0.96          5.75         
 21587         1592200       1.08          3.68         
 21617         1593650       1.38          3.19         
 21707         1598000       1.08          3.11         
 21737         1599910       1.12          2.4          
 21767         1601830       0.64          3.19         
 21797         1603740       0.96          3.23         
 21827         1605660       0.99          3.45         
 21887         1609490       0.81          3.55         
 21917         1611400       0.67          3.51         
 21947         1613320       0.8           3.66         
 21977         1615230       0.53          3.38         
 22037         1619060       1             3.79         
 22067         1620980       0.16          3.45         
 22157         1626720       0.52          3.18         
 22245         1632340       1.09          3.4          
 22275         1634260       1.27          4.25         
 22305         1636170       0.94          3.42         
 22365         1640000       0.93          3.05         
 22524         1647660       0.64          3.68         
 22554         1649110       0.63          3.72         
 22614         1652000       0.22          3.94         
 22674         1657000       0.23          3.54         
 22854         1672000       0.36          3.66         
 22884         1674500       0.83          3.54         
 22914         1677000       0.64          3.59         
 22944         1679500       0.38          3.37         
 23004         1684500       0.74          3.23         
 23034         1687000       0.21          3.25         
 23064         1687770       0.49          3.39         
 23094         1688530       0.56          3.25         
 23124         1689300       0.64          3.24         
 23154         1690060       0.61          3.26         
 23184         1690830       0.95          3.22         
 23214         1691590       0.78          3.25         
 23244         1692360       0.69          3.28         
 23274         1693120       0.73          3.18         
 23283         1693350       0.85          3.47         
 23313         1694110       0.62          3.12         
 23343         1694880       0.74          3.5          
 23373         1695640       0.72          3.61         
 23403         1696410       0.53          3.44         
 23583         1701000       1.24          3.78         
 23669         1707740       0.36          3.39         
 23699         1710090       0.72          2.42         
 23729         1712440       0.29          2.91         
 23769         1715570       0.1           3.21         
 23779         1716360       0.4           3.48         
 23789         1717140      -0.83          3.18         
 23969         1731250       0.1           3.38         
 23999         1733600       0.27          3.42         
 24029         1735950       0.59          3.22         
 24119         1743000       0.39          4.02         
 24377         1755010       0.5           3.34         
 24407         1756410       0.9           3.3          
 24437         1757800       0.79          3.33         
 24467         1759200       1             3.28         
 24497         1760600       0.82          3.23         
 24527         1761990       0.97          3.25         
 24557         1763390       0.78          3.31         
 24583         1764600       0.85          3.17         
 24643         1767390       0.71          3.2          
 24673         1768790       0.86          3.14         
 24749         1774750       0.82          3.12         
 24779         1777600       0.79          3.14         
 24809         1780450       0.7           3.42         
 24840         1783390       0.56          3.48         
 24869         1786150       0.55          3.48         
 24899         1789000       0.09          3.59         
 24924         1792200      -0.41          3.2          
 24929         1792840      -0.27          3.26         
 25231         1809440       0.69          3.5          
 25261         1810600       0.95          3.28         
 25291         1811750       0.77          3.08         
 25351         1814050       0.28          3.22         
 25376         1815010       0.4           3.33         
 25381         1815200       0.12          3.35         
 25471         1818660       0.72          3.16         
 25472         1818700       1.12          3.42         
 25501         1819810       0.71          3.28         
 25502         1819850       0.63          3.34         
 25532         1821000       0.78          3.09         
 25562         1825330       0.76          3.34         
 25592         1829670       0.9           3.31         
 25622         1834000       0.92          3.38         
 25657         1839060      -0.39          2.92         
 25662         1839780      -0.28          2.84         
 25667         1840500      -0.09          3.27         
 25672         1841220      -0.19          2.29         
 25712         1847000       0.53          3.78         
 25732         1847280      -0.08          3.47         
 25737         1847350      -0.24          3.54         
 25928         1849990       0.61          3.46         
 26008         1851090       0.55          3.28         
 26128         1852750       0.78          3.26         
 26158         1853170       0.8           3.28         
 26189         1853600       0.73          3.25         
 26218         1854000       0.84          3.13         
 26248         1854710       0.27          3.37         
 26338         1856830       0.58          3.32         
 26368         1857540       0.73          3.45         
 26395         1858170       0.26          2.29         
 26425         1858880       0.59          3.62         
 26515         1861000       0.78          3.7          
 26635         1873380       1.4           2.39         
 26695         1879580       1.18          3.36         
 26700         1880090       0.97          3.25         
 26725         1882670       1.05          3.38         
 26736         1883810       1.05          3.3          
 26766         1886900       0.95          3.4          
 26796         1890000       0.53          3.25         
 26826         1890650       0.63          3.22         
 26856         1891300       0.56          3.26         
 26886         1891950       0.68          3.31         
 26916         1892600       0.66          3.19         
 26946         1893250       0.53          3.25         
 26976         1893900       0.82          3.19         
 27000         1894420       0.81          3.31         
 27006         1894550       0.64          3.26         
 27029         1895050       0.93          3.18         
 27034         1895160       0.81          3.3          
 27059         1895700       0.39          3.25         
 27089         1896350       0.74          3.48         
 27119         1897000       0.9           3.23         
 27149         1897650       0.89          3.17         
 27179         1898300       0.87          3.23         
 27209         1898950       0.76          3.32         
 27239         1899610       0.76          3.48         
 27269         1900260       0.7           3.39         
 27300         1900930       0.34          3.39         
 27329         1901560       0.18          3.61         
 27359         1902210      -0.12          3.93         
 27419         1903510       0.25          3.87         
 27449         1904160       0.29          4.1          
 27479         1904810       0.09          3.95         
 27509         1905460       0.18          3.59         
 27539         1906110       0.51          3.73         
 27569         1906760      -0.24          3.79         
 27589         1907190      -0.07          3.55         
 27710         1909820      -0.1           3.31         
 27722         1910080       0.21          3.37         
 27725         1910140       0.24          3.48         
 27730         1910250       0.2           3.53         
 27740         1910470       0.32          3.65         
 27771         1911140       0.24          3.69         
 27866         1913200       0.27          3.44         
 27896         1913850       0.55          3.5          
 27986         1919940       0.55          3.14         
 28046         1927960       0.76          3.09         
 28136         1939990      -0.01          3.09         
 28166         1944000       0.13          3.05         
 28196         1950060       0.52          3.18         
 28226         1950180       0.81          3.08         
 28436         1951000      -0.11          3.85         
 28556         1956920      -0.55          3.16         
 28586         1958400       0.24          3.46         
 28617         1959930       0.27          3.16         
 28646         1961360       0.22          3.5          
 28706         1964330       0.44          3.31         
 28736         1965810       0.59          3.25         
