depth (mcd)	LR04 age (ka)	benthic O18
0.01	0.02	2.77
0.05	0.12	2.68
0.15	0.36	2.66
0.21	0.50	3.11
0.25	0.60	2.78
0.35	0.84	2.83
0.41	0.98	3.00
0.45	1.08	2.71
0.55	1.32	2.39
0.61	1.46	2.82
0.65	1.56	2.67
0.75	1.80	2.41
0.81	1.94	2.82
0.85	2.04	2.56
0.95	2.28	2.79
1.05	2.52	2.48
1.25	3.21	2.76
1.41	4.18	2.72
1.71	5.96	2.82
2.05	7.77	2.72
2.65	10.70	3.23
2.71	11.02	3.06
2.75	11.23	3.17
2.85	11.77	3.06
2.91	12.09	3.71
2.95	12.31	3.69
3.01	12.75	3.07
3.05	13.08	3.44
3.15	13.88	3.37
3.21	14.37	3.71
3.25	14.69	3.41
3.35	15.49	4.59
3.41	15.98	4.55
3.45	16.30	4.51
3.55	17.11	4.70
3.61	17.59	4.84
3.65	17.91	4.72
3.75	18.72	4.70
3.81	19.20	4.70
3.95	20.33	4.72
4.01	20.81	4.67
4.05	21.14	4.72
4.15	21.94	4.72
4.75	25.80	4.45
4.85	26.41	4.33
4.87	26.53	4.49
4.91	26.77	4.37
4.95	27.01	4.50
4.97	27.13	4.50
5.03	27.49	4.49
5.05	27.62	4.36
5.07	27.74	4.48
5.28	28.96	4.40
5.37	29.44	4.07
5.47	29.98	4.17
5.77	31.31	4.13
5.83	31.53	3.96
5.88	31.69	4.34
5.97	31.98	4.21
6.03	32.18	4.22
6.07	32.31	4.36
6.48	33.63	4.24
6.53	33.79	4.26
6.57	33.92	4.05
6.67	34.24	4.21
6.73	34.43	4.31
6.87	34.89	3.92
6.97	35.21	4.20
7.53	37.01	3.98
7.68	37.50	3.45
7.77	37.79	3.60
7.83	37.98	3.64
8.03	38.63	3.98
8.04	38.66	4.03
8.28	39.53	4.14
8.38	39.93	4.25
8.44	40.14	3.87
8.48	40.27	3.48
8.78	41.24	3.73
8.88	41.56	4.18
8.98	41.88	4.11
9.04	42.07	4.03
9.08	42.20	4.22
9.14	42.40	4.15
9.18	42.53	4.24
9.28	42.85	4.22
9.34	43.04	4.25
9.54	43.69	4.17
9.58	43.82	4.13
