/* DATA DESCRIPTION:
Citation:	Bartoli, G et al. (2005): Stable istotopes of benthic foraminifera of Site 162-984B, doi:10.1594/PANGAEA.315622,
	In Supplement to: Bartoli, Gretta; Sarnthein, Michael; Weinelt, Mara (2006): Late Pliocene millennial-scale climate variability in the northern North Atlantic prior to and after the onset of Northern Hemisphere glaciation, Paleoceanography, 21, PA4205, doi:10.1029/2005PA001185
Project(s):	Institute for Geosciences, Christian Albrechts University, Kiel (GIK/IfG) (URI: http://www.ifg.uni-kiel.de/)
	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
	Impact of Gateways on Ocean Circulation, Climate, and Evolution (OceanGateways) (URI: http://www.passagen.uni-kiel.de)
Coverage:	WEST: -24.0825 * EAST: -24.0825 * SOUTH: 61.4253 * NORTH: 61.4253
	MINIMUM AGE: 2497.670 ka BP * MAXIMUM AGE: 3049.640 ka BP
	DATE/TIME START: 1995-07-25T02:46:00 * DATE/TIME END: 1995-07-28T08:20:00
	MINIMUM DEPTH, sediment: 344.9 m * MAXIMUM DEPTH, sediment: 445.5 m
Event(s):	162-984B * LATITUDE: 61.4253 * LONGITUDE: -24.0825 * ELEVATION: -1648.0 m * DATE/TIME: 1995-07-25T02:46:00 * DATE/TIME 2: 1995-07-28T08:20:00 * RECOVERY: 458.30 m * PENETRATION: 503.70 m * CAMPAIGN: Leg162 (URI: doi:10.2973/odp.proc.ir.162.1996) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Drilling * COMMENT: 53 cores; 503.7 m cored; 0 m drilled; 91 % recovery
Comment:	Laboratory: Leibniz-Laboratory, University of Kiel, Germany
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Foraminifera, benthic d18O [per mil PDB] (Foram bent d18O) * PI: Sarnthein, Michael (eMail: ms@gpi.uni-kiel.de) * METHOD: Mass spectrometer Finnigan MAT 251
Size:	462 data points
*/
Depth [m]	Age [ka BP]	Foram bent d18O [per mil PDB]
344.890	2497.670	3.55
344.990	2498.000	3.04
345.090	2498.330	3.31
345.190	2498.670	3.52
345.290	2499.000	3.46
345.390	2499.330	3.37
345.490	2499.670	3.28
345.590	2500.000	3.44
345.690	2500.560	3.43
345.790	2501.130	3.33
345.890	2501.690	3.13
345.990	2502.250	3.42
346.090	2502.820	3.39
346.210	2503.490	3.45
346.310	2504.060	3.58
346.510	2505.180	3.53
346.610	2505.750	3.55
346.710	2506.310	3.57
346.810	2506.870	3.36
346.910	2507.440	3.49
347.010	2508.000	3.60
347.110	2508.230	3.57
347.210	2508.450	3.43
347.310	2508.680	3.68
347.410	2508.910	3.67
347.510	2509.140	3.73
347.610	2509.360	3.66
347.710	2509.590	3.86
347.810	2509.820	3.49
347.910	2510.050	3.94
348.010	2510.270	3.96
348.110	2510.500	4.07
348.210	2510.730	4.05
348.310	2510.950	4.05
348.410	2511.180	3.99
348.610	2511.640	4.16
348.710	2511.860	3.67
348.810	2512.090	3.77
349.010	2512.550	4.05
349.210	2513.000	4.12
349.510	2515.140	4.10
349.910	2518.000	4.11
351.410	2527.380	4.16
351.710	2528.100	4.17
351.910	2528.570	4.22
352.110	2529.050	4.07
352.210	2529.290	3.90
352.310	2529.520	3.89
352.610	2532.500	4.08
352.810	2537.500	3.93
352.910	2540.000	3.89
353.010	2542.670	3.75
353.110	2545.330	3.74
353.210	2548.000	3.86
353.410	2566.330	3.39
353.510	2567.670	3.69
353.610	2569.000	3.65
354.110	2573.770	3.54
354.210	2574.160	3.66
354.310	2574.550	3.66
354.410	2574.940	3.64
354.510	2575.320	3.53
354.610	2575.710	3.60
354.710	2576.100	3.58
354.810	2576.480	3.63
354.910	2576.870	3.33
355.010	2577.260	3.52
355.110	2577.650	3.53
355.210	2578.030	3.51
355.310	2578.420	3.51
355.410	2578.810	3.51
355.510	2579.190	3.47
355.610	2579.580	3.52
355.710	2579.970	3.53
355.810	2580.350	3.50
355.910	2580.740	3.47
356.010	2581.130	3.40
356.110	2581.520	3.55
