F	P	O	N	M	L	K	corr. depth	Age (ka) 112	CW 13C	CW 18O	% Sand	%Sand/100%CaCO3	%CaCO3
999.00	A	8.0000	1.0000	105.00	107.00	65.650	65.610	2000.9			21.360	43.308	49.314
999.00	A	8.0000	1.0000	115.00	117.00	65.750	65.700	2003.3			19.480	44.723	43.558
999.00	A	8.0000	1.0000	125.00	127.00	65.850	65.800	2006.0	0.92	3.47	18.620	40.986	45.423
999.00	A	8.0000	1.0000	135.00	137.00	65.950	65.890	2008.4			23.210	51.916	44.707
999.00	A	8.0000	1.0000	145.00	147.00	66.050	65.990	2011.1	1.01	3.29	17.120	41.223	41.533
999.00	A	8.0000	2.0000	5.0000	7.0000	66.150	66.080	2013.5			19.560	42.337	46.190
999.00	A	8.0000	2.0000	15.000	17.000	66.250	66.180	2016.2			25.140	47.868	52.529
999.00	A	8.0000	2.0000	25.000	27.000	66.350	66.270	2018.6	1.01	2.88	26.970	49.896	54.053
999.00	A	8.0000	2.0000	35.000	37.000	66.450	66.370	2021.3	1.06	3.00	22.100	42.249	52.304
999.00	A	8.0000	2.0000	45.000	47.000	66.550	66.470	2024.0	0.78	3.07	23.770	44.544	53.362
999.00	.	8.0000	2.0000	55.000	57.000	66.650	66.560	2026.4			22.510	40.884	55.061
999.00	A	8.0000	2.0000	65.000	67.000	66.750	66.660	2029.1			28.100	50.326	55.836
999.00	A	8.0000	2.0000	75.000	77.000	66.850	66.750	2031.5	0.87	2.92	28.240	47.571	59.368
999.00	A	8.0000	2.0000	85.000	87.000	66.950	66.850	2034.2	0.85	3.00	34.160	57.726	59.176
999.00	A	8.0000	2.0000	95.000	97.000	67.050	66.940	2036.6	1.02	3.28	29.960	50.382	59.468
999.00	A	8.0000	2.0000	105.00	107.00	67.150	67.040	2039.3	1.00	3.09	35.890	54.937	65.324
999.00	A	8.0000	2.0000	115.00	117.00	67.250	67.140	2042.0	0.92	3.33	31.930	48.759	65.490
999.00	A	8.0000	2.0000	125.00	127.00	67.350	67.230	2044.6			29.520	47.006	62.808
999.00	A	8.0000	2.0000	135.00	137.00	67.450	67.330	2047.4			27.430	47.281	58.010
999.00	A	8.0000	2.0000	145.00	147.00	67.550	67.420	2050.0	0.88	3.28	25.740	41.741	61.667
999.00	A	8.0000	3.0000	5.0000	7.0000	67.650	67.520	2052.8	0.90	3.00	25.690	43.219	59.435
999.00	A	8.0000	3.0000	15.000	17.000	67.750	67.610	2055.4	0.85	3.00	28.040	45.991	60.959
999.00	A	8.0000	3.0000	25.000	27.000	67.850	67.710	2058.2	0.81	2.97	29.500	50.575	58.327
999.00	A	8.0000	3.0000	35.000	37.000	67.950	67.810	2061.0	0.81	2.99	32.040	55.782	57.435
999.00	A	8.0000	3.0000	45.000	47.000	68.050	67.900	2063.6	0.75	3.45	28.300	50.530	56.011
999.00	.	8.0000	3.0000	55.000	57.000	68.150	68.000	2066.4	0.67	3.21	29.700	51.711	57.435
