Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
LAST UPDATE: 3/2005 (Original receipt by WDC Paleo)
CONTRIBUTOR: Torsten Bickert, Fachbereich Geowissenschaften, Universitat Bremen
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-029

SUGGESTED DATA CITATION: Bickert, T., et al.  2005. 
Late Neogene Caribbean ODP999 Benthic Stable Isotope Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2005-029.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE: Bickert, T., G.H. Haug, and R. Tiedemann.  2004.
Late Neogene benthic stable isotope record of Ocean Drilling Program 
Site 999: Implications for Caribbean paleoceanography, organic carbon 
burial, and the Messinian Salinity Crisis.
Paleoceanography, Vol. 19, PA1023, doi:10.1029/2002PA000799. 


ABSTRACT:
We report on epibenthic foraminiferal d18O and d13C and percentage coarse 
fraction records from Caribbean Ocean Drilling Program (ODP) Site 999 
(12°44 N, 78°44 W, Water depth 2828 m.) spanning the interval from 
8.5 to 5.3 Ma. Low epibenthic d13C values and low amounts of sand-sized 
particles (mostly foraminifer shells) indicate a poorly ventilated deep 
Caribbean throughout the late Miocene. At this time the deep Caribbean was 
dominated by a nutrient-rich and corrosive water mass. A generally constant 
d13C gradient between the Caribbean and deep Atlantic records during the 
late Miocene suggests that the fluctuations in d13Creflect global changes 
in d13C of the dissolved inorganic carbon due to varying erosion of organic 
carbon from terrigenous soils and shelf sediments. The observed 100-kyr 
cyclicity of epibenthic d13C is in good accordance with the variability 
of terrigenous input to the equatorial Atlantic as recorded by magnetic 
susceptibility records of the Ceara Rise. However, some short-term 
gradient changes between 7.0 and 4.5 Ma indicate a poorer ventilation 
of the deep Atlantic related to a reduced production of deep water in 
the Atlantic. The Messinian Salinity Crisis between 6.0 and 5.3 Ma did not 
affect the intermediate to deep water gradient between the Caribbean and 
the Atlantic. Comparison to the Bahama platform record of ODP Site 1006, 
however, indicates a poorer ventilation of the shallower northern Caribbean 
basins coincident with the isolation of the Mediterranean Sea. 


GEOGRAPHIC REGION: Caribbean Sea
PERIOD OF RECORD:  8.5 - 5.3 MMYrBP 

DESCRIPTION: 
Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
ODP999A: 12°44.639 N, 78°44.360 W, Water depth 2828 m.

Benthic stable carbon and oxygen isotope record (C. wuellerstorfi) and 
percentage coarse fraction data of Caribbean Sea ODP site 999, spanning 
the late Miocene interval between 8.5 and 5.3 Ma.


DATA:
1. Core ODP999 c. wuellerstorfi isotope and grain size data
Column 1: Sample ID
Column 2: Core Section 
Column 2: Section Top depth
Column 2: Total depth, Meters below sea floor
Column 2: Adjusted Depth
Column 2: Age, Million Years Before Present
Column 2: Percent of sediment grains greater than 63 microns
Column 3: c. wuellerstorfi d13C per mil
Column 3: c. wuellerstorfi d18O per mil


                                                            c. wuellerstorfi
Sample    Sec    Top    mbsf     rmbsf*0.9   age(my)   >63µ(%)  d13C(‰)   d18O(‰)
999A18H    01      5   159.65    159.645     5.257      1.60      0.27      2.01
999A18H    01     15   159.75    159.735     5.260      2.23      0.35      1.83
999A18H    01     25   159.85    159.825     5.263      2.08      0.41      1.93
999A18H    01     35   159.95    159.915     5.266      2.47      0.52      1.78
999A18H    01     45   160.05    160.005     5.269      3.03      0.59      1.93
999A18H    01     65   160.25    160.185     5.275      2.61      0.54      1.91
999A18H    01     75   160.35    160.275     5.278      2.52      0.56      1.88
999A18H    01     85   160.45    160.365     5.281      1.52      0.34      1.87
999A18H    01     95   160.55    160.455     5.284      2.19      0.45      1.62
999A18H    01    105   160.65    160.545     5.287      2.98      0.38      1.75
999A18H    01    115   160.75    160.635     5.290      2.75      0.51      1.81
999A18H    01    125   160.85    160.725     5.293      2.40      0.53      2.04
999A18H    01    135   160.95    160.815     5.296      2.43      0.41      1.92
999A18H    01    145   161.05    160.905     5.299      3.06      0.49      2.02
999A18H    02      5   161.15    160.995     5.301      6.23      0.66      1.86
999A18H    02     15   161.25    161.085     5.304      3.71      0.51      1.91
999A18H    02     25   161.35    161.175     5.306      3.17      0.42      1.89
999A18H    02     35   161.45    161.265     5.309      2.89      0.46      1.99
999A18H    02     45   161.55    161.355     5.311      2.14      0.06      1.72
999A18H    02     65   161.75    161.535     5.316      6.17      0.52      1.86
999A18H    02     75   161.85    161.625     5.318      6.45      0.47      1.92
999A18H    02     85   161.95    161.715     5.321      5.04      0.36      1.93
999A18H    02     94   162.04    161.796     5.323      6.59      0.41      1.81
999A18H    02    105   162.15    161.895     5.326      4.17      0.26      1.85
999A18H    02    115   162.25    161.985     5.328      3.92      0.10      1.85
999A18H    02    125   162.35    162.075     5.330      3.54      0.19      1.76
999A18H    02    135   162.45    162.165     5.333      2.86      0.50      1.56
999A18H    02    145   162.55    162.255     5.335      3.90      0.53      1.93
999A18H    03      5   162.65    162.345     5.338      3.36      0.28      1.41
999A18H    03     15   162.75    162.435     5.340      4.04      0.30      1.97
999A18H    03     25   162.85    162.525     5.344      4.62      0.67      1.91
999A18H    03     35   162.95    162.615     5.348      4.06      0.58      1.75
999A18H    03     45   163.05    162.705     5.352      2.93      0.24      1.84
999A18H    03     65   163.25    162.885     5.360      3.51      0.57      1.70
999A18H    03     75   163.35    162.975     5.363      4.41      0.48      1.93
999A18H    03     85   163.45    163.065     5.367      3.84      0.44      1.63
999A18H    03     95   163.55    163.155     5.371      3.42      0.74      1.52
999A18H    03    105   163.65    163.245     5.375      4.04      0.35      1.89
999A18H    03    115   163.75    163.335     5.379      4.10      0.57      1.91
999A18H    03    125   163.85    163.425     5.381      3.79
999A18H    03    135   163.95    163.515     5.384      2.90      0.55      1.75
999A18H    03    143   164.03    163.587     5.386      3.41
999A18H    04      5   164.15    163.695     5.389      4.38      0.38      1.48
999A18H    04     15   164.25    163.785     5.391      3.90      0.22      1.79
999A18H    04     25   164.35    163.875     5.394      3.70      0.34      1.74
999A18H    04     35   164.45    163.965     5.396      3.28      0.24      1.63
999A18H    04     45   164.55    164.055     5.399      3.65      0.39      1.72
999A18H    04     65   164.75    164.235     5.404      2.68
999A18H    04     75   164.85    164.325     5.406      2.98      0.04      1.78
999A18H    04     85   164.95    164.415     5.409      4.56      0.42      1.77
999A18H    04     95   165.05    164.505     5.411      4.96      0.16      1.77
999A18H    04    105   165.15    164.595     5.414      3.47      0.18      1.70
999A18H    04    115   165.25    164.685     5.416      3.24     -0.25      1.69
999A18H    04    125   165.35    164.775     5.419      3.14      0.21      1.85
999A18H    04    135   165.45    164.865     5.421      4.72      0.28      2.03
999A18H    04    145   165.55    164.955     5.425      4.76      0.36      1.94
999A18H    05      5   165.68    165.072     5.430      3.47      0.32      1.83
999A18H    05     15   165.78    165.162     5.434      4.57      0.29      1.62
999A18H    05     25   165.88    165.252     5.438      4.16      0.27      1.57
999A18H    05     35   165.98    165.342     5.443      3.25      0.31      1.38
999A18H    05     45   166.08    165.432     5.447      2.51      0.25      1.33
999A18H    05     65   166.28    165.612     5.455      3.36      0.19      1.78
999A18H    05     75   166.38    165.702     5.459      3.34      0.57      1.78
999A18H    05     85   166.48    165.792     5.463      2.94      0.48      1.46
999A18H    05     95   166.58    165.882     5.467      2.34      0.59      1.67
999A18H    05    105   166.68    165.972     5.471      2.37      0.75      1.64
999A18H    05    115   166.78    166.062     5.475      2.91      0.79      1.84
999A18H    05    125   166.88    166.152     5.481      3.61      0.85      1.78
999A18H    05    135   166.98    166.242     5.486      2.74      0.13      1.70
999A18H    05    145   167.08    166.332     5.492      2.92      0.52      1.63
999A18H    06      5   167.18    166.422     5.498      2.83      0.57      1.80
999A18H    06     15   167.28    166.512     5.503      2.72      0.32      1.42
999A18H    06     25   167.38    166.602     5.509      3.53      0.69      1.98
999A18H    06     35   167.48    166.692     5.514      3.53      0.40      1.98
999A18H    06     45   167.58    166.782     5.520      3.24      0.39      2.17
999A18H    06     65   167.78    166.962     5.526      3.08      0.07      1.62
999A18H    06     75   167.88    167.052     5.529      2.52      0.34      1.54
999A18H    06     85   167.98    167.142     5.531      1.54      0.42      1.49
999A18H    06     95   168.08    167.232     5.534      2.11      0.53      1.85
999A18H    06    105   168.18    167.322     5.537      2.17      0.65      1.79
999A18H    06    115   168.28    167.412     5.540      3.13      0.28      1.92
999A18H    06    125   168.38    167.502     5.543      2.89      0.27      1.96
999A18H    06    135   168.48    167.592     5.546      2.15      0.32      1.86
999A18H    06    145   168.58    167.682     5.548      3.22      0.09      1.69
999A18H    07      5   168.68    167.772     5.551      5.87
999A18H    07     15   168.78    167.862     5.554      2.68      0.40      2.35
999A18H    07     25   168.88    167.952     5.556      2.44
999A18H    07     35   168.98    168.042     5.557      1.85      0.26      1.95
999A18H    07     45   169.08    168.132     5.559      1.72      0.66      1.66
999A18H    07     59   169.22    168.258     5.561      1.60      0.24      2.09
999A18H    CC      5   169.32    168.348     5.563      1.60      0.61      1.78
999A18H    CC     15   169.42    168.438     5.564      1.56      0.36      1.88
999A18H    CC     23   169.50     168.51     5.566      2.41      0.58      2.16
999A19H    01      5   169.15    169.145     5.577      2.87      0.40      1.72
999A19H    01     15   169.25    169.235     5.579      3.12      0.46      1.95
999A19H    01     25   169.35    169.325     5.580      4.18      0.43      2.22
999A19H    01     35   169.45    169.415     5.582      4.20      0.21      2.13
999A19H    01     45   169.55    169.505     5.584      3.99      0.37      2.11
999A19H    01     65   169.75    169.685     5.587      3.60      0.39      2.15
999A19H    01     75   169.85    169.775     5.590      3.81      0.70      1.96
999A19H    01     85   169.95    169.865     5.593      4.27      0.67      1.82
999A19H    01     95   170.05    169.955     5.596      6.54      0.48      2.07
999A19H    01    105   170.15    170.045     5.599      3.23      0.54      2.00
999A19H    01    115   170.25    170.135     5.602      4.24      0.52      1.83
999A19H    01    125   170.35    170.225     5.605      3.62      0.55      1.86
999A19H    01    135   170.45    170.315     5.608      3.47      0.70      1.58
999A19H    01    145   170.55    170.405     5.611      2.70      0.51      1.97
999A19H    02      5   170.65    170.495     5.614      3.32      0.62      2.02
999A19H    02     15   170.75    170.585     5.616      3.12      0.49      1.85
999A19H    02     25   170.85    170.675     5.619      3.81      0.46      1.57
999A19H    02     35   170.95    170.765     5.622      3.81      0.28      1.95
999A19H    02     45   171.05    170.855     5.625      4.51      0.56      1.63
999A19H    02     65   171.25    171.035     5.631      2.38      0.58      1.93
999A19H    02     75   171.35    171.125     5.634      2.34      0.57      1.85
999A19H    02     87   171.47    171.233     5.638      2.48      0.43      1.95
999A19H    02     95   171.55    171.305     5.640      2.65      0.41      2.00
999A19H    02    105   171.65    171.395     5.643      2.58      0.52      2.11
999A19H    02    115   171.75    171.485     5.649      2.60      0.70      1.94
999A19H    02    125   171.85    171.575     5.656      1.93      0.68      2.03
999A19H    02    135   171.95    171.665     5.662      2.30      0.70      1.78
999A19H    02    145   172.05    171.755     5.669      2.70      0.56      1.80
999A19H    03      5   172.15    171.845     5.675      2.01      0.59      1.88
999A19H    03     15   172.25    171.935     5.682      2.22      0.41      1.97
999A19H    03     25   172.35    172.025     5.688      1.75      0.44      2.03
999A19H    03     35   172.45    172.115     5.695      2.49      0.73      1.86
999A19H    03     45   172.55    172.205     5.701      3.09      0.60      2.13
999A19H    03     65   172.75    172.385     5.707      4.56      0.49      1.76
999A19H    03     75   172.85    172.475     5.711      3.96      0.66      1.98
999A19H    03     85   172.95    172.565     5.714      4.11      0.32      1.98
999A19H    03     95   173.05    172.655     5.717      4.04      0.64      1.91
999A19H    03    105   173.15    172.745     5.720      3.90      0.28      2.09
999A19H    03    115   173.25    172.835     5.723      2.78      0.44      1.96
999A19H    03    125   173.35    172.925     5.727      2.57      0.69      1.86
999A19H    03    135   173.45    173.015     5.730      3.61      0.62      2.12
999A19H    03    145   173.55    173.105     5.733      4.26      0.46      1.76
999A19H    04      5   173.67    173.213     5.737      4.59      0.46      2.10
999A19H    04     15   173.77    173.303     5.740      4.05      0.42      2.00
