# NOAA Paleoclimatology Program - Paleocean Site Data
# odp999ab-tab.txt
# Complete Data
# File Created: 26-Apr-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Torsten Bickert
# Core/Site:      ODP999A
# Latitude:       12.45.00N	( 12.75)
# Longitude:      78.44.00W	( -78.73333)
# Water Depth(m): 2827
#
# Publications:
#   Bickert, T., G.H. Haug, and R. Tiedemann.  2004. Late Neogene benthic stable
#     isotope record of Ocean Drilling Program Site 999: Implications for Caribbean
#     paleoceanography, organic carbon burial, and the Messinian Salinity Crisis.Paleoceanography,
#     Vol. 19, PA1023.
#------------------
#
# Description & Notes:
#   Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
#   Notes column has sample ID, core section and section top depth.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             cfrac%>63     Course fraction percent (>63 micron)
#             corrdptcm     Corrected depth (cm)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP999A
depth	yrBP 	cfrac%>63	corrdptcm	d13Cc.wuell	d18Oc.wuell	notes
15965	5257000	1.603279	15964.5	0.2730758	2.010488	999A18H 01 5
15975	5260000	2.231314	15973.5	0.3454938	1.830797	999A18H 01 15
15985	5263000	2.075893	15982.5	0.4101504	1.933037	999A18H 01 25
15995	5266000	2.467397	15991.5	0.5215768	1.784183	999A18H 01 35
16005	5269000	3.031035	16000.5	0.5888379	1.932272	999A18H 01 45
16025	5275000	2.613506	16018.5	0.5414081	1.912288	999A18H 01 65
16035	5278000	2.519363	16027.5	0.5562165	1.880773	999A18H 01 75
16045	5281000	1.521397	16036.5	0.3415626	1.86801	999A18H 01 85
16055	5284000	2.194756	16045.5	0.4548048	1.624406	999A18H 01 95
16065	5287000	2.984712	16054.5	0.3808347	1.750459	999A18H 01 105
16075	5290000	2.74981	16063.5	0.5057245	1.809122	999A18H 01 115
16085	5293000	2.395162	16072.5	0.5286664	2.035275	999A18H 01 125
16095	5296000	2.433807	16081.5	0.4106064	1.916746	999A18H 01 135
16105	5299000	3.058354	16090.5	0.4904683	2.016799	999A18H 01 145
16115	5301410	6.234552	16099.5	0.6616761	1.861265	999A18H 02 5
16125	5303820	3.711443	16108.5	0.5076851	1.908841	999A18H 02 15
16135	5306240	3.173871	16117.5	0.4212214	1.893209	999A18H 02 25
16145	5308650	2.886999	16126.5	0.4586006	1.992226	999A18H 02 35
16155	5311060	2.138844	16135.5	6.271496E-02	1.724305	999A18H 02 45
16175	5315880	6.174183	16153.5	0.5202101	1.855214	999A18H 02 65
16185	5318290	6.449937	16162.5	0.4652216	1.922735	999A18H 02 75
16195	5320710	5.041955	16171.5	0.3554673	1.934374	999A18H 02 85
16204	5322880	6.590902	16179.6	0.4110953	1.806147	999A18H 02 94
16215	5325530	4.17297	16189.5	0.2577896	1.853286	999A18H 02 105
16225	5327940	3.920464	16198.5	0.102661	1.848044	999A18H 02 115
16235	5330350	3.539003	16207.5	0.1927436	1.759437	999A18H 02 125
16245	5332760	2.861329	16216.5	0.497339	1.562415	999A18H 02 135
16255	5335180	3.899462	16225.5	0.5268314	1.93289	999A18H 02 145
16265	5337590	3.359508	16234.5	0.2825538	1.414145	999A18H 03 5
16275	5340000	4.03956	16243.5	0.3020265	1.974557	999A18H 03 15
16285	5343900	4.62339	16252.5	0.6715639	1.905771	999A18H 03 25
16295	5347800	4.059122	16261.5	0.5793263	1.754348	999A18H 03 35
16305	5351700	2.928234	16270.5	0.241218	1.842184	999A18H 03 45
16325	5359500	3.513309	16288.5	0.5681219	1.704305	999A18H 03 65
16335	5363400	4.411325	16297.5	0.4768536	1.927629	999A18H 03 75
16345	5367300	3.843029	16306.5	0.44301	1.632165	999A18H 03 85
16355	5371200	3.42499	16315.5	0.7370716	1.52465	999A18H 03 95
16365	5375100	4.044646	16324.5	0.3547491	1.890746	999A18H 03 105
16375	5379000	4.09502	16333.5	0.5683975	1.912181	999A18H 03 115
16385	5381470	3.789783	16342.5	-999	-999	999A18H 03 125
16395	5383940	2.897079	16351.5	0.5475432	1.749594	999A18H 03 135
16403	5385920	3.414477	16358.7	-999	-999	999A18H 03 143
16415	5388880	4.375163	16369.5	0.3805864	1.484875	999A18H 04 5
16425	5391350	3.897267	16378.5	0.2185223	1.788215	999A18H 04 15
16435	5393820	3.695076	16387.5	0.3357396	1.739613	999A18H 04 25
16445	5396290	3.278501	16396.5	0.2397562	1.633296	999A18H 04 35
16455	5398760	3.650006	16405.5	0.3947873	1.721209	999A18H 04 45
16475	5403710	2.682639	16423.5	-999	-999	999A18H 04 65
16485	5406180	2.978724	16432.5	3.506946E-02	1.778471	999A18H 04 75
16495	5408650	4.562749	16441.5	0.4197792	1.766061	999A18H 04 85
16505	5411120	4.963025	16450.5	0.1647853	1.768607	999A18H 04 95
16515	5413590	3.467867	16459.5	0.1828415	1.703003	999A18H 04 105
