# NOAA Paleoclimatology Program - Paleocean Site Data
# t13pc72_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Richard W. Murray
# Core/Site:      TT013-PC72
# Latitude:       0.06.04N	( 0.10111)
# Longitude:      139.24.00W	( -139.4)
# Water Depth(m): 4298
#
# Publications:
#   Murray, R.W., C. Knowlton, M. Leinen, A.C. Mix, and C.H. Polsky. 2000. Export
#     production and carbonate dissolution in the central equatorial Pacific Ocean
#     over the past 1 Ma. Paleoceanography 15:570-592.
#------------------
#
# Description & Notes:
#   Central equatorial Pacific dissolution and export production, last 1 Ma.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18O          delta O18 PDB
#
# CORE: TT013-PC72
depth         yrBP          d18O          
 14            2738          3.39         
 19            5106          3.64         
 24            7203          3.44         
 29            9125          4.08         
 34            10917         4.34         
 39            12608         4.68         
 44            14229         4.59         
 49            15802         4.92         
 54            17351         4.71         
 59            18900         4.57         
 64            20479         4.69         
 69            22115         4.62         
 74            23852         4.6          
 79            25744         4.59         
 84            27860         4.48         
 89            30315         4.25         
 94            33219         4.36         
 99            36621         4.24         
 104           40298         4.41         
 114           47190         4.27         
 119           50152         4.1          
 124           52786         4.09         
 129           55163         4.4          
 134           57370         4.2          
 139           59494         4.31         
 144           61599         4.41         
 149           63739         4.26         
 159           68355         4.21         
 164           70963         4.23         
 169           73883         4.05         
 174           77179         3.73         
 179           80890         3.8          
 184           85028         3.89         
 189           89540         3.82         
 194           94300         3.93         
 199           99145         3.58         
 204           103880        3.65         
 209           108318        3.76         
 214           112369        3.82         
 219           116036        3.15         
 224           119365        3.21         
 234           125469        3.63         
 239           128433        4.07         
 244           131421        3.93         
 249           134427        4.61         
 254           137382        4.77         
 262           141844        4.57         
 267           144422        4.31         
 272           146849        4.47         
 277           149137        4.47         
 282           151314        4.52         
 287           153403        4.36         
 292           155423        4.35         
 297           157375        4.45         
 302           159252        4.45         
 307           161043        4.28         
 312           162745        4.41         
 317           164384        4.49         
 322           165989        4.19         
 327           167596        4.31         
 332           169244        4.23         
 337           170971        4.33         
 342           172829        4.09         
 347           174854        4.29         
 352           177098        4.35         
 357           179624        3.68         
 362           182511        4.11         
 367           185907        4.2          
 372           190028        3.91         
 377           194889        3.37         
 382           199554        3.51         
 387           203498        3.49         
 392           207091        3.56         
 397           210516        3.74         
 402           213777        3.93         
 405           216855        3.59         
 412           219779        4.24         
 417           222603        4.33         
 422           225396        4.38         
 428           228233        4.4          
 432           231205        3.85         
 437           234427        3.82         
 442           238024        4.02         
 447           242059        3.71         
 452           246245        4.64         
 457           250055        4.44         
 462           253286        4.42         
 472           258539        4.59         
 477           260831        4.47         
 482           263020        4.5          
 492           267345        4.59         
 497           269590        4.43         
 502           271959        4.25         
 507           274527        4.48         
 512           277352        4.15         
 517           280517        3.94         
 522           284077        3.69         
 527           288069        4.11         
 532           292488        4.34         
 537           297356        4.16         
 542           302712        4            
 547           308207        3.9          
 550           311199        3.83         
 563           319982        3.48         
 567           322712        3.32         
 573           325185        3.35         
 577           327493        3.31         
 583           329706        3.3          
 587           331873        3.85         
 597           336239        3.7          
 603           338516        3.84         
 608           340908        3.93         
 613           343464        4.6          
 617           346215        4.41         
 623           349188        4.49         
 627           352363        4.44         
 633           355661        4.25         
 637           358966        4.19         
 643           362176        4.2          
 647           365249        4.3          
 653           368194        4.25         
 657           371048        4.15         
 663           373859        3.82         
 667           376678        4.18         
 673           379546        4.19         
 677           382481        3.99         
 683           385457        3.92         
 687           388394        3.94         
 693           391200        3.95         
 697           393824        3.73         
 701           395860        3.98         
 707           398559        3.59         
 716           404349        3.44         
 721           407528        3.62         
 726           410886        2.96         
 731           414367        3.4          
 736           417867        3.52         
 741           421245        3.85         
 746           424396        4.14         
 751           427266        4.27         
 756           429883        4.42         
 761           432246        4.29         
 766           434405        4.77         
 771           436404        4.88         
 776           438268        4.86         
 786           441691        4.94         
 796           444882        4.45         
 801           446439        4.74         
 811           449578        4.61         
 816           451198        4.47         
 821           452880        4.46         
 826           454648        4.42         
 831           456514        4.42         
 836           458488        4.53         
 841           460561        4.31         
 846           462702        4.3          
 851           464874        4.28         
 856           467044        4.26         
 861           469204        4.27         
 866           471364        4.15         
 871           473552        4.18         
 876           475802        3.9          
 881           478160        3.84         
 886           480685        4.03         
 891           486557        3.75         
 901           490137        3.38         
 906           494360        3.9          
 911           499311        3.43         
 921           509461        4.09         
 926           513191        4.02         
 931           516125        4.17         
 936           518577        3.75         
 941           520764        3.8          
 946           522813        3.6          
 956           526901        3.83         
 961           529161        4.18         
 966           531803        3.84         
 971           535253        4.06         
 976           540738        4.15         
 981           550518        4.11         
 986           558998        4            
 991           567759        4.08         
 1007          573396        3.73         
 1012          575470        3.58         
 1017          577404        3.69         
 1022          579267        3.34         
 1027          581114        3.35         
 1032          582993        3.56         
 1037          584954        3.61         
 1042          587038        4.03         
 1047          589278        3.46         
 1052          591672        3.78         
 1057          594186        3.67         
 1062          596769        3.47         
 1067          599392        3.97         
 1072          602071        3.68         
 1077          604871        3.51         
 1082          607888        3.45         
 1087          611256        3.36         
 1092          615136        3.64         
 1097          619696        3.7          
 1102          624963        4.64         
 1107          630624        4.76         
 1112          636057        4.49         
 1117          640845        4.77         
 1122          645015        4.48         
 1127          648716        4.55         
 1137          655137        4.63         
 1142          657928        4.48         
 1147          660464        4.43         
 1151          662789        4.41         
 1161          666566        4.52         
 1166          668517        4.38         
 1171          670412        4.24         
 1176          672286        4.14         
 1191          678094        4.25         
 1196          680199        4.39         
 1201          682444        4.26         
 1206          684866        3.57         
 1211          687518        3.33         
 1221          693677        3.7          
 1231          701109        3.97         
 1241          709287        3.9          
 1246          713205        4.24         
 1251          716822        4.54         
 1256          720155        4.46         
 1261          723303        4.41         
 1266          726409        4.21         
 1271          729641        4.13         
 1276          733217        3.95         
 1286          742743        4.05         
 1291          749075        4.25         
 1296          755289        4.08         
 1301          760433        4.11         
 1316          770709        4.04         
 1321          773149        4.09         
 1326          775323        3.79         
 1331          777318        4.14         
 1336          779195        3.5          
 1341          781002        3.14         
 1346          782776        3.48         
 1351          784195        3.26         
 1356          786358        3.72         
 1361          788226        4.39         
 1366          790196        4.38         
 1371          792324        4.01         
 1376          794694        4.06         
 1381          797455        4.38         
 1386          800868        4.37         
 1391          805477        4.22         
 1396          812065        3.76         
 1401          818532        3.81         
 1406          826045        3.78         
 1411          832193        3.22         
 1421          842449        3.7          
 1426          847666        3.6          
 1431          853857        3.6          
 1436          861044        3.65         
 1441          867232        4.09         
 1446          872446        4.38         
 1451          877495        4.47         
 1456          882968        4.45         
 1461          889367        4.38         
 1466          896906        4.25         
 1471          905137        3.93         
 1476          912781        4.2          
 1481          918605        4            
 1486          922938        3.88         
 1506          935328        3.74         
 1516          940634        3.7          
 1521          943531        3.52         
 1526          946772        3.3          
 1536          955313        3.32         
 1541          961424        4            
 1546          967486        4.18         
 1551          977991        3.89         
 1556          987049        3.6          
 1561          995896        3.75         
 1566          1004765       4.01         
 1571          1013561       3.96         
 1576          1021505       3.43         
 1582          1028413       3.84         
 1586          1034904       3.93         
 1591          1040087       4.01         
 1594          1045269       3.9          
